line_no,en,vi,tr,es
0,PART ONE,PHẦN I,BİRİNCİ KISIM,PRIMERA PARTE
1,The Strings,Những Dây Nối 8,İpler,Los hilos
2,1 .,1.,1,1
3,The longest day of my life began tardily.,Ngày dài nhất trong cuộc đời tôi bắt đầu khá muộn.,Hayatımın en uzun günü geç saatlerde başladı.,El día más largo de mi vida empezó con retraso.
4,"I woke up late, took too long in the shower, and ended up having to enjoy my breakfast in the passenger seat of my mom’s minivan at 7:17 that Wednesday morning.","Tôi dậy trễ, ngâm nga quá lâu trong nhà tắm nên kết quả là phải thưởng thức bữa sáng trong chiếc minivan của mẹ vào hồi 7:17 sáng thứ Tư đó.","O çarşamba sabahı geç uyandım, duşta çok zaman geçirdim ve kahvaltımı annemin minivanının yolcu koltuğunda saat 07:17’de yapmak zorunda kaldım.","Me desperté tarde, me entretuve demasiado en la ducha y al final tuve que disfrutar del desayuno en el asiento del copiloto del monovolumen de mi madre, a las 7:17 de la mañana de un miércoles."
5,"I usually got a ride to school with my best friend, Ben Starling, but Ben had gone to school on time, making him useless to me.","Thường ngày tôi quá giang thằng chiến hữu thân nhất, Ben Starling, nhưng hôm ấy Ben đã vi vu đến trường đúng giờ, cho nên tôi hết trông cậy được vào nó.","Genelde beni okula en yakın arkadaşım Ben Starling götürürdü ama Ben, benim için yararsız hale gelerek, okula zamanında gitmişti.","Solía ir al instituto en el coche de mi mejor amigo, Ben Starling, pero Ben había salido puntual, así que no pude contar con él."
6,"“On time” for us was thirty minutes before school actually started, because the half hour before the first bell was the highlight of our social calendars: standing outside the side door that led into the band room and just talking.","“Đúng giờ” đối với tụi tôi là ba mươi phút trước lúc vào học, vì nửa giờ vàng ngọc trước hồi chuông đầu tiên chính là điểm sáng trong lịch trình xã giao của chúng tôi: tụ tập tán chuyện bên ngoài cửa phụ của phòng tập và biểu diễn nhạc.","Bizim için “zamanında”, okulun başlamasından otuz dakika önceydi çünkü ilk zilden yarım saat öncesi sosyal programımızın en önemli bölümüydü: bando odasına giden yan kapının önünde dikilmek ve yalnızca konuşmak.","Para nosotros, «puntual» significaba media hora antes de que empezaran las clases, porque aquellos treinta minutos antes de que sonara el primer timbre eran el plato fuerte de nuestra agenda social. Nos quedábamos delante de la puerta lateral que daba a la sala de ensayo de la banda de música del instituto y charlábamos."
7,"Most of my friends were in band, and most of my free time during school was spent within twenty feet of the band room.","Đa phần bạn bè tôi chơi nhạc cụ, và đa phần thời gian rảnh ở trường của tôi được nướng trong phạm vi dăm bảy mét quanh phòng tập nhạc.",Arkadaşlarımın çoğu bandodaydı ve okulda boş zamanınım çoğu bando odasının beş metre çevresinde geçerdi.,"Como la mayoría de mis amigos tocaban en la banda, yo pasaba casi todas las horas libres del instituto a menos de cinco metros de la sala de ensayo."
8,"But I was not in the band, because I suffer from the kind of tone deafness that is generally associated with actual deafness.","Nhưng tôi không chơi nhạc cụ gì cả, vì tôi bị một chứng điếc thanh điệu, nói chung là có liên quan đến bệnh điếc thực sự.",Ama ben bandoda değildim çünkü genellikle gerçek sağırlıkla ilişkili olan ton sağırlığından muzdariptim.,"Pero yo no tocaba, porque tengo menos oído para la música que un sordo."
9,"I was going to be twenty minutes late, which technically meant that I’d still be ten minutes early for school itself.","Hôm nay tôi sẽ bị muộn hai mươi phút, tức là về mặt kĩ thuật mà nói, tôi vẫn đến trước giờ vào lớp chục phút.","Yirmi dakika geç kalacaktım ki bu da teknik olarak, hâlâ ders saatinden on dakika önce orada olacağım anlamına geliyordu.","Aquel día iba a llegar veinte minutos tarde, lo que técnicamente significaba que aun así llegaría diez minutos antes de que empezaran las clases."
