line_no,en,vi,tr,es
0,I Night,I – Đêm,I Gece,I LA NOCHE
2,We slept in what had once been the gymnasium.,Chúng tôi ngủ ở nơi từng là nhà thể chất.,Bir zamanlar spor salonu olan yerde uyurduk.,"Dormíamos en lo que, en otros tiempos, había sido el gimnasio."
3,"The floor was of varnished wood, with stripes and circles painted on it, for the games that were formerly played there; the hoops for the basketball nets were still in place, though the nets were gone.","Sàn bằng gỗ đánh vecni, sơn những vòng tròn và vạch thẳng cho các trận đấu ngày xưa; các vành bóng rổ còn nguyên đó, dù lưới thì mất rồi.","Eskiden oynanan oyunlar için çizilmiş çizgi ve daireleri üstünde barındıran cilalı parkedendi zemin; basketbol ağlarının çemberleri hâlâ yerli yerindeydi, ancak ağlar yoktu artık.","El suelo, de madera barnizada, tenía pintadas líneas y círculos correspondientes a diferentes deportes. Los aros de baloncesto todavía existían, pero las redes habían desaparecido."
4,"A balcony ran around the room, for the spectators, and I thought I could smell, faintly like an afterimage, the pungent scent of sweat, shot through with the sweet taint of chewing gum and perfume from the watching girls, felt-skirted as I knew from pictures, later in miniskirts, then pants, then in one earring, spiky green-streaked hair.","Một dãy bao lơn dài chạy dọc bốn bức tường, là nơi dành cho khán giả, và tôi cảm giác còn ngửi thấy, mơ hồ như một dư ảnh, mùi mồ hôi nồng nồng, điểm hơi kẹo cao su và nước hoa từ đám con gái đứng xem, mặc váy nỉ – tôi thấy trên phim – rồi theo thời gian đến váy mini, quần dài, cuối cùng xỏ khuyên một bên, tóc phẩy lai xanh vuốt keo lỉa chỉa.","Salonu bir balkon çevreliyordu, seyirciler için ve resimlerden bildiğim kadarıyla, önceleri keçe, sonraları mini-etekli, daha sonra pantolonlu, en sonunda da tek kulakta küpe ve yeşil meçli dimdik saçlarıyla izleyici kızlardan gelen hoş sakız ve parfüm kokusuyla karışıp insanın burnuna çarpan keskin ter kokusunu duyabileceğimi sanırdım, kaçkın bir art-görüntü gibi.","La sala estaba rodeada por una galería destinada al público; y tuve la impresión de que podía percibir, como en un vago espejismo, el olor acre del sudor mezclado con ese toque dulce de la goma de mascar y del perfume de las chicas que se encontraban entre el público, vestidas con faldas de fieltro – así las había visto yo en las fotos —, más tarde con minifaldas, luego con pantalones, finalmente con un solo pendiente y peinadas con crestas de rayas verdes."
5,"Dances would have been held there; themusic lingered, a palimpsest of unheard sound, style upon style, an undercurrent of drums, a forlorn wail, garlands made of tissue-paper flowers, cardboard devils, a revolving ball of mirrors, powdering the dancers with a snow of light.","Có lẽ các vũ hội cũng tổ chức ở đây: tiếng nhạc còn lưu lại, bản chép chồng những lớp thanh âmkhông người nghe, điệu này phủ lên điệu khác, nhịp trống chìm lẫn, tiếng than van thê thiết, những tràng hoa làm từ giấy thấm, mặt nạ quỷ bằng bìa, quả cầu kính trên trần quay chầm chậm, rắc xuống các đôi nhảy từng chùm hoa ánh sáng.","Balolar da yapılırdı orada; müzik can çekişirdi: duyulmayan bir ses parşömeni gibi, biçem biçem üstüne, alttan alta gelen davul sesleri, ümitsiz bir feryat; ince kağıt çiçeklerden yapılmış çelenkler; kartondan şeytan maskeleri; döner bir cam top, ışıktan bir kar serpiştirirdi dansçıların üstüne.","Aquí se habían celebrado bailes; persistía la música, un palimpsesto de sonidos que nadie escuchaba, un estilo tras otro, un fondo de batería, un gemido melancólico, guirnaldas de flores hechas con papel de seda, demonios de cartón, una bola giratoria de espejos que salpicaba a los bailarines con copos de luz."
6,"There was old sex in the room and loneliness, and expectation, of something without a shape or name.","Khi ấy trong phòng có mùi ân ái cũ và nỗi cô đơn, và niềm mong ngóng, chờ một cái gì không hình dạng cũng không tên gọi.","Geçmişte kalmış bir cinsellik vardı odada ve yalnızlık ve beklenti, biçimi ya da ismi olmayan bir şeyin.","En la sala había reminiscencias de sexo y soledad y expectativa, la expectativa de algo sin forma ni nombre."
7,"I remember that yearning, for something that was always about to happen and was never the same as the hands that were on us there and then, in the small of the back, or out back, in the parking lot, or in the television room with the sound turned down and only the pictures flickering over lifting flesh.","Tôi còn nhớ nỗi mong mỏi ấy, mong một điều gì luôn luôn ở ngay phía trước và luôn luôn mới lạ, như những bàn tay đã đặt trên mình ở nơi đó, vào lúc đó, trên hõm lưng, hay xa hơn, trong bãi để xe, hay trong phòng đặt ti vi đã vặn nhỏ tiếng, chỉ còn hình ảnh chập chờn hắt lên xác thịt đang động cựa.","Park yerinde ya da inip kalkan bedenlerin Üzerinde sadece resimlerin titreştiği sessiz televizyon odasında, sırtın en dar yerinde ya da dışında, orada ve o zaman üstümüzde olan eller gibi her zaman değişen ve hemen oluverecek bir şey için duyduğumuz o özlemi hatırlıyorum.","Recuerdo aquella sensación, el anhelo de algo que siempre estaba a punto de ocurrir y que nunca era lo mismo, como no eran las mismas las manos que sin perder el tiempo nos acariciaban la región lumbar, o se escurrían entre nuestras ropas cuando nos agazapábamos en el aparcamiento o en la sala de la televisión con el aparato enmudecido y las imágenes parpadeando sobre nuestra carne exaltada."
8,We yearned for the future.,Chúng tôi mong mỏi tới tương lai.,Geleceğe de özlem duyardık.,Suspirábamos por el futuro.
9,"How did we learn it, that talent for insatiability?","Từ đâu mà ra cái tài năng ấy, cái sự không bao giờ thỏa nguyện ấy?","Nasıl edindik bunu, bu doymazlık yeteneğini?",¿De dónde sacábamos aquel talento para la insaciabilidad?
10,"It was in the air; and it was still in the air, an after-thought, as we tried to sleep, in the army cots that had been set","Nó vờ vẫn trong không trung; và nó vẫn còn giữa không trung, như một ý nghĩ đến muộn, khi chúng tôi cố dỗ giấc ngủ, trên giường gấp quân nhu xếp từng dãy, cách nhau một khoảng để ngăn ý đồ trò chuyện.",Havadaydı; konuşmamızı olanaksız kılan aralıklarla yanyana dizilmiş ordu işi portatif yataklarda uyumaya çalışırken de hâlâ havadaydı; gecikmiş bir düşünce gibi.,"Flotaba en el aire; y aún se respiraba, como una idea tardía, cuando intentábamos dormir en los catres del ejército dispuestos en fila y separados entre sí para que no pudiéramos hablar."
