line_no,en,vi,vi_sc_add1,vi_sc_exp,tr,tr_sc_add1,tr_sc_exp,es,es_sc_add1,es_sc_exp
0,Chapter 1,Chapter 1,100.0,100.0,,0.0,0.0,For Jomí García Ascot,0.0,0.0
1,"MANY YEARS LATER as he faced the firing squad, Colonel Aureliano Buendía was to remember that distant afternoon when his father took him to discover ice.","Many years later, as he faced the firing squad, Colonel Aureliano Buendía was to remember that distant afternoon when his father took him to discover ice.",90.932,90.619,"Colonel Aureliano Buendia, when he stood before the firing squad years later, would remember that distant afternoon when his father took him to discover ice.",55.833,54.147,"and María Luisa Elío Many years later, as he faced the firing squad, Colonel Aureliano Buendía was to remember that distant afternoon when his father took him to discover ice.",79.646,79.096
2,"At that time Macondo was a village of twenty adobe houses, built on the bank of a river of clear water that ran along a bed of polished stones, which were white and enormous, like prehistoric eggs.","At that time, Macondo was a village of twenty adobe houses, built on the bank of a river of clear water that ran along a bed of polished stones, which were white and enormous, like prehistoric eggs.",93.842,93.7,"At that time, Macondo was a village of twenty mud houses, built on the bank of a river of clear water that ran along a bed of polished stones, which were white and enormous, like prehistoric eggs.",87.585,87.294,"Macondo was then a village of twenty mud and reed houses built on the bank of a river of clear water that rushed along a bed of polished stones, white and enormous like prehistoric eggs.",55.356,54.329
3,"The world was so recent that many things lacked names, and in order to indicate them it was necessary to point.","The world was so recent that many things lacked names, and in order to indicate them it was necessary to point.",100.0,100.0,"The world was so recent that many things lacked names, and in order to indicate them it was necessary to point with one's finger.",85.08,84.571,"The world was so recent that many things lacked names, and to mention them one had to point at them with a finger.",51.522,49.59
4,"Every year during the month of March a family of ragged gypsies would set up their tents near the village, and with a great uproar of pipes and kettledrums they would display new inventions.","Every year during the month of March, a family of ragged gypsies would set up their tent near the village and with a great uproar of pipes and kettledrums they would display new inventions.",81.3,80.734,"Every year in March, a ragged band of gypsies would set up their tents outside the village, and with a great uproar of pipes and drums, they would display new inventions.",57.824,56.635,"Every year, in the month of March, a family of ragged gypsies would set up their tent near the village, and with a great uproar of flutes and drums they would announce the new inventions.",56.69,55.514
5,First they brought the magnet.,"First, they brought the magnet.",70.347,64.346,"First, they brought the magnet.",70.347,64.346,"First, they brought the magnet.",70.347,64.346
6,"A heavy gypsy with an untamed beard and sparrow hands, who introduced himself as Melquíades, put on a bold public demonstration of what he himself called the eighth wonder of the learned alchemists of Macedonia.","A heavy gypsy with an untamed beard and sparrow hands, who introduced himself as Melquíades, put on a bold demonstration of what he himself called the eighth wonder of the learned alchemists of Macedonia.",93.186,93.065,"A hulking gypsy with an untamed beard and sparrow hands, who introduced himself as Melquiades, put on a captivating demonstration with what he proclaimed to be the eighth wonder of the learned alchemists of Macedonia.",64.693,63.769,"A burly gypsy, with a wild beard and sparrow-like hands, who introduced himself as Melquíades, made a gruesome public demonstration of what he himself called the eighth wonder of the learned alchemists of Macedonia.",64.889,63.98
7,"He went from house to house dragging two metal ingots and everybody was amazed to see pots, pans, tongs, and braziers tumble down from their places and beams creak from the desperation of nails and screws trying to emerge, and even objects that had been lost for a long time appeared from where they had been searched for most and went dragging along in turbulent confusion behind Melquíades’ magical irons.","He went from house to house dragging two metal ingots, and everybody was amazed to see pots, pans, tongs, and braziers tumble down, the boards creak from the nails and screws trying to emerge, and even things that had been lost for a long time appeared from where they had been searched for most. Then, everyone was drawn out into the streets, flocking noisily, following the delightful magic tricks of Menkyađêt.",59.559,59.126,"As he dragged two ingots of metal from door to door, people saw pots and pans, tongs and braziers clattering and rolling from their places, nails and screws desperately trying to jump out of their sockets, causing the beams to creak, and especially the long-lost objects, which had been searched for extensively, tumbling out from their hiding places and rushing pell-mell after Melquiades' magical irons, leaving everyone dumbfounded.",12.156,9.696,"He went from house to house dragging two metal ingots, and everyone was terrified to see that the pots, pans, tongs, and braziers fell from their places, and the woodwork creaked from the desperation of the nails and screws trying to unfasten themselves, and even objects long lost appeared where they had been most searched for, and they trailed in a turbulent stampede behind Melquíades' magical irons.",42.347,41.47
8,"“Things have a life of their own,” the gypsy proclaimed with a harsh accent.","""Every object has a life,"" the gypsy advertised in a shrill voice, ""the issue is knowing how to awaken its soul.""",7.859,4.344,"The gypsy, in his coarse accent, proclaimed, ""Objects have a life of their own; all it takes is to awaken their souls.""",22.672,19.731,"""Things have a life of their own,"" the gypsy proclaimed with a harsh accent, ""it's simply a matter of waking up their souls.""",40.315,38.466
9,“It’s simply a matter of waking up their souls.”,"""Every object has a life,"" the gypsy advertised in a shrill voice, ""the issue is knowing how to awaken its soul.""",4.366,1.588,"The gypsy, in his coarse accent, proclaimed, ""Objects have a life of their own; all it takes is to awaken their souls.""",8.288,5.442,"""Things have a life of their own,"" the gypsy proclaimed with a harsh accent, ""it's simply a matter of waking up their souls.""",28.068,26.04
