line_no,Single_ent,Multiple_ents,en,vi,tr,es,vi_translation,tr_translation,es_translation
2,"['henry dashwood', 'mr henry dashvvood', 'henry daswood']",,"By a former marriage, Mr. Henry Dashwood had one son: by his present lady, three daughters. The son, a steady respectable young man, was amply provided for by the fortune of his mother, which had been large, and half of which devolved on him on his coming of age. By his own marriage, likewise, which happened soon afterwards, he added to his wealth. To him therefore the succession to the Norland estate was not so really important as to his sisters; for their fortune, independent of what might arise to them from their father's inheriting that property, could be but small. Their mother had nothing, and their father only seven thousand pounds in his own disposal; for the remaining moiety of his first wife's fortune was also secured to her child, and he had only a life–interest in it.","Ông Henry Daswood có một con trai trong cuộc hôn nhân thứ nhất và ba con gái trong cuộc hôn nhân thứ hai. Người trai trẻ có tính khí vững vàng và được mến trọng, được chu cấp đầy đủ từ sự sản khá giả của bà mẹ, và phân nửa sự sản này được dành cho anh khi đến tuổi trưởng thành. Cũng thế, qua cuộc hôn nhân của mình sau tuổi trưởng thành ít lâu, gia sản anh được tăng thêm. Vì thế, đối với anh việc kế thừa sự sản Norland không thiết yếu như đối với các cô em cùng cha khác mẹ của anh; vì các cô này chỉ kế thừa phần nhỏ nhoi của ông bố. Bà mẹ của họ không có sự sản gì, ông bố chỉ có 7000 bảng; vì lẽ phần còn lại ít ỏi của sự sản bà vợ trước được giành riêng cho con của bà, còn ông chỉ hưởng phần sinh lợi từ khoản tiền này.","Mr Henry Dashvvood'un önceki evliliğinden bir oğlu, şimdiki karısından da üç kızı vardı. Aklı başında, saygın bir delikanlı olan oğlu, annesinin reşit olduğunda yarısı ona kalan büyük servetinden makul bir gelire sahipti. Kısa süre sonra gerçekleşen kendi evliliği de aynı şekilde servetine servet kattı. Dolayısıyla Norland mülkünün sahipliği onun açısından kızkardeşleri için olduğu kadar önemli değildi; çünkü babalarının o mülkü miras almasından onlara düşebilecek payın dışında kızların pek bir çeyizi olamayacaktı. Annelerinin hiçbir şeyi yoktu; babalarının ise elinde topu topu yedi bin poundu vardı, ilk karısının serveti de çocuğuna ipotekli olduğu, ona sadece hayat boyu faiz geliri kaldığı için.","De un matrimonio anterior, el señor Henry Dashwood tenía un hijo; y de su esposa actual, tres hijas. El hijo, un joven serio y respetable, tenía el futuro asegurado por la fortuna de su madre, que era cuantiosa, y de cuya mitad había entrado en posesión al cumplir su mayoría de edad. Además, su propio matrimonio, ocurrido poco después, lo hizo más rico aún. Para él, entonces, el legado de la finca Norland no era en verdad tan importante como para sus hermanas; pues ellas, independientemente de lo que pudiera llegarles si su padre heredaba esa propiedad, eran de fortuna que no puede considerarse sino escasa. Su madre no tenía nada, y el padre sólo podía disponer de siete mil libras, porque de la restante mitad de la fortuna de su primera esposa también era beneficiario el hijo, y él sólo tenía derecho al usufructo de ese patrimonio mientras viviera.","Mr. Henry Daswood had one son from his first marriage and three daughters from his second marriage. The young man had a steady temperament and was well-respected, being adequately provided for by his mother's substantial estate, half of which was allocated to him upon reaching adulthood. Likewise, through his marriage shortly after reaching adulthood, his estate was further increased. Therefore, inheriting the Norland estate was not as crucial for him as it was for his half-sisters; for they only inherited a small portion from their father. Their mother had no estate, and their father only had £7000; because the remaining small portion of the first wife's estate was reserved for her son, while he only enjoyed the income generated from this amount.","Mr. Henry Dashwood had a son from his previous marriage and three daughters from his current wife. His son, a sensible and respectable young man, had a reasonable income from the large fortune that his mother had left him half of when he came of age. His own marriage, which took place shortly after, also significantly increased his wealth. Therefore, the ownership of the Norland estate was not as crucial to him as it was to his sisters; because aside from the share they might receive from their father's inheritance of that estate, the girls would not have much of a dowry. Their mother had nothing; their father had only seven thousand pounds, as the fortune of his first wife was tied up for her child, leaving him only a lifetime interest income.","From a previous marriage, Mr. Henry Dashwood had a son; and from his current wife, three daughters. The son, a serious and respectable young man, had his future secured by his mother's fortune, which was considerable, and of which he had come into possession of half upon reaching the age of majority. Moreover, his own marriage, which occurred shortly after, made him even wealthier. For him, then, the inheritance of the Norland estate was not truly as important as it was for his sisters; for they, regardless of what might come to them if their father inherited that property, were of a fortune that can only be considered meager. Their mother had nothing, and the father could only dispose of seven thousand pounds, because the son was also a beneficiary of the remaining half of his first wife's fortune, and he only had the right to the usufruct of that patrimony while he lived."
5,"['dashwood', 'mr dashwood', 'daswood']",,"His son was sent for as soon as his danger was known, and to him Mr. Dashwood recommended, with all the strength and urgency which illness could command, the interest of his mother–in–law and sisters.","Người con trai của ông được gọi đến ngay khi ông nhận rõ tình trạng an nguy của mình và, bằng mọi sức lực cùng tính cách khẩn thiết mà cơn bạo bệnh cho phép, ông Daswood đề nghị với anh về quyền lợi của bà mẹ kế cùng ba cô em cùng cha khác mẹ của anh.",Hayati tehlikesi öğrenilince hemen oğlu çağrıldı; Mr Dashwood hastalığın izin verdiği bütün gücü ve ısrarıyla oğluna üvey annesinin ve kızkardeşlerinin bakımını vasiyet etti.,"Tan pronto se supo que la vida del señor Dashwood peligraba, enviaron por su hijo y a él le encargó el padre, con la intensidad y urgencia que la enfermedad hacía necesarias, el bienestar de su madrastra y hermanas.","The son of the man was summoned immediately when he recognized the perilous state of his condition and, with all the strength and urgency that his severe illness allowed, Mr. Daswood urged him regarding the rights of his stepmother and his three half-sisters.","When his life-threatening condition was discovered, his son was immediately summoned; Mr. Dashwood, with all the strength and insistence his illness allowed, bequeathed the care of his stepmother and sisters to his son.","As soon as it was known that Mr. Dashwood's life was in danger, they sent for his son, and the father entrusted him, with the intensity and urgency that the illness necessitated, with the well-being of his stepmother and sisters."
6,"['john dashwood', 'mr john dashwood', 'john daswood']",,"Mr. John Dashwood had not the strong feelings of the rest of the family; but he was affected by a recommendation of such a nature at such a time, and he promised to do every thing in his power to make them comfortable. His father was rendered easy by such an assurance, and Mr. John Dashwood had then leisure to consider how much there might prudently be in his power to do for them.","Anh John Daswood không có mói dây tình cảm thân thiết với những người còn lại trong gia tộc; nhưng anh chịu tác động của lời đề nghị theo cách thức như thế trong tình cảnh như thế, và anh hứa sẽ làm mọi cách trong khả năng của anh để họ sống thoải mái. Ông bố cảm thấy nhẹ nhõm với lời hứa này, và anh John Daswood có thời giờ nhàn nhã để tính toán xem anh có thể hành xử khả năng của anh một cách cẩn trọng như thế nào để lo cho họ.",Mr John Dashwood'da ailenin diğer üyelerindeki güçlü duygular yoktu; ama öyle bir zamanda öyle bir vasiyet konuşmasından etkilendi ve onları rahat ettirmek için elinden geleni yapmaya söz verdi. Bu teminat babasının içine su serpti; sonra Mr John Dashwood sağduyu çerçevesinde onlar için elinden ne gelebileceğini düşünecek zaman buldu.,"El señor John Dashwood no tenía la profundidad de sentimientos del resto de la familia, pero sí le afectó una recomendación de tal índole en un momento como ése, y prometió hacer todo lo que le fuera posible por el bienestar de sus parientes. El padre se sintió tranquilo ante tal promesa, y el señor John Dashwood se entregó entonces sin pr isa a considerar cuánto podría prudentemente hacer por ellas.","Mr. John Dashwood did not have any close emotional ties with the remaining members of the family; but he was influenced by the suggestion made in such a manner and under such circumstances, and he promised to do everything within his power to ensure they lived comfortably. The father felt relieved by this promise, and Mr. John Dashwood had ample time to calculate how he could exercise his abilities prudently to take care of them.",Mr. John Dashwood did not possess the strong emotions of the other family members; but he was affected by such a will conversation at such a time and promised to do his best to comfort them. This assurance relieved his father; then Mr. John Dashwood found time to consider what he could do for them within the bounds of reason.,"Mr. John Dashwood did not have the depth of feelings of the rest of the family, but he was affected by such a recommendation at a moment like that, and he promised to do everything possible for the well-being of his relatives. The father felt reassured by such a promise, and Mr. John Dashwood then took his time to consider how much he could prudently do for them."
7,"['john dashwood', 'john daswood', 'mrs john dashwood']",,"He was not an ill–disposed young man, unless to be rather cold hearted and rather selfish is to be ill–disposed: but he was, in general, well respected; for he conducted himself with propriety in the discharge of his ordinary duties. Had he married a more amiable woman, he might have been made still more respectable than he was:—he might even have been made amiable himself; for he was very young when he married, and very fond of his wife. But Mrs. John Dashwood was a strong caricature of himself;—more narrow–minded and selfish.","Anh không phải là người trai trẻ nhẫn tâm, chỉ vì thói lãnh đạm và khá ích kỉ khiến anh trở nên nhẫn tâm, nhưng nói chung anh được vị nể vì anh tự ý thức trong việc hành xử đúng đắn những nghĩa vụ thông thường của anh. Nếu anh cưới một cô vợ nhân ái hơn, anh đã có thể được quý trọng hơn, bản thân anh đã có thể trở nên dễ thương;tất cả chỉ vì anh lập gia đình ở tuổi còn trẻ và yêu quý cô vợ của anh hết mực. Nhưng cô John Daswood lại thể hiện mình là bức tranh biếm họa của anh: hẹp hòi và ích kỷ hơn.","Kalpsiz bir delikanlı değildi, eğer biraz duygusuz, hatta bencil olmak kalpsizlik değilse: ama genel olarak itibar edilen biriydi, çünkü gündelik işlerini görürken usul, adap gözeterek hareket ederdi. Daha sevimli bir kadınla evlenmiş olsaydı daha da muteber bir hale gelebilirdi: -evlendiği zaman çok gençti ve karısına çok düşkündü. Ama Mrs John Dashwood kocasının güçlü bir karikatürüydü; -daha dar kafalı ve bencil.","No era John Dashwood un joven mal dispuesto, a menos que ser algo frío de corazón y un poco egoísta sea tener mala disposición; pero en general era respetado, porque se comportaba con corrección en el desempeño de sus deberes corrientes. De haber desposado una mujer más amable, podría haber llegado a ser más respetable de lo que era —incluso él mismo podría haberse transformado en alguien amable—, porque era muy joven cuando se casó y le tenía mucho cariño a su esposa. Pero la señora de John Dashwood era una áspera caricatura de su esposo, más estrecha de mente y más egoísta que él.","He was not a callous young man; it was merely his indifference and considerable selfishness that made him appear so. Generally, he was respected because he was conscious of properly fulfilling his usual obligations. If he had married a more compassionate wife, he might have been more esteemed, and he himself might have become more amiable; all because he married at a young age and deeply loved his wife. But Mrs. John Dashwood turned out to be a caricature of him: narrower-minded and more selfish.","He was not a heartless young man, if being a little insensitive, even selfish, does not count as heartlessness: but he was generally respected, because he conducted his daily affairs with a sense of propriety and decorum. He might have become even more esteemed had he married a more charming woman: -he was very young when he married and was very fond of his wife. But Mrs. John Dashwood was a strong caricature of her husband; -narrower-minded and more selfish.","John Dashwood was not an ill-disposed young man, unless being somewhat cold-hearted and a little selfish counts as ill-disposed; but in general, he was respected because he behaved correctly in the performance of his everyday duties. Had he married a kinder woman, he might have become more respectable than he was —he might even have turned into a kind person himself— because he was very young when he married and was very fond of his wife. But Mrs. John Dashwood was a harsh caricature of her husband, narrower-minded and more selfish than he was."
10,"['dashwood', 'señora dashwood', 'daswood', 'mrs dashvvood']",,"So acutely did Mrs. Dashwood feel this ungracious behaviour, and so earnestly did she despise her daughter–in–law for it, that, on the arrival of the latter, she would have quitted the house for ever, had not the entreaty of her eldest girl induced her first to reflect on the propriety of going, and her own tender love for all her three children determined her afterwards to stay, and for their sakes avoid a breach with their brother.","Bà Daswood sâu sắc nhận ra tư cách bất nhã này và khinh miệt cô con dâu thậm tệ, đến nỗi khi cô đến bà đã có thể dời đi nơi khác, nếu không có cô con gái đầu lòng của bà khuyên nhủ bà nên suy nghĩ lại, rồi tình thương của bà dành cho ba cô con gái khiến bà quyết định ở lại; và cũng vì chúng, bà muốn tránh đổ vỡ tình cảm với ông anh của chúng.","Mrs Dashvvood bu bayağı davranışı öyle keskin bir biçimde hissetti ve gelinine bunun için öyle içerledi ki, önce büyük kizirim telkinleri onu gitmenin uygun olup olmadığı üzerinde düşünmeye, sonra da üç çocuğuna duyduğu derin sevgi onu kalmaya ve ağabeyleriyle ihtilafa düşmekten kaçınmaya ikna etmese, gelini gelince evi temelli terkedecekti.","Sintió la señora Dashwood de manera tan aguda este descortés proceder, y tan intenso desdén hacia su nuera le produjo, que a la llegada de esta última habría abandonado la casa para siempre de no haber sido porque, primero, la súplica de su hija mayor la llevó a reflexionar sobre la conveniencia de hacerlo; y, más tarde, por el tierno amor que sentía por sus tres hijas, que la decidió a quedarse y por ellas evitar una ruptura con el hermano.","Mrs. Daswood deeply recognized this rude behavior and despised her daughter-in-law terribly, to the point that when she came, she could have moved elsewhere, if not for her eldest daughter advising her to reconsider. Then, her love for her three daughters made her decide to stay; and also for their sake, she wanted to avoid a rift in the relationship with their brother.","Mrs. Dashwood felt this vulgar behavior so acutely and resented her daughter-in-law so much for it that, had it not been for her eldest daughter's advice making her consider whether it was appropriate to leave, and then her deep love for her three children convincing her to stay and avoid conflict with their brother, she would have permanently left the house when her daughter-in-law arrived.","Mrs. Dashwood felt this discourteous behavior so acutely, and it produced such intense disdain towards her daughter-in-law, that upon the latter's arrival she would have left the house forever had it not been for, first, her eldest daughter's plea which led her to reflect on the advisability of doing so; and later, the tender love she felt for her three daughters, which decided her to stay and for their sake avoid a rupture with their brother."
23,"['henry', 'harry']",,"""Why, to be sure,"" said her husband, very gravely, ""that would make great difference. The time may come when Harry will regret that so large a sum was parted with. If he should have a numerous family, for instance, it would be a very convenient addition.""","Ông chồng trang trọng: - Chắc hẳn rồi, đây sẽ là một khác biệt lớn. Sẽ đến lúc Harry lấy làm tiếc phải mất đi số tiền lớn như thế. Giả dụ, nếu nó có một gia đình đông đúc, có thêm món tiền này cùng là đáng kể.","""Tabii,"" dedi kocası, ciddi bir sesle, ""o zaman durum değişirdi. Gün gelir, Henry öyle büyük bir paradan olduğu için üzülebilir. Büyük bir ailesi olursa, mesela, bu para çok işine yarar.","—Pero, por supuesto —dijo su esposo con gran seriedad—, eso cambiaría todo. Puede llegar un momento en que Harry lamente haberse separado de una suma tan grande. Si, por ejemplo, llegara a tener una familia numerosa, sería un muy conveniente suplemento a sus rentas.","The dignified husband: - Surely, this will be a big difference. There will come a time when Harry regrets losing such a large sum of money. Suppose, if he had a large family, having this extra money would be significant.","""Of course,"" said her husband in a serious tone, ""then the situation would change. The day may come when Henry regrets losing such a large sum of money. If he has a large family, for instance, this money would be very useful.""","—But, of course —said her husband with great seriousness—, that would change everything. A time may come when Harry regrets having parted with such a large sum. If, for example, he were to have a large family, it would be a very convenient supplement to his income."
33,"['dashwood', 'señora dashwood', 'daswood', 'mrs dashvvood']",,"""To be sure,"" said she, ""it is better than parting with fifteen hundred pounds at once. But, then, if Mrs. Dashwood should live fifteen years we shall be completely taken in.""","Cô bảo: - Hẳn rồi, như thế tốt hơn là chi trả 1500 bảng ngay một lần. Nhưng này, nếu bà Daswood sống thêm được 15 năm, chúng ta sẽ hoàn toàn bị vào tròng.","""Tabii,"" dedi, ""bin beş yüz pounda bir anda veda etmekten iyidir. Ama Mrs Dashvvood on beş yıl yaşarsa yine bize olan olur.","—De todas maneras dijo—, es mejor que separarse de quinientas libras de una vez. Pero si la señora Dashwood vive quince años más, eso se va a transformar en un abuso.","She said: - Of course, it's better than paying 1500 pounds all at once. But hey, if Mrs. Daswood lives another 15 years, we will be completely trapped.","""Of course,"" he said, ""it's better than saying goodbye to fifteen hundred pounds all at once."" But if Mrs. Dashwood lives for another fifteen years, it will still be the same for us.""","—Anyway, he said—, it's better than parting with five hundred pounds all at once. But if Mrs. Dashwood lives fifteen more years, that will turn into an abuse."
36,"['dashwood', 'mr dashwood', 'daswood']",,"""It is certainly an unpleasant thing,"" replied Mr. Dashwood, ""to have those kind of yearly drains on one's income. One's fortune, as your mother justly says, is NOT one's own. To be tied down to the regular payment of such a sum, on every rent day, is by no means desirable: it takes away one's independence.""","Anh Daswood đáp: - Đúng là chuyện khó chịu khi lợi tức của ta bị rút đi hàng năm bởi mấy khoản chi như thế. Mẹ em đã nói đúng, người ta có lợi tức mà không phải thuộc hẳn về người ta. Bị trói buộc vào việc chi trả món tiền như thế, vào mỗi ngày nộp tiền thuê nhà, thì thật là phiền phức: nó làm người ta mất đi tự chủ.","""Sevimsiz bir şey elbette,"" diye cevapladı Mr Dashwood, ""insanın geliri her yıl bir delikten gidecek. İnsanın serveti, annenin haklı olarak değindiği gibi, insanın kendisine ait olamıyor. Her kira günü böyle bir meblağı düzenli olarak ödemeye mecbur olmak katlanılır şey değil; insanın hürriyeti elinden alınıyor.","—En verdad es desagradable —replicó el señor Dashwood— que cada año se escurra de esa forma parte del ingreso de uno. Los bienes con que uno cuenta, como tan justamente dice tu madre, no son de uno. Estar obligado a pagar regularmente una suma como ésa en fechas fijas, no es para nada deseable: lo priva a uno de su independencia.","Mr. Daswood replied: - It is indeed an unpleasant matter when our income is annually reduced by such expenses. My mother was right, people have income that doesn't entirely belong to them. Being tied to paying such an amount, on every rent payment day, is truly troublesome: it makes people lose their autonomy.","""An unpleasant thing, of course,"" replied Mr. Dashwood, ""for one's income to go through a hole every year. As mother rightly pointed out, one's wealth cannot truly belong to oneself. Having to regularly pay such an amount every rent day is not something one can endure; one's freedom is taken away.""","—It is indeed unpleasant —replied Mr. Dashwood— that every year a part of one's income slips away in that manner. The assets one counts on, as your mother so rightly says, are not one's own. Being obliged to pay a sum like that regularly on fixed dates is not desirable at all: it deprives one of their independence."
39,"['mr dashvvood', 'dashwood', 'daswood']",,"""To be sure it will. Indeed, to say the truth, I am convinced within myself that your father had no idea of your giving them any money at all. The assistance he thought of, I dare say, was only such as might be reasonably expected of you; for instance, such as looking out for a comfortable small house for them, helping them to move their things, and sending them presents of fish and game, and so forth, whenever they are in season. I'll lay my life that he meant nothing farther; indeed, it would be very strange and unreasonable if he did. Do but consider, my dear Mr. Dashwood, how excessively comfortable your mother–in–law and her daughters may live on the interest of seven thousand pounds, besides the thousand pounds belonging to each of the girls, which brings them in fifty pounds a year a–piece, and, of course, they will pay their mother for their board out of it. Altogether, they will have five hundred a–year amongst them, and what on earth can four women want for more than that?—They will live so cheap! Their housekeeping will be nothing at all. They will have no carriage, no horses, and hardly any servants; they will keep no company, and can have no expenses of any kind! Only conceive how comfortable they will be! Five hundred a year! I am sure I cannot imagine how they will spend half of it; and as to your giving them more, it is quite absurd to think of it. They will be much more able to give YOU something.""","-Em chắc chắn như thế. Thật ra, bản thân em tin chắc rằng ông bố của anh không hề có ý trông mong anh sẽ cho họ tiền. Em đoan chắc rằng việc hỗ trợ mà ông nghĩ đến chỉ có chừng mực; ví dụ, tìm cho họ một căn nhà nhỏ đủ tiện nghi, giúp họ dọn nhà, biếu họ cá mình câu hoặc thú rừng mình săn được, tùy theo mùa. Em đoan chắc rằng ông cụ không có ý gì thêm; thật ra, nếu ông có ý như thế thì quả là lạ lùng và vô lý. "" Anh Daswood thân yêu, xin anh hãy nghĩ xem, bà mẹ kế của anh cùng các cô con gái của bà có thể sống thoải mái như thế nào bằng tiền lãi từ 7000 bảng, cộng thêm 1000 mỗi cô, mang lại cho mỗi cô 50 bảng, dĩ nhiên là họ sẽ dùng tiền này đẻ trả tiền nhà cho bà mẹ. Cộng chung lại, họ sẽ có 500 mỗi năm; bốn người phụ nữ còn mong gì hơn nữa? Họ sẽ sống với nhu cầu chi tiêu rất thấp! Tiền chăm sóc nhà cửa không là gì cả. Họp sẽ không có xe kéo, không có ngựa, khó thể có người hầu, không có thân nhân sống chung với họ và không thể có món chi tiêu nào như thế! Chỉ cần nghĩ xem họ sẽ sống thoải mái như thế nào! 500 bảng mỗi năm! Em không thể tưởng tượng ra họ làm cách nào để tiêu phân nửa số tiền này; và rồi anh cho họ thêm nữa, nghĩ thật là vô lý. Họ có thừa khả năng để cho anh một khoản nào đấy.""","Hem de nasıl. Doğrusunu istersen içimde öyle bir inanç var kı baban onlara para filan vermeni kastetmiyordu. Bence düşündüğü yardım senden makul şekilde beklenebilecek türdendi; mesela, onlara ufak, konforlu bir ev bulmak, taşınmalarına yardım etmek, mevsimine göre et balık göndermek filan. Yeminle söylüyorum ki daha fazlasını kastetmedi; çünkü kastetmesi tuhaf ve mantıksız olurdu. Düşünsene, Mr Dashvvood, şekerim, üvey annenle kızları yedi bin poundun faiziyle ne müthiş bir konfor içinde yaşarlar, ayriyeten her kızın kendi bin poundu var, oradan da ellişer pound alır ve tabii mutfak masrafları görülsün diye annelerine verirler. Toplarsan, yılda beş yüz poundları oluyor; yani, insaf, dört kadın bundan fazlasını ne yapacak? -Gayet ucuz yaşayacaklar! Evi döndürmek ne ki. Arabaları yok, atları yok, doğru dürüst hizmetçileri yok; yanlarında kimse yok; kuruş harcayamazlar! Bak ne kadar rahat edecekler! Yılda beş yüz! Bence yarısını bile harcayamazlar; senin onlara daha da vermene gelince, düşünmek bile saçma. Asıl onlar sana versinler.","—Por supuesto que lo hará. A decir verdad, estoy íntimamente convencida de que la idea de tu padre no era en absoluto que les dieras dinero. Me atrevo a decir que la ayuda en que pensaba era lo que razonablemente podría esperarse de ti; por ejemplo, cosas como buscar una casa pequeña y cómoda para ellas, ayudarlas a trasladar sus enseres, enviarles algún presente de pesca y caza, o algo así, siempre que sea la temporada. Apostaría mi vida a que no estaba pensando en más que eso; en verdad, sería bastante raro e improcedente si hubiera pretendido otra cosa. Si no, piensa, mi querido señor Dashwood, cuán holgadas pueden vivir tu madre y sus hijas con los intereses de siete mil libras, además de las mil libras de cada una de las niñas, que les aportan cincuenta libras anuales por persona; y, por supuesto, de allí le pagarán a su madre por su alojamiento. Entre todas juntarán quinientas libras anuales, y ¿se te ocurre para qué van a querer más cuatro mujeres? ¡Les saldrá tan barato vivir! El mantenimiento de la casa será una nada. No tendrán carruajes ni caballos, y casi ningún sirviente; no recibirán visitas, ¡y qué gastos van a tener! ¡Tan sólo piensa en lo bien que van a estar! ¡Quinientas anuales! No puedo ni imaginar cómo gastarán siquiera la mitad; y en cuanto a que les des más, es harto absurdo pensarlo. Estarán en mucho mejores condiciones de darte a ti algo.","-I'm sure of it. In fact, I firmly believe that your father never intended for you to give them money. I am certain that the support he had in mind was only to a certain extent; for example, finding them a small, comfortable house, helping them move, giving them fish you caught or game you hunted, depending on the season. I am sure that the old man had no other intentions; in fact, if he did, it would be strange and unreasonable. ""Dear Mr. Daswood, please consider how comfortably your stepmother and her daughters can live on the interest from £7000, plus £1000 for each daughter, giving each daughter £50, which they would naturally use to pay for their mother's housing. All together, they would have £500 per year; what more could four women want? They would live with very low expenses! House maintenance costs would be negligible. They would not have a carriage, no horses, scarcely any servants, no relatives living with them, and no such expenses at all! Just think about how comfortably they would live! £500 per year! I cannot imagine how they would spend even half of that amount; and then you give them more, it's truly absurd. They have more than enough to give you a portion.""","And how! To be honest, I have a belief that your father did not mean for you to give them money or anything like that. I think the help he had in mind was the kind that could reasonably be expected from you; for example, finding them a small, comfortable house, helping them move, sending them meat and fish according to the season, and so on. I swear he didn't mean anything more; because it would be strange and unreasonable if he did. Just think, Mr. Dashwood, darling, with the interest from seven thousand pounds, your stepmother and her daughters would live in such great comfort, plus each girl has her own thousand pounds, from which they get fifty pounds each and of course give it to their mother for kitchen expenses. If you add it up, they have five hundred pounds a year; I mean, really, what more could four women do with that? -They will live very cheaply! What is it to run a house? They have no carriages, no horses, no proper servants; there's no one with them; they can't spend a penny! Look how comfortable they will be! Five hundred a year! I don't think they could even spend half of it; as for you giving them more, it's ridiculous to even think about it. They should be giving to you instead.""","—Of course he will. To tell the truth, I am intimately convinced that your father's idea was not at all for you to give them money. I dare say the help he had in mind was what could reasonably be expected of you; for example, things like finding a small and comfortable house for them, helping them move their belongings, sending them some fishing and hunting presents, or something like that, whenever it's the season. I would bet my life that he was thinking of no more than that; indeed, it would be quite odd and improper if he had intended anything else. If not, think, my dear Mr. Dashwood, how comfortably your mother and her daughters can live on the interest of seven thousand pounds, plus the thousand pounds each of the girls have, which brings them fifty pounds annually per person; and, of course, from there they will pay their mother for her lodging. Altogether they will have five hundred pounds annually, and what more could four women possibly need? It will be so cheap for them to live! The maintenance of the house will be nothing. They will have no carriages or horses, and almost no servants; they will not receive visitors, and what expenses will they have! Just think how well off they will be! Five hundred annually! I can't even imagine how they will spend even half of it; and as for giving them more, it is utterly absurd to think about it. They will be in a much better position to give you something."
40,"['mr dashvvood', 'dashwood', 'dashwood—', 'daswood']",,"""Upon my word,"" said Mr. Dashwood, ""I believe you are perfectly right. My father certainly could mean nothing more by his request to me than what you say. I clearly understand it now, and I will strictly fulfil my engagement by such acts of assistance and kindness to them as you have described. When my mother removes into another house my services shall be readily given to accommodate her as far as I can. Some little present of furniture too may be acceptable then.""","Anh Daswood nói: - Tin anh đi, anh nghĩ em hoàn toàn đúng lý. Khi ngỏ lời yêu cầu anh, ông bố chắc chắn không có ý gì hơn là việc em nói. Bây giờ nah đã hiểu thông suốt, và anh sẽ làm tròn trách nhiệm qua cách hỗ trợ và qua lòng tốt mà em đã diễn tả. Khi bà mẹ kế của anh dời đến ở nhà khác, anh sẽ giúp bà ổn định cuộc sống theo cách anh có khả năng. Vài món món nội thất nhỏ cũng có thể chấp nhận được đối với họ.","""Valla,"" dedi Mr Dashvvood, ""son derece haklısın. Babam benden senin söylediklerinden daha fazlasını istemiş olamaz. Şimdi daha iyi anlıyorum; onlara olan taahhüdümü dediğin gibi yardım ederek, yol göstererek yerine getiririm. Annem başka bir eve taşındığı zaman onu yerleştirmek için elimden gelen desteği veririm. Ufak bir mobilya hediyesi de o zaman makul karşılanabilir.","—A fe mía —dijo el señor Dashwood—, creo que tienes toda la razón. De todas maneras, con su petición mi padre no puede haber querido decir sino lo que tú señalas. Me parece muy claro ahora, y cumpliré estrictamente mi compromiso con algunas ayudas y gentilezas como las que has descrito. Cuando mi madre se traslade a otra casa, me pondré a su servicio en todo lo que me sea posible para acomodarla. Quizá en ese momento también sea adecuado hacerle un pequeño obsequio, como algún mueble.","Mr. Daswood said: Trust me, I think you are completely right. When he made the request, the father surely had no other intention than what you mentioned. Now I fully understand, and I will fulfill my responsibilities through the support and kindness you described. When my stepmother moves to another house, I will help her settle in as best as I can. A few small pieces of furniture might also be acceptable for them.","""Well,"" said Mr. Dashwood, ""you are absolutely right. My father could not have asked more from me than what you have said. Now I understand better; I will fulfill my commitment to them by helping and guiding them as you mentioned. When my mother moves to another house, I will give her all the support I can to settle in. A small gift of furniture would also be reasonable at that time.""","—Upon my word —said Mr. Dashwood—, I believe you are absolutely right. In any case, with his request, my father could only have meant what you pointed out. It seems very clear to me now, and I will strictly fulfill my commitment with some assistance and kindnesses like the ones you have described. When my mother moves to another house, I will be at her service in every way possible to accommodate her. Perhaps at that time it would also be appropriate to give her a small gift, like some piece of furniture."
