line_no,Ent,en,vi,tr,es
1,,In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since.,"Trong những năm khi tôi còn trẻ và dễ bị ảnh hưởng chi phối, cha tôi có cho tôi một vài lời khuyên và chính những lời khuyên này đã khiến tôi thay đổi tư tưởng của mình từ lúc đó.",Daha genç ve kırılgan olduğum yaşlarda babam ömrüm boyunca aklımdan çıkmayacak bir öğüt vermişti bana.,"Cuando yo era más joven y más vulnerable, mi padre me dio un consejo en el que no he dejado de pensar desde entonces."
2,,"“Whenever you feel like criticizing anyone,” he told me, “just remember that all the people in this world haven’t had the advantages that you’ve had.”","""Bất cứ khi nào con muốn phê bình chỉ trích ai, con nên nhớ rằng trên đời này không phải ai cũng có những điều kiện thuận lợi như con."" Cha tôi nói.","“Birini eleştirmeye kalkıştığında” demişti, “herkesin senin ayrıcalıklarına sahip olmadığını hatırla.","«Antes de criticar a nadie», me dijo, «recuerda que no todo el mundo ha tenido las ventajas que has tenido tú»."
3,,"He didn’t say any more, but we’ve always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that.","""Bất cứ khi nào con muốn phê bình chỉ trích ai, con nên nhớ rằng trên đời này không phải ai cũng có những điều kiện thuận lợi như con."" Cha tôi nói. Cha tôi không nói nhiều hơn, nhưng bởi vì giữa hai chúng tôi vẫn thường có lối truyền đạt tư tưởng kín đáo cho nên tôi hiểu rằng những lời cha nói còn chứa đựng nhiều cái thâm sâu hơn.","Başka bir şey söylememişti ama zaten pek konuşmadan anlaştığımızdan, çok daha fazlasını anlatmak istediğini kavramıştım.","Eso fue todo, pero, dentro de nuestra reserva, siempre nos hemos entendido de un modo poco común, y comprendí que sus palabras significaban mucho más."
4,,"In consequence, I’m inclined to reserve all judgements, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores.","Kết quả, lời khuyên đó đã khiến tôi có khuynh hướng dè dặt trong mọi phán đoán của mình, giúp tôi nhìn ra và hiểu được những bản tính kỳ lạ của người chung quanh, nhưng đồng thời nó cũng biến tôi trở thành nạn nhân của không ít những kẻ đến quấy rầy làm phiền.",Sonuç olarak insanlar hakkındaki yargılarımı kendime saklamayı yeğledim. Bu huyum pek çok tuhaf yaratılışlı kişiyi tanımama imkan verdiği kadar azımsanmayacak sayıda can sıkıcı kişiye de mahkum etmişti beni.,"En consecuencia, suelo reservarme mis juicios, costumbre que me ha permitido descubrir a personajes muy curiosos y también me ha convertido en víctima de no pocos pesados incorregibles."
5,,"The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person, and so it came about that in college I was unjustly accused of being a politician, because I was privy to the secret griefs of wild, unknown men.","Đặc tính mà tôi vừa nói, nếu được thể hiện ở nơi một con người bình thường thì nó sẽ nhanh chóng thu hút những đầu óc không bình thường tìm đến. Do đó hồi còn đi học trong trường đại học, tôi thường bị gán cho một cách bất công là một con buôn chính trị, lý do là vì tôi biết được nhiều những chuyện đau buồn riêng tư kín đáo bí mật của người ta, ngay của cả chuyện của những người đàn ông phóng túng mà tôi không quen. Không phải tôi tự mình đi tìm tòi những chuyện riêng tư cá nhân của người khác.","Aklı farklı işleyenler normal birindeki bu niteliği gördüğünde hemen anlar ve buna çabucak bağlanır. Üniversitedeyken sırf bu nedenle, yani bazı çılgın, meçhul gençlerin bana sırlarını anlatmaktan çekinmemesi yüzünden, yok yere fazla politik olmakla suçlandım. Gel gör ki, bunu çoğu kez istemeden yapıyordum.","La mente anómala detecta y aprovecha enseguida esa cualidad cuando la percibe en una persona corriente, y se dio el caso de que en la universidad me acusaran injustamente de intrigante, por estar al tanto de los pesares secretos de algunos individuos inaccesibles y difíciles."
6,,"Most of the confidences were unsought—frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon; for the intimate revelations of young men, or at least the terms in which they express them, are usually plagiaristic and marred by obvious suppressions.","Tôi đã phải thường giả bộ ngủ, giả bộ như đang bận rộn, hoặc tảng lờ với có thái độ không thân thiện khi tôi nhận thấy có dấu hiệu biểu hiện chắc chắn một chuyện riêng tư đang sắp được tiết lộ. Thật ra tâm sự của những thanh niên trẻ, hay ít ra những lời lẽ mà họ dùng để tự diễn đạt, cũng chỉ là những lời trộm văn trộm ý từ người khác mà họ đã sửa sang cắt xén khiến cho ý tưởng của chúng không còn mạch lạc rõ ràng nữa.","Birinin bana sırını açacağını hissettiğim anda duruma göre, ya uyur numarası yapar ya da çok meşgulmüşüm gibi davranır veya şakaya vurarak o kişiyi terslerdim. Çünkü gençlerin bu mahrem açılmaları veya en azından bunları anlatmakta kullandıkları ifadeler genellikle ya sağdan soldan aşırma ya da bastırılmış duygularından ibarettir.","La mayoría de las confidencias no las buscaba yo: muchas veces he fingido dormir, o estar sumido en mis preocupaciones, o he demostrado una frivolidad hostil al primer signo inconfundible de que una revelación íntima se insinuaba en el horizonte; porque las revelaciones íntimas de los jóvenes, o al menos los términos en que las hacen, por regla general son plagios y adolecen de omisiones obvias."
7,,Reserving judgements is a matter of infinite hope.,Dè dặt trong phán đoán thực ra là không ngừng nuôi hy vọng.,İnsanlar hakkındaki yargıları kendine saklamak sonsuz bir umuttur bence.,No juzgar es motivo de esperanza infinita.
8,,"I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth.","Tôi cứ sợ nếu quên làm như vậy mình sẽ bỏ xót không nhìn ra nhiều việc, giống như những điều cha tôi đã từng tự phụ đưa ra và tôi cũng lại tự phụ lập lại, đó là, ý thức căn bản về phép xử thế lịch sự không phải lúc nào cũng được chia đồng cho mọi người lúc sanh ra.",Babamın bilgiççe söylediği ve benim de bilgiççe onayladığım şu sözünü unutmaktan halen korku duyarım: bazı temel incelikler dünyaya adaletsiz dağıtılmıştır.,"Todavía creo que perdería algo si olvidara que, como sugería mi padre con cierto esnobismo, y como con cierto esnobismo repito ahora, el más elemental sentido de la decencia se reparte desigualmente al nacer."
9,,"And, after boasting this way of my tolerance, I come to the admission that it has a limit.","Sau khi đã tự khoe khoang về tính kiên nhẫn của mình như thế, tôi cũng phải thú nhận rằng sự kiên nhẫn nhịn nhục của tôi thật ra có giới hạn.",Hoşgörümle bu kadar övündükten sonra bunun da bir sınırı olduğunu itiraf etmeliyim.,"Y, después de presumir así de mi tolerancia, me veo obligado a admitir que tiene un límite."
10,,"Conduct may be founded on the hard rock or the wet marshes, but after a certain point I don’t care what it’s founded on.","Hạnh kiểm của con người có thể được xây dựng trên nền đá cứng hay trên mặt đầm lầy, tuy nhiên đến một mức nào đó thì tôi không còn cần quan tâm xem nó đã được xây trên nền tảng nào.","İnsan davranışlarının altında sert bir kaya da olabilir, bataklık da ama bir noktadan sonra bunu pek de umursadığımı söyleyemem.","Me da lo mismo, superado cierto punto, que la conducta se funde sobre piedra o sobre terreno pantanoso."
