"Multiple_ents","Single_ent","annotation_id","annotator","created_at","en","es","es_translation","id","lead_time","line_no","modify_feedback","sentiment","tr","tr_translation","updated_at","vi","vi_translation"
"","['bingley', 'mr bingley']",360,"7","2024-09-24T01:41:35.137900Z","“I see no occasion for that. You and the girls may go—or you may send them by themselves, which perhaps will be still better; for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.”","––No veo la razón para ello. Puedes ir tú con las muchachas o mandarlas a ellas solas, que tal vez sea mejor; como tú eres tan guapa como cualquiera de ellas, a lo mejor el señor Bingley te prefiere a ti.","––I don't see the reason for it. You can go with the girls or send them alone, which might be better; since you are as pretty as any of them, maybe Mr. Bingley will prefer you.",1417,13.441,19,"","Aligned 😊","""Bunun için bir sebep yok. Sen kızlarla gidebilirsin, ya da onları kendi başlarına gönderebilirsin, hatta bu belki daha iyi olur, çünkü güzellikte onlardan aşağı kalır yanın olmadığı için Mr Bingley aradan seni seçebilir.","""There is no reason for this. You can go with the girls, or you can send them on their own, in fact, this might be better because since you are not inferior to them in beauty, Mr. Bingley might choose you instead.""","2024-09-24T01:41:35.137913Z","- Tôi chẳng thấy có cơ hội nào cả. Bà và mấy đứa có thể đi, hay là để mấy đứa tự đi, như vậy có thể tốt hơn. Vì bà còn đẹp hơn chúng nó, tôi e rằng anh Bingley lại mến bà hơn.","- I don't see any opportunity at all. You and the kids can go, or let the kids go by themselves, that might be better. Because you are more beautiful than them, I'm afraid Mr. Bingley might like you more."
"","['mr bennet', 'bennet', 'señor bennet']",361,"7","2024-09-24T01:43:08.055629Z","Mr. Bennet was so odd a mixture of quick parts, sarcastic humour, reserve, and caprice, that the experience of three-and-twenty years had been insufficient to make his wife understand his character. Her mind was less difficult to develope. She was a woman of mean understanding, little information, and uncertain temper. When she was discontented, she fancied herself nervous. The business of her life was to get her daughters married: its solace was visiting and news.","El señor Bennet era una mezcla tan rara entre ocurrente, sarcástico, reservado y caprichoso, que la experiencia de veintitrés años no habían sido suficientes para que su esposa entendiese su carácter. Sin embargo, el de ella era menos difícil, era una mujer de poca inteligencia, más bien inculta y de temperamento desigual. Su meta en la vida era casar a sus hijas; su consuelo, las visitas y el cotilleo.","Mr. Bennet was such a rare mixture of witty, sarcastic, reserved, and capricious that twenty-three years of experience had not been enough for his wife to understand his character. However, hers was less difficult; she was a woman of little intelligence, rather uneducated, and of uneven temperament. Her goal in life was to marry off her daughters; her consolation, visits and gossip.",1418,84.547,34,"","Aligned 😊","Mr Bennet öylesine tuhaf bir hazırcevaplık, ince alaycılık, soğukluk ve bencillik karışımı bir adamdı ki yirmi üç yıllık deneyim karısının onun karakterini anlamasına yetmemişti. Karısının huyunu anlamak daha az zordu. Anlayışı kıt, eğitimi düşük, tepkileri kestirilemez bir kadındı. Mutsuz olduğu zaman sinirleri bozuldu sanırdı. Hayatta bütün derdi kızlarını evlendirmekti; tesellisi ise ziyaretler ve haberlerdi.","Mr. Bennet was such a mixture of odd quick-wittedness, subtle sarcasm, coldness, and selfishness that twenty-three years of experience had not been enough for his wife to understand his character. Understanding his wife's temperament was less difficult. She was a woman of limited understanding, low education, and unpredictable reactions. When she was unhappy, she thought her nerves were disturbed. Her whole concern in life was to marry off her daughters; her solace was visits and news.","2024-09-24T01:43:08.055651Z","Cá tính của ông Bennet là sự pha trộn giữa láu lình, trào phúng châm biếm, dè dặt, và thất thường, đến nỗi mấy chục năm sống chung vẫn không đủ cho bà vợ hiểu nổi ông. Đầu óc của bà giản đơn hơn. Bà có tính cảm thông hẹp hòi, kiến thức nghèo nàn, và tính khí vô chừng. Khi không được như ý, bà tưởng như mình bị lo lắng. Cả đời bà chỉ lo mỗi việc là kiếm chồng cho năm cô con gái. Việc thăm viếng và trao đổi chuyện phiếm là cách khuây khỏa của bà.","Mr. Bennet's personality was a blend of cunning, sarcastic humor, reserve, and unpredictability, so much so that even after decades of living together, his wife still couldn't understand him. Her mind was simpler. She had a narrow-minded empathy, poor knowledge, and an erratic temperament. When things didn't go her way, she felt as if she were anxious. Her whole life revolved around finding husbands for her five daughters. Visiting and exchanging gossip were her ways of relieving boredom."
"","['señora long', 'mrs long', 'long']",362,"7","2024-09-24T01:47:09.041060Z","“I honour your circumspection. A fortnight’s acquaintance is certainly very little. One cannot know what a man really is by the end of a fortnight. But if we do not venture, somebody else will; and after all, Mrs. Long and her nieces must stand their chance; and, therefore, as she will think it an act of kindness, if you decline the office, I will take it on myself.”","––Celebro tu discreción. Una amistad de quince días es verdaderamente muy poco. En realidad, al cabo de sólo dos semanas no se puede saber muy bien qué clase de hombre es. Pero si no nos arriesgamos nosotros, lo harán otros. Al fin y al cabo, la señora Long y sus sobrinas pueden esperar a que se les presente su oportunidad; pero, no obstante, como creerá que es un acto de delicadeza por su parte el declinar la atención, seré yo el que os lo presente.","––I commend your discretion. A friendship of fifteen days is truly very short. In reality, after only two weeks, one cannot really know what kind of man he is. But if we do not take the risk, others will. After all, Mrs. Long and her nieces can wait for their opportunity to present itself; but, nevertheless, as she will believe it to be an act of delicacy on her part to decline the attention, I will be the one to introduce him to you.",1419,183.136,51,"","Aligned 😊","""Titizliğine katılıyorum. On beş günlük tanışıklık elbette çok az. İnsan on beş günden önce tanınmaz. Ama biz harekete geçmezsek başkası geçer; kaldı ki, Mrs Long'la yeğenleri de şanslarını deneyecekler; o halde, maksat kibarlık değil mi, sen yardımı reddedersen, bu işi ben üstlenebilirim.","""I agree with your meticulousness. Fifteen days of acquaintance is certainly very little. A person cannot be known in fifteen days. But if we don't take action, someone else will; besides, Mrs. Long and her nieces will also try their luck; so, isn't the point courtesy? If you refuse the help, I can take on this task.""","2024-09-24T01:47:09.041083Z","- Tôi khen bà đã thận trọng. Hai tuần thì có quá ít thời gian để làm quen. Ta không thể biết người mà ta mới quen nghĩ gì chỉ sau có hai tuần, Nhưng nếu ta không bạo dạn, người khác sẽ đánh bạo làm. Dù sao đi nữa bà Long và hai cô cháu cũng muốn thử thời vận. Nếu ta không tiến tới, bà ta sẽ cho rằng ta có ý nhường, bà ta sẽ nắm lấy cơ hội.","- I commend you for being cautious. Two weeks is too little time to get acquainted. We cannot know what someone we just met thinks after only two weeks, but if we are not bold, others will take the initiative. Anyway, Mrs. Long and her two nieces also want to try their luck. If we do not move forward, she will think we are yielding, and she will seize the opportunity."
"","['mrs bennet', 'bennet', 'señora bennet']",363,"7","2024-09-24T01:47:33.726235Z","The astonishment of the ladies was just what he wished—that of Mrs. Bennet perhaps surpassing the rest; though when the first tumult of joy was over, she began to declare that it was what she had expected all the while.","El asombro de las señoras fue precisamente el que él deseaba; quizás el de la señora Bennet sobrepasara al resto; aunque una vez acabado el alboroto que produjo la alegría, declaró que en el fondo era lo que ella siempre había figurado.","The astonishment of the ladies was precisely what he desired; perhaps Mrs. Bennet's surpassed the rest; although once the commotion caused by the joy was over, she declared that deep down it was what she had always imagined.",1420,108.62800000000001,58,"","Aligned 😊","Hanımların şaşkınlığı tam istediği gibiydi; hatta Mrs Bennet'ınki diğerlerini geçti; yine de ilk neşe dalgası durulurken Mrs Bennet bunu baştan beri beklediğini söylemeye başladı.","The ladies' astonishment was just as he wanted; in fact, Mrs. Bennet's surpassed the others; yet, as the first wave of joy subsided, Mrs. Bennet began to say that she had expected this all along.","2024-09-24T01:49:01.927130Z","Sự kinh ngạc của các cô gái chính là điều mà ông mong muốn; riêng bà Bennet còn kinh ngạc hơn cả các cô con gái, tuy nhiên sau những khoảnh khắc xáo động là niềm vui; bà cho rằng đấy là việc bà vẫn hằng mong muốn.","The astonishment of the girls was exactly what he desired; Mrs. Bennet herself was even more astonished than her daughters, yet after moments of agitation came joy; she believed that this was what she had always wished for."
"","['mr bennet', 'bennet']",364,"7","2024-09-24T01:49:30.089910Z","“How good it was in you, my dear Mr. Bennet! But I knew I should persuade you at last. I was sure you loved your girls too well to neglect such an acquaintance. Well, how pleased I am! And it is such a good joke, too, that you should have gone this morning, and never said a word about it till now.”","––¡Mi querido señor Bennet, que bueno eres! Pero sabía que al final te convencería. Estaba segura de que quieres lo bastante a tus hijas como para no descuidar este asunto. ¡Qué contenta estoy! ¡Y qué broma tan graciosa, que hayas ido esta mañana y no nos hayas dicho nada hasta ahora!","––My dear Mr. Bennet, how good you are! But I knew that in the end I would convince you. I was sure that you love your daughters enough not to neglect this matter. How happy I am! And what a funny joke, that you went this morning and didn't tell us anything until now!",1421,25.612,59,"","Aligned 😊","""Ne kadar iyisin, sevgili Mr Bennet! Ama seni sonunda ikna edeceğimi biliyordum. Kızlarını böyle bir tanışıklığı ihmal edemeyecek kadar sevdiğinden emindim. Valla nasıl memnun oldum! Ayrıca çok da iyi bir şaka, sen bu sabah git, ama bu saate kadar tek kelime etme.","""How good you are, dear Mr. Bennet! But I knew I would eventually convince you. I was sure you loved your daughters too much to neglect such an acquaintance. Oh, how pleased I am! Also, it's such a good joke, you go this morning, but don't say a word until this hour.""","2024-09-24T01:49:30.089924Z","- Ông Bennet yêu dấu, ông tốt bụng làm sao! Nhưng tôi biết cuối cùng tôi vẫn phải thuyết phục ông. Tôi biết rõ ông rất thương các con, nên ông không thể bỏ qua mối quen biết như thế này. Thật là tôi vui quá! Kể ra ông đùa như sáng nay cũng hay, ông đi mà không nói một lời nào cho đến tận bây giờ.","- My dear Mr. Bennet, how kind you are! But I know in the end I still have to persuade you. I know very well that you love the children very much, so you cannot overlook such an acquaintance. I'm so happy! It's quite amusing how you joked this morning, going without saying a word until now."
"","['lizzy']",365,"7","2024-09-24T01:50:20.357871Z","“But I can assure you,” she added, “that Lizzy does not lose much by not suiting his fancy; for he is a most disagreeable, horrid man, not at all worth pleasing. So high and so conceited, that there was no enduring him! He walked here, and he walked there, fancying himself so very great! Not handsome enough to dance with! I wish you had been there, my dear, to have given him one of your set-downs. I quite detest the man.”","––Pero puedo asegurarte ––añadió–– que Lizzy no pierde gran cosa con no ser su tipo, porque es el hombre más desagradable y horrible que existe, y no merece las simpatías de nadie. Es tan estirado y tan engreído que no hay forma de soportarle. No hacía más que pasearse de un lado para otro como un pavo real. Ni siquiera es lo bastante guapo para que merezca la pena bailar con él. Me habría gustado que hubieses estado allí y que le hubieses dado una buena lección. Le detesto.","––But I can assure you ––he added–– that Lizzy doesn't lose much by not being his type, because he is the most unpleasant and horrible man that exists, and he doesn't deserve anyone's sympathy. He is so stiff and so conceited that there is no way to tolerate him. He did nothing but strut from one side to the other like a peacock. He's not even handsome enough to be worth dancing with. I would have liked you to have been there and given him a good lesson. I detest him.",1422,47.199,85,"","Aligned 😊","""Ama seni temin ederim,"" diye ekledi, ""Lizzy onun zevkine uymamakla pek bir şey kaybetmedi; çünkü son derece sevimsiz, korkunç bir adam, ilgilenmeye değmez. Öyle kendini beğenmiş, öyle burnu havada ki katlanması imkânsız! Ortalarda dolandı durdu, matah bir şeymiş gibi! Dans edecek kadar bile yakışıklı değil! Keşke orada olsaydın da, şekerim, haddini bildirseydin. Adamdan cidden nefret ettim.","""But I assure you,"" he added, ""Lizzy hasn't lost much by not pleasing him; because he is an extremely unpleasant, terrible man, not worth bothering with. So self-conceited, so arrogant that it's impossible to tolerate him! He wandered around as if he were something special! Not even handsome enough to dance! I wish you had been there, dear, to put him in his place. I truly hated the man.""","2024-09-24T01:50:20.357893Z","- Nhưng ông yên tâm, Lizzy không mất mát gì khi không hợp với thị hiếu của hắn. Anh ta thuộc hạng người khó thương nhất, một con người đáng kinh tởm, không đáng cho ai lấy lòng. Anh ta chảnh chọe và kiêu kì không ai chịu được. Hắn ta cứ đi lòng vòng đầu này đầu nọ, làm ra vẻ ta đây là nhất! Mà hắn có đẹp trai gì cho cam! Tôi ước gì ông có ở đấy để cho anh ta ít lời răn! Tôi ghét cay ghét đắng anh ta.","- But rest assured, Lizzy doesn't lose anything by not fitting his tastes. He belongs to the most unlikable type of people, a disgusting person, not worth anyone's affection. He is so arrogant and haughty that no one can stand him. He just goes around strutting, acting like he's the best! And he's not even handsome! I wish you had been there to give him a piece of your mind! I hate him to the core."
"","['lucas', 'lucas–', 'miss lucas']",366,"7","2024-09-24T01:50:52.853974Z","“His pride,” said Miss Lucas, “does not offend me so much as pride often does, because there is an excuse for it. One cannot wonder that so very fine a young man, with family, fortune, everything in his favour, should think highly of himself. If I may so express it, he has a right to be proud.”","––El orgullo ––dijo la señorita Lucas–– ofende siempre, pero a mí el suyo no me resulta tan ofensivo. Él tiene disculpa. Es natural que un hombre atractivo, con familia, fortuna y todo a su favor tenga un alto concepto de sí mismo. Por decirlo de algún modo, tiene derecho a ser orgulloso.","––Pride ––said Miss Lucas–– always offends, but his pride doesn't seem so offensive to me. He has an excuse. It is natural for an attractive man, with family, fortune, and everything in his favor to have a high opinion of himself. In a way, he has the right to be proud.",1423,27.77,121,"","Aligned 😊","""Adamın gururu,"" dedi Miss Lucas, ""beni o kadar rahatsız etmiyor, çünkü bir açıklaması var. Ailesi ve serveti olan, o kadar yakışıklı, herşeyi tamam bir gencin kendine değer vermesinde şaşılacak bir şey yok. Gururlu olmaya hakkı var diyebilirim.","""The man's pride,"" said Miss Lucas, ""does not bother me so much, because it has an explanation. There is nothing surprising in a young man who has family and wealth, who is so handsome, and who has everything complete, valuing himself. I can say he has the right to be proud.""","2024-09-24T01:50:52.853988Z","Cô Lucas nói: - Tính kiêu hãnh của anh ta không làm chị khó chịu, vì có lí do chính đáng nào đấy. Ta không nên thắc mắc tại sao một thanh niên có nhiều thứ như thế: gia tộc cao sang, tài sản kếch xù, lại nghĩ rằng mình cao quý. Nếu chị có thể nói, anh ta có quyền được kiêu hãnh.","Ms. Lucas said: - His pride did not bother her, because there was some justifiable reason for it. We should not question why a young man who has so much: a noble family, immense wealth, would think of himself as noble. If she could say, he had the right to be proud."
"","['mary']",367,"7","2024-09-24T01:51:35.759843Z","“Pride,” observed Mary, who piqued herself upon the solidity of her reflections, “is a very common failing, I believe. By all that I have ever read, I am convinced that it is very common indeed; that human nature is particularly prone to it, and that there are very few of us who do not cherish a feeling of self-complacency on the score of some quality or other, real or imaginary. Vanity and pride are different things, though the words are often used synonymously. A person may be proud without being vain. Pride relates more to our opinion of ourselves; vanity to what we would have others think of us.”","––El orgullo ––observó Mary, que se preciaba mucho de la solidez de sus reflexiones––, es un defecto muy común. Por todo lo que he leído, estoy convencida de que en realidad es muy frecuente que la naturaleza humana sea especialmente propensa a él, hay muy pocos que no abriguen un sentimiento de autosuficiencia por una u otra razón, ya sea real o imaginaria. La vanidad y el orgullo son cosas distintas, aunque muchas veces se usen como sinónimos. El orgullo está relacionado con la opinión que tenemos de nosotros mismos; la vanidad, con lo que quisiéramos que los demás pensaran de nosotros.","––Pride ––observed Mary, who prided herself greatly on the solidity of her reflections––, is a very common defect. From all that I have read, I am convinced that it is indeed very frequent for human nature to be especially prone to it; there are very few who do not harbor a feeling of self-sufficiency for one reason or another, whether real or imagined. Vanity and pride are different things, although they are often used as synonyms. Pride relates to the opinion we have of ourselves; vanity, to what we would like others to think of us.",1424,39.757,123,"","Aligned 😊","""Gurur,"" diye gözlemde bulundu Mary, her zamanki gibi fikirlerinin sağlamlığıyla övünç duyarak, ""bence çok yaygın bir kusurdur. Okuduğum onca şeyden sonra şuna inandım ki gerçekten çok yaygın; insan doğası gurura bilhassa eğilimli; o ya da bu gerçek ya da hayali bir özellikten ötürü kendinden memnuniyet duymayan pek az kişi vardır. Gurur ve gösteriş farklı şeyler, ama sık sık aynı anlamda kullanılıyorlar. İnsan gösteriş düşkünü olmadan gururlu olabilir. Gurur daha çok kendimizle ilgili görüşümüze bağlıdır, gösteriş ise bizim hakkımızda başkalarına ne düşündürtmek istediğimize.","""Pride,"" Mary observed, taking pride as usual in the firmness of her opinions, ""I think is a very common fault. From all the things I have read, I have come to believe that it is indeed very common; human nature is particularly inclined towards pride; there are very few people who do not feel some satisfaction with themselves for one real or imaginary attribute or another. Pride and vanity are different things, but they are often used synonymously. One can be proud without being vain. Pride relates more to our opinion of ourselves, while vanity is what we would have others think of us.""","2024-09-24T01:51:35.759864Z","Mary vẫn còn ấm ức trong ý nghĩ kiên định của cô chị: - Em tin rằng kiêu hãnh là một khuyết điểm rất thông thường. Qua những gì em đã đọc, em tin rằng điều này rất phổ biến, bản chất con người hay thiên về tật này. Trong chúng ta rất ít người không có một ý nghĩ tự mãn về mặt này hay mặt khác, hoặc có thật hoặc tưởng tượng. Phù phiếm và kiêu hãnh là hai điều khác nhau, tuy rằng người ta thường xem hai thứ đồng nghĩa với nhau. Một người có thể cảm thấy kiêu hãnh nhưng không tỏ ra phù phiếm. Kiêu hãnh là khi ta có ý kiến về chính mình, phù phiếm là khi ta muốn người khác nghĩ về mình như thế nào.","Mary was still resentful of her sister's steadfast opinion: - I believe that pride is a very common flaw. From what I have read, I believe that this is very prevalent, human nature tends to lean towards this defect. Among us, very few people do not have a self-satisfied thought in one way or another, whether real or imagined. Vanity and pride are two different things, although people often consider them synonymous. A person can feel pride without being vain. Pride is when we have an opinion of ourselves, vanity is when we want others to think of us in a certain way."
"","['miss eliza', 'eliz', 'eliza']",368,"7","2024-09-24T01:51:48.017644Z","“You excel so much in the dance, Miss Eliza, that it is cruel to deny me the happiness of seeing you; and though this gentleman dislikes the amusement in general, he can have no objection, I am sure, to oblige us for one half hour.”","––Usted es excelente en el baile, señorita Eliza, y es muy cruel por su parte negarme la satisfacción de verla; y aunque a este caballero no le guste este entretenimiento, estoy seguro de que no tendría inconveniente en complacernos durante media hora.","––You are excellent at dancing, Miss Eliza, and it is very cruel of you to deny me the satisfaction of watching you; and although this gentleman does not like this entertainment, I am sure he would not mind indulging us for half an hour.",1425,8.378,169,"","Aligned 😊","""Dansta harikalar yaratıyorsun, Miss Eliza, bizleri seni seyretme mutluluğundan yoksun bırakman zalimlik; her ne kadar bu beyefendi eğlenceden hoşlanmıyorsa da eminim yarım saat nazımızı çekmeye itirazı olmaz.","""You dance wonderfully, Miss Eliza, it is cruelty to deprive us of the pleasure of watching you; although this gentleman does not enjoy entertainment, I am sure he would not object to indulging us for half an hour.""","2024-09-24T01:51:48.017665Z","- Eliza, cô khiêu vũ quá đẹp nên thật là vô tình nếu cô không cho tôi được diễm phúc xem cô trình diễn. Mặc dù vị này không thích tham dự cuộc chơi, tôi chắc rằng anh sẽ không từ chối chiều ý chúng ta trong nửa giờ.","- Eliza, you dance so beautifully that it would be truly unkind if you did not grant me the pleasure of watching you perform. Although this gentleman does not like to participate in the game, I am sure he will not refuse to indulge us for half an hour."
"","['mrs bennet', 'bennet––', 'bennet']",369,"7","2024-09-24T01:51:59.582304Z","“I am astonished, my dear,” said Mrs. Bennet, “that you should be so ready to think your own children silly. If I wished to think slightingly of anybody’s children, it should not be of my own, however.”","––Me deja pasmada, querido ––dijo la señora Bennet––, lo dispuesto que siempre estás a creer que tus hijas son tontas. Si yo despreciase a alguien, sería a las hijas de los demás, no a las mías.","––I am astonished, dear ––said Mrs. Bennet––, at how ready you always are to believe that your daughters are foolish. If I were to look down on anyone, it would be the daughters of others, not my own.",1426,8.767,191,"","Aligned 😊","""Çok şaşırdım, şekerim,"" dedi Mrs Bennet, ""nasıl kendi çocuklarına aptal demeye bu kadar hazır olabiliyorsun. Başkasının çocuklarını küçümseyecek olsam bile kendi çocuklarıma dokunmam.","""I am very surprised, my dear,"" said Mrs. Bennet, ""how can you be so ready to call your own children stupid. Even if I were to belittle someone else's children, I would not touch my own.""","2024-09-24T01:51:59.582327Z","Bà Bennet nói: - Ông à! Tôi ngạc nhiên khi thấy ông nghĩ rằng các con ông ngu xuẩn. Tôi có thể khinh thường con cái của người khác nhưng không thể khinh thường con mình.","Mrs. Bennet said: - Sir! I am surprised to see that you think your children are foolish. I can despise other people's children, but I cannot despise my own."
