en,en_results,Single_ent,en_shuffled,en_shuffled_results
"I [29m] have been friends with Chad [32m] since we were born. Our moms are best friends and we grew up together and were roommates for the last 10 years, up until the incident that set our current situation into motion.","Based on the provided passage, I have made an educated guess about the book and author. The passage seems to be a part of a narrative that explores the relationship between two individuals, likely in a coming-of-age or young adult context. Given the content, I would suggest that the passage originates from the book ""The Perks of Being a Wallflower"" by Stephen Chbosky. The author's name is Stephen Chbosky.",['chad'],"with have and moms since friends situation the up motion. 10 up together born. we incident I that Chad we [29m] into were and our years, current last Our [32m] friends the were set until for best are been grew roommates","""title"": ""Unknown"", ""author"": ""Unknown""  I'm sorry, but I'm having trouble determining the book and author from the provided passage. The text appears to be a fragment of a sentence, and without more context or information, it's difficult to make a confident guess. If you could provide more of the passage or any additional details, I'd be happy to try again."
"Anyway, forward to five months ago. I dated Hope [28f] for a few weeks. Not a big deal. We decided we weren’t feeling it, no chemistry, so we called it quits. And then lo and behold she hits it off with Chad. Of course in true Good Luck Charm fashion, this means Chad is her soulmate. Chad is all googly-eyed over her, they’ve met the parents, they’re ring shopping—and they want to move in together. Immediately.","Based on the provided passage, it appears to be from the book ""Good Luck Charm"" by Jennifer Weiner. The author of the book is Jennifer Weiner.",['chad'],"I so we months move dated feeling they is called a fashion, her chemistry, we deal. Anyway, her, We with she quits. lo forward a want googly-eyed ring decided means weeks. then few all five soulmate. the it Charm course no over Of Chad for weren’t Chad. and Not Hope Chad they’ve in big shopping—and ago. true in they’re to Immediately. [28f] hits it, to met is together. And Luck off this it behold Good parents,","Based on the provided passage, I have made an educated guess about the book and author. The passage appears to be from the novel ""The Wedding Date"" by Jasmine Guillory. The author, Jasmine Guillory, is an American author known for her contemporary romance novels."
"The only problem is that Chad has six more months on our lease but found a perfect new house for him and Hope, and he can’t afford to pay rent on two places at the same time. So he had to make the difficult decision to screw me over or screw her over—and he picked me. Now I have to find a way to cover his rent until the lease is up.","Based on the provided passage, I have made an educated guess about the book and author. The passage seems to be from a work of fiction, likely a novel, given the personal and emotional context. The author is likely a woman, as the narrator is female and the story revolves around her personal life.  After analyzing the passage, I believe it originates from the book ""The Help"" by Kathryn Stockett. The passage describes a situation where the narrator, a",['chad'],"problem pay months screw him six or over lease places perfect he me over—and make to is he cover that house our a rent more and new same a screw only to Now had The have way and is rent found the Hope, Chad decision his but So for on her at two until me. he time. up. afford can’t the the find lease to to to on difficult has picked I","Based on the provided passage, I have made an educated guess about the book and author. The passage appears to be a fragment of a text, possibly from a novel or a short story. The language and style suggest that it might be from a contemporary literary work.  After analyzing the passage, I believe it could be from the book ""The Hitchhiker's Guide to the Galaxy"" by Douglas Adams. The passage seems to be a continuation of a conversation between two characters, possibly"
"I’m annoyed, but I decided to try to find a reason to spend more time outside so I don’t have to stare out my window. I’ve always wanted a dog, but Chad would never agree to it. So I went to a rescue and found the ugliest animal there. The one so hideous, nobody else wanted it. This dog’s got an underbite and mange, and he’s missing half an ear. He’s a little Brussels Griffon, so he’s got that deep frown—he looks like a judgmental gremlin. I adopted him and named him Chad since the dog is now my new best friend. If you’re reading this, you’re dead to me, human Chad. (Not really, I still love the guy.) But I tag him in the captions of every Chad the Dog Instagram post with “Look, a loyal Chad!”","""title"": ""Chad the Dog"",""author"": ""Unknown""",['chad'],"looks He’s Chad!” stare human Chad. Dog an window. it. Chad a never I rescue the a you’re always time every frown—he but nobody ugliest half wanted don’t a he’s still tag is named a adopted with annoyed, judgmental I I to like So But the Instagram him hideous, went him of my guy.) decided else Chad dog I to the so and (Not agree animal missing this, I’m reading got This new would gremlin. an I dead I’ve and the one to that I best so love wanted friend. a a to more there. to me, but really, dog’s it. reason “Look, The ear. spend Griffon, mange, underbite in and you’re found my try post find captions to got now he’s loyal dog, him little Brussels deep out so have Chad the outside since If to and","""title"": ""Book name"",""author"": ""Author name""  Based on the passage provided, it appears to be from a book titled ""The Ugly Dog"" or a similar title, and the author is likely an individual who has written about their experience with a dog named Chad. However, without more context or information, it's difficult to determine the exact title and author."
"I tilted my head so my braid fell to one side and held up four fingers. Maddy didn’t look happy, but she took the picture with my phone, then handed it back to me.","Based on the provided passage, I have made an educated guess about the book and author. The passage seems to be from a young adult novel, possibly a contemporary or realistic fiction book. The style and tone of the passage suggest that it could be from a book that focuses on the relationships and interactions between teenagers.  After analyzing the passage, I believe it could be from the book ""The Perks of Being a Wallflower"" by Stephen Chbosky. The passage describes a scene",['maddy'],"one my Maddy up me. side handed to she my held so but look the then fell I took fingers. tilted four picture with my and didn’t head happy, phone, it braid back to","Based on the provided passage, I have made an educated guess about the book and author. The passage seems to be a fragment of a story, possibly from a young adult or children's book. The writing style and content suggest that it might be from a book that has a strong narrative focus on the protagonist's emotions and interactions.  After analyzing the passage, I believe it could be from the book ""The Giver"" by Lois Lowry. The passage's themes"
"“That dog trusts him,” Maddy said. “And that’s a rescue dog, so that means something. They’re usually all skittish and freaked out.” She went quiet again looking at his wall. “Go down further,” Maddy said. “The billboard.”","""title"": ""The Hitchhiker's Guide to the Galaxy"",""author"": ""Douglas Adams""",['maddy'],"wall. down “Go “That means out.” trusts all something. at She looking that’s so Maddy further,” billboard.” a dog, his said. “And skittish quiet said. him,” dog rescue again and Maddy that “The usually freaked They’re went","""title"": ""Unknown book title"", ""author"": ""Unknown author""  I'm sorry, but I'm having trouble determining the book title and author from the provided passage. The text appears to be a fragment of a story, but it lacks context and specific details that would allow me to make a confident identification. If you could provide more information or context, I'd be happy to try again."
"That night after work Maddy made dinner. Grilled portobello mushrooms and rice pilaf. I did the dishes and cleaned the kitchen, then took a shower and blew out my hair.","""title"": ""Unknown"", ""author"": ""Unknown""",['maddy'],"and out made my Maddy That work and kitchen, dinner. portobello mushrooms the and dishes I shower did a cleaned blew took the then rice hair. after night Grilled pilaf.","""title"": ""Unknown Book Title"",""author"": ""Unknown Author""  The passage provided does not contain enough information to determine the title of the book or the author. The text appears to be a fragment of a recipe or a description of a meal, but it lacks the necessary context to identify the book and its author."
"“Sorry, I had to give Brad his dewormer. I brought some for you too. Faith said you’ve been dragging your ass on the carpet?”","""title"": ""Unknown book title"", ""author"": ""Unknown author""",['brad'],"your “Sorry, give Brad on Faith for you’ve I dewormer. brought had you been the dragging some said to carpet?” too. ass his I","""title"": ""Unknown"",""author"": ""Unknown"""
"My best friend was in a Hawaiian shirt and pink cargo shorts. He was a general manager at Trader Joe’s. I missed not having to go to the grocery store now that he had moved out. Actually, I missed a lot of things now that Brad had moved out. Like having another human to talk to, even if it was this one.","""title"": ""Unknown Book"",""author"": ""Unknown Author""",['brad'],"out. the at this if talk friend shorts. Like he had a having out. now was another that Hawaiian was shirt to, to Trader Actually, moved one. not lot of Brad even I it missed a I My that and to He general was manager grocery a cargo had moved things human to go store Joe’s. having pink best now missed in","Based on the provided passage, I have made an educated guess about the book and author. The passage appears to be a fragment of a story, and the context suggests that it might be from a novel. After analyzing the passage, I believe it could be from the book ""The Great Gatsby"" by F. Scott Fitzgerald. The author's name is F. Scott Fitzgerald."
"“This is true,” Brad said, looking at his phone. “We are assholes. But only to each other. It’s the foundation of our friendship.”","Based on the provided passage, I have made an educated guess about the book and author. The passage seems to be from a book that explores the complexities of friendship and relationships. Given the content, I would guess that the book is ""The Hitchhiker's Guide to the Galaxy"" by Douglas Adams. The author, Douglas Adams, is known for his humorous and satirical writing style, which is reflected in the passage. However, please note that this is a guess,",['brad'],"foundation Brad the phone. of But assholes. his It’s “We true,” other. our at looking are each said, friendship.” to “This is only","""title"": ""Unknown book title"", ""author"": ""Unknown author""  I'm sorry, but I'm having trouble determining the book title and author from the provided passage. The text appears to be a fragment of a sentence, and without more context or information, it's difficult to make an accurate guess. If you could provide more of the passage or any additional details, I'd be happy to try again."
