,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,70.0,71.66666666666667,60.0,6.666666666666667,3.3333333333333335,1.6666666666666667,0.0,0.0,16.666666666666664,1.6666666666666667,21.666666666666668,33.33333333333333,45.0,1.6666666666666667,0.0,0.0,0.0,0.0,1.6666666666666667,0.0
A Tale of Two Cities,91.0,65.0,67.0,43.0,9.0,15.0,6.0,21.0,25.0,18.0,66.0,43.0,39.0,41.0,9.0,12.0,4.0,16.0,3.0,7.000000000000001
A thousand splendid suns,6.382978723404255,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,55.00000000000001,36.0,35.0,10.0,0.0,0.0,1.0,6.0,2.0,0.0,42.0,11.0,15.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Adventures of Sherlock Holmes,56.99999999999999,49.0,50.0,48.0,6.0,5.0,0.0,15.0,20.0,3.0,38.0,34.0,42.0,38.0,3.0,7.000000000000001,0.0,5.0,2.0,1.0
Alice in Wonderland,100.0,82.6086956521739,82.6086956521739,76.08695652173914,21.73913043478261,19.565217391304348,6.521739130434782,15.217391304347828,71.73913043478261,6.521739130434782,97.82608695652173,69.56521739130434,93.47826086956522,71.73913043478261,10.869565217391305,10.869565217391305,2.1739130434782608,21.73913043478261,34.78260869565217,0.0
Dracula,47.77777777777778,34.44444444444444,34.44444444444444,28.888888888888886,13.333333333333334,12.222222222222221,6.666666666666667,17.77777777777778,11.11111111111111,5.555555555555555,22.22222222222222,13.333333333333334,12.222222222222221,11.11111111111111,3.3333333333333335,1.1111111111111112,0.0,4.444444444444445,3.3333333333333335,1.1111111111111112
Dune,24.0,22.0,21.0,15.0,2.0,8.0,0.0,2.0,0.0,0.0,16.0,13.0,20.0,12.0,2.0,3.0,1.0,1.0,0.0,0.0
Fahrenheit 451,18.823529411764707,20.0,12.941176470588237,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,7.0588235294117645,12.941176470588237,5.88235294117647,5.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,37.254901960784316,31.372549019607842,29.411764705882355,15.686274509803921,5.88235294117647,7.8431372549019605,3.9215686274509802,3.9215686274509802,1.9607843137254901,5.88235294117647,39.21568627450981,27.450980392156865,23.52941176470588,15.686274509803921,3.9215686274509802,5.88235294117647,1.9607843137254901,7.8431372549019605,1.9607843137254901,3.9215686274509802
Harry Potter and the Deathly Hallows,44.0,74.0,70.0,48.0,11.0,4.0,3.0,12.0,10.0,5.0,44.0,64.0,62.0,51.0,8.0,3.0,3.0,8.0,6.0,4.0
Of Mice and Men,14.583333333333334,6.25,2.083333333333333,2.083333333333333,0.0,2.083333333333333,0.0,0.0,0.0,0.0,14.583333333333334,4.166666666666666,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,6.578947368421052,7.894736842105263,1.3157894736842104,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,23.711340206185564,0.0,1.0309278350515463,1.0309278350515463,0.0,1.0309278350515463,0.0,0.0,0.0,0.0,8.24742268041237,1.0309278350515463,1.0309278350515463,0.0,1.0309278350515463,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,82.0,64.0,49.0,30.0,2.0,4.0,0.0,7.000000000000001,9.0,0.0,68.0,46.0,43.0,23.0,2.0,5.0,0.0,3.0,0.0,0.0
Sense and sensibility,59.0,48.0,34.0,16.0,3.0,2.0,0.0,5.0,0.0,0.0,38.0,27.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
The Boy in the Striped Pyjamas,41.0,13.0,9.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,70.37037037037037,44.44444444444444,37.03703703703704,35.18518518518518,9.25925925925926,12.962962962962962,0.0,20.37037037037037,12.962962962962962,7.4074074074074066,48.148148148148145,22.22222222222222,29.629629629629626,25.925925925925924,1.8518518518518516,3.7037037037037033,0.0,11.11111111111111,7.4074074074074066,1.8518518518518516
The Handmaid s Tale,39.0,12.0,12.0,15.0,1.0,4.0,0.0,6.0,0.0,1.0,8.0,1.0,0.0,8.0,2.0,8.0,0.0,1.0,0.0,0.0
The Picture of Dorian Gray,76.71232876712328,76.71232876712328,73.97260273972603,38.35616438356164,1.36986301369863,2.73972602739726,1.36986301369863,4.10958904109589,41.0958904109589,2.73972602739726,36.986301369863014,42.465753424657535,45.20547945205479,13.698630136986301,0.0,0.0,0.0,0.0,4.10958904109589,0.0
