,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,30.0,33.33333333333333,13.333333333333334,8.333333333333332,8.333333333333332,10.0,1.6666666666666667,5.0,5.0,13.333333333333334,15.0,15.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,8.333333333333332,1.6666666666666667,3.3333333333333335,5.0,5.0
A Tale of Two Cities,5.0,7.000000000000001,13.0,8.0,4.0,4.0,2.0,2.0,0.0,4.0,4.0,6.0,11.0,7.000000000000001,3.0,3.0,2.0,4.0,0.0,4.0
A thousand splendid suns,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,24.0,7.000000000000001,11.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,2.0,7.000000000000001,0.0,0.0,2.0,0.0
Adventures of Sherlock Holmes,11.0,4.0,4.0,5.0,1.0,4.0,2.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Alice in Wonderland,91.30434782608695,36.95652173913043,34.78260869565217,21.73913043478261,21.73913043478261,36.95652173913043,6.521739130434782,21.73913043478261,6.521739130434782,28.26086956521739,23.91304347826087,17.391304347826086,19.565217391304348,15.217391304347828,15.217391304347828,21.73913043478261,2.1739130434782608,10.869565217391305,4.3478260869565215,10.869565217391305
Dracula,3.3333333333333335,3.3333333333333335,7.777777777777778,8.88888888888889,1.1111111111111112,1.1111111111111112,0.0,1.1111111111111112,1.1111111111111112,3.3333333333333335,3.3333333333333335,2.2222222222222223,3.3333333333333335,5.555555555555555,2.2222222222222223,3.3333333333333335,0.0,0.0,1.1111111111111112,1.1111111111111112
Dune,19.0,20.0,22.0,19.0,15.0,18.0,7.000000000000001,16.0,3.0,14.000000000000002,12.0,13.0,17.0,16.0,14.000000000000002,17.0,5.0,15.0,2.0,8.0
Fahrenheit 451,1.6666666666666667,21.666666666666668,10.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,8.333333333333332,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,15.686274509803921,5.88235294117647,1.9607843137254901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Potter and the Deathly Hallows,7.000000000000001,19.0,12.0,6.0,3.0,2.0,1.0,3.0,4.0,5.0,5.0,12.0,11.0,8.0,3.0,1.0,1.0,6.0,1.0,4.0
Of Mice and Men,6.25,6.25,4.166666666666666,4.166666666666666,2.083333333333333,2.083333333333333,2.083333333333333,0.0,0.0,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333,2.083333333333333,0.0,2.083333333333333,0.0,0.0,2.083333333333333
Percy Jackson The Lightning Thief,0.0,0.0,0.0,1.0309278350515463,0.0,1.0309278350515463,0.0,0.0,0.0,1.0309278350515463,0.0,0.0,1.0309278350515463,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,0.0
Pride and Prejudice,24.0,22.0,13.0,8.0,6.0,7.000000000000001,1.0,6.0,0.0,7.000000000000001,7.000000000000001,19.0,11.0,6.0,6.0,7.000000000000001,1.0,6.0,0.0,5.0
Sense and sensibility,2.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
The Boy in the Striped Pyjamas,3.0927835051546393,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,35.18518518518518,31.48148148148148,31.48148148148148,55.55555555555556,29.629629629629626,48.148148148148145,9.25925925925926,22.22222222222222,29.629629629629626,42.592592592592595,35.18518518518518,27.77777777777778,27.77777777777778,55.55555555555556,20.37037037037037,35.18518518518518,12.962962962962962,12.962962962962962,25.925925925925924,22.22222222222222
The Handmaid s Tale,5.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,38.35616438356164,34.24657534246575,50.68493150684932,1.36986301369863,6.8493150684931505,5.47945205479452,0.0,2.73972602739726,4.10958904109589,6.8493150684931505,21.91780821917808,17.80821917808219,47.94520547945205,2.73972602739726,5.47945205479452,2.73972602739726,0.0,1.36986301369863,2.73972602739726,1.36986301369863
