,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,78.33333333333333,58.333333333333336,61.66666666666667,40.0,25.0,30.0,15.0,5.0,41.66666666666667,23.333333333333332,33.33333333333333,21.666666666666668,20.0,8.333333333333332,10.0,8.333333333333332,5.0,1.6666666666666667,15.0,10.0
A Tale of Two Cities,55.00000000000001,23.0,30.0,26.0,17.0,16.0,4.0,8.0,16.0,13.0,32.0,10.0,13.0,10.0,8.0,10.0,3.0,5.0,7.000000000000001,9.0
A thousand splendid suns,4.25531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,75.0,73.0,53.0,41.0,56.00000000000001,40.0,25.0,27.0,57.99999999999999,40.0,81.0,36.0,28.999999999999996,19.0,35.0,42.0,11.0,15.0,45.0,21.0
Adventures of Sherlock Holmes,26.0,16.0,9.0,10.0,3.0,3.0,4.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,91.30434782608695,58.69565217391305,39.130434782608695,45.65217391304348,34.78260869565217,30.434782608695656,21.73913043478261,6.521739130434782,52.17391304347826,34.78260869565217,56.52173913043478,23.91304347826087,28.26086956521739,13.043478260869565,0.0,0.0,0.0,0.0,0.0,0.0
Dracula,82.22222222222221,64.44444444444444,47.77777777777778,27.77777777777778,27.77777777777778,21.11111111111111,6.666666666666667,7.777777777777778,36.666666666666664,25.555555555555554,40.0,14.444444444444443,13.333333333333334,5.555555555555555,11.11111111111111,10.0,2.2222222222222223,3.3333333333333335,8.88888888888889,13.333333333333334
Dune,67.0,44.0,36.0,30.0,12.0,15.0,7.000000000000001,7.000000000000001,12.0,16.0,33.0,22.0,23.0,11.0,11.0,13.0,4.0,7.000000000000001,12.0,10.0
Fahrenheit 451,28.333333333333332,15.0,20.0,13.333333333333334,3.3333333333333335,1.6666666666666667,3.3333333333333335,1.6666666666666667,16.666666666666664,3.3333333333333335,16.666666666666664,8.333333333333332,10.0,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,6.666666666666667,1.6666666666666667
Frankenstein,91.66666666666666,58.333333333333336,54.166666666666664,45.83333333333333,25.0,20.833333333333336,12.5,14.583333333333334,35.41666666666667,25.0,66.66666666666666,33.33333333333333,29.166666666666668,12.5,10.416666666666668,14.583333333333334,10.416666666666668,12.5,16.666666666666664,12.5
Harry Potter and the Deathly Hallows,37.0,19.0,16.0,43.0,14.000000000000002,18.0,3.0,7.000000000000001,11.0,12.0,25.0,7.000000000000001,7.000000000000001,4.0,11.0,16.0,3.0,6.0,7.000000000000001,12.0
Of Mice and Men,72.91666666666666,8.333333333333332,14.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.583333333333334,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percy Jackson The Lightning Thief,8.421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,92.92929292929293,72.72727272727273,70.70707070707071,61.61616161616161,41.41414141414141,37.37373737373738,24.242424242424242,17.17171717171717,63.63636363636363,55.55555555555556,97.97979797979798,68.68686868686868,49.494949494949495,16.161616161616163,23.232323232323232,16.161616161616163,26.262626262626267,11.11111111111111,52.52525252525253,33.33333333333333
Sense and sensibility,23.0,36.0,20.0,47.0,24.0,24.0,17.0,5.0,34.0,22.0,10.0,43.0,32.0,15.0,7.000000000000001,13.0,13.0,3.0,42.0,12.0
The Boy in the Striped Pyjamas,11.0,8.0,4.0,7.000000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,83.33333333333334,59.25925925925925,51.85185185185185,72.22222222222221,44.44444444444444,46.2962962962963,35.18518518518518,18.51851851851852,53.70370370370371,59.25925925925925,55.55555555555556,59.25925925925925,42.592592592592595,42.592592592592595,35.18518518518518,31.48148148148148,20.37037037037037,14.814814814814813,40.74074074074074,40.74074074074074
The Handmaid s Tale,80.0,49.0,40.0,22.0,6.0,7.000000000000001,4.0,3.0,14.000000000000002,4.0,11.0,11.0,13.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0
The Picture of Dorian Gray,78.08219178082192,61.64383561643836,43.83561643835616,57.534246575342465,26.027397260273972,30.136986301369863,23.28767123287671,15.068493150684931,34.24657534246575,26.027397260273972,38.35616438356164,38.35616438356164,34.24657534246575,13.698630136986301,17.80821917808219,30.136986301369863,19.17808219178082,5.47945205479452,24.65753424657534,15.068493150684931
