,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,93.33333333333333,95.0,96.66666666666667,95.0,86.66666666666667,88.33333333333333,61.66666666666667,38.333333333333336,88.33333333333333,86.66666666666667,90.0,93.33333333333333,95.0,88.33333333333333,81.66666666666667,85.0,58.333333333333336,31.666666666666664,63.33333333333333,83.33333333333334
A Tale of Two Cities,100.0,82.0,98.0,99.0,75.0,97.0,53.0,90.0,73.0,94.0,97.0,78.0,99.0,96.0,73.0,97.0,51.0,87.0,39.0,92.0
A thousand splendid suns,72.3404255319149,42.5531914893617,2.127659574468085,42.5531914893617,10.638297872340425,4.25531914893617,4.25531914893617,8.51063829787234,14.893617021276595,19.148936170212767,38.297872340425535,6.382978723404255,2.127659574468085,0.0,2.127659574468085,0.0,2.127659574468085,0.0,0.0,8.51063829787234
Adventures of Huckleberry Finn,71.0,67.0,55.00000000000001,70.0,59.0,74.0,34.0,61.0,47.0,53.0,74.0,64.0,57.99999999999999,66.0,55.00000000000001,69.0,30.0,62.0,52.0,56.00000000000001
Adventures of Sherlock Holmes,20.0,23.0,25.0,42.0,37.0,51.0,14.000000000000002,48.0,36.0,47.0,38.0,44.0,46.0,55.00000000000001,33.0,53.0,10.0,40.0,41.0,40.0
Alice in Wonderland,100.0,100.0,97.82608695652173,97.82608695652173,80.43478260869566,100.0,54.347826086956516,93.47826086956522,100.0,97.82608695652173,97.82608695652173,97.82608695652173,97.82608695652173,97.82608695652173,78.26086956521739,97.82608695652173,47.82608695652174,93.47826086956522,89.13043478260869,100.0
Dracula,93.33333333333333,94.44444444444444,93.33333333333333,76.66666666666667,66.66666666666666,81.11111111111111,33.33333333333333,60.0,72.22222222222221,72.22222222222221,85.55555555555556,74.44444444444444,84.44444444444444,68.88888888888889,47.77777777777778,62.22222222222222,21.11111111111111,42.22222222222222,47.77777777777778,60.0
Dune,96.0,85.0,82.0,76.0,34.0,56.00000000000001,17.0,20.0,38.0,36.0,65.0,55.00000000000001,55.00000000000001,27.0,19.0,27.0,12.0,16.0,16.0,23.0
Fahrenheit 451,90.58823529411765,90.58823529411765,96.47058823529412,94.11764705882352,40.0,85.88235294117646,11.76470588235294,77.64705882352942,75.29411764705883,84.70588235294117,85.88235294117646,89.41176470588236,87.05882352941177,75.29411764705883,10.588235294117647,24.705882352941178,7.0588235294117645,23.52941176470588,22.35294117647059,24.705882352941178
Frankenstein,100.0,96.07843137254902,92.15686274509804,90.19607843137256,66.66666666666666,78.43137254901961,49.01960784313725,60.78431372549019,72.54901960784314,74.50980392156863,86.27450980392157,78.43137254901961,66.66666666666666,49.01960784313725,41.17647058823529,60.78431372549019,33.33333333333333,45.09803921568628,50.98039215686274,56.86274509803921
Harry Potter and the Deathly Hallows,37.0,30.0,28.999999999999996,39.0,32.0,62.0,19.0,25.0,22.0,25.0,26.0,27.0,41.0,50.0,37.0,85.0,32.0,33.0,21.0,17.0
Of Mice and Men,95.83333333333334,93.75,97.91666666666666,45.83333333333333,39.58333333333333,14.583333333333334,18.75,37.5,52.083333333333336,39.58333333333333,95.83333333333334,25.0,35.41666666666667,2.083333333333333,10.416666666666668,0.0,0.0,16.666666666666664,0.0,29.166666666666668
Percy Jackson The Lightning Thief,60.824742268041234,38.144329896907216,19.587628865979383,5.154639175257731,7.216494845360824,3.0927835051546393,3.0927835051546393,3.0927835051546393,6.185567010309279,6.185567010309279,24.742268041237114,3.0927835051546393,2.0618556701030926,0.0,1.0309278350515463,0.0,0.0,1.0309278350515463,1.0309278350515463,4.123711340206185
Pride and Prejudice,96.0,95.0,94.0,92.0,81.0,94.0,48.0,76.0,94.0,89.0,96.0,93.0,90.0,85.0,77.0,84.0,63.0,75.0,85.0,86.0
Sense and sensibility,91.0,90.0,83.0,86.0,61.0,74.0,44.0,44.0,66.0,65.0,83.0,79.0,76.0,78.0,56.00000000000001,80.0,49.0,44.0,61.0,56.99999999999999
The Boy in the Striped Pyjamas,69.0,62.0,74.0,74.0,26.0,67.0,10.0,0.0,59.0,32.0,49.0,25.0,62.0,57.99999999999999,4.0,16.0,4.0,0.0,35.0,2.0
The Great Gatsby,98.14814814814815,90.74074074074075,92.5925925925926,92.5925925925926,66.66666666666666,74.07407407407408,57.407407407407405,48.148148148148145,77.77777777777779,79.62962962962963,90.74074074074075,87.03703703703704,85.18518518518519,79.62962962962963,64.81481481481481,74.07407407407408,46.2962962962963,44.44444444444444,70.37037037037037,72.22222222222221
The Handmaid s Tale,94.0,81.0,69.0,52.0,22.0,55.00000000000001,13.0,22.0,32.0,33.0,32.0,26.0,26.0,19.0,9.0,18.0,1.0,9.0,9.0,10.0
The Picture of Dorian Gray,90.41095890410958,91.78082191780823,84.93150684931507,84.93150684931507,57.534246575342465,60.273972602739725,39.726027397260275,53.42465753424658,79.45205479452055,67.12328767123287,67.12328767123287,67.12328767123287,68.4931506849315,60.273972602739725,45.20547945205479,50.68493150684932,36.986301369863014,32.87671232876712,52.054794520547944,50.68493150684932
