,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,73.33333333333333,60.0,53.333333333333336,31.666666666666664,26.666666666666668,26.666666666666668,11.666666666666666,8.333333333333332,33.33333333333333,33.33333333333333,38.333333333333336,38.333333333333336,30.0,8.333333333333332,16.666666666666664,13.333333333333334,6.666666666666667,6.666666666666667,16.666666666666664,20.0
A Tale of Two Cities,68.0,38.0,43.0,31.0,21.0,22.0,10.0,4.0,28.000000000000004,22.0,28.999999999999996,19.0,24.0,15.0,8.0,10.0,6.0,5.0,9.0,9.0
A thousand splendid suns,6.382978723404255,4.25531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,87.0,53.0,27.0,20.0,15.0,25.0,14.000000000000002,11.0,30.0,16.0,69.0,11.0,12.0,3.0,15.0,16.0,6.0,3.0,6.0,6.0
Adventures of Sherlock Holmes,42.0,41.0,39.0,46.0,20.0,20.0,10.0,10.0,38.0,11.0,16.0,15.0,19.0,11.0,7.000000000000001,4.0,7.000000000000001,3.0,10.0,4.0
Alice in Wonderland,97.82608695652173,91.30434782608695,69.56521739130434,58.69565217391305,47.82608695652174,60.86956521739131,21.73913043478261,30.434782608695656,67.3913043478261,71.73913043478261,82.6086956521739,52.17391304347826,58.69565217391305,28.26086956521739,34.78260869565217,41.30434782608695,10.869565217391305,23.91304347826087,34.78260869565217,56.52173913043478
Dracula,87.77777777777777,74.44444444444444,58.88888888888889,46.666666666666664,23.333333333333332,24.444444444444443,5.555555555555555,5.555555555555555,27.77777777777778,20.0,41.11111111111111,22.22222222222222,30.0,22.22222222222222,18.88888888888889,13.333333333333334,5.555555555555555,3.3333333333333335,8.88888888888889,17.77777777777778
Dune,82.0,65.0,63.0,46.0,20.0,27.0,11.0,18.0,21.0,28.999999999999996,47.0,34.0,46.0,22.0,23.0,26.0,10.0,17.0,11.0,26.0
Fahrenheit 451,30.0,48.333333333333336,35.0,5.0,8.333333333333332,10.0,5.0,6.666666666666667,10.0,10.0,16.666666666666664,33.33333333333333,21.666666666666668,1.6666666666666667,3.3333333333333335,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667
Frankenstein,92.15686274509804,78.43137254901961,62.745098039215684,45.09803921568628,25.49019607843137,15.686274509803921,9.803921568627452,5.88235294117647,47.05882352941176,31.372549019607842,82.35294117647058,31.372549019607842,13.725490196078432,3.9215686274509802,5.88235294117647,5.88235294117647,1.9607843137254901,1.9607843137254901,5.88235294117647,11.76470588235294
Harry Potter and the Deathly Hallows,55.00000000000001,49.0,46.0,50.0,26.0,31.0,13.0,22.0,28.999999999999996,34.0,26.0,48.0,32.0,27.0,24.0,28.999999999999996,10.0,20.0,16.0,27.0
Of Mice and Men,56.25,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,31.57894736842105,34.21052631578947,32.89473684210527,40.78947368421053,9.210526315789473,14.473684210526317,1.3157894736842104,3.9473684210526314,6.578947368421052,13.157894736842104,17.105263157894736,15.789473684210526,30.263157894736842,31.57894736842105,5.263157894736842,6.578947368421052,2.631578947368421,0.0,1.3157894736842104,3.9473684210526314
Percy Jackson The Lightning Thief,15.463917525773196,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,1.0309278350515463,1.0309278350515463,0.0,1.0309278350515463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,97.0,85.0,72.0,51.0,27.0,18.0,12.0,8.0,44.0,40.0,96.0,61.0,46.0,12.0,15.0,10.0,5.0,8.0,12.0,12.0
Sense and sensibility,38.0,66.0,60.0,44.0,24.0,13.0,10.0,6.0,54.0,35.0,23.0,56.99999999999999,38.0,12.0,7.000000000000001,8.0,4.0,3.0,16.0,17.0
The Boy in the Striped Pyjamas,17.525773195876287,12.371134020618557,6.185567010309279,16.49484536082474,0.0,4.123711340206185,1.0309278350515463,0.0,2.0618556701030926,2.0618556701030926,5.154639175257731,7.216494845360824,5.154639175257731,8.24742268041237,2.0618556701030926,4.123711340206185,2.0618556701030926,0.0,1.0309278350515463,2.0618556701030926
The Great Gatsby,87.03703703703704,0.0,0.0,77.77777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Handmaid s Tale,54.0,45.0,36.0,13.0,0.0,6.0,0.0,0.0,10.0,3.0,13.0,9.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
The Picture of Dorian Gray,82.1917808219178,76.71232876712328,71.23287671232876,52.054794520547944,21.91780821917808,30.136986301369863,15.068493150684931,5.47945205479452,45.20547945205479,24.65753424657534,38.35616438356164,54.794520547945204,57.534246575342465,4.10958904109589,16.43835616438356,4.10958904109589,5.47945205479452,4.10958904109589,17.80821917808219,5.47945205479452
