Title,en_results_title_match,en_results_author_match,en_results_both_match,es_results_title_match,es_results_author_match,es_results_both_match,tr_results_title_match,tr_results_author_match,tr_results_both_match,vi_results_title_match,vi_results_author_match,vi_results_both_match
Percy_Jackson_The_Lightning_Thief,47.42268041237113,67.0103092783505,47.42268041237113,2.0618556701030926,50.51546391752577,2.0618556701030926,0.0,49.48453608247423,0.0,1.0309278350515463,42.2680412371134,1.0309278350515463
Adventures_of_Sherlock_Holmes,7.000000000000001,28.999999999999996,0.0,16.0,3.0,0.0,8.0,9.0,0.0,4.0,12.0,0.0
Frankenstein,98.0392156862745,98.0392156862745,98.0392156862745,98.0392156862745,98.0392156862745,98.0392156862745,84.31372549019608,84.31372549019608,84.31372549019608,80.3921568627451,80.3921568627451,80.3921568627451
Dune,84.0,84.0,84.0,81.0,81.0,81.0,68.0,69.0,68.0,59.0,59.0,59.0
Harry_Potter_and_the_Deathly_Hallows,33.0,99.0,33.0,5.0,95.0,5.0,14.000000000000002,92.0,14.000000000000002,7.000000000000001,93.0,7.000000000000001
Sense_and_sensibility,90.0,98.0,90.0,84.0,93.0,84.0,6.0,92.0,6.0,21.0,71.0,21.0
A_thousand_splendid_suns,68.08510638297872,78.72340425531915,68.08510638297872,25.53191489361702,42.5531914893617,25.53191489361702,2.127659574468085,2.127659574468085,2.127659574468085,6.382978723404255,80.85106382978722,6.382978723404255
A_Tale_of_Two_Cities,99.0,100.0,99.0,73.0,76.0,73.0,6.0,96.0,6.0,50.0,87.0,48.0
The_Boy_in_the_Striped_Pyjamas,57.99999999999999,57.99999999999999,57.99999999999999,12.0,21.0,12.0,51.0,56.99999999999999,51.0,45.0,62.0,45.0
1984,91.66666666666666,91.66666666666666,91.66666666666666,95.0,95.0,95.0,93.33333333333333,95.0,93.33333333333333,88.33333333333333,88.33333333333333,88.33333333333333
Alice_in_Wonderland,100.0,100.0,100.0,100.0,100.0,100.0,97.82608695652173,97.82608695652173,97.82608695652173,0.0,100.0,0.0
Adventures_of_Huckleberry_Finn,59.0,98.0,59.0,43.0,84.0,43.0,28.000000000000004,70.0,28.000000000000004,33.0,64.0,33.0
Dracula,93.33333333333333,93.33333333333333,93.33333333333333,91.11111111111111,91.11111111111111,91.11111111111111,60.0,90.0,60.0,13.333333333333334,75.55555555555556,13.333333333333334
The_Handmaid_s_Tale,80.0,82.0,80.0,46.0,46.0,46.0,32.0,33.0,32.0,20.0,21.0,20.0
Pride_and_Prejudice,97.0,98.0,97.0,92.0,93.0,92.0,50.0,90.0,50.0,79.0,82.0,79.0
The_Picture_of_Dorian_Gray,89.04109589041096,89.04109589041096,89.04109589041096,84.93150684931507,84.93150684931507,84.93150684931507,78.08219178082192,78.08219178082192,78.08219178082192,60.273972602739725,68.4931506849315,60.273972602739725
Of_Mice_and_Men,97.91666666666666,97.91666666666666,97.91666666666666,72.91666666666666,81.25,72.91666666666666,52.083333333333336,64.58333333333334,52.083333333333336,60.416666666666664,60.416666666666664,60.416666666666664
The_Great_Gatsby,96.29629629629629,98.14814814814815,96.29629629629629,81.48148148148148,81.48148148148148,81.48148148148148,9.25925925925926,74.07407407407408,9.25925925925926,57.407407407407405,85.18518518518519,57.407407407407405
