,en,es,tr,vi,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled
1984,71.66666666666667,68.33333333333333,55.00000000000001,46.666666666666664,38.333333333333336,38.333333333333336,43.333333333333336,8.333333333333332
A Tale of Two Cities,55.00000000000001,18.0,2.0,19.0,15.0,15.0,16.0,17.0
A thousand splendid suns,10.638297872340425,10.638297872340425,2.127659574468085,4.25531914893617,6.382978723404255,14.893617021276595,0.0,8.51063829787234
Adventures of Huckleberry Finn,65.0,12.0,14.000000000000002,7.000000000000001,62.0,4.0,4.0,2.0
Adventures of Sherlock Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,97.82608695652173,80.43478260869566,80.43478260869566,45.65217391304348,76.08695652173914,50.0,69.56521739130434,36.95652173913043
Dracula,72.22222222222221,60.0,36.666666666666664,4.444444444444445,31.11111111111111,24.444444444444443,23.333333333333332,21.11111111111111
Dune,66.0,41.0,56.99999999999999,28.999999999999996,39.0,27.0,38.0,20.0
Fahrenheit 451,30.0,46.666666666666664,28.333333333333332,5.0,11.666666666666666,36.666666666666664,26.666666666666668,3.3333333333333335
Frankenstein,90.19607843137256,76.47058823529412,49.01960784313725,47.05882352941176,66.66666666666666,31.372549019607842,19.607843137254903,1.9607843137254901
Harry Potter and the Deathly Hallows,25.0,6.0,6.0,7.000000000000001,10.0,2.0,3.0,1.0
Of Mice and Men,68.75,20.833333333333336,6.25,16.666666666666664,29.166666666666668,8.333333333333332,16.666666666666664,4.166666666666666
Paper Towns,11.842105263157894,11.842105263157894,11.842105263157894,0.0,9.210526315789473,0.0,15.789473684210526,18.421052631578945
Percy Jackson The Lightning Thief,22.68041237113402,0.0,0.0,2.0618556701030926,11.34020618556701,1.0309278350515463,2.0618556701030926,8.24742268041237
Pride and Prejudice,89.0,57.99999999999999,35.0,22.0,86.0,39.0,40.0,13.0
Sense and sensibility,28.000000000000004,17.0,7.000000000000001,8.0,10.0,12.0,13.0,5.0
The Boy in the Striped Pyjamas,7.216494845360824,0.0,3.0927835051546393,8.24742268041237,3.0927835051546393,1.0309278350515463,4.123711340206185,3.0927835051546393
The Great Gatsby,87.03703703703704,50.0,22.22222222222222,57.407407407407405,46.2962962962963,38.88888888888889,51.85185185185185,57.407407407407405
The Handmaid s Tale,70.0,28.000000000000004,17.0,3.0,4.0,0.0,2.0,1.0
The Picture of Dorian Gray,60.273972602739725,45.20547945205479,57.534246575342465,30.136986301369863,27.397260273972602,27.397260273972602,52.054794520547944,2.73972602739726
