,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,76.66666666666667,56.666666666666664,48.333333333333336,13.333333333333334,20.0,21.666666666666668,11.666666666666666,5.0,21.666666666666668,21.666666666666668,45.0,33.33333333333333,30.0,6.666666666666667,10.0,10.0,8.333333333333332,5.0,8.333333333333332,13.333333333333334
A Tale of Two Cities,57.99999999999999,11.0,1.0,2.0,8.0,5.0,4.0,5.0,4.0,3.0,14.000000000000002,11.0,2.0,14.000000000000002,4.0,5.0,3.0,4.0,2.0,4.0
A thousand splendid suns,12.76595744680851,8.51063829787234,2.127659574468085,6.382978723404255,2.127659574468085,2.127659574468085,2.127659574468085,2.127659574468085,0.0,2.127659574468085,2.127659574468085,10.638297872340425,0.0,2.127659574468085,2.127659574468085,0.0,0.0,0.0,0.0,2.127659574468085
Adventures of Huckleberry Finn,71.0,9.0,2.0,2.0,12.0,7.000000000000001,1.0,0.0,6.0,7.000000000000001,53.0,1.0,4.0,0.0,3.0,1.0,3.0,0.0,1.0,3.0
Adventures of Sherlock Holmes,7.000000000000001,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,97.82608695652173,78.26086956521739,67.3913043478261,47.82608695652174,34.78260869565217,50.0,10.869565217391305,23.91304347826087,39.130434782608695,52.17391304347826,78.26086956521739,30.434782608695656,50.0,32.608695652173914,21.73913043478261,26.08695652173913,4.3478260869565215,13.043478260869565,10.869565217391305,34.78260869565217
Dracula,78.88888888888889,56.666666666666664,13.333333333333334,0.0,22.22222222222222,13.333333333333334,4.444444444444445,2.2222222222222223,8.88888888888889,14.444444444444443,26.666666666666668,18.88888888888889,18.88888888888889,14.444444444444443,6.666666666666667,8.88888888888889,4.444444444444445,1.1111111111111112,5.555555555555555,5.555555555555555
Dune,76.0,47.0,54.0,28.999999999999996,22.0,22.0,11.0,17.0,6.0,27.0,50.0,31.0,39.0,20.0,21.0,23.0,9.0,16.0,2.0,25.0
Fahrenheit 451,26.666666666666668,40.0,28.333333333333332,5.0,6.666666666666667,6.666666666666667,5.0,5.0,5.0,6.666666666666667,10.0,33.33333333333333,23.333333333333332,3.3333333333333335,3.3333333333333335,5.0,3.3333333333333335,3.3333333333333335,1.6666666666666667,3.3333333333333335
Frankenstein,90.19607843137256,68.62745098039215,37.254901960784316,39.21568627450981,9.803921568627452,5.88235294117647,3.9215686274509802,0.0,5.88235294117647,5.88235294117647,66.66666666666666,17.647058823529413,3.9215686274509802,0.0,1.9607843137254901,0.0,0.0,0.0,0.0,0.0
Harry Potter and the Deathly Hallows,31.0,15.0,7.000000000000001,12.0,8.0,4.0,1.0,2.0,1.0,6.0,13.0,2.0,6.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0
Of Mice and Men,72.91666666666666,16.666666666666664,2.083333333333333,8.333333333333332,6.25,10.416666666666668,6.25,8.333333333333332,2.083333333333333,12.5,31.25,4.166666666666666,8.333333333333332,2.083333333333333,4.166666666666666,6.25,0.0,2.083333333333333,0.0,4.166666666666666
Percy Jackson The Lightning Thief,22.68041237113402,0.0,0.0,0.0,3.0927835051546393,9.278350515463918,4.123711340206185,1.0309278350515463,8.24742268041237,6.185567010309279,8.24742268041237,0.0,0.0,1.0309278350515463,2.0618556701030926,5.154639175257731,1.0309278350515463,1.0309278350515463,0.0,2.0618556701030926
Pride and Prejudice,93.0,61.0,24.0,9.0,10.0,7.000000000000001,6.0,8.0,12.0,10.0,89.0,35.0,21.0,9.0,7.000000000000001,8.0,5.0,6.0,2.0,8.0
Sense and sensibility,26.0,13.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,2.0,18.0,9.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0
The Boy in the Striped Pyjamas,13.402061855670103,3.0927835051546393,1.0309278350515463,4.123711340206185,0.0,0.0,0.0,0.0,1.0309278350515463,0.0,2.0618556701030926,0.0,3.0927835051546393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,83.33333333333334,48.148148148148145,11.11111111111111,5.555555555555555,24.074074074074073,29.629629629629626,12.962962962962962,18.51851851851852,18.51851851851852,29.629629629629626,25.925925925925924,27.77777777777778,25.925925925925924,48.148148148148145,16.666666666666664,16.666666666666664,11.11111111111111,11.11111111111111,7.4074074074074066,14.814814814814813
The Handmaid s Tale,78.0,14.000000000000002,3.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
The Picture of Dorian Gray,56.16438356164384,41.0958904109589,50.68493150684932,4.10958904109589,6.8493150684931505,2.73972602739726,5.47945205479452,0.0,8.21917808219178,4.10958904109589,16.43835616438356,20.54794520547945,46.57534246575342,2.73972602739726,2.73972602739726,1.36986301369863,0.0,0.0,0.0,4.10958904109589
