,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,93.33333333333333,90.0,88.33333333333333,90.0,58.333333333333336,65.0,48.333333333333336,16.666666666666664,25.0,66.66666666666666,80.0,76.66666666666667,88.33333333333333,70.0,50.0,50.0,38.333333333333336,3.3333333333333335,13.333333333333334,50.0
A Tale of Two Cities,74.0,24.0,35.0,48.0,25.0,31.0,10.0,18.0,4.0,24.0,20.0,0.0,8.0,34.0,8.0,17.0,2.0,12.0,1.0,5.0
A thousand splendid suns,27.659574468085108,6.382978723404255,2.127659574468085,21.27659574468085,0.0,0.0,0.0,4.25531914893617,0.0,2.127659574468085,8.51063829787234,2.127659574468085,0.0,12.76595744680851,2.127659574468085,0.0,0.0,6.382978723404255,0.0,2.127659574468085
Adventures of Huckleberry Finn,65.0,37.0,37.0,33.0,19.0,37.0,14.000000000000002,25.0,5.0,36.0,56.99999999999999,28.999999999999996,32.0,21.0,16.0,26.0,12.0,13.0,1.0,36.0
Adventures of Sherlock Holmes,9.0,4.0,12.0,14.000000000000002,20.0,22.0,6.0,19.0,1.0,9.0,3.0,1.0,1.0,35.0,18.0,28.999999999999996,4.0,14.000000000000002,0.0,14.000000000000002
Alice in Wonderland,100.0,91.30434782608695,97.82608695652173,93.47826086956522,78.26086956521739,97.82608695652173,45.65217391304348,93.47826086956522,78.26086956521739,100.0,97.82608695652173,91.30434782608695,97.82608695652173,80.43478260869566,78.26086956521739,97.82608695652173,45.65217391304348,93.47826086956522,67.3913043478261,97.82608695652173
Dracula,88.88888888888889,73.33333333333333,65.55555555555556,40.0,43.333333333333336,37.77777777777778,20.0,28.888888888888886,14.444444444444443,44.44444444444444,45.55555555555556,38.88888888888889,34.44444444444444,28.888888888888886,36.666666666666664,32.22222222222222,17.77777777777778,24.444444444444443,4.444444444444445,34.44444444444444
Dune,78.0,43.0,40.0,35.0,5.0,1.0,4.0,1.0,0.0,4.0,21.0,2.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Fahrenheit 451,47.05882352941176,61.1764705882353,51.76470588235295,56.470588235294116,0.0,1.1764705882352942,2.3529411764705883,1.1764705882352942,1.1764705882352942,0.0,21.176470588235293,9.411764705882353,37.64705882352941,22.35294117647059,0.0,0.0,1.1764705882352942,0.0,0.0,0.0
Frankenstein,90.19607843137256,52.94117647058824,45.09803921568628,52.94117647058824,13.725490196078432,17.647058823529413,13.725490196078432,9.803921568627452,17.647058823529413,9.803921568627452,49.01960784313725,17.647058823529413,17.647058823529413,23.52941176470588,13.725490196078432,13.725490196078432,7.8431372549019605,7.8431372549019605,7.8431372549019605,9.803921568627452
Harry Potter and the Deathly Hallows,43.0,3.0,12.0,8.0,1.0,1.0,2.0,1.0,0.0,2.0,9.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Of Mice and Men,93.75,10.416666666666668,20.833333333333336,31.25,18.75,14.583333333333334,16.666666666666664,31.25,0.0,31.25,64.58333333333334,2.083333333333333,39.58333333333333,25.0,10.416666666666668,4.166666666666666,14.583333333333334,14.583333333333334,0.0,27.083333333333332
Paper Towns,19.736842105263158,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,21.649484536082475,2.0618556701030926,1.0309278350515463,1.0309278350515463,7.216494845360824,6.185567010309279,7.216494845360824,5.154639175257731,0.0,8.24742268041237,13.402061855670103,1.0309278350515463,0.0,2.0618556701030926,4.123711340206185,5.154639175257731,3.0927835051546393,1.0309278350515463,0.0,5.154639175257731
Pride and Prejudice,97.0,94.0,17.0,83.0,66.0,37.0,19.0,71.0,66.0,80.0,97.0,84.0,91.0,80.0,62.0,14.000000000000002,15.0,64.0,69.0,78.0
Sense and sensibility,75.0,45.0,1.0,17.0,13.0,16.0,7.000000000000001,7.000000000000001,0.0,23.0,32.0,26.0,21.0,21.0,12.0,21.0,6.0,2.0,0.0,18.0
The Boy in the Striped Pyjamas,46.0,9.0,32.0,38.0,5.0,2.0,2.0,0.0,0.0,2.0,31.0,1.0,27.0,27.0,3.0,3.0,1.0,0.0,0.0,2.0
The Great Gatsby,92.5925925925926,66.66666666666666,57.407407407407405,83.33333333333334,42.592592592592595,46.2962962962963,40.74074074074074,38.88888888888889,35.18518518518518,57.407407407407405,64.81481481481481,51.85185185185185,61.111111111111114,62.96296296296296,29.629629629629626,46.2962962962963,40.74074074074074,33.33333333333333,16.666666666666664,53.70370370370371
The Handmaid s Tale,68.0,32.0,23.0,19.0,0.0,4.0,0.0,0.0,2.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
The Picture of Dorian Gray,82.1917808219178,73.97260273972603,75.34246575342466,57.534246575342465,41.0958904109589,50.68493150684932,39.726027397260275,57.534246575342465,35.61643835616438,50.68493150684932,54.794520547945204,46.57534246575342,47.94520547945205,41.0958904109589,39.726027397260275,47.94520547945205,31.506849315068493,57.534246575342465,10.95890410958904,65.75342465753424
