,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,35.0,18.333333333333332,1.6666666666666667,8.333333333333332,3.3333333333333335,8.333333333333332,0.0,5.0,5.0,8.333333333333332,28.333333333333332,20.0,3.3333333333333335,6.666666666666667,3.3333333333333335,5.0,1.6666666666666667,1.6666666666666667,0.0,3.3333333333333335
A Tale of Two Cities,13.0,2.0,4.0,5.0,2.0,1.0,0.0,1.0,2.0,2.0,8.0,3.0,6.0,5.0,0.0,1.0,0.0,1.0,2.0,4.0
A thousand splendid suns,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,53.0,5.0,3.0,5.0,18.0,13.0,5.0,3.0,3.0,4.0,37.0,3.0,2.0,4.0,10.0,8.0,3.0,3.0,2.0,3.0
Adventures of Sherlock Holmes,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,80.43478260869566,17.391304347826086,2.1739130434782608,0.0,10.869565217391305,8.695652173913043,0.0,4.3478260869565215,0.0,4.3478260869565215,50.0,2.1739130434782608,2.1739130434782608,0.0,2.1739130434782608,2.1739130434782608,0.0,2.1739130434782608,0.0,0.0
Dracula,17.77777777777778,11.11111111111111,4.444444444444445,6.666666666666667,6.666666666666667,5.555555555555555,2.2222222222222223,4.444444444444445,1.1111111111111112,3.3333333333333335,10.0,4.444444444444445,3.3333333333333335,4.444444444444445,3.3333333333333335,4.444444444444445,2.2222222222222223,2.2222222222222223,0.0,4.444444444444445
Dune,28.999999999999996,26.0,9.0,11.0,8.0,6.0,4.0,6.0,0.0,9.0,14.000000000000002,8.0,9.0,6.0,5.0,7.000000000000001,4.0,6.0,0.0,6.0
Fahrenheit 451,3.3333333333333335,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0
Frankenstein,37.5,10.416666666666668,4.166666666666666,12.5,4.166666666666666,10.416666666666668,4.166666666666666,4.166666666666666,2.083333333333333,4.166666666666666,22.916666666666664,10.416666666666668,6.25,6.25,2.083333333333333,6.25,4.166666666666666,6.25,0.0,2.083333333333333
Harry Potter and the Deathly Hallows,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Of Mice and Men,22.916666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percy Jackson The Lightning Thief,5.263157894736842,4.2105263157894735,0.0,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1052631578947367,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,56.56565656565656,37.37373737373738,12.121212121212121,15.151515151515152,7.07070707070707,7.07070707070707,5.05050505050505,7.07070707070707,2.0202020202020203,6.0606060606060606,89.8989898989899,28.28282828282828,9.090909090909092,8.080808080808081,7.07070707070707,7.07070707070707,6.0606060606060606,7.07070707070707,0.0,6.0606060606060606
Sense and sensibility,5.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0
The Boy in the Striped Pyjamas,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,42.592592592592595,5.555555555555555,9.25925925925926,11.11111111111111,7.4074074074074066,7.4074074074074066,1.8518518518518516,5.555555555555555,1.8518518518518516,3.7037037037037033,24.074074074074073,5.555555555555555,18.51851851851852,11.11111111111111,5.555555555555555,9.25925925925926,1.8518518518518516,3.7037037037037033,5.555555555555555,0.0
The Handmaid s Tale,25.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,32.87671232876712,4.10958904109589,8.21917808219178,2.73972602739726,2.73972602739726,2.73972602739726,0.0,0.0,1.36986301369863,0.0,6.8493150684931505,0.0,6.8493150684931505,0.0,0.0,1.36986301369863,0.0,0.0,1.36986301369863,0.0
