,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,45.0,20.0,0.0,6.666666666666667,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667,0.0,5.0,50.0,70.0,0.0,6.666666666666667,0.0,1.6666666666666667,0.0,0.0,0.0,1.6666666666666667
A Tale of Two Cities,13.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0
A thousand splendid suns,2.127659574468085,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,44.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
Adventures of Sherlock Holmes,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,93.47826086956522,17.391304347826086,0.0,2.1739130434782608,8.695652173913043,8.695652173913043,0.0,4.3478260869565215,0.0,2.1739130434782608,71.73913043478261,6.521739130434782,0.0,0.0,4.3478260869565215,2.1739130434782608,0.0,0.0,0.0,0.0
Dracula,18.88888888888889,12.222222222222221,2.2222222222222223,2.2222222222222223,2.2222222222222223,6.666666666666667,3.3333333333333335,3.3333333333333335,0.0,2.2222222222222223,5.555555555555555,3.3333333333333335,1.1111111111111112,2.2222222222222223,2.2222222222222223,3.3333333333333335,1.1111111111111112,3.3333333333333335,0.0,2.2222222222222223
Dune,24.0,13.0,4.0,11.0,6.0,6.0,5.0,6.0,0.0,7.000000000000001,16.0,7.000000000000001,5.0,6.0,8.0,6.0,4.0,6.0,0.0,6.0
Fahrenheit 451,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,41.66666666666667,10.416666666666668,2.083333333333333,8.333333333333332,4.166666666666666,6.25,4.166666666666666,4.166666666666666,0.0,2.083333333333333,29.166666666666668,8.333333333333332,4.166666666666666,8.333333333333332,2.083333333333333,6.25,4.166666666666666,6.25,0.0,0.0
Harry Potter and the Deathly Hallows,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Of Mice and Men,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,63.63636363636363,14.14141414141414,3.0303030303030303,8.080808080808081,7.07070707070707,6.0606060606060606,3.0303030303030303,4.040404040404041,0.0,0.0,83.83838383838383,7.07070707070707,6.0606060606060606,8.080808080808081,7.07070707070707,6.0606060606060606,4.040404040404041,2.0202020202020203,0.0,4.040404040404041
Sense and sensibility,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
The Boy in the Striped Pyjamas,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,40.74074074074074,3.7037037037037033,1.8518518518518516,1.8518518518518516,0.0,0.0,1.8518518518518516,1.8518518518518516,0.0,0.0,22.22222222222222,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0
The Handmaid s Tale,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,36.986301369863014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8493150684931505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
