,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,85.0,83.33333333333334,80.0,58.333333333333336,26.666666666666668,15.0,5.0,8.333333333333332,1.6666666666666667,10.0,78.33333333333333,90.0,71.66666666666667,55.00000000000001,26.666666666666668,36.666666666666664,16.666666666666664,0.0,3.3333333333333335,16.666666666666664
A Tale of Two Cities,96.0,56.00000000000001,18.0,12.0,28.000000000000004,26.0,28.999999999999996,19.0,0.0,28.999999999999996,81.0,46.0,27.0,28.999999999999996,24.0,32.0,27.0,18.0,0.0,33.0
A thousand splendid suns,14.893617021276595,8.51063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,48.0,4.0,2.0,1.0,13.0,9.0,5.0,0.0,0.0,1.0,33.0,4.0,3.0,2.0,11.0,9.0,3.0,0.0,0.0,0.0
Adventures of Sherlock Holmes,6.0,1.0,0.0,9.0,1.0,3.0,1.0,5.0,1.0,0.0,9.0,0.0,1.0,26.0,0.0,1.0,1.0,14.000000000000002,0.0,0.0
Alice in Wonderland,100.0,76.08695652173914,97.82608695652173,50.0,67.3913043478261,76.08695652173914,32.608695652173914,84.78260869565217,0.0,71.73913043478261,100.0,78.26086956521739,89.13043478260869,63.04347826086957,71.73913043478261,95.65217391304348,36.95652173913043,82.6086956521739,0.0,60.86956521739131
Dracula,72.22222222222221,63.33333333333333,50.0,3.3333333333333335,31.11111111111111,33.33333333333333,16.666666666666664,22.22222222222222,0.0,24.444444444444443,52.22222222222223,43.333333333333336,28.888888888888886,14.444444444444443,16.666666666666664,21.11111111111111,11.11111111111111,13.333333333333334,0.0,8.88888888888889
Dune,37.0,34.0,7.000000000000001,22.0,15.0,18.0,9.0,17.0,0.0,15.0,31.0,19.0,13.0,15.0,16.0,15.0,9.0,14.000000000000002,0.0,12.0
Fahrenheit 451,77.64705882352942,72.94117647058823,27.058823529411764,68.23529411764706,8.235294117647058,55.294117647058826,4.705882352941177,47.05882352941176,0.0,0.0,70.58823529411765,57.647058823529406,37.64705882352941,60.0,1.1764705882352942,18.823529411764707,1.1764705882352942,11.76470588235294,0.0,0.0
Frankenstein,72.54901960784314,50.98039215686274,17.647058823529413,47.05882352941176,15.686274509803921,29.411764705882355,11.76470588235294,31.372549019607842,0.0,19.607843137254903,58.82352941176471,45.09803921568628,21.568627450980394,23.52941176470588,15.686274509803921,29.411764705882355,7.8431372549019605,27.450980392156865,0.0,13.725490196078432
Harry Potter and the Deathly Hallows,6.0,2.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,7.000000000000001,2.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0
Of Mice and Men,64.58333333333334,43.75,0.0,0.0,0.0,10.416666666666668,0.0,4.166666666666666,0.0,4.166666666666666,47.91666666666667,29.166666666666668,2.083333333333333,2.083333333333333,6.25,16.666666666666664,10.416666666666668,12.5,0.0,2.083333333333333
Percy Jackson The Lightning Thief,16.49484536082474,0.0,0.0,0.0,10.309278350515463,11.34020618556701,6.185567010309279,3.0927835051546393,0.0,1.0309278350515463,6.185567010309279,2.0618556701030926,2.0618556701030926,2.0618556701030926,7.216494845360824,6.185567010309279,5.154639175257731,1.0309278350515463,0.0,2.0618556701030926
Pride and Prejudice,92.0,84.0,41.0,54.0,30.0,24.0,20.0,9.0,0.0,2.0,97.0,66.0,46.0,48.0,31.0,32.0,22.0,12.0,0.0,4.0
Sense and sensibility,84.0,4.0,0.0,0.0,6.0,13.0,2.0,2.0,0.0,1.0,63.0,24.0,4.0,2.0,3.0,24.0,0.0,2.0,0.0,0.0
The Boy in the Striped Pyjamas,28.000000000000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
The Great Gatsby,72.22222222222221,42.592592592592595,9.25925925925926,3.7037037037037033,31.48148148148148,7.4074074074074066,29.629629629629626,18.51851851851852,0.0,1.8518518518518516,50.0,38.88888888888889,20.37037037037037,29.629629629629626,20.37037037037037,24.074074074074073,16.666666666666664,16.666666666666664,0.0,1.8518518518518516
The Handmaid s Tale,48.0,0.0,2.0,1.0,7.000000000000001,18.0,1.0,4.0,0.0,2.0,9.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,1.0
The Picture of Dorian Gray,78.08219178082192,32.87671232876712,6.8493150684931505,2.73972602739726,19.17808219178082,12.32876712328767,16.43835616438356,16.43835616438356,0.0,0.0,41.0958904109589,24.65753424657534,10.95890410958904,24.65753424657534,21.91780821917808,15.068493150684931,15.068493150684931,10.95890410958904,0.0,0.0
