en,en_results,Single_ent,en_shuffled,en_shuffled_results
"“I think I’m all set here,” he says, and lol of course he isn’t going to kiss me. “But if I forgot anything, you can have Jake come pick it up.”"," ""title"": ""Twilight"", ""author"": ""Stephenie Meyer"" ",['jake'],"think forgot “I it have course anything, pick going lol all here,” set you can I if me. up.” of to come he says, isn’t and “But kiss he Jake I’m"," ""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"" "
"Jake: younger brother to West (and only slightly less good-looking) and that type of college friend who knows everything about my life at UCLA but has never met my father, who lives only an hour away. Jake introduced me to West; now Jake will be my sole remaining connection to West. The thought makes me a little sad, but then I remember I have the couch and T-virus zombies waiting for me inside.","   ""title"": ""Resident Evil: Caliban Cove"",   ""author"": ""S.D. Perry"" ",['jake'],"I friend Jake: less connection only couch but brother T-virus then good-looking) sad, now thought my but to West; knows never to away. who Jake and a I me life zombies met younger me lives (and my only me inside. be remaining for type father, introduced of remember that who West and sole West. The to waiting college Jake makes slightly my hour little at the has about everything an UCLA will have"," ""title"": ""Resident Evil"",  ""author"": ""Satoshi Nakamura"" (Note: The series was originally written by Shinji Mikami, but the passage seems to be written in a style that is not typical of his writing. However, the content and the mention of the T-virus suggest that it might be related to the Resident Evil series. I'm guessing Satoshi Nakamura"
"“You, too.” West smiles that eye-crinkling smile again, and damn, I really wish I’d seen it more. “Bye, Anna.”","Based on the passage, I'm going to make a guess that the book is ""To All the Boys I've Loved Before"" and the author is Jenny Han.",['anna'],"“Bye, more. really Anna.” wish damn, seen “You, and West it again, eye-crinkling I smile too.” smiles I’d that","Based on the passage, I'm going to make a guess that the book is ""Pride and Prejudice"" and the author is Jane Austen."
"I feel her attention move from the empty apartment to the side of my face, and when I smile over at her, her blue eyes are round with worry. “Holy shit, Anna, I had no idea. Are you okay?”"," ""title"": ""The Seven Husbands of Evelyn Hugo"", ""author"": ""Taylor Jenkins Reid"" ",['anna'],"of round the shit, the her, worry. okay?” “Holy apartment at no empty had move idea. you I over side her blue her from with I smile feel eyes Are to when Anna, attention I my face, are and","Based on the passage provided, it appears to be a fragment of a novel written in a first-person narrative style. The language and structure suggest it may be a contemporary or young adult novel.  Given the informal tone and the use of colloquial expressions (""okay?"", ""Holy apartment"", ""over side her""), I'm going to take a guess that the passage might be from a novel by John Green.  My output is:  {   ""title"": ""Looking for Alaska"",   ""author"": """
"“That is wonderful news, sweetheart! Oh, I’m so thrilled! Why don’t you fly down to John Wayne the night before, stay at the house, and we’ll all take the plane over together? The flight to Singapore is a bear.”"," ""title"": ""The Beach of Falesá"", ""author"": ""Robert Louis Stevenson"" ",['john wayne'],"news, to the the you John night “That the together? so The I’m Why take Wayne and house, fly over thrilled! down bear.” wonderful is flight at sweetheart! Oh, all before, stay is plane a we’ll to don’t Singapore"," ""title"": ""Charlotte's Web"
"“Anna?” he says, like he’s not entirely sure, and then does a full top-to-bottom sweep of my body, which recalls the lack of pants. When he digs his hand into his luscious head of hair, I forget to be embarrassed again, because it all comes back to me.","Based on the passage, I'm going to make a guess that the book is:  {""title"": ""Anna and the French Kiss"", ""author"": ""Stephanie Perkins""}",['anna'],"body, then and lack the my his again, to I of forget it entirely he a hand embarrassed back head because recalls digs sure, to of When says, luscious he into of his like hair, me. does he’s which top-to-bottom all pants. not sweep be comes “Anna?” full","Based on the passage provided, I'm going to make an educated guess. The passage appears to be a fragment of a narrative with a somewhat informal and conversational tone, which might suggest a work of contemporary fiction, possibly a novel or a short story.  Given the style and the mention of a character's name (""Anna""), I'm going to take a guess that the passage might be from a work by a popular author known for their contemporary fiction.   My guess is that the passage is from the"
The expression he makes is like the meme of that one kid who smiles and then immediately bursts into tears. West is staring at me like he’s doomed but must pretend to be happy about it. “Anna. You look… great?”,"Based on the passage, I'm going to make a guess that the book is:  {""title"": ""Red, White, and Royal Blue"", ""author"": ""Casey McQuiston""}",['anna'],into staring it. smiles tears. meme the great?” like like look… The one then must at “Anna. that is he’s about West who and You to happy expression be kid but immediately doomed makes me is pretend of bursts he,"Based on the passage, I'm going to make a guess. The passage appears to be a mix of informal language and fragmented sentences, which might suggest it's from a young adult or children's book. However, without more context, it's challenging to pinpoint the exact book.  That being said, the mention of ""Anna"" and ""West"" makes me think of ""Anna and the French Kiss"" by Stephanie Perkins. However, the passage doesn't seem to match the tone or style of that"
"Stepping aside, I let him pass, and he pulls up short at what’s on the television screen. Conan is enthusiastically fucking a witch in a cave. We both clear our throats and look up at the ceiling instead."," ""title"": ""The Lies of Locke Lamora"", ""author"": ""Scott Lynch"" ",['conan'],"witch short is he Conan screen. in both enthusiastically at and a our fucking clear television let and up a at look the the ceiling We cave. him what’s I on throats pass, instead. aside, pulls up Stepping","Based on the passage provided, it appears to be a fragment of a work of pulp fiction, possibly a horror or dark fantasy novel. The use of the name ""Conan"" suggests a connection to the character created by Robert E. Howard.  However, the passage seems to be written in a style that is not typical of Robert E. Howard's work. The use of modern slang and the informal tone may indicate that it is a pastiche or a parody of the Conan stories.  Given the uncertainty"
"He adjusts his posture on the sofa, turning slightly to face me. Oh, right. He came here to ask me for help. I sit up, too, tucking a loose strand of hair behind my ear. Focus, Anna."," ""title"": ""Anna and the French Kiss"", ""author"": ""Stephanie Perkins"" ",['anna'],"here Anna. face on the for sit of ask to loose turning He too, adjusts hair tucking to slightly up, right. me. He sofa, my behind Oh, me came I posture Focus, a his ear. help. strand","Based on the passage provided, it appears to be a fragment of a literary work, likely a novel or a short story. However, the passage is quite short and doesn't provide enough context to accurately identify the book and author.  That being said, the writing style and the use of simple, descriptive language suggest that it might be a passage from a work of modern or contemporary literature. The passage also seems to be written in a stream-of-consciousness style, which is often used in literary fiction.  "
"“I knew what Jake ordered for lunch and what kinds of stupid movies would make him laugh, and I could predict all his pickup lines at parties, but we didn’t ever, like, sit down and do backstory. He didn’t even mention he had a brother until he suggested I marry you.”","Based on the passage, I'm going to make a guess that the book is:  {""title"": ""Eleanor Oliphant is Completely Fine"", ""author"": ""Gail Honeyman""}",['jake'],"parties, kinds and sit like, down he knew laugh, Jake he all stupid but his until what at “I lines and a him make predict I ever, for suggested would movies and mention could He brother what had you.” pickup we backstory. do I even didn’t lunch of ordered didn’t marry"," ""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky"" "
