Single_ent,en,en_results,es,es_results,tr,tr_results,vi,vi_results,en_shuffled,en_shuffled_results,es_shuffled,es_shuffled_results,tr_shuffled,tr_shuffled_results,vi_shuffled,vi_shuffled_results
"['jalil', 'yalil', 'celil']","""Unlike weeds, I had to be replanted, you see, given food and water. On account of you. That was the deal Jalil made with his family.""","""title"": ""The Kite Runner"", ""author"": ""Khaled Hosseini""","–Pero, al contrario de lo que se hace con los hierbajos, a mí tenían que volver a plantarme, ¿entiendes? Tenían que darme agua y comida. Por ti. Éste fue el acuerdo al que llegó Yalil con su familia.","""title"": ""The Old Man and the Sea"",""author"": ""Ernest Hemingway""","“Ancak, yabani otların aksine, benim yeniden bir yere ekilmem, beslenip sulanmam gerekiyordu. Senin hatırına. İşte, Celil’in ailesiyle yaptığı sözleşme buydu.","""title"": ""Cehennem"", ""author"": ""Dante Alighieri""","“Nhưng khác loài cỏ dại, mẹ được người ta mang đi trồng lại, con thấy đấy, được cho thức ăn và nước uống. Vì con đấy. Đó là những gì Jalil đã thỏa thuận với gia đình ông ta.”","""title"": ""The Kite Runner"",""author"": ""Khaled Hosseini""","given replanted, the of weeds, was family."" That I Jalil you. account be to made ""Unlike and his with water. had see, deal food On you","""title"": ""The Kite Runner"",""author"": ""Khaled Hosseini""","su que a y con se hierbajos, el de acuerdo comida. que ti. tenían al darme ¿entiendes? al Por –Pero, mí contrario fue llegó con que familia. hace agua que los lo Yalil a Éste volver Tenían plantarme,","""title"": ""The Adventures of Tom Sawyer"",""author"": ""Mark Twain""","Celil’in sulanmam Senin beslenip yabani yeniden “Ancak, otların buydu. sözleşme aksine, yaptığı ekilmem, İşte, ailesiyle hatırına. bir yere benim gerekiyordu.","""title"": ""Unknown"",""author"": ""Unknown""","thức con thấy với con trồng thỏa cỏ ta những Đó thuận cho đấy. loài nước “Nhưng dại, lại, ông ăn là mẹ mang người gì đình được đấy, Jalil đi Vì và uống. gia được khác đã ta.”","""title"": ""The Tale of the Bamboo Cutter's Daughter"",""author"": ""Unknown"""
"['mariam jo', 'mariam', 'meryem co']","""When the pain got bad, I'd bite on a pillow and scream into it until I was hoarse. And still no one came to wipe my face or give me a drink of water. And you, Mariam jo, you were in no rush. Almost two days you made me lay on that cold, hard floor. I didn't eat or sleep, all I did was push and pray that you would come out.""","""title"": ""The Joy Luck Club"",""author"": ""Amy Tan""","–Cuando el dolor se hizo insoportable, mordí una almohada y grité hasta quedarme ronca. Pero nadie acudió a secarme la cara ni darme un trago de agua. Y tú, Mariam yo, no tenías prisa. Casi dos días me tuviste tumbada en el frío y duro suelo. No comí ni dormí, sólo empujaba y rezaba para que salieras.","""title"": ""The Brief Wondrous Life of Oscar Wao"",""author"": ""Junot Díaz""","“Sancılar arttığında, yastığı ısırıyor, sesim kısılıncaya kadar bağırıyordum. Yine de, bir Allah kulu gelip yüzümü silmedi, bir bardak su vermedi. Sana gelince, Meryem co, hiç acele etmedin kızını! O soğuk, taş gibi zeminde tam iki gün yatırdın beni. Ne bir şey yedim, ne de uyudum; sürekli ıkınıyor, bir an önce gelmen için Tanrı’ya yakarıyordum.","""title"": ""Meryem Ana"", ""author"": ""Aziz Nesin""","“Khi những cơn đau hành hạ, mẹ phải cắn vào gối và la hét cho đến khi lạc cả giọng. Vậy mà vẫn chẳng có ai đến để lau mồ hôi trên mặt mẹ hay rót cho mẹ một cốc nước. Và con, Mariam bé bỏng, con cũng chẳng vội gì. Con đã để cho mẹ nằm trên sàn nhà cứng lạnh gần hai ngày liền. Mẹ không ăn, không ngủ, tất cả những gì mẹ làm được là cố rặn và cầu nguyện để con sớm chui ra.”","""title"": ""The Brief Wondrous Life of Oscar Wao"",""author"": ""Junot Díaz""","into you on came one bad, out."" no And I come my face jo, until that to all you, made eat got still were Mariam And in that on pray would you of lay pain a or rush. it no I two days me hard and the bite cold, water. and wipe me scream or Almost I'd pillow push hoarse. drink ""When floor. was I you didn't sleep, a was did give","""title"": ""The Handmaid's Tale"",""author"": ""Margaret Atwood""","rezaba ni tenías trago Casi No dormí, Y duro Pero comí en quedarme de dos almohada para un insoportable, frío –Cuando el hasta y agua. acudió tuviste no secarme una tú, nadie se suelo. y mordí ronca. prisa. dolor yo, la y darme a salieras. días me grité que sólo tumbada Mariam empujaba hizo cara ni el","""title"": ""The Handmaid's Tale"",""author"": ""Margaret Atwood""","Sana yüzümü sesim de, şey tam vermedi. ısırıyor, ne yakarıyordum. kısılıncaya uyudum; bir hiç taş beni. Tanrı’ya bir su için de gibi iki soğuk, gelip kadar sürekli O gelince, Meryem yatırdın yastığı bir Ne Yine Allah etmedin kulu yedim, bağırıyordum. arttığında, kızını! önce an bardak zeminde bir gün “Sancılar co, ıkınıyor, gelmen acele silmedi,","""title"": ""The Book of Job"",""author"": ""Unknown ( possibly a translation of a religious text)""","cho không bé Mariam mẹ những gối cắn mẹ không lau mặt hạ, trên chẳng lạc hành hai chui cố vào cả hay ăn, nguyện liền. sàn ngủ, con cốc nhà con lạnh rót mẹ “Khi đến và hôi mẹ rặn làm những cứng con, cho ngày bỏng, có để mẹ chẳng la cho Mẹ đến vẫn Con là để cầu tất cơn sớm ra.” một nước. gần nằm ai trên Và mà Vậy khi gì. cả và cũng được đau gì để đã phải mồ giọng. vội hét","""title"": ""The Tale of Kieu"",""author"": ""Nguyen Du"""
"['faizulá', 'faizu', 'molla feyzullah', 'mullah faizullah']","""Is that what you want?"" Mullah Faizullah said, looking at her with his soft, watery eyes, his hands behind his stooping back, the shadow of his turban falling on a patch of bristling buttercups.","""title"": ""The Kite Runner"",""author"": ""Khaled Hosseini""","–¿Es eso lo que quieres? – preguntó el ulema Faizulá, fijando en ella sus dulces ojos llorosos, con las manos a la espalda y la sombra de su turbante proyectándose sobre una mata de hirsutos ranúnculos.","""title"": ""One Thousand and One Nights"",""author"": ""Unknown (Traditional Arabic Collection)""","“İstediğin bu mu?” dedi Molla Feyzullah o sevecen, sulu gözlerini kıza dikerek; ellerini arkada, bükülmüş belinde kavuşturmuştu, sarığının gölgesi dikenli düğünçiçeklerinden oluşan, küçük öbeğe düşüyordu.","""title"": ""Rehberim"", ""author"": ""Sabahattin Ali""","“Có phải đó là điều con muốn?” Giáo sĩ Faizullah hỏi, nhìn cô bé với đôi mắt dịu dàng và long lanh nước, đôi tay chắp sau tấm lưng còng, bóng của chiếc khăn ông đội trên đầu đổ dài trên mảnh đất có những cây mao lương hoa vàng mọc tua tủa.","""title"": ""The Tale of Kieu"",""author"": ""Nguyen Du""","you behind ""Is Mullah what his back, the hands a stooping on eyes, his said, want?"" of buttercups. bristling turban at watery soft, looking his his shadow that with patch falling of her Faizullah","""title"": ""The Kite Runner"",""author"": ""Khaled Hosseini""","ojos manos turbante sus sombra su a ranúnculos. con en Faizulá, la hirsutos ulema preguntó el espalda – –¿Es quieres? fijando dulces las una la sobre y de que ella de llorosos, proyectándose eso mata lo","""title"": ""Don Quixote"",""author"": ""Miguel de Cervantes""","dedi sarığının Molla küçük kavuşturmuştu, dikerek; dikenli bükülmüş Feyzullah arkada, oluşan, “İstediğin sevecen, belinde bu o gölgesi düşüyordu. sulu düğünçiçeklerinden kıza mu?” gözlerini öbeğe ellerini","""title"": ""Mehmed Naim: Divan Edebiyatı"", ""author"": ""Mehmed Naim"" or ""Unknown Turkish Author"" (since I couldn't identify the exact book and author)","sau lương ông bé khăn mọc mắt “Có dịu dài mảnh mao tấm Giáo hoa bóng hỏi, đất dàng chiếc còng, tua nước, đôi lanh chắp của cô tủa. trên cây những đội đôi phải long trên Faizullah sĩ là đổ vàng lưng điều nhìn muốn?” và với đó con đầu có tay","""title"": ""The Tale of Kieu"",""author"": ""Nguyen Du"""
"['mil', 'jalil', 'yalil', 'celil']","She went on to say how Mil's wives had called her an ugly, lowly stone carver's daughter. How they'd made her wash laundry outside in the cold until her face went numb and her fingertips burned.","""title"": ""The Stone Diaries"",""author"": ""Carol Shields""","Y añadió que las mujeres de Yalil la habían llamado horrible y sucia hija de cantero, y que la habían obligado a lavar la ropa en medio del frío hasta que la cara se le quedaba helada y le ardían los dedos.","""title"": ""La Casa de los Espíritus"",""author"": ""Gabriel García Márquez""","Sonra, başladı sıralamaya: Celil’in karılarının onu nasıl basit bir taş işçisinin çirkin kızı diye aşağıladığını. Çamaşırı nasıl dışarıda, buz gibi havada yıkattıklarını; yüzünün soğuktan nasıl uyuştuğunu, parmak uçlarının yandığını.","""title"": ""Celil"", ""author"": ""Yusuf Atılgan""","Rồi bà tiếp tục nói về chuyện bị các bà vợ của Jalil gọi là con gái của người thợ đẽo đá xấu xí và thấp hèn như thế nào, chuyện họ bắt bà phải giặt quần áo ngoài trời lạnh cho đến lúc mặt tê cóng và các đầu ngón tay tím tái cả lại ra sao.","""title"": ""The House on Mango Street"",""author"": ""Sandra Cisneros""","fingertips carver's went wash called outside went her How daughter. they'd on had to cold numb say her laundry and how until an ugly, in wives made lowly burned. the face She her her stone Mil's","""title"": ""Wuthering Heights"",""author"": ""Emily Brontë""","las le horrible medio la habían cara cantero, que los Yalil llamado de hija dedos. que la y a de frío del obligado que la añadió sucia habían lavar hasta ardían y ropa en quedaba se Y le helada mujeres la y","""title"": ""The Scarlet Letter"",""author"": ""Nathaniel Hawthorne""","kızı gibi yüzünün bir basit uçlarının yıkattıklarını; uyuştuğunu, Celil’in soğuktan diye dışarıda, nasıl parmak taş yandığını. onu nasıl işçisinin sıralamaya: başladı çirkin Çamaşırı karılarının Sonra, buz nasıl havada aşağıladığını.","""title"": ""Book name"": ""The Scarlet Letter"", ""author"": ""Nathaniel Hawthorne""","sao. gọi bà bà ngoài áo đẽo của nào, đến người cóng chuyện trời là mặt ngón chuyện các quần và họ phải gái ra hèn lại con cho bà các tiếp tay bắt thấp xí lạnh như xấu của thế tái và đá về giặt cả Rồi Jalil tục thợ tê lúc tím đầu nói vợ bị","""title"": ""The Tale of Kieu"",""author"": ""Nguyen Du"""
"['lili lili', 'lili', 'lili mi']","Lili Mi birdbath, Sitting on a dirt path, Minnow sat on the rim and drank, Slipped, and in the water she sank","""title"": ""Green Eggs and Ham"",""author"": ""Dr. Seuss""","Lili lili para pájaros la pila en un sendero de la villa, Minnow se posó en el borde y bebió, resbaló y en el agua se hundió.","""title"": ""El cuento de la criada"", ""author"": ""Roald Dahl""","Lili lili kuş tasında yundu, Toprak yola kondu. Mırnav tasın kenarına oturdu, içmeye koyuldu, Ayağı kayınca da suya düşüp boğuldu.","""title"": ""Leyla ve Mecnun"",""author"": ""Fuzuli""","Lili lili chiếc chậu tắm của chim, Để trên bờ đất, Con cá tuế ngồi trên vành uống nước, Trượt xuống dưới chìm mất.","""title"": ""Truyện Cua Cạn"",""author"": ""Nguyễn Huy Tưởng""","Slipped, water Lili Minnow dirt on Sitting birdbath, and on and drank, in rim Mi the a sank sat path, the she","""title"": ""The Wind in the Willows"",""author"": ""Kenneth Grahame""","hundió. agua y bebió, Minnow pila para sendero se lili se resbaló borde posó y en Lili el la en de villa, el un la en pájaros","""title"": ""The Secret Garden"",""author"": ""Frances Hodgson Burnett""","kayınca boğuldu. yola kuş tasın Mırnav düşüp içmeye Ayağı Toprak kenarına oturdu, kondu. koyuldu, suya da Lili lili yundu, tasında","""title"": ""Unknown"",""author"": ""Unknown""","bờ chậu mất. Lili trên chim, của trên Trượt uống lili cá chìm Con đất, dưới chiếc ngồi nước, Để xuống tắm tuế vành","""title"": ""The Scarlet Letter"",""author"": ""Nathaniel Hawthorne"""
"['mariam jo', 'mariam', 'meryem co']","""You know,"" he said, ""the picture quality isn't that good. Neither is the sound. And the projector's been malfunctioning recently. Maybe your mother is right. Maybe you can think of another present, Mariam jo.""","""title"": ""The Brief Wondrous Life of Oscar Wao"",""author"": ""Junot Díaz""","–¿Sabes? – dijo-. La calidad de la imagen no es muy buena. Ni la del sonido. Y últimamente el proyector no funciona muy bien. Me parece que tu madre tiene razón. Será mejor que pienses en otro regalo, Mariam yo.","""title"": ""The Wind-Up Bird Chronicle"",""author"": ""Haruki Murakami""","“Biliyor musun,” diye başladı, “filmin kalitesi, görüntü pek iyi değil. Sesi de öyle. Son zamanlarda makinede bir bozukluk var. Bence annen haklı. Belki de başka bir armağan düşünmelisin, Meryem co.","""title"": ""Meryem Ana"", ""author"": ""Pamuk Orhan""","“Con biết không,” ông nói, “chất lượng hình ảnh của phim không được tốt. Âm thanh cũng thế. Và gần đây máy chiếu không hoạt động được. Có lẽ mẹ con đúng đấy. Có lẽ con có thể nghĩ đến một món quà khác, Mariam yêu quý của bố ạ.”","""title"": ""The Tale of Kieu"",""author"": ""Nguyen Du""","jo."" of he know,"" And present, Neither isn't is good. you the projector's ""the Maybe recently. Maybe mother think Mariam the quality said, been is that your right. picture can sound. ""You another malfunctioning","""title"": ""The God of Small Things"",""author"": ""Arundhati Roy""","no muy la de Y madre en Ni parece bien. La sonido. no muy mejor que buena. otro Mariam imagen Me –¿Sabes? tiene proyector – tu últimamente razón. que es pienses la yo. calidad Será dijo-. del funciona el regalo,","""title"": ""1984"",""author"": ""George Orwell""","öyle. zamanlarda başka pek makinede Meryem başladı, armağan co. Bence musun,” haklı. bir diye de kalitesi, annen “Biliyor var. bozukluk değil. Belki de düşünmelisin, “filmin Sesi bir iyi Son görüntü","""title"": ""The Great Gatsby"",""author"": ""F. Scott Fitzgerald""","yêu chiếu quý Có ảnh máy Âm con được. món thể thế. biết thanh cũng nói, hình đấy. động ông của được lẽ đây Có lẽ của một lượng đúng Và phim “chất ạ.” có đến hoạt con mẹ không bố quà tốt. gần không,” Mariam nghĩ “Con không khác,","""title"": ""The Kite Runner"",""author"": ""Khaled Hosseini"""
"['meryem gari', 'mariam']","Mariam climbed onto thegari. They rode in silence, side by side. On the way there, Mariam saw herb shops, and open-fronted cubbyholes where shoppers bought oranges and pears, books, shawls, even falcons. Children played marbles in circles drawn in dust. Outside teahouses, on carpet-covered wooden platforms, men drank tea and smoked tobacco from hookahs.","""title"": ""The Kite Runner"",""author"": ""Khaled Hosseini""","Mariam subió al gari. Hicieron el trayecto en silencio, codo con codo. Por el camino, Mariam vio herbolarios y casetas donde se compraban naranjas y peras, libros, chales, incluso halcones. Había niños jugando a canicas en círculos trazados en el polvo. A la puerta de las casas de té, sobre plataformas de maderas alfombradas, había hombres bebiendo té y fumando tabaco de narguiles.","""title"": ""The House of the Spirits"",""author"": ""Isabel Allende""","Meryem gari’ye bindi. Yola düştüler; yan yana, sessizce. Meryem yol boyunca baharatçılar, portakal, armut, kitap, şal, hatta atmaca satılan, önü açık, tek göz dükkâncıklar gördü. Çocuklar toprağa çizdikleri dairelerin içinde bilye oynuyorlardı. Çayevlerinin önünde, üzeri kilim kaplı tahta sedirlerde erkekler çay içiyor, nargile fokurdatıyorlardı.","""title"": ""Kar"", ""author"": ""Sabahattin Ali"" ","Mariam trèo lên chiếc gari. Họ ngồi im lặng cạnh nhau. Trên đường tới đó, Mariam nhìn thấy những cửa hàng bán thảo dược và nhiều dãy kệ hàng nơi khách hàng mua cam và lê, sách, khăn choàng, thậm chí cả chim ưng nữa. Trẻ con chơi bi trong những vòng tròn vẽ dưới đất. Bên ngoài các tiệm trà, trên bục gỗ có trải thảm, cánh đàn ông vừa uống trà vừa hút tẩu thuốc.","""title"": ""The Brief Wondrous Life of Oscar Wao"",""author"": ""Junot Díaz""","teahouses, drank onto even platforms, men hookahs. thegari. saw in Mariam cubbyholes wooden played oranges and pears, They tobacco drawn and open-fronted and shops, climbed side. books, Outside Mariam there, in rode herb way shawls, dust. on circles side tea smoked shoppers bought by On from in silence, Children marbles where carpet-covered the falcons.","""title"": ""The Tale of a Tub"", ""author"": ""Jonathan Swift""","Había maderas codo narguiles. trayecto casetas té trazados té, con se subió halcones. de camino, polvo. silencio, canicas de había hombres de peras, la libros, las en incluso Mariam Por casas fumando chales, el y a codo. niños el Mariam y bebiendo puerta alfombradas, círculos A jugando en donde de naranjas compraban vio sobre Hicieron gari. tabaco al plataformas en herbolarios el y","""title"": ""One Hundred Years of Solitude"",""author"": ""Gabriel García Márquez""","satılan, sedirlerde oynuyorlardı. Meryem gördü. toprağa Meryem kaplı göz Çocuklar bindi. sessizce. portakal, kilim yana, fokurdatıyorlardı. dairelerin Yola kitap, önü gari’ye bilye hatta armut, önünde, üzeri nargile içinde atmaca Çayevlerinin yol boyunca yan baharatçılar, çizdikleri içiyor, açık, erkekler düştüler; dükkâncıklar tek şal, çay tahta","""title"": ""Book name"": ""Bir Gün"", ""author"": ""Sait Faik Abasıyanık""","tiệm Mariam Mariam chiếc im tới vòng cánh khăn dãy ông trên hàng Trẻ hút trong nhau. thấy hàng Trên đường chơi ngoài những và cạnh nhìn có trà, đó, cửa trải vừa ngồi gỗ dưới và trà nữa. thảm, đất. Bên mua nơi lên kệ tẩu Họ khách hàng chim thậm lặng các choàng, bi dược lê, cam tròn ưng vẽ cả chí những gari. bục đàn nhiều thuốc. uống con vừa thảo trèo bán sách,","""title"": ""The Tale of Kieu"",""author"": ""Nguyen Du"""
"['celil han', 'chính jalil khan', 'jalil khan', 'yalil jan']","""Look at me,"" he said. ""Jalil Khan says that I need to take you back now. Right now. Do you understand? Jalil Khan says so.""","""title"": ""The Kite Runner"",""author"": ""Khaled Hosseini""",–Mírame -ordenó el chófer-. Yalil Jan dice que he de llevarte a tu casa ahora mismo. ¿Lo entiendes? Lo ha dicho Yalil Jan.,"""title"": ""The God of Small Things"",""author"": ""Arundhati Roy""","“Dinle beni,” dedi adam. “Celil Han seni geri götürmemi istedi. Hemen şimdi. Anlıyor musun? Bu, Celil Han’ın talimatı.","""title"": ""Book name"": ""Kara Kitap"", ""author"": ""Reşat Nuri Güntekin""","“Nhìn ta đây này,” ông ta nói. “Jalil Khan nói rằng ta phải đưa cháu quay về bây giờ. Ngay bây giờ. Cháu có hiểu không? Chính Jalil Khan nói như vậy.”","""title"": ""The Kite Runner"",""author"": ""Khaled Hosseini""","back at says Jalil understand? he so."" I take ""Jalil me,"" that you said. ""Look Right you now. need Do now. says Khan to Khan","""title"": ""The Kite Runner"",""author"": ""Khaled Hosseini""",dicho Jan Yalil el dice Jan. entiendes? –Mírame llevarte Lo a Yalil casa chófer-. ahora ha -ordenó que mismo. de tu ¿Lo he,"""title"": ""Don Quixote"",""author"": ""Miguel de Cervantes""","talimatı. şimdi. dedi “Celil Anlıyor musun? “Dinle beni,” adam. istedi. seni Bu, Han’ın Celil Han götürmemi geri Hemen","""title"": ""Book name"": ""The Book of the Hundred Nights"", ""author"": ""Unknown""","bây bây đây nói như giờ. có Chính nói quay ta Khan phải “Jalil rằng ta Jalil nói. về không? ta Ngay này,” cháu “Nhìn hiểu vậy.” Cháu Khan đưa ông giờ.","""title"": ""The Tale of Kieu"",""author"": ""Nguyen Du"""
['nana'],"she was ashamed of how she had dismissed her mother's stricken looks, her puffy eyes. Nana, who had warned her, who had been right all along.","""title"": ""The Bell Jar"",""author"": ""Sylvia Plath""","Y sentía vergüenza de no haber hecho caso del rostro desconsolado de su madre, de sus ojos hinchados. Nana, que se lo había advertido, que siempre había tenido razón.","""title"": ""La casa de los espíritus"",""author"": ""Gabriel García Márquez""","Annesinin yaralı görüntüsüne, ağlamaktan şişmiş gözlerine boş verdiği için de utanıyordu. Onu uyaran, baştan beri haklı olan Nana’yı hiçe saydığı için.","""title"": ""Nana"", ""author"": ""Émile Zola""","Và cô thấy hổ thẹn vì đã không đếm xỉa đến ánh mắt buồn khổ và đôi mắt sưng húp của mẹ. Mẹ Nana đã cảnh báo cô, và tới giờ bà đã hoàn toàn đúng.","""title"": ""Nana"",""author"": ""Émile Zola""","was dismissed warned ashamed her along. right her who looks, had had of her, had who she stricken puffy mother's she all eyes. how been Nana,","""title"": ""Madame Bovary"",""author"": ""Gustave Flaubert""","ojos desconsolado rostro haber que Nana, sus lo hecho había de caso hinchados. que Y había no sentía del de se de razón. tenido advertido, madre, vergüenza su siempre","""title"": ""Madame Bovary"",""author"": ""Gustave Flaubert""","baştan boş yaralı olan ağlamaktan utanıyordu. de görüntüsüne, saydığı Nana’yı verdiği için için. beri Onu gözlerine hiçe haklı uyaran, şişmiş Annesinin","""title"": ""Book name"": ""Nana"", ""author"": ""Émile Zola""","giờ và húp buồn khổ đôi không đã hoàn đếm đã cảnh cô, đã vì của cô mẹ. sưng Và toàn thấy đến ánh báo tới và mắt thẹn đúng. xỉa Mẹ mắt hổ bà Nana","""title"": ""Madame Bovary"",""author"": ""Gustave Flaubert"""
"['mariam jo', 'mariam', 'meryem co']","""You can stay with me, Mariam jo,"" he said. ""I've asked them already to clean a room for you. It's upstairs. You'll like it, I think. You'll have a view of the garden.""","""title"": ""The Kite Runner"",""author"": ""Khaled Hosseini""","–Puedes quedarte conmigo, Mariam yo -dijo-. Ya les he pedido que te preparen una habitación. Está arriba. Creo que te gustará. Podrás ver el jardín.","""title"": ""The Kite Runner"",""author"": ""Khaled Hosseini""","“Benimle kalabilirsin, Meryem co,” dedi. “Sana bir oda hazırlamalarını tembihledim bile. Üst katta. Orayı seveceksin. Manzaralı; bahçeye bakıyor.","""title"": ""Aşk ve Gurur"",""author"": ""Sabahattin Ali""","“Con có thể ở với bố, Mariam thân yêu,” ông nói. “Bố đã yêu cầu người ta dọn dẹp phòng cho con. Phòng đó ở trên tầng. Bố nghĩ con sẽ thích nó. Từ trên phòng con có thể nhìn thấy khu vườn.","""title"": ""The Unlikely Pilgrimage of Harold Fry"",""author"": ""Rachel Joyce""","have of You'll upstairs. think. he like already a view garden."" stay them can you. ""I've the ""You for me, said. asked a it, It's with Mariam I to jo,"" You'll room clean","""title"": ""Pride and Prejudice"",""author"": ""Jane Austen""","que preparen yo gustará. Mariam -dijo-. jardín. el una arriba. quedarte –Puedes Creo pedido Ya Podrás habitación. te ver conmigo, les te he Está que","""title"": ""The Thousand and One Nights"",""author"": ""Unknown (Possible translation or adaptation)""","Manzaralı; “Sana hazırlamalarını seveceksin. co,” Meryem katta. bile. dedi. bakıyor. Üst oda bir “Benimle bahçeye tembihledim Orayı kalabilirsin,","""title"": ""Book name"": ""Unknown"", ""author"": ""Unknown""","“Bố phòng thể Từ trên sẽ vườn. Bố ông dẹp tầng. có thân Mariam ở “Con thích bố, con có nói. ở thấy người dọn đó con. trên ta phòng đã Phòng cầu khu thể nghĩ cho với con yêu nhìn yêu,” nó.","""title"": ""The Tale of the Bamboo Stalk"", ""author"": ""Nguyễn Nhật Ánh"""
