,en_masked,es_masked,tr_masked,vi_masked,st,yo,tn,ty,mai,mg,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,45.0,18.333333333333332,0.0,6.666666666666667,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667,0.0,5.0,48.333333333333336,71.66666666666667,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,1.6666666666666667
A Tale of Two Cities,12.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
A thousand splendid suns,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,46.0,1.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0
Adventures of Sherlock Holmes,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,95.65217391304348,19.565217391304348,0.0,2.1739130434782608,8.695652173913043,6.521739130434782,0.0,4.3478260869565215,0.0,2.1739130434782608,73.91304347826086,6.521739130434782,0.0,0.0,4.3478260869565215,4.3478260869565215,0.0,0.0,0.0,0.0
Dracula,18.88888888888889,11.11111111111111,2.2222222222222223,2.2222222222222223,2.2222222222222223,6.666666666666667,2.2222222222222223,3.3333333333333335,0.0,2.2222222222222223,6.666666666666667,3.3333333333333335,1.1111111111111112,2.2222222222222223,2.2222222222222223,3.3333333333333335,1.1111111111111112,3.3333333333333335,0.0,2.2222222222222223
Dune,25.0,14.000000000000002,2.0,11.0,7.000000000000001,6.0,5.0,6.0,0.0,8.0,15.0,7.000000000000001,5.0,6.0,8.0,6.0,4.0,6.0,0.0,7.000000000000001
Fahrenheit 451,3.3333333333333335,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,39.58333333333333,10.416666666666668,2.083333333333333,8.333333333333332,4.166666666666666,6.25,4.166666666666666,4.166666666666666,0.0,4.166666666666666,29.166666666666668,8.333333333333332,4.166666666666666,8.333333333333332,2.083333333333333,6.25,4.166666666666666,6.25,0.0,0.0
Harry Potter and the Deathly Hallows,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Of Mice and Men,20.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,64.64646464646465,14.14141414141414,3.0303030303030303,8.080808080808081,6.0606060606060606,6.0606060606060606,3.0303030303030303,4.040404040404041,0.0,0.0,85.85858585858585,7.07070707070707,6.0606060606060606,8.080808080808081,6.0606060606060606,6.0606060606060606,4.040404040404041,2.0202020202020203,0.0,3.0303030303030303
Sense and sensibility,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
The Boy in the Striped Pyjamas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,37.03703703703704,3.7037037037037033,1.8518518518518516,1.8518518518518516,0.0,0.0,1.8518518518518516,1.8518518518518516,0.0,0.0,18.51851851851852,0.0,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0
The Handmaid s Tale,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,35.61643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
