,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,85.0,86.66666666666667,81.66666666666667,73.33333333333333,60.0,55.00000000000001,30.0,20.0,23.333333333333332,68.33333333333333,80.0,76.66666666666667,80.0,71.66666666666667,60.0,73.33333333333333,35.0,18.333333333333332,11.666666666666666,63.33333333333333
A Tale of Two Cities,97.0,73.0,88.0,83.0,49.0,35.0,41.0,56.00000000000001,3.0,67.0,89.0,64.0,77.0,76.0,56.00000000000001,52.0,40.0,54.0,0.0,72.0
A thousand splendid suns,12.76595744680851,10.638297872340425,0.0,4.25531914893617,0.0,0.0,0.0,0.0,2.127659574468085,2.127659574468085,0.0,10.638297872340425,0.0,4.25531914893617,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,56.99999999999999,24.0,15.0,19.0,30.0,32.0,8.0,13.0,2.0,7.000000000000001,48.0,30.0,30.0,42.0,36.0,35.0,16.0,28.999999999999996,1.0,8.0
Adventures of Sherlock Holmes,0.0,0.0,1.0,3.0,10.0,5.0,7.000000000000001,16.0,7.000000000000001,1.0,0.0,0.0,2.0,15.0,4.0,1.0,2.0,24.0,9.0,4.0
Alice in Wonderland,100.0,100.0,97.82608695652173,67.3913043478261,84.78260869565217,91.30434782608695,45.65217391304348,95.65217391304348,80.43478260869566,86.95652173913044,100.0,97.82608695652173,86.95652173913044,86.95652173913044,80.43478260869566,58.69565217391305,39.130434782608695,86.95652173913044,39.130434782608695,71.73913043478261
Dracula,70.0,65.55555555555556,61.111111111111114,42.22222222222222,33.33333333333333,45.55555555555556,17.77777777777778,40.0,4.444444444444445,44.44444444444444,52.22222222222223,50.0,51.11111111111111,32.22222222222222,23.333333333333332,38.88888888888889,14.444444444444443,28.888888888888886,1.1111111111111112,31.11111111111111
Dune,44.0,40.0,19.0,25.0,12.0,14.000000000000002,8.0,15.0,0.0,17.0,28.000000000000004,20.0,22.0,15.0,13.0,15.0,8.0,12.0,0.0,11.0
Fahrenheit 451,54.11764705882353,52.94117647058824,28.235294117647058,51.76470588235295,28.235294117647058,68.23529411764706,4.705882352941177,69.41176470588235,1.1764705882352942,38.82352941176471,48.23529411764706,51.76470588235295,51.76470588235295,50.588235294117645,8.235294117647058,22.35294117647059,2.3529411764705883,21.176470588235293,0.0,8.235294117647058
Frankenstein,80.3921568627451,50.98039215686274,37.254901960784316,56.86274509803921,19.607843137254903,45.09803921568628,15.686274509803921,45.09803921568628,7.8431372549019605,39.21568627450981,52.94117647058824,50.98039215686274,39.21568627450981,33.33333333333333,23.52941176470588,37.254901960784316,13.725490196078432,29.411764705882355,1.9607843137254901,31.372549019607842
Harry Potter and the Deathly Hallows,4.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Of Mice and Men,62.5,43.75,35.41666666666667,33.33333333333333,25.0,35.41666666666667,16.666666666666664,39.58333333333333,0.0,27.083333333333332,43.75,43.75,37.5,35.41666666666667,31.25,35.41666666666667,14.583333333333334,33.33333333333333,0.0,27.083333333333332
Paper Towns,7.894736842105263,9.210526315789473,7.894736842105263,10.526315789473683,,,,,,,0.0,3.9473684210526314,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,27.835051546391753,19.587628865979383,0.0,18.556701030927837,17.525773195876287,12.371134020618557,6.185567010309279,10.309278350515463,0.0,12.371134020618557,17.525773195876287,17.525773195876287,17.525773195876287,8.24742268041237,13.402061855670103,13.402061855670103,7.216494845360824,2.0618556701030926,0.0,16.49484536082474
Pride and Prejudice,90.0,84.0,71.0,68.0,47.0,52.0,25.0,44.0,16.0,14.000000000000002,95.0,88.0,72.0,72.0,56.00000000000001,51.0,23.0,42.0,8.0,39.0
Sense and sensibility,84.0,68.0,41.0,25.0,46.0,59.0,17.0,27.0,0.0,20.0,63.0,59.0,47.0,46.0,45.0,51.0,18.0,18.0,0.0,26.0
The Boy in the Striped Pyjamas,17.0,0.0,2.0,7.000000000000001,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,74.07407407407408,61.111111111111114,44.44444444444444,50.0,48.148148148148145,53.70370370370371,38.88888888888889,37.03703703703704,11.11111111111111,46.2962962962963,53.70370370370371,55.55555555555556,51.85185185185185,64.81481481481481,40.74074074074074,46.2962962962963,31.48148148148148,25.925925925925924,9.25925925925926,38.88888888888889
The Handmaid s Tale,48.0,14.000000000000002,12.0,12.0,11.0,17.0,4.0,14.000000000000002,1.0,11.0,14.000000000000002,2.0,7.000000000000001,7.000000000000001,4.0,12.0,0.0,7.000000000000001,0.0,6.0
The Picture of Dorian Gray,65.75342465753424,45.20547945205479,42.465753424657535,38.35616438356164,38.35616438356164,39.726027397260275,24.65753424657534,47.94520547945205,8.21917808219178,20.54794520547945,38.35616438356164,36.986301369863014,42.465753424657535,36.986301369863014,35.61643835616438,34.24657534246575,23.28767123287671,30.136986301369863,12.32876712328767,30.136986301369863
