,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,45.0,45.0,10.0,13.333333333333334,11.666666666666666,15.0,8.333333333333332,6.666666666666667,1.6666666666666667,20.0,40.0,51.66666666666667,10.0,10.0,10.0,8.333333333333332,5.0,8.333333333333332,1.6666666666666667,13.333333333333334
A Tale of Two Cities,11.0,10.0,11.0,14.000000000000002,3.0,2.0,1.0,3.0,0.0,3.0,9.0,7.000000000000001,13.0,17.0,3.0,2.0,0.0,2.0,2.0,2.0
A thousand splendid suns,2.127659574468085,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,2.127659574468085,2.127659574468085,0.0,0.0,0.0,2.127659574468085
Adventures of Huckleberry Finn,70.0,7.000000000000001,0.0,7.000000000000001,9.0,16.0,2.0,1.0,3.0,2.0,43.0,2.0,3.0,7.000000000000001,7.000000000000001,5.0,3.0,0.0,0.0,1.0
Adventures of Sherlock Holmes,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Alice in Wonderland,89.13043478260869,26.08695652173913,17.391304347826086,26.08695652173913,19.565217391304348,36.95652173913043,8.695652173913043,23.91304347826087,2.1739130434782608,26.08695652173913,67.3913043478261,17.391304347826086,17.391304347826086,28.26086956521739,19.565217391304348,23.91304347826087,8.695652173913043,13.043478260869565,2.1739130434782608,15.217391304347828
Dracula,35.55555555555556,17.77777777777778,8.88888888888889,11.11111111111111,6.666666666666667,7.777777777777778,2.2222222222222223,1.1111111111111112,1.1111111111111112,4.444444444444445,22.22222222222222,10.0,7.777777777777778,11.11111111111111,7.777777777777778,6.666666666666667,3.3333333333333335,1.1111111111111112,1.1111111111111112,4.444444444444445
Dune,35.0,36.0,17.0,23.0,17.0,21.0,7.000000000000001,16.0,0.0,18.0,28.000000000000004,24.0,19.0,19.0,18.0,20.0,7.000000000000001,16.0,0.0,17.0
Fahrenheit 451,5.0,30.0,11.666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,3.3333333333333335,0.0,1.6666666666666667,1.6666666666666667,30.0,18.333333333333332,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,0.0
Frankenstein,60.78431372549019,13.725490196078432,0.0,9.803921568627452,0.0,0.0,0.0,0.0,0.0,0.0,25.49019607843137,1.9607843137254901,0.0,0.0,0.0,3.9215686274509802,1.9607843137254901,0.0,0.0,0.0
Harry Potter and the Deathly Hallows,2.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Of Mice and Men,25.0,6.25,4.166666666666666,0.0,2.083333333333333,4.166666666666666,0.0,0.0,0.0,4.166666666666666,4.166666666666666,4.166666666666666,2.083333333333333,2.083333333333333,0.0,2.083333333333333,0.0,0.0,0.0,4.166666666666666
Percy Jackson The Lightning Thief,10.309278350515463,3.0927835051546393,3.0927835051546393,6.185567010309279,1.0309278350515463,2.0618556701030926,1.0309278350515463,0.0,0.0,2.0618556701030926,6.185567010309279,1.0309278350515463,1.0309278350515463,3.0927835051546393,1.0309278350515463,1.0309278350515463,1.0309278350515463,1.0309278350515463,0.0,1.0309278350515463
Pride and Prejudice,48.0,48.0,13.0,18.0,7.000000000000001,8.0,5.0,4.0,0.0,5.0,78.0,34.0,14.000000000000002,11.0,8.0,12.0,5.0,7.000000000000001,0.0,6.0
Sense and sensibility,17.0,8.0,5.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,8.0,9.0,7.000000000000001,1.0,2.0,3.0,1.0,1.0,0.0,2.0
The Boy in the Striped Pyjamas,2.0618556701030926,1.0309278350515463,2.0618556701030926,2.0618556701030926,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,0.0,2.0618556701030926,0.0,0.0,0.0
The Great Gatsby,53.70370370370371,33.33333333333333,27.77777777777778,50.0,18.51851851851852,29.629629629629626,16.666666666666664,12.962962962962962,0.0,14.814814814814813,37.03703703703704,35.18518518518518,33.33333333333333,55.55555555555556,25.925925925925924,20.37037037037037,16.666666666666664,11.11111111111111,7.4074074074074066,11.11111111111111
The Handmaid s Tale,15.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,28.767123287671232,20.54794520547945,27.397260273972602,2.73972602739726,2.73972602739726,1.36986301369863,1.36986301369863,0.0,0.0,1.36986301369863,9.58904109589041,17.80821917808219,43.83561643835616,1.36986301369863,4.10958904109589,1.36986301369863,1.36986301369863,1.36986301369863,0.0,1.36986301369863
