,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,46.666666666666664,35.0,8.333333333333332,5.0,6.666666666666667,8.333333333333332,5.0,5.0,0.0,8.333333333333332,50.0,83.33333333333334,6.666666666666667,5.0,6.666666666666667,6.666666666666667,3.3333333333333335,5.0,0.0,10.0
A Tale of Two Cities,18.0,6.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,9.0,6.0,1.0,9.0,1.0,1.0,0.0,1.0,0.0,1.0
A thousand splendid suns,4.25531914893617,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,55.00000000000001,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0
Adventures of Sherlock Holmes,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,86.95652173913044,32.608695652173914,19.565217391304348,8.695652173913043,21.73913043478261,34.78260869565217,6.521739130434782,21.73913043478261,0.0,19.565217391304348,86.95652173913044,21.73913043478261,17.391304347826086,28.26086956521739,21.73913043478261,26.08695652173913,8.695652173913043,13.043478260869565,0.0,17.391304347826086
Dracula,27.77777777777778,21.11111111111111,6.666666666666667,1.1111111111111112,4.444444444444445,3.3333333333333335,1.1111111111111112,1.1111111111111112,0.0,1.1111111111111112,21.11111111111111,8.88888888888889,6.666666666666667,5.555555555555555,5.555555555555555,3.3333333333333335,1.1111111111111112,1.1111111111111112,0.0,2.2222222222222223
Dune,41.0,27.0,6.0,22.0,18.0,20.0,10.0,16.0,0.0,18.0,31.0,23.0,12.0,16.0,18.0,21.0,11.0,16.0,0.0,18.0
Fahrenheit 451,6.666666666666667,30.0,8.333333333333332,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,0.0,1.6666666666666667,23.333333333333332,16.666666666666664,0.0,1.6666666666666667,1.6666666666666667,5.0,1.6666666666666667,0.0,0.0
Frankenstein,62.745098039215684,9.803921568627452,0.0,1.9607843137254901,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Potter and the Deathly Hallows,5.0,4.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Of Mice and Men,33.33333333333333,4.166666666666666,0.0,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,6.25,2.083333333333333,0.0,0.0,2.083333333333333,0.0,0.0,2.083333333333333,0.0,0.0
Percy Jackson The Lightning Thief,3.0927835051546393,0.0,0.0,0.0,0.0,2.0618556701030926,0.0,0.0,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,64.0,31.0,7.000000000000001,9.0,6.0,5.0,4.0,2.0,0.0,0.0,85.0,28.000000000000004,13.0,8.0,5.0,6.0,4.0,0.0,0.0,4.0
Sense and sensibility,11.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
The Boy in the Striped Pyjamas,5.154639175257731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0309278350515463,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,0.0
The Great Gatsby,50.0,29.629629629629626,3.7037037037037033,9.25925925925926,20.37037037037037,7.4074074074074066,11.11111111111111,9.25925925925926,0.0,3.7037037037037033,37.03703703703704,27.77777777777778,9.25925925925926,40.74074074074074,9.25925925925926,7.4074074074074066,11.11111111111111,7.4074074074074066,0.0,0.0
The Handmaid s Tale,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,50.68493150684932,17.80821917808219,2.73972602739726,0.0,1.36986301369863,2.73972602739726,0.0,0.0,0.0,0.0,12.32876712328767,16.43835616438356,17.80821917808219,1.36986301369863,4.10958904109589,1.36986301369863,0.0,0.0,0.0,0.0
