,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,78.33333333333333,46.666666666666664,38.333333333333336,11.666666666666666,13.333333333333334,16.666666666666664,8.333333333333332,3.3333333333333335,13.333333333333334,16.666666666666664,40.0,18.333333333333332,8.333333333333332,6.666666666666667,1.6666666666666667,0.0,1.6666666666666667,0.0,1.6666666666666667,5.0
A Tale of Two Cities,39.0,3.0,9.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,12.0,2.0,4.0,4.0,2.0,3.0,1.0,4.0,0.0,4.0
A thousand splendid suns,6.382978723404255,4.25531914893617,0.0,4.25531914893617,0.0,0.0,0.0,0.0,0.0,0.0,4.25531914893617,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,71.0,7.000000000000001,0.0,1.0,12.0,8.0,2.0,1.0,10.0,5.0,51.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0
Adventures of Sherlock Holmes,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,84.78260869565217,41.30434782608695,23.91304347826087,41.30434782608695,26.08695652173913,15.217391304347828,6.521739130434782,4.3478260869565215,8.695652173913043,19.565217391304348,52.17391304347826,15.217391304347828,6.521739130434782,2.1739130434782608,6.521739130434782,4.3478260869565215,2.1739130434782608,0.0,0.0,0.0
Dracula,73.33333333333333,35.55555555555556,4.444444444444445,5.555555555555555,17.77777777777778,10.0,4.444444444444445,5.555555555555555,6.666666666666667,11.11111111111111,16.666666666666664,7.777777777777778,5.555555555555555,5.555555555555555,3.3333333333333335,4.444444444444445,1.1111111111111112,3.3333333333333335,0.0,4.444444444444445
Dune,59.0,33.0,33.0,17.0,10.0,11.0,5.0,7.000000000000001,3.0,14.000000000000002,32.0,13.0,18.0,10.0,7.000000000000001,10.0,4.0,6.0,2.0,11.0
Fahrenheit 451,30.0,8.333333333333332,10.0,5.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,20.0,3.3333333333333335,5.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0
Frankenstein,81.25,47.91666666666667,35.41666666666667,37.5,14.583333333333334,12.5,12.5,8.333333333333332,0.0,12.5,56.25,25.0,12.5,10.416666666666668,8.333333333333332,6.25,6.25,8.333333333333332,0.0,4.166666666666666
Harry Potter and the Deathly Hallows,34.0,8.0,0.0,8.0,3.0,4.0,1.0,0.0,1.0,4.0,8.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
Of Mice and Men,54.166666666666664,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,2.083333333333333,2.083333333333333,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,1.3157894736842104,0.0,0.0,2.631578947368421,,,,,,,0.0,0.0,1.3157894736842104,0.0,,,,,,
Percy Jackson The Lightning Thief,20.0,0.0,0.0,0.0,3.1578947368421053,3.1578947368421053,0.0,0.0,1.0526315789473684,0.0,7.368421052631578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,86.86868686868688,49.494949494949495,19.19191919191919,7.07070707070707,12.121212121212121,6.0606060606060606,7.07070707070707,7.07070707070707,15.151515151515152,12.121212121212121,91.91919191919192,12.121212121212121,4.040404040404041,8.080808080808081,6.0606060606060606,7.07070707070707,4.040404040404041,6.0606060606060606,3.0303030303030303,7.07070707070707
Sense and sensibility,20.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
The Boy in the Striped Pyjamas,7.000000000000001,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,79.62962962962963,20.37037037037037,9.25925925925926,12.962962962962962,1.8518518518518516,3.7037037037037033,3.7037037037037033,3.7037037037037033,5.555555555555555,9.25925925925926,18.51851851851852,3.7037037037037033,3.7037037037037033,5.555555555555555,0.0,0.0,0.0,0.0,0.0,1.8518518518518516
The Handmaid s Tale,71.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,57.534246575342465,23.28767123287671,9.58904109589041,30.136986301369863,1.36986301369863,0.0,0.0,0.0,0.0,1.36986301369863,12.32876712328767,1.36986301369863,4.10958904109589,0.0,0.0,0.0,0.0,0.0,1.36986301369863,0.0
