,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,95.0,93.33333333333333,88.33333333333333,85.0,71.66666666666667,75.0,48.333333333333336,21.666666666666668,48.333333333333336,78.33333333333333,83.33333333333334,80.0,75.0,20.0,45.0,51.66666666666667,31.666666666666664,6.666666666666667,8.333333333333332,60.0
A Tale of Two Cities,99.0,67.0,76.0,70.0,47.0,21.0,41.0,56.00000000000001,17.0,34.0,92.0,51.0,72.0,31.0,45.0,35.0,40.0,46.0,0.0,47.0
A thousand splendid suns,59.57446808510638,10.638297872340425,0.0,40.42553191489361,21.27659574468085,10.638297872340425,14.893617021276595,2.127659574468085,0.0,21.27659574468085,19.148936170212767,6.382978723404255,0.0,14.893617021276595,0.0,2.127659574468085,0.0,0.0,2.127659574468085,10.638297872340425
Adventures of Huckleberry Finn,77.0,52.0,40.0,26.0,28.999999999999996,38.0,12.0,5.0,8.0,18.0,68.0,13.0,10.0,5.0,10.0,12.0,1.0,2.0,2.0,13.0
Adventures of Sherlock Holmes,9.0,4.0,2.0,2.0,6.0,7.000000000000001,0.0,6.0,1.0,6.0,11.0,2.0,1.0,5.0,0.0,1.0,1.0,4.0,0.0,1.0
Alice in Wonderland,100.0,95.65217391304348,50.0,97.82608695652173,80.43478260869566,69.56521739130434,39.130434782608695,91.30434782608695,34.78260869565217,60.86956521739131,97.82608695652173,76.08695652173914,95.65217391304348,76.08695652173914,76.08695652173914,82.6086956521739,30.434782608695656,50.0,36.95652173913043,89.13043478260869
Dracula,94.44444444444444,94.44444444444444,78.88888888888889,60.0,54.44444444444444,51.11111111111111,25.555555555555554,45.55555555555556,15.555555555555555,64.44444444444444,71.11111111111111,51.11111111111111,53.333333333333336,22.22222222222222,28.888888888888886,32.22222222222222,17.77777777777778,22.22222222222222,4.444444444444445,31.11111111111111
Dune,96.0,82.0,62.0,57.99999999999999,20.0,27.0,15.0,22.0,18.0,33.0,56.00000000000001,24.0,38.0,17.0,17.0,21.0,14.000000000000002,17.0,1.0,22.0
Fahrenheit 451,28.235294117647058,25.882352941176475,24.705882352941178,23.52941176470588,34.11764705882353,83.52941176470588,8.235294117647058,71.76470588235294,4.705882352941177,80.0,22.35294117647059,18.823529411764707,22.35294117647059,15.294117647058824,9.411764705882353,22.35294117647059,5.88235294117647,17.647058823529413,0.0,21.176470588235293
Frankenstein,96.07843137254902,86.27450980392157,72.54901960784314,70.58823529411765,39.21568627450981,56.86274509803921,33.33333333333333,47.05882352941176,3.9215686274509802,60.78431372549019,82.35294117647058,54.90196078431373,52.94117647058824,37.254901960784316,25.49019607843137,39.21568627450981,15.686274509803921,35.294117647058826,7.8431372549019605,39.21568627450981
Harry Potter and the Deathly Hallows,64.0,44.0,48.0,24.0,6.0,7.000000000000001,3.0,1.0,2.0,12.0,35.0,41.0,20.0,16.0,3.0,1.0,0.0,5.0,1.0,3.0
Of Mice and Men,95.83333333333334,58.333333333333336,20.833333333333336,35.41666666666667,43.75,47.91666666666667,22.916666666666664,33.33333333333333,6.25,45.83333333333333,56.25,16.666666666666664,27.083333333333332,4.166666666666666,25.0,27.083333333333332,14.583333333333334,12.5,2.083333333333333,35.41666666666667
Paper Towns,72.36842105263158,53.94736842105263,64.47368421052632,36.84210526315789,,,,,,,53.94736842105263,32.89473684210527,34.21052631578947,2.631578947368421,,,,,,
Percy Jackson The Lightning Thief,42.2680412371134,3.0927835051546393,3.0927835051546393,1.0309278350515463,15.463917525773196,32.98969072164948,8.24742268041237,9.278350515463918,2.0618556701030926,16.49484536082474,8.24742268041237,0.0,2.0618556701030926,0.0,5.154639175257731,15.463917525773196,3.0927835051546393,0.0,0.0,2.0618556701030926
Pride and Prejudice,99.0,97.0,52.0,56.00000000000001,65.0,68.0,30.0,53.0,66.0,72.0,98.0,70.0,77.0,38.0,41.0,46.0,22.0,34.0,44.0,54.0
Sense and sensibility,96.0,77.0,34.0,37.0,51.0,59.0,27.0,24.0,4.0,30.0,89.0,54.0,54.0,10.0,17.0,17.0,11.0,17.0,4.0,27.0
The Boy in the Striped Pyjamas,72.0,19.0,53.0,24.0,11.0,19.0,1.0,0.0,20.0,11.0,32.0,3.0,17.0,5.0,1.0,2.0,0.0,0.0,2.0,3.0
The Great Gatsby,96.29629629629629,81.48148148148148,55.55555555555556,55.55555555555556,50.0,57.407407407407405,37.03703703703704,37.03703703703704,29.629629629629626,57.407407407407405,61.111111111111114,42.592592592592595,46.2962962962963,27.77777777777778,24.074074074074073,25.925925925925924,22.22222222222222,22.22222222222222,20.37037037037037,31.48148148148148
The Handmaid s Tale,80.0,43.0,23.0,19.0,12.0,30.0,4.0,14.000000000000002,2.0,13.0,10.0,1.0,2.0,4.0,4.0,8.0,0.0,5.0,0.0,6.0
The Picture of Dorian Gray,87.67123287671232,78.08219178082192,67.12328767123287,50.68493150684932,35.61643835616438,36.986301369863014,23.28767123287671,47.94520547945205,23.28767123287671,42.465753424657535,49.31506849315068,34.24657534246575,36.986301369863014,10.95890410958904,21.91780821917808,16.43835616438356,10.95890410958904,2.73972602739726,5.47945205479452,19.17808219178082
