,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,71.66666666666667,56.666666666666664,56.666666666666664,43.333333333333336,21.666666666666668,23.333333333333332,13.333333333333334,8.333333333333332,36.666666666666664,28.333333333333332,40.0,41.66666666666667,41.66666666666667,6.666666666666667,10.0,11.666666666666666,8.333333333333332,5.0,20.0,15.0
A Tale of Two Cities,60.0,15.0,18.0,24.0,16.0,14.000000000000002,9.0,5.0,18.0,15.0,22.0,14.000000000000002,20.0,18.0,6.0,8.0,5.0,5.0,7.000000000000001,8.0
A thousand splendid suns,6.382978723404255,12.76595744680851,4.25531914893617,10.638297872340425,2.127659574468085,4.25531914893617,2.127659574468085,2.127659574468085,0.0,2.127659574468085,6.382978723404255,6.382978723404255,0.0,4.25531914893617,2.127659574468085,2.127659574468085,0.0,0.0,0.0,4.25531914893617
Adventures of Huckleberry Finn,83.0,20.0,1.0,0.0,11.0,15.0,4.0,1.0,19.0,15.0,65.0,4.0,6.0,5.0,3.0,3.0,2.0,0.0,9.0,4.0
Adventures of Sherlock Holmes,14.000000000000002,2.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Alice in Wonderland,89.13043478260869,84.78260869565217,78.26086956521739,78.26086956521739,41.30434782608695,58.69565217391305,13.043478260869565,21.73913043478261,43.47826086956522,60.86956521739131,65.21739130434783,47.82608695652174,71.73913043478261,39.130434782608695,21.73913043478261,23.91304347826087,6.521739130434782,15.217391304347828,23.91304347826087,39.130434782608695
Dracula,80.0,58.88888888888889,38.88888888888889,25.555555555555554,26.666666666666668,20.0,6.666666666666667,3.3333333333333335,10.0,17.77777777777778,35.55555555555556,22.22222222222222,28.888888888888886,20.0,16.666666666666664,13.333333333333334,5.555555555555555,3.3333333333333335,11.11111111111111,10.0
Dune,67.0,39.0,56.00000000000001,28.999999999999996,25.0,23.0,11.0,17.0,7.000000000000001,20.0,43.0,26.0,37.0,20.0,20.0,21.0,10.0,17.0,2.0,17.0
Fahrenheit 451,28.333333333333332,46.666666666666664,33.33333333333333,11.666666666666666,10.0,6.666666666666667,5.0,5.0,10.0,10.0,18.333333333333332,33.33333333333333,26.666666666666668,3.3333333333333335,5.0,5.0,3.3333333333333335,1.6666666666666667,1.6666666666666667,3.3333333333333335
Frankenstein,90.19607843137256,68.62745098039215,52.94117647058824,49.01960784313725,35.294117647058826,27.450980392156865,9.803921568627452,3.9215686274509802,9.803921568627452,37.254901960784316,74.50980392156863,37.254901960784316,15.686274509803921,1.9607843137254901,7.8431372549019605,5.88235294117647,9.803921568627452,0.0,5.88235294117647,9.803921568627452
Harry Potter and the Deathly Hallows,31.0,8.0,1.0,3.0,8.0,6.0,2.0,1.0,3.0,4.0,11.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0
Of Mice and Men,70.83333333333334,16.666666666666664,0.0,12.5,10.416666666666668,10.416666666666668,8.333333333333332,12.5,10.416666666666668,14.583333333333334,35.41666666666667,6.25,14.583333333333334,4.166666666666666,4.166666666666666,8.333333333333332,4.166666666666666,4.166666666666666,4.166666666666666,6.25
Percy Jackson The Lightning Thief,26.804123711340207,0.0,0.0,1.0309278350515463,0.0,5.154639175257731,1.0309278350515463,1.0309278350515463,0.0,1.0309278350515463,8.24742268041237,0.0,0.0,1.0309278350515463,0.0,2.0618556701030926,0.0,2.0618556701030926,1.0309278350515463,0.0
Pride and Prejudice,91.0,59.0,27.0,32.0,28.999999999999996,14.000000000000002,20.0,8.0,45.0,24.0,87.0,45.0,61.0,12.0,11.0,7.000000000000001,7.000000000000001,7.000000000000001,34.0,11.0
Sense and sensibility,28.999999999999996,12.0,1.0,5.0,4.0,4.0,2.0,1.0,1.0,7.000000000000001,12.0,12.0,9.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0
The Boy in the Striped Pyjamas,10.309278350515463,4.123711340206185,3.0927835051546393,5.154639175257731,1.0309278350515463,0.0,1.0309278350515463,0.0,0.0,0.0,4.123711340206185,0.0,4.123711340206185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,87.03703703703704,55.55555555555556,38.88888888888889,72.22222222222221,40.74074074074074,40.74074074074074,31.48148148148148,18.51851851851852,46.2962962962963,42.592592592592595,50.0,38.88888888888889,53.70370370370371,62.96296296296296,22.22222222222222,24.074074074074073,20.37037037037037,12.962962962962962,35.18518518518518,29.629629629629626
The Handmaid s Tale,77.0,21.0,17.0,6.0,2.0,2.0,1.0,0.0,11.0,0.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
The Picture of Dorian Gray,56.16438356164384,52.054794520547944,58.9041095890411,26.027397260273972,20.54794520547945,16.43835616438356,8.21917808219178,1.36986301369863,24.65753424657534,12.32876712328767,26.027397260273972,24.65753424657534,50.68493150684932,1.36986301369863,5.47945205479452,4.10958904109589,4.10958904109589,0.0,10.95890410958904,2.73972602739726
