,en,es,tr,vi,st,yo,tn,ty,mai,mg,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,75.0,55.00000000000001,35.0,13.333333333333334,20.0,21.666666666666668,8.333333333333332,5.0,15.0,23.333333333333332,10.0,8.333333333333332,8.333333333333332,5.0,3.3333333333333335,13.333333333333334
A Tale of Two Cities,71.0,17.0,22.0,17.0,9.0,2.0,7.000000000000001,5.0,3.0,5.0,5.0,4.0,3.0,4.0,1.0,4.0
A thousand splendid suns,6.382978723404255,8.51063829787234,2.127659574468085,4.25531914893617,2.127659574468085,2.127659574468085,0.0,2.127659574468085,0.0,2.127659574468085,2.127659574468085,0.0,0.0,0.0,0.0,2.127659574468085
Adventures of Huckleberry Finn,87.0,24.0,18.0,3.0,6.0,10.0,2.0,0.0,9.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0
Adventures of Sherlock Holmes,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,97.82608695652173,84.78260869565217,34.78260869565217,41.30434782608695,32.608695652173914,54.347826086956516,10.869565217391305,23.91304347826087,15.217391304347828,54.347826086956516,19.565217391304348,28.26086956521739,6.521739130434782,10.869565217391305,13.043478260869565,30.434782608695656
Dracula,78.88888888888889,54.44444444444444,41.11111111111111,24.444444444444443,22.22222222222222,16.666666666666664,4.444444444444445,2.2222222222222223,7.777777777777778,12.222222222222221,8.88888888888889,12.222222222222221,2.2222222222222223,3.3333333333333335,5.555555555555555,7.777777777777778
Dune,72.0,53.0,47.0,28.999999999999996,21.0,22.0,10.0,16.0,4.0,22.0,21.0,21.0,10.0,17.0,3.0,20.0
Fahrenheit 451,35.0,43.333333333333336,20.0,5.0,6.666666666666667,6.666666666666667,6.666666666666667,5.0,5.0,6.666666666666667,1.6666666666666667,5.0,3.3333333333333335,1.6666666666666667,0.0,1.6666666666666667
Frankenstein,92.15686274509804,68.62745098039215,33.33333333333333,37.254901960784316,15.686274509803921,9.803921568627452,5.88235294117647,1.9607843137254901,7.8431372549019605,15.686274509803921,1.9607843137254901,0.0,0.0,0.0,0.0,0.0
Harry Potter and the Deathly Hallows,37.0,28.000000000000004,26.0,14.000000000000002,8.0,8.0,2.0,3.0,4.0,9.0,3.0,2.0,0.0,3.0,1.0,4.0
Of Mice and Men,54.166666666666664,20.833333333333336,4.166666666666666,4.166666666666666,8.333333333333332,10.416666666666668,6.25,6.25,6.25,12.5,6.25,8.333333333333332,4.166666666666666,4.166666666666666,0.0,10.416666666666668
Paper Towns,34.21052631578947,21.052631578947366,26.31578947368421,19.736842105263158,0.0,1.3157894736842104,0.0,0.0,0.0,1.3157894736842104,0.0,0.0,0.0,0.0,0.0,1.3157894736842104
Percy Jackson The Lightning Thief,16.49484536082474,0.0,1.0309278350515463,0.0,3.0927835051546393,5.154639175257731,4.123711340206185,2.0618556701030926,1.0309278350515463,5.154639175257731,1.0309278350515463,2.0618556701030926,2.0618556701030926,0.0,0.0,2.0618556701030926
Pride and Prejudice,89.0,61.0,22.0,13.0,8.0,7.000000000000001,7.000000000000001,7.000000000000001,11.0,9.0,8.0,7.000000000000001,4.0,5.0,0.0,8.0
Sense and sensibility,51.0,16.0,15.0,8.0,5.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,1.0
The Boy in the Striped Pyjamas,14.432989690721648,4.123711340206185,7.216494845360824,6.185567010309279,0.0,0.0,0.0,0.0,1.0309278350515463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,85.18518518518519,51.85185185185185,38.88888888888889,51.85185185185185,29.629629629629626,31.48148148148148,16.666666666666664,16.666666666666664,16.666666666666664,31.48148148148148,16.666666666666664,16.666666666666664,9.25925925925926,11.11111111111111,9.25925925925926,14.814814814814813
The Handmaid s Tale,74.0,12.0,4.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,56.16438356164384,47.94520547945205,39.726027397260275,16.43835616438356,5.47945205479452,2.73972602739726,1.36986301369863,0.0,2.73972602739726,2.73972602739726,1.36986301369863,1.36986301369863,0.0,0.0,0.0,1.36986301369863
