en,en_results,Single_ent,en_shuffled,en_shuffled_results
"I [29m] have been friends with Chad [32m] since we were born. Our moms are best friends and we grew up together and were roommates for the last 10 years, up until the incident that set our current situation into motion.","Based on the passage provided, I'm going to take a guess. The writing style and content seem to be from a contemporary novel, possibly a thriller or a mystery. The mention of an ""incident"" that sets the current situation into motion suggests a plot-driven narrative.  Given the informal tone and the use of modern language, I'm going to take a chance and guess that the passage is from a book that may not be a classic, but rather a more recent publication.  Here's my output:  ",['chad'],"with have and moms since friends situation the up motion. 10 up together born. we incident I that Chad we [29m] into were and our years, current last Our [32m] friends the were set until for best are been grew roommates","""title"": ""Unknown or possibly a self-published/cont"
"Anyway, forward to five months ago. I dated Hope [28f] for a few weeks. Not a big deal. We decided we weren’t feeling it, no chemistry, so we called it quits. And then lo and behold she hits it off with Chad. Of course in true Good Luck Charm fashion, this means Chad is her soulmate. Chad is all googly-eyed over her, they’ve met the parents, they’re ring shopping—and they want to move in together. Immediately.","Based on the passage provided, I'm going to take a guess that this passage originates from a contemporary work, possibly a romantic comedy or a memoir. The writing style, language, and content suggest a modern and informal tone, which is often found in online forums, blogs, or social media platforms. However, since it's a passage from a book, I'll try to make an educated guess.  The passage seems to be written in a style similar to that of authors who write humorous, relatable",['chad'],"I so we months move dated feeling they is called a fashion, her chemistry, we deal. Anyway, her, We with she quits. lo forward a want googly-eyed ring decided means weeks. then few all five soulmate. the it Charm course no over Of Chad for weren’t Chad. and Not Hope Chad they’ve in big shopping—and ago. true in they’re to Immediately. [28f] hits it, to met is together. And Luck off this it behold Good parents,","""title"": ""The Hating Game"",""author"": ""Sally Thorne"""
"The only problem is that Chad has six more months on our lease but found a perfect new house for him and Hope, and he can’t afford to pay rent on two places at the same time. So he had to make the difficult decision to screw me over or screw her over—and he picked me. Now I have to find a way to cover his rent until the lease is up.","""title"": ""Is Everyone Hanging Out Without Me?"",""author",['chad'],"problem pay months screw him six or over lease places perfect he me over—and make to is he cover that house our a rent more and new same a screw only to Now had The have way and is rent found the Hope, Chad decision his but So for on her at two until me. he time. up. afford can’t the the find lease to to to on difficult has picked I","Based on the provided passage, I'm going to take a guess. The writing style and content seem to be from a contemporary or modern novel, possibly in the genre of young adult or romance. The passage appears to be a character's inner monologue or dialogue, discussing a personal problem related to rent and a lease.  Given the informal tone and language used, I'm going to take a chance and make an educated guess. Please note that I'm not certain, and this is just a tentative identification"
"I’m annoyed, but I decided to try to find a reason to spend more time outside so I don’t have to stare out my window. I’ve always wanted a dog, but Chad would never agree to it. So I went to a rescue and found the ugliest animal there. The one so hideous, nobody else wanted it. This dog’s got an underbite and mange, and he’s missing half an ear. He’s a little Brussels Griffon, so he’s got that deep frown—he looks like a judgmental gremlin. I adopted him and named him Chad since the dog is now my new best friend. If you’re reading this, you’re dead to me, human Chad. (Not really, I still love the guy.) But I tag him in the captions of every Chad the Dog Instagram post with “Look, a loyal Chad!”","Based on the passage provided, I'm going to take a guess that the book is a contemporary work, possibly a memoir or a humorous essay collection. The writing style and tone seem to match the author's voice and style in ""Is Everyone Hanging Out Without Me? (And Other Concerns)"" or ""Why Not Me?"", but the content doesn't quite fit. However, the tone and style are similar to those of Mindy Kaling.  After careful consideration, I'm going to take a guess",['chad'],"looks He’s Chad!” stare human Chad. Dog an window. it. Chad a never I rescue the a you’re always time every frown—he but nobody ugliest half wanted don’t a he’s still tag is named a adopted with annoyed, judgmental I I to like So But the Instagram him hideous, went him of my guy.) decided else Chad dog I to the so and (Not agree animal missing this, I’m reading got This new would gremlin. an I dead I’ve and the one to that I best so love wanted friend. a a to more there. to me, but really, dog’s it. reason “Look, The ear. spend Griffon, mange, underbite in and you’re found my try post find captions to got now he’s loyal dog, him little Brussels deep out so have Chad the outside since If to and","Based on the passage provided, I'm going to take a guess that the book is a humorous, lighthearted novel, possibly a memoir or essay collection, given the informal tone and the reference to Instagram. The writing style and the focus on a personal, relatable story suggest a contemporary author.  Given these clues, I'm going to take a chance and guess that the passage originates from ""Dogs Are the Best"" or a similar title, but a more likely match seems to be"
"I tilted my head so my braid fell to one side and held up four fingers. Maddy didn’t look happy, but she took the picture with my phone, then handed it back to me.","""title"": ""To All the Boys I've Loved Before"", ""author"": ""Jenny Han""",['maddy'],"one my Maddy up me. side handed to she my held so but look the then fell I took fingers. tilted four picture with my and didn’t head happy, phone, it braid back to","""title"": ""Eleanor &amp; Park"",""author"": ""Rainbow Rowell"""
"“That dog trusts him,” Maddy said. “And that’s a rescue dog, so that means something. They’re usually all skittish and freaked out.” She went quiet again looking at his wall. “Go down further,” Maddy said. “The billboard.”","""title"": ""The Fault in Our Stars"",""author"": ""John Green""",['maddy'],"wall. down “Go “That means out.” trusts all something. at She looking that’s so Maddy further,” billboard.” a dog, his said. “And skittish quiet said. him,” dog rescue again and Maddy that “The usually freaked They’re went","""title"": ""I Am Not Okay With This"",""author"": ""Charles Forsman"""
"That night after work Maddy made dinner. Grilled portobello mushrooms and rice pilaf. I did the dishes and cleaned the kitchen, then took a shower and blew out my hair.","""title"": ""Conversations with Friends"",""author"": ""Sally Rooney""",['maddy'],"and out made my Maddy That work and kitchen, dinner. portobello mushrooms the and dishes I shower did a cleaned blew took the then rice hair. after night Grilled pilaf.","Based on the given passage, I'm going to take a guess. The writing style and content seem informal and focused on everyday activities, which might suggest a contemporary or modern work, possibly a memoir, diary, or a novel with a strong focus on character's daily life. However, without more context or specific references to events, characters, or settings that are widely recognized, it's challenging to pinpoint the exact book and author.  Given the difficulty in identifying a specific match, my guess is somewhat speculative"
"“Sorry, I had to give Brad his dewormer. I brought some for you too. Faith said you’ve been dragging your ass on the carpet?”","""title"": ""The Dogist"",""author"": ""Ellen Miles""",['brad'],"your “Sorry, give Brad on Faith for you’ve I dewormer. brought had you been the dragging some said to carpet?” too. ass his I","""title"": ""Good Omens"",""author"": ""Terry Pratchett and Neil Gaiman"""
"My best friend was in a Hawaiian shirt and pink cargo shorts. He was a general manager at Trader Joe’s. I missed not having to go to the grocery store now that he had moved out. Actually, I missed a lot of things now that Brad had moved out. Like having another human to talk to, even if it was this one.","Based on the passage provided, I'm going to take a guess that the book is a work of contemporary fiction, possibly a humorous or satirical novel. The mention of Trader Joe's and the casual, conversational tone suggest a modern setting and a focus on everyday life.  With that in mind, I'm going to take a stab in the dark and guess that the passage comes from the book ""Where'd You Go, Bernadette"" by Maria Semple. However, I'm not entirely",['brad'],"out. the at this if talk friend shorts. Like he had a having out. now was another that Hawaiian was shirt to, to Trader Actually, moved one. not lot of Brad even I it missed a I My that and to He general was manager grocery a cargo had moved things human to go store Joe’s. having pink best now missed in","Based on the provided passage, I'm going to take a guess. The writing style and content seem to resemble the works of Ernest Hemingway or possibly another 20th-century American author known for simple, direct prose. However, without more context or a clearer narrative, it's challenging to pinpoint the exact book. The mention of a ""Hawaiian shirt"" and a ""Trader"" might suggest a setting or character type that could be found in various works of American literature from the mid-"
"“This is true,” Brad said, looking at his phone. “We are assholes. But only to each other. It’s the foundation of our friendship.”","""title"": ""It's Kind of a Funny Story"",""author"": ""Ned Vizzini""",['brad'],"foundation Brad the phone. of But assholes. his It’s “We true,” other. our at looking are each said, friendship.” to “This is only","""title"": ""The Perks of Being a Wallflower"",""author"": ""Stephen Chbosky""&lt;/"
"Brad nodded at me. “You know, if she’s got the same thing you do, if you guys date each other, you’ll both find your soulmates when you break up.”","""title"": ""The Perks of Being a Wallflower"",""author"": ""Stephen Chbosky""",['brad'],"you got guys if know, you up.” soulmates the each break if at nodded other, find Brad you you’ll she’s both your when same do, date thing “You me.","""title"": ""The Soulmate Equation"",""author"": ""Christina Lauren"""
"They were starting to do the couples thing for all the trips and birthdays. They were all going up to Lutsen in October to go hiking. They asked me if I wanted to go, but I didn’t. Not alone.","""title"": ""Conversations with Friends"",""author"": ""Sally Rooney""",['lutsen'],"Not to Lutsen the birthdays. They do were didn’t. to starting all couples They go, They for if going asked the me hiking. to all wanted and were October alone. up I but go trips thing I to in","""title"": ""Ulysses"", ""author"": ""James Joyce"""
"Brad took a swallow of his drink. “Ask that nurse out. Go wherever she is. Pitch the idea to her, she might be into it.”","""title"": ""Unknown/Unidentified"",""author"": ""Unknown/Unidentified""",['brad'],"is. it.” drink. she took her, his into “Ask to idea Brad swallow wherever of Go a be Pitch out. nurse she the might that","""title"": ""To Kill a Mock"
"“Yeah,” Brad said. “She dates you, you guys break up, and she rides happily into the sunset too. It’s a win-win. Seriously. This is your chance. If you don’t do something you’re gonna spend the rest of your life sending women on to their forever families and never getting one for you.”","Based on the passage provided, I'm going to take a guess that the book is a contemporary romance or young adult novel. The tone and language used suggest a modern setting and a lighthearted, conversational style.  With that in mind, I'm going to take a chance and guess that the passage originates from the book ""The Friend Zone"" by Kristen Callihan, but a more likely match is ""The Friend Zone"" is not it, after reevaluating, a more likely",['brad'],"women you she chance. “She gonna and your break Seriously. sunset their rides into If happily families getting Brad you.” life dates “Yeah,” on said. for the to one too. you’re and something do It’s your you This guys a spend the rest up, sending don’t win-win. of never is forever you,","""title"": ""The Rules"",""author"": ""Ell"
