,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,60.0,23.333333333333332,16.666666666666664,5.0,3.3333333333333335,11.666666666666666,0.0,1.6666666666666667,0.0,8.333333333333332,31.666666666666664,6.666666666666667,6.666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,3.3333333333333335
A Tale of Two Cities,25.0,3.0,6.0,11.0,2.0,4.0,2.0,4.0,0.0,4.0,8.0,3.0,7.000000000000001,30.0,3.0,4.0,1.0,3.0,1.0,4.0
A thousand splendid suns,0.0,0.0,0.0,0.0,0.0,4.25531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,82.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,44.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0
Adventures of Sherlock Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,95.65217391304348,4.3478260869565215,0.0,4.3478260869565215,8.695652173913043,8.695652173913043,0.0,2.1739130434782608,0.0,4.3478260869565215,36.95652173913043,0.0,0.0,0.0,2.1739130434782608,4.3478260869565215,0.0,0.0,0.0,0.0
Dracula,20.0,10.0,4.444444444444445,4.444444444444445,4.444444444444445,4.444444444444445,2.2222222222222223,4.444444444444445,0.0,4.444444444444445,11.11111111111111,3.3333333333333335,2.2222222222222223,4.444444444444445,3.3333333333333335,4.444444444444445,1.1111111111111112,3.3333333333333335,0.0,4.444444444444445
Dune,25.0,10.0,5.0,11.0,5.0,8.0,4.0,6.0,0.0,8.0,16.0,7.000000000000001,9.0,9.0,6.0,8.0,3.0,5.0,0.0,8.0
Fahrenheit 451,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,58.333333333333336,20.833333333333336,6.25,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,0.0,4.166666666666666,39.58333333333333,6.25,6.25,6.25,4.166666666666666,4.166666666666666,4.166666666666666,4.166666666666666,0.0,4.166666666666666
Harry Potter and the Deathly Hallows,27.0,0.0,5.0,1.0,2.0,6.0,0.0,0.0,0.0,5.0,10.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0
Of Mice and Men,35.41666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,1.3157894736842104,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,12.631578947368421,2.1052631578947367,0.0,1.0526315789473684,2.1052631578947367,8.421052631578947,1.0526315789473684,0.0,0.0,0.0,4.2105263157894735,0.0,2.1052631578947367,0.0,1.0526315789473684,3.1578947368421053,0.0,0.0,0.0,0.0
Pride and Prejudice,87.87878787878788,21.21212121212121,7.07070707070707,6.0606060606060606,3.0303030303030303,3.0303030303030303,2.0202020202020203,2.0202020202020203,2.0202020202020203,0.0,74.74747474747475,7.07070707070707,5.05050505050505,6.0606060606060606,3.0303030303030303,4.040404040404041,3.0303030303030303,2.0202020202020203,0.0,1.0101010101010102
Sense and sensibility,4.0,4.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0
The Boy in the Striped Pyjamas,5.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,77.77777777777779,9.25925925925926,3.7037037037037033,16.666666666666664,1.8518518518518516,3.7037037037037033,3.7037037037037033,3.7037037037037033,1.8518518518518516,5.555555555555555,33.33333333333333,0.0,0.0,7.4074074074074066,0.0,1.8518518518518516,0.0,0.0,1.8518518518518516,1.8518518518518516
The Handmaid s Tale,17.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
The Picture of Dorian Gray,41.0958904109589,2.73972602739726,1.36986301369863,1.36986301369863,0.0,0.0,0.0,0.0,0.0,0.0,13.698630136986301,0.0,2.73972602739726,0.0,0.0,0.0,0.0,0.0,1.36986301369863,0.0
