en,en_results
"Ten days have passed, and I have yet to meet my groom. Instead, I’ve become a project—one that requires a concerted effort from an interdisciplinary crew to look weddable. A manicurist coaxes my nails into pink ovals. A facialist smacks my cheeks with relish. A hairdresser magically hides my pointed ears under a web of dark blond braids, and a makeup expert paints a different face on top of mine, something interesting and sophisticated and zygomatic.","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman"""
"“There is no going back, Misery,” he adds, not unkindly. “Once the handfasting is complete, you will be his wife.”","""title"": ""A Dance with Dragons"", ""author"": ""George R. R. Martin"""
"“I know.” I don’t need soothing, or encouragement. I’ve been nothing but unwavering in my commitment to this union. I’m not prone to panic, or fear, or last-minute changes of heart. “I’ve done this before, remember?” He studies me for a few moments, until the doors open to what’s left of my life.","""title"": ""Fifty Shades Darker"", ""author"": ""E.L. James"""
"Tough shit, buddy, I think, lifting my chin. I step forward, again, until we are standing in front of each other, this side of too close.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins"""
"So I step closer and murmur, “I don’t care how little you like this, but if you want to avoid a second Aster—”","""title"": ""Eclipse"", ""author"": ""Stephenie Meyer"""
"It was maybe a third of that, even counting the break I took in the middle after realizing how quickly I was blowing through the system. I spent it online shopping for a new hamper, since Serena’s damn cat seems to be asleep in my old one whenever I need to do laundry. I texted her a picture of the receipt, followed by You and your cat owe me sixteen dollars. Then I sat and waited for a reply, like I always do.","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman"""
"“You should not feel anger, but pride. The right choice is the one that ensures happiness for the largest number of people. And you were the means to that choice.”","""title"": ""The Giver"", ""author"": ""Lois Lowry"""
"I slam the door shut, without first walking out of the office, and turn around, back toward Father. My heart slows to a crawl and thuds in my chest. “What did you just say?”","""title"": ""Eleanor Oliphant Is Completely Fine"", ""author"": ""Gail Honeyman"""
"There are about ten steps separating us, and I could crawl my way down in shame. But our species have been mortal enemies since electricity wasn’t a thing, which might put us beyond embarrassment. What’s some eavesdropping among foes?","""title"": ""The Lightning Thief"", ""author"": ""Rick Riordan"""
"“First dance,” he says, holding out his hand. His voice is deep, precise, economical. A man who’s used to giving orders and having them answered. I look at his long fingers, remembering how they closed on my arm. That moment of fear. Thing is, I don’t feel a lot, and when I do—","""title"": ""Neverwhere"", ""author"": ""Neil Gaiman"""
"God, it sounds weird. “In name, maybe.” I shrug, and it makes my body brush against his. His eyes do an odd thing, the pupils acting out, contracting and expanding of their own volition. Then they settle on the markings painted on my neck. He seems unwarrantedly taken by them. “I think I’m just a symbol of goodwill between our people. And Collateral.”","""title"": ""The Raven Cycle"", ""author"": ""Maggie Stiefvater"""
"His arm snatches abruptly around my waist, and he pulls me closer to avoid another couple. My front plasters against him, his scorching heat a shock to my cool skin. He really is foreign. Different. Incompatible with me in every possible way. It’s a relief when he puts some distance between us and we’re again comfortably apart. The thought of him already being in a relationship flits into my head once more, intrusive and unprompted, and I have to track down my abandoned sentence. “And you are putting yourself in the exact same situation.”","""title"": ""Twilight"", ""author"": ""Stephenie Meyer"""
"The voice is young and sullen. It worms its way under my pillow and into my ears, nudging me awake in the dead middle of the day.","""title"": ""The Graveyard Book"", ""author"": ""Neil Gaiman"""
"Serena’s poof had been quite literal. But one cannot move in the world without leaving digital traces, which could only mean one thing. One terrible, blood-curdling thing that I couldn’t even put into words in the privacy of my own head.","""title"": ""Little Fires Everywhere"", ""author"": ""Celeste Ng"""
"He looks away. He’s kind of adorable, in an I want to tie his shoelaces and blow on his skinned knee kind of way. “Do you . . . It’s probably bullshit, but I just wanted to make sure . . . Vampyres don’t, right?”","""title"": ""The Raven Cycle"", ""author"": ""Maggie Stiefvater"""
