,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,65.0,43.333333333333336,18.333333333333332,8.333333333333332,8.333333333333332,23.333333333333332,3.3333333333333335,6.666666666666667,1.6666666666666667,10.0,33.33333333333333,16.666666666666664,10.0,3.3333333333333335,1.6666666666666667,11.666666666666666,3.3333333333333335,3.3333333333333335,1.6666666666666667,11.666666666666666
A Tale of Two Cities,42.0,10.0,18.0,21.0,4.0,5.0,2.0,3.0,0.0,5.0,10.0,8.0,11.0,31.0,3.0,5.0,2.0,3.0,0.0,4.0
A thousand splendid suns,2.127659574468085,0.0,2.127659574468085,0.0,2.127659574468085,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,2.127659574468085,0.0,0.0
Adventures of Huckleberry Finn,80.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,43.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0
Adventures of Sherlock Holmes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,100.0,8.695652173913043,15.217391304347828,26.08695652173913,19.565217391304348,39.130434782608695,6.521739130434782,23.91304347826087,0.0,21.73913043478261,69.56521739130434,4.3478260869565215,17.391304347826086,26.08695652173913,13.043478260869565,21.73913043478261,2.1739130434782608,13.043478260869565,0.0,17.391304347826086
Dracula,30.0,14.444444444444443,7.777777777777778,12.222222222222221,3.3333333333333335,5.555555555555555,1.1111111111111112,1.1111111111111112,0.0,3.3333333333333335,14.444444444444443,4.444444444444445,8.88888888888889,11.11111111111111,2.2222222222222223,4.444444444444445,1.1111111111111112,1.1111111111111112,0.0,2.2222222222222223
Dune,39.0,26.0,18.0,20.0,18.0,20.0,9.0,17.0,0.0,17.0,28.999999999999996,21.0,21.0,20.0,18.0,20.0,9.0,15.0,0.0,17.0
Fahrenheit 451,21.666666666666668,30.0,23.333333333333332,5.0,5.0,6.666666666666667,3.3333333333333335,1.6666666666666667,0.0,5.0,11.666666666666666,21.666666666666668,21.666666666666668,3.3333333333333335,1.6666666666666667,3.3333333333333335,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667
Frankenstein,78.43137254901961,31.372549019607842,1.9607843137254901,1.9607843137254901,0.0,0.0,0.0,0.0,0.0,0.0,37.254901960784316,1.9607843137254901,0.0,1.9607843137254901,0.0,1.9607843137254901,0.0,0.0,0.0,0.0
Harry Potter and the Deathly Hallows,24.0,3.0,7.000000000000001,8.0,4.0,7.000000000000001,0.0,2.0,0.0,4.0,11.0,6.0,7.000000000000001,8.0,3.0,8.0,0.0,2.0,0.0,4.0
Of Mice and Men,37.5,6.25,2.083333333333333,0.0,0.0,2.083333333333333,0.0,0.0,0.0,0.0,12.5,0.0,2.083333333333333,2.083333333333333,0.0,4.166666666666666,0.0,0.0,0.0,0.0
Paper Towns,3.9473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3157894736842104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Percy Jackson The Lightning Thief,23.711340206185564,2.0618556701030926,6.185567010309279,7.216494845360824,8.24742268041237,6.185567010309279,2.0618556701030926,2.0618556701030926,0.0,4.123711340206185,6.185567010309279,0.0,3.0927835051546393,6.185567010309279,5.154639175257731,7.216494845360824,3.0927835051546393,1.0309278350515463,0.0,2.0618556701030926
Pride and Prejudice,93.0,47.0,20.0,8.0,6.0,8.0,5.0,4.0,1.0,2.0,66.0,28.000000000000004,19.0,8.0,4.0,8.0,4.0,4.0,0.0,2.0
Sense and sensibility,7.000000000000001,10.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,6.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0
The Boy in the Striped Pyjamas,8.24742268041237,1.0309278350515463,2.0618556701030926,8.24742268041237,0.0,3.0927835051546393,0.0,0.0,0.0,1.0309278350515463,3.0927835051546393,0.0,2.0618556701030926,0.0,0.0,5.154639175257731,0.0,0.0,1.0309278350515463,1.0309278350515463
The Great Gatsby,66.66666666666666,38.88888888888889,20.37037037037037,51.85185185185185,24.074074074074073,27.77777777777778,11.11111111111111,16.666666666666664,5.555555555555555,20.37037037037037,38.88888888888889,24.074074074074073,25.925925925925924,51.85185185185185,16.666666666666664,14.814814814814813,11.11111111111111,11.11111111111111,3.7037037037037033,16.666666666666664
The Handmaid s Tale,17.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,49.31506849315068,5.47945205479452,36.986301369863014,4.10958904109589,2.73972602739726,1.36986301369863,0.0,0.0,1.36986301369863,2.73972602739726,10.95890410958904,6.8493150684931505,41.0958904109589,2.73972602739726,1.36986301369863,1.36986301369863,1.36986301369863,0.0,0.0,1.36986301369863
