,en_masked,es_masked,tr_masked,vi_masked,st,yo,tn,ty,mai,mg,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,40.0,11.666666666666666,8.333333333333332,6.666666666666667,3.3333333333333335,10.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,6.666666666666667,40.0,8.333333333333332,10.0,6.666666666666667,1.6666666666666667,3.3333333333333335,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667
A Tale of Two Cities,17.0,0.0,4.0,5.0,0.0,4.0,0.0,2.0,0.0,0.0,5.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
A thousand splendid suns,2.127659574468085,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,75.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Adventures of Sherlock Holmes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,80.43478260869566,2.1739130434782608,0.0,0.0,4.3478260869565215,6.521739130434782,0.0,2.1739130434782608,0.0,4.3478260869565215,67.3913043478261,0.0,0.0,0.0,,,,,,
Dracula,10.0,4.444444444444445,2.2222222222222223,4.444444444444445,3.3333333333333335,4.444444444444445,1.1111111111111112,4.444444444444445,0.0,2.2222222222222223,4.444444444444445,3.3333333333333335,2.2222222222222223,4.444444444444445,3.3333333333333335,3.3333333333333335,1.1111111111111112,3.3333333333333335,0.0,1.1111111111111112
Dune,26.0,8.0,18.0,9.0,5.0,9.0,3.0,6.0,0.0,2.0,18.0,5.0,14.000000000000002,9.0,6.0,8.0,3.0,6.0,0.0,1.0
Fahrenheit 451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,33.33333333333333,6.25,4.166666666666666,8.333333333333332,2.083333333333333,4.166666666666666,2.083333333333333,4.166666666666666,0.0,4.166666666666666,29.166666666666668,6.25,6.25,4.166666666666666,2.083333333333333,4.166666666666666,4.166666666666666,2.083333333333333,0.0,2.083333333333333
Harry Potter and the Deathly Hallows,32.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,0.0,3.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0
Of Mice and Men,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,5.263157894736842,0.0,0.0,2.1052631578947367,0.0,2.1052631578947367,0.0,0.0,0.0,0.0,2.1052631578947367,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0
Pride and Prejudice,91.91919191919192,4.040404040404041,9.090909090909092,4.040404040404041,2.0202020202020203,3.0303030303030303,3.0303030303030303,3.0303030303030303,2.0202020202020203,2.0202020202020203,49.494949494949495,4.040404040404041,5.05050505050505,3.0303030303030303,1.0101010101010102,3.0303030303030303,2.0202020202020203,2.0202020202020203,0.0,1.0101010101010102
Sense and sensibility,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
The Boy in the Striped Pyjamas,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,53.70370370370371,3.7037037037037033,5.555555555555555,14.814814814814813,0.0,5.555555555555555,1.8518518518518516,1.8518518518518516,0.0,0.0,42.592592592592595,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0
The Handmaid s Tale,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,42.465753424657535,0.0,2.73972602739726,5.47945205479452,4.10958904109589,0.0,1.36986301369863,0.0,0.0,0.0,43.83561643835616,0.0,1.36986301369863,1.36986301369863,2.73972602739726,0.0,0.0,0.0,0.0,0.0
