,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,85.0,86.66666666666667,80.0,78.33333333333333,65.0,80.0,43.333333333333336,26.666666666666668,5.0,53.333333333333336,81.66666666666667,80.0,75.0,70.0,53.333333333333336,55.00000000000001,28.333333333333332,5.0,0.0,53.333333333333336
A Tale of Two Cities,87.0,49.0,77.0,76.0,37.0,72.0,27.0,39.0,0.0,37.0,64.0,38.0,62.0,72.0,43.0,61.0,25.0,26.0,0.0,28.000000000000004
A thousand splendid suns,17.02127659574468,14.893617021276595,0.0,10.638297872340425,0.0,4.25531914893617,0.0,0.0,0.0,0.0,17.02127659574468,8.51063829787234,4.25531914893617,2.127659574468085,6.382978723404255,4.25531914893617,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,85.0,35.0,52.0,67.0,35.0,53.0,6.0,49.0,4.0,43.0,69.0,19.0,43.0,64.0,30.0,49.0,3.0,35.0,0.0,23.0
Adventures of Sherlock Holmes,10.0,0.0,2.0,2.0,0.0,19.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,4.0,1.0,24.0,0.0,2.0,0.0,0.0
Alice in Wonderland,100.0,15.217391304347828,100.0,78.26086956521739,43.47826086956522,69.56521739130434,21.73913043478261,0.0,8.695652173913043,4.3478260869565215,100.0,2.1739130434782608,95.65217391304348,97.82608695652173,58.69565217391305,91.30434782608695,26.08695652173913,0.0,2.1739130434782608,0.0
Dracula,60.0,55.55555555555556,56.666666666666664,57.77777777777777,37.77777777777778,48.888888888888886,16.666666666666664,36.666666666666664,0.0,43.333333333333336,47.77777777777778,48.888888888888886,53.333333333333336,57.77777777777777,37.77777777777778,45.55555555555556,15.555555555555555,28.888888888888886,0.0,27.77777777777778
Dune,33.0,22.0,25.0,25.0,14.000000000000002,21.0,8.0,14.000000000000002,0.0,13.0,33.0,18.0,28.999999999999996,18.0,12.0,18.0,8.0,12.0,0.0,13.0
Fahrenheit 451,75.29411764705883,76.47058823529412,74.11764705882354,75.29411764705883,16.470588235294116,71.76470588235294,0.0,55.294117647058826,0.0,34.11764705882353,71.76470588235294,64.70588235294117,70.58823529411765,71.76470588235294,3.5294117647058822,17.647058823529413,2.3529411764705883,4.705882352941177,0.0,8.235294117647058
Frankenstein,52.94117647058824,49.01960784313725,41.17647058823529,52.94117647058824,19.607843137254903,39.21568627450981,13.725490196078432,25.49019607843137,5.88235294117647,33.33333333333333,45.09803921568628,31.372549019607842,33.33333333333333,37.254901960784316,17.647058823529413,33.33333333333333,11.76470588235294,21.568627450980394,1.9607843137254901,27.450980392156865
Harry Potter and the Deathly Hallows,27.0,4.0,13.0,4.0,10.0,9.0,4.0,6.0,2.0,8.0,15.0,9.0,26.0,7.000000000000001,7.000000000000001,5.0,2.0,3.0,0.0,8.0
Of Mice and Men,50.0,18.75,43.75,45.83333333333333,31.25,50.0,4.166666666666666,47.91666666666667,0.0,10.416666666666668,45.83333333333333,27.083333333333332,43.75,43.75,35.41666666666667,47.91666666666667,10.416666666666668,29.166666666666668,0.0,12.5
Percy Jackson The Lightning Thief,34.02061855670103,6.185567010309279,5.154639175257731,19.587628865979383,5.154639175257731,19.587628865979383,1.0309278350515463,1.0309278350515463,0.0,3.0927835051546393,17.525773195876287,1.0309278350515463,5.154639175257731,12.371134020618557,4.123711340206185,17.525773195876287,2.0618556701030926,1.0309278350515463,0.0,1.0309278350515463
Pride and Prejudice,91.0,79.0,91.0,75.0,50.0,72.0,24.0,39.0,33.0,33.0,92.0,59.0,86.0,73.0,48.0,66.0,20.0,32.0,13.0,31.0
Sense and sensibility,81.0,63.0,65.0,54.0,48.0,65.0,12.0,39.0,0.0,42.0,68.0,60.0,60.0,59.0,41.0,62.0,20.0,33.0,0.0,34.0
The Boy in the Striped Pyjamas,23.0,0.0,3.0,23.0,7.000000000000001,3.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,15.0,6.0,3.0,2.0,0.0,0.0,0.0
The Great Gatsby,85.18518518518519,59.25925925925925,66.66666666666666,74.07407407407408,50.0,64.81481481481481,33.33333333333333,35.18518518518518,16.666666666666664,38.88888888888889,75.92592592592592,35.18518518518518,48.148148148148145,66.66666666666666,40.74074074074074,50.0,25.925925925925924,22.22222222222222,12.962962962962962,29.629629629629626
The Handmaid s Tale,37.0,7.000000000000001,6.0,12.0,5.0,21.0,1.0,4.0,0.0,6.0,5.0,0.0,1.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,76.71232876712328,47.94520547945205,56.16438356164384,46.57534246575342,56.16438356164384,39.726027397260275,21.91780821917808,43.83561643835616,15.068493150684931,9.58904109589041,49.31506849315068,10.95890410958904,39.726027397260275,52.054794520547944,45.20547945205479,38.35616438356164,23.28767123287671,23.28767123287671,9.58904109589041,10.95890410958904
