,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,83.33333333333334,80.0,76.66666666666667,66.66666666666666,46.666666666666664,56.666666666666664,20.0,1.6666666666666667,1.6666666666666667,11.666666666666666,85.0,68.33333333333333,75.0,66.66666666666666,18.333333333333332,35.0,18.333333333333332,0.0,0.0,3.3333333333333335
A Tale of Two Cities,90.0,21.0,73.0,46.0,23.0,61.0,16.0,24.0,0.0,10.0,66.0,11.0,46.0,37.0,20.0,52.0,10.0,17.0,0.0,5.0
A thousand splendid suns,27.659574468085108,4.25531914893617,0.0,2.127659574468085,0.0,2.127659574468085,0.0,0.0,0.0,0.0,8.51063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,78.0,6.0,19.0,21.0,6.0,17.0,4.0,3.0,0.0,2.0,65.0,2.0,12.0,14.000000000000002,1.0,9.0,1.0,1.0,0.0,1.0
Adventures of Sherlock Holmes,7.000000000000001,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0
Alice in Wonderland,100.0,4.3478260869565215,95.65217391304348,91.30434782608695,26.08695652173913,63.04347826086957,8.695652173913043,4.3478260869565215,0.0,52.17391304347826,100.0,0.0,97.82608695652173,89.13043478260869,41.30434782608695,93.47826086956522,17.391304347826086,2.1739130434782608,0.0,36.95652173913043
Dracula,60.0,53.333333333333336,47.77777777777778,47.77777777777778,28.888888888888886,38.88888888888889,15.555555555555555,28.888888888888886,0.0,11.11111111111111,47.77777777777778,33.33333333333333,31.11111111111111,44.44444444444444,14.444444444444443,30.0,10.0,14.444444444444443,0.0,7.777777777777778
Dune,33.0,17.0,20.0,18.0,12.0,18.0,8.0,12.0,0.0,7.000000000000001,36.0,16.0,21.0,16.0,11.0,14.000000000000002,7.000000000000001,12.0,0.0,4.0
Fahrenheit 451,77.64705882352942,65.88235294117646,55.294117647058826,49.411764705882355,0.0,67.05882352941175,0.0,4.705882352941177,0.0,5.88235294117647,60.0,43.529411764705884,48.23529411764706,16.470588235294116,1.1764705882352942,20.0,0.0,0.0,0.0,1.1764705882352942
Frankenstein,54.90196078431373,37.254901960784316,35.294117647058826,35.294117647058826,13.725490196078432,33.33333333333333,9.803921568627452,29.411764705882355,0.0,37.254901960784316,45.09803921568628,29.411764705882355,27.450980392156865,25.49019607843137,15.686274509803921,31.372549019607842,9.803921568627452,27.450980392156865,0.0,25.49019607843137
Harry Potter and the Deathly Hallows,28.999999999999996,0.0,13.0,11.0,7.000000000000001,8.0,5.0,5.0,0.0,12.0,11.0,4.0,12.0,9.0,5.0,2.0,1.0,1.0,0.0,8.0
Of Mice and Men,54.166666666666664,2.083333333333333,25.0,35.41666666666667,2.083333333333333,35.41666666666667,2.083333333333333,8.333333333333332,0.0,2.083333333333333,39.58333333333333,4.166666666666666,16.666666666666664,16.666666666666664,2.083333333333333,31.25,4.166666666666666,8.333333333333332,0.0,0.0
Paper Towns,7.894736842105263,1.3157894736842104,0.0,1.3157894736842104,,,,,,,1.3157894736842104,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,40.20618556701031,10.309278350515463,16.49484536082474,19.587628865979383,8.24742268041237,14.432989690721648,5.154639175257731,3.0927835051546393,0.0,1.0309278350515463,26.804123711340207,1.0309278350515463,9.278350515463918,9.278350515463918,3.0927835051546393,8.24742268041237,3.0927835051546393,4.123711340206185,0.0,0.0
Pride and Prejudice,94.0,59.0,71.0,55.00000000000001,14.000000000000002,52.0,11.0,11.0,1.0,10.0,91.0,45.0,64.0,43.0,10.0,42.0,8.0,6.0,0.0,1.0
Sense and sensibility,79.0,50.0,24.0,33.0,8.0,45.0,2.0,9.0,0.0,0.0,61.0,23.0,11.0,14.000000000000002,1.0,39.0,0.0,3.0,0.0,0.0
The Boy in the Striped Pyjamas,41.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
The Great Gatsby,83.33333333333334,44.44444444444444,53.70370370370371,57.407407407407405,33.33333333333333,57.407407407407405,24.074074074074073,29.629629629629626,0.0,11.11111111111111,72.22222222222221,9.25925925925926,38.88888888888889,55.55555555555556,16.666666666666664,33.33333333333333,16.666666666666664,18.51851851851852,0.0,0.0
The Handmaid s Tale,40.0,7.000000000000001,6.0,10.0,11.0,22.0,2.0,8.0,0.0,2.0,5.0,0.0,1.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0
The Picture of Dorian Gray,80.82191780821918,12.32876712328767,43.83561643835616,50.68493150684932,36.986301369863014,35.61643835616438,19.17808219178082,15.068493150684931,0.0,2.73972602739726,67.12328767123287,1.36986301369863,24.65753424657534,45.20547945205479,28.767123287671232,24.65753424657534,13.698630136986301,2.73972602739726,1.36986301369863,1.36986301369863
