,en_masked,es_masked,tr_masked,vi_masked,st,yo,tn,ty,mai,mg,en_masked_shuffled,es_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,26.666666666666668,21.666666666666668,3.3333333333333335,8.333333333333332,5.0,3.3333333333333335,0.0,3.3333333333333335,6.666666666666667,6.666666666666667,6.666666666666667,3.3333333333333335,0.0,5.0,3.3333333333333335,3.3333333333333335,0.0,3.3333333333333335,0.0,1.6666666666666667
A Tale of Two Cities,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
A thousand splendid suns,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,32.0,8.0,2.0,7.000000000000001,2.0,0.0,0.0,0.0,7.000000000000001,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0
Adventures of Sherlock Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,45.65217391304348,2.1739130434782608,8.695652173913043,10.869565217391305,8.695652173913043,8.695652173913043,0.0,2.1739130434782608,0.0,4.3478260869565215,4.3478260869565215,0.0,0.0,2.1739130434782608,2.1739130434782608,2.1739130434782608,0.0,0.0,0.0,0.0
Dracula,8.88888888888889,11.11111111111111,4.444444444444445,4.444444444444445,0.0,1.1111111111111112,1.1111111111111112,1.1111111111111112,2.2222222222222223,0.0,2.2222222222222223,5.555555555555555,1.1111111111111112,3.3333333333333335,0.0,1.1111111111111112,1.1111111111111112,2.2222222222222223,1.1111111111111112,0.0
Dune,14.000000000000002,10.0,8.0,8.0,5.0,5.0,4.0,5.0,0.0,6.0,11.0,6.0,9.0,7.000000000000001,5.0,6.0,3.0,5.0,0.0,4.0
Fahrenheit 451,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frankenstein,10.416666666666668,8.333333333333332,2.083333333333333,8.333333333333332,0.0,2.083333333333333,0.0,2.083333333333333,0.0,2.083333333333333,4.166666666666666,2.083333333333333,0.0,2.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Harry Potter and the Deathly Hallows,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Of Mice and Men,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paper Towns,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,3.1578947368421053,1.0526315789473684,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pride and Prejudice,52.52525252525253,15.151515151515152,4.040404040404041,12.121212121212121,2.0202020202020203,2.0202020202020203,2.0202020202020203,6.0606060606060606,12.121212121212121,1.0101010101010102,18.181818181818183,4.040404040404041,2.0202020202020203,3.0303030303030303,0.0,5.05050505050505,2.0202020202020203,4.040404040404041,5.05050505050505,1.0101010101010102
Sense and sensibility,2.0,1.0,5.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0
The Boy in the Striped Pyjamas,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,18.51851851851852,5.555555555555555,12.962962962962962,12.962962962962962,1.8518518518518516,3.7037037037037033,1.8518518518518516,3.7037037037037033,14.814814814814813,3.7037037037037033,0.0,0.0,3.7037037037037033,11.11111111111111,0.0,1.8518518518518516,0.0,0.0,12.962962962962962,0.0
The Handmaid s Tale,11.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Picture of Dorian Gray,21.91780821917808,1.36986301369863,5.47945205479452,15.068493150684931,0.0,0.0,0.0,0.0,12.32876712328767,0.0,0.0,0.0,4.10958904109589,0.0,0.0,0.0,0.0,0.0,16.43835616438356,0.0
