,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,65.0,66.66666666666666,56.666666666666664,58.333333333333336,40.0,43.333333333333336,20.0,1.6666666666666667,55.00000000000001,26.666666666666668,53.333333333333336,48.333333333333336,43.333333333333336,46.666666666666664,31.666666666666664,30.0,25.0,0.0,50.0,16.666666666666664
A Tale of Two Cities,79.0,56.00000000000001,74.0,73.0,24.0,61.0,15.0,32.0,2.0,28.999999999999996,56.99999999999999,13.0,45.0,57.99999999999999,19.0,55.00000000000001,16.0,19.0,0.0,20.0
A thousand splendid suns,6.382978723404255,2.127659574468085,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,54.0,26.0,41.0,30.0,3.0,6.0,1.0,4.0,14.000000000000002,6.0,9.0,5.0,7.000000000000001,9.0,2.0,10.0,2.0,8.0,5.0,6.0
Adventures of Sherlock Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alice in Wonderland,100.0,93.47826086956522,95.65217391304348,91.30434782608695,73.91304347826086,82.6086956521739,43.47826086956522,89.13043478260869,95.65217391304348,95.65217391304348,91.30434782608695,73.91304347826086,91.30434782608695,82.6086956521739,69.56521739130434,91.30434782608695,45.65217391304348,86.95652173913044,76.08695652173914,95.65217391304348
Dracula,54.44444444444444,57.77777777777777,44.44444444444444,45.55555555555556,24.444444444444443,30.0,14.444444444444443,23.333333333333332,16.666666666666664,34.44444444444444,43.333333333333336,34.44444444444444,13.333333333333334,41.11111111111111,13.333333333333334,31.11111111111111,10.0,15.555555555555555,11.11111111111111,16.666666666666664
Dune,22.0,16.0,16.0,16.0,10.0,12.0,6.0,10.0,0.0,10.0,17.0,13.0,13.0,15.0,8.0,11.0,6.0,10.0,0.0,9.0
Fahrenheit 451,72.94117647058823,74.11764705882354,69.41176470588235,69.41176470588235,11.76470588235294,61.1764705882353,0.0,29.411764705882355,2.3529411764705883,47.05882352941176,70.58823529411765,69.41176470588235,71.76470588235294,74.11764705882354,3.5294117647058822,22.35294117647059,1.1764705882352942,14.117647058823529,0.0,11.76470588235294
Frankenstein,45.09803921568628,37.254901960784316,21.568627450980394,35.294117647058826,9.803921568627452,21.568627450980394,5.88235294117647,15.686274509803921,3.9215686274509802,17.647058823529413,27.450980392156865,7.8431372549019605,7.8431372549019605,11.76470588235294,7.8431372549019605,15.686274509803921,5.88235294117647,5.88235294117647,5.88235294117647,9.803921568627452
Harry Potter and the Deathly Hallows,6.0,5.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Of Mice and Men,39.58333333333333,39.58333333333333,33.33333333333333,39.58333333333333,16.666666666666664,25.0,10.416666666666668,18.75,0.0,12.5,33.33333333333333,35.41666666666667,31.25,31.25,20.833333333333336,25.0,10.416666666666668,25.0,0.0,12.5
Paper Towns,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,14.432989690721648,10.309278350515463,7.216494845360824,7.216494845360824,14.432989690721648,8.24742268041237,7.216494845360824,6.185567010309279,0.0,6.185567010309279,1.0309278350515463,4.123711340206185,1.0309278350515463,1.0309278350515463,8.24742268041237,4.123711340206185,3.0927835051546393,2.0618556701030926,0.0,11.34020618556701
Pride and Prejudice,85.0,64.0,56.99999999999999,51.0,11.0,53.0,10.0,26.0,13.0,21.0,63.0,44.0,35.0,42.0,6.0,48.0,5.0,28.999999999999996,4.0,13.0
Sense and sensibility,73.0,54.0,44.0,45.0,10.0,34.0,4.0,12.0,0.0,8.0,57.99999999999999,39.0,31.0,45.0,3.0,31.0,1.0,11.0,1.0,11.0
The Boy in the Striped Pyjamas,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,66.66666666666666,66.66666666666666,55.55555555555556,55.55555555555556,38.88888888888889,46.2962962962963,20.37037037037037,29.629629629629626,25.925925925925924,46.2962962962963,42.592592592592595,40.74074074074074,29.629629629629626,51.85185185185185,31.48148148148148,40.74074074074074,18.51851851851852,25.925925925925924,25.925925925925924,29.629629629629626
The Handmaid s Tale,19.0,7.000000000000001,6.0,11.0,3.0,6.0,2.0,6.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,4.0
The Picture of Dorian Gray,73.97260273972603,73.97260273972603,71.23287671232876,46.57534246575342,34.24657534246575,36.986301369863014,20.54794520547945,47.94520547945205,47.94520547945205,42.465753424657535,35.61643835616438,35.61643835616438,34.24657534246575,35.61643835616438,31.506849315068493,31.506849315068493,20.54794520547945,32.87671232876712,43.83561643835616,35.61643835616438
