,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,81.66666666666667,78.33333333333333,75.0,46.666666666666664,11.666666666666666,13.333333333333334,1.6666666666666667,0.0,43.333333333333336,10.0,20.0,36.666666666666664,63.33333333333333,15.0,3.3333333333333335,6.666666666666667,3.3333333333333335,0.0,25.0,5.0
A Tale of Two Cities,79.0,16.0,59.0,44.0,3.0,24.0,4.0,2.0,1.0,1.0,12.0,1.0,21.0,8.0,3.0,17.0,6.0,1.0,0.0,0.0
A thousand splendid suns,4.25531914893617,0.0,0.0,12.76595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adventures of Huckleberry Finn,64.0,26.0,20.0,31.0,2.0,7.000000000000001,0.0,3.0,7.000000000000001,0.0,6.0,4.0,6.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0
Adventures of Sherlock Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alice in Wonderland,100.0,41.30434782608695,71.73913043478261,56.52173913043478,45.65217391304348,58.69565217391305,32.608695652173914,47.82608695652174,89.13043478260869,19.565217391304348,28.26086956521739,52.17391304347826,89.13043478260869,41.30434782608695,52.17391304347826,45.65217391304348,34.78260869565217,56.52173913043478,78.26086956521739,4.3478260869565215
Dracula,56.666666666666664,50.0,26.666666666666668,21.11111111111111,13.333333333333334,18.88888888888889,10.0,12.222222222222221,13.333333333333334,13.333333333333334,14.444444444444443,10.0,6.666666666666667,4.444444444444445,4.444444444444445,8.88888888888889,1.1111111111111112,5.555555555555555,2.2222222222222223,2.2222222222222223
Dune,30.0,19.0,18.0,17.0,11.0,13.0,6.0,12.0,2.0,12.0,22.0,20.0,16.0,16.0,10.0,10.0,6.0,11.0,0.0,5.0
Fahrenheit 451,76.47058823529412,29.411764705882355,35.294117647058826,43.529411764705884,0.0,12.941176470588237,0.0,2.3529411764705883,1.1764705882352942,0.0,31.76470588235294,17.647058823529413,51.76470588235295,55.294117647058826,0.0,9.411764705882353,0.0,0.0,0.0,0.0
Frankenstein,52.94117647058824,21.568627450980394,7.8431372549019605,21.568627450980394,0.0,15.686274509803921,1.9607843137254901,3.9215686274509802,3.9215686274509802,1.9607843137254901,7.8431372549019605,1.9607843137254901,1.9607843137254901,1.9607843137254901,0.0,5.88235294117647,1.9607843137254901,1.9607843137254901,3.9215686274509802,1.9607843137254901
Harry Potter and the Deathly Hallows,8.0,0.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Of Mice and Men,47.91666666666667,43.75,14.583333333333334,16.666666666666664,0.0,6.25,0.0,14.583333333333334,0.0,0.0,27.083333333333332,25.0,27.083333333333332,4.166666666666666,0.0,10.416666666666668,6.25,4.166666666666666,0.0,0.0
Paper Towns,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,
Percy Jackson The Lightning Thief,24.742268041237114,8.24742268041237,11.34020618556701,10.309278350515463,7.216494845360824,4.123711340206185,6.185567010309279,3.0927835051546393,2.0618556701030926,2.0618556701030926,0.0,2.0618556701030926,4.123711340206185,0.0,3.0927835051546393,1.0309278350515463,3.0927835051546393,0.0,0.0,0.0
Pride and Prejudice,88.0,64.0,28.000000000000004,20.0,3.0,10.0,3.0,4.0,10.0,0.0,22.0,17.0,21.0,4.0,0.0,5.0,2.0,1.0,4.0,0.0
Sense and sensibility,73.0,55.00000000000001,39.0,28.999999999999996,2.0,14.000000000000002,2.0,6.0,0.0,0.0,39.0,26.0,32.0,19.0,0.0,20.0,0.0,3.0,0.0,0.0
The Boy in the Striped Pyjamas,19.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,74.07407407407408,38.88888888888889,20.37037037037037,40.74074074074074,20.37037037037037,37.03703703703704,18.51851851851852,18.51851851851852,35.18518518518518,29.629629629629626,18.51851851851852,12.962962962962962,16.666666666666664,25.925925925925924,11.11111111111111,24.074074074074073,11.11111111111111,18.51851851851852,24.074074074074073,11.11111111111111
The Handmaid s Tale,37.0,3.0,7.000000000000001,11.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Picture of Dorian Gray,72.6027397260274,46.57534246575342,45.20547945205479,36.986301369863014,13.698630136986301,10.95890410958904,8.21917808219178,6.8493150684931505,39.726027397260275,4.10958904109589,4.10958904109589,2.73972602739726,20.54794520547945,6.8493150684931505,1.36986301369863,5.47945205479452,0.0,2.73972602739726,28.767123287671232,0.0
