,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
EuroLLM-9B-Instruct,16.05012074921302,12.807513241879372,11.909379188774313,7.589098011484772,5.0372926455341585,7.340474711078454,1.676549919484702,4.24060948977566,3.21860344561357,6.574185253067735,7.004968510797873,7.280809509628746,8.403456424179286,6.124244755476143,3.885305130920081,5.418081807454163,1.4443438003220612,3.0267862263693113,2.206229457569541,3.2328047448878294
Llama-3.1-405b,58.04353366351819,47.848859211187744,40.77264137622681,38.37078511155186,24.242840716641503,25.132755223275193,13.61272094008535,11.274370297101614,29.027060947185806,23.477909942805233,,,,,,,,,,
Llama-3.1-70B-Instruct-quantized.w4a16,51.41746871342766,32.52122933824381,24.52617037960891,18.129888321423095,,,,,,,29.137572613318394,18.569597432581343,22.052737379773944,11.664039052356168,,,,,,
Llama-3.1-70B-Instruct-quantized.w8a16,46.31237391117294,24.490257957642626,19.928256855750142,12.681854604439428,5.408155726058539,4.184484228473999,3.0617220801364025,3.0995169082125607,7.55484512645638,7.107672634271099,18.948246286722913,10.72074497582521,12.441615460791274,7.111697743371053,4.121739130434783,2.71802313278071,2.193606138107417,1.920289855072464,2.92512077294686,5.08255186132424
Llama-3.1-70B-Instruct_,53.93851627945024,33.56705499718718,24.98148908140802,22.09775533770794,15.379816937727401,15.911919162827184,8.679103288217558,7.138443889997362,17.226170197943155,15.556463705893226,30.860255132121654,19.975921704518548,23.061793766533146,11.679835580807492,8.226593762231154,9.360404179517115,5.05642526418522,4.195012358148783,10.203298823996542,10.379318711804194
Llama-3.1-8B-Instruct-quantized.w4a16,26.623604746094664,13.714885087365824,6.8161767382992435,7.120091269057082,2.6,3.5333333333333328,2.0666666666666664,0.9333333333333333,0.33333333333333337,4.066666666666666,17.626997392665345,10.069751275549114,7.827314263340172,5.7370370370370365,2.825531914893617,2.8,2.0666666666666664,1.2,0.2,2.7333333333333334
Llama-3.1-8B-Instruct-quantized.w8a16,28.170216478707307,15.716381523024555,7.755946940521014,9.514480087450647,,,,,,,18.831002307714478,12.369671831271257,9.482437519628517,8.134506823048957,,,,,,
Llama-3.1-8B-Instruct_,27.953575179874225,15.830222644822538,8.07216018985282,9.465246369148577,5.14688615528025,7.531449058183644,2.8508129873301824,3.6993558776167474,0.39758454106280194,5.230563389906672,19.1032245299367,12.634206553820386,9.539281319950579,8.507009137536865,5.560188210614512,5.874171644965023,2.8892874836579234,3.1833245665920984,0.7679549114331723,4.040069864156083
Llama-3.3-70B-Instruct,52.150225903441026,27.02003007790544,19.86165375976807,23.87910699967351,13.264775413711584,13.862884160756503,8.153664302600474,5.153664302600473,18.22222222222222,15.15366430260047,,,,,6.042553191489361,7.2647754137115825,4.444444444444444,3.3333333333333335,9.0,9.085106382978724
OLMo-2-1124-13B-Instruct,38.33519513968192,15.707296287316074,14.423861717562067,12.20332749415661,10.044168391994479,13.079952425003302,3.2332643202208415,5.987577639751554,1.2877846790890268,9.991718426501036,22.096310871254865,12.368674448747697,13.28516047484047,10.867015524386408,6.747412008281573,9.445134575569359,2.5079365079365075,3.8408733829640402,0.5486542443064183,7.504485852311938
OLMo-2-1124-7B-Instruct,29.787232317429392,12.795446993251193,14.211669917468196,13.370630870592663,,,,,,,22.9016552441292,9.182627672867836,14.456051858488276,9.753474939213048,,,,,,
Qwen2.5-7B-Instruct-1M,17.555136718924793,14.333744944787426,10.163695045551805,9.459350439532287,4.125820042794432,5.078532195089669,1.83719806763285,3.069001610305958,2.9689387421966336,4.3669799611170586,4.960322559224397,8.483840673785231,7.648584364590917,6.4763398644987005,3.2772054039511964,3.8510466988727856,1.5031400966183575,2.5854818785432245,1.4469448304766945,3.2144726247987117
gpt-4o-2024-11-20,72.47822711052315,52.96137602036767,47.06944018993825,45.90605306630713,36.878998391579465,30.038272301020008,15.629872920424196,16.675705123992255,38.377600556052535,37.65192097261017,47.041862427712836,31.634377754043754,33.830780990939886,19.781654443917777,19.251188480584013,14.247058892174017,6.773455855984915,9.191433411044676,17.82674917915787,19.851828838707736
