,English,Translated,Cross-lingual,en_shuffled,trans_shuffled,xling_shuffled
EuroLLM-9B-Instruct,50.61250805931657,32.710079518590156,5.200945626477542,31.850419084461638,22.56608639587363,2.2673543950139696
Llama-3.1-405b,81.02189781021897,69.93395898505388,45.88856161021109,66.2153449387492,61.293788953363425,36.9224156458199
Llama-3.1-70B-Instruct-quantized.w4a16,76.20889748549322,39.05007522028799,28.433268858800773,59.4455190199871,37.76058456909521,18.49344508918977
Llama-3.1-70B-Instruct-quantized.w8a16,62.79819471308833,30.088115194498172,10.649043627767032,34.68729851708575,20.502901353965182,7.543520309477756
Llama-3.1-70B-Instruct_,79.43262411347517,44.2080378250591,31.151944981732214,61.57317859445519,38.706211046636575,21.14764667956157
Llama-3.1-8B-Instruct-quantized.w4a16,54.28755641521599,14.893617021276595,6.114334837739093,40.29658284977434,15.00107457554266,5.491081022995917
Llama-3.1-8B-Instruct-quantized.w8a16,55.44809800128949,21.190629701267998,10.681280894046852,41.65054803352675,21.319578766387277,9.434773264560498
Llama-3.1-8B-Instruct_,56.02836879432624,21.62045991833226,10.412637008381688,42.74661508704062,26.02621964324092,9.413281753707286
Llama-3.3-70B-Instruct,79.36814958091554,49.129593810444874,28.89533634214485,54.41650548033527,28.949065119277886,16.301310982162047
OLMo-2-1124-13B-Instruct,62.92714377820761,35.525467440361055,16.04341285192349,48.29142488716957,29.249946271222868,12.722974425102084
OLMo-2-1124-7B-Instruct,59.12314635718891,29.808725553406404,11.809585213840533,46.09929078014184,21.448527831506556,7.812164195142919
Qwen2.5-7B-Instruct-1M,50.29013539651837,24.607779926928863,6.9417580055877925,12.83043197936815,12.61551687083602,4.309047926069202
gpt-4o-2024-11-20,91.0380399742102,78.27208252740168,57.93036750483559,78.33655705996132,59.48850204169353,35.72963679346658
