,en_masked,es_masked,tr_masked,vi_masked,st,yo,tn,ty,mai,mg,en_masked_shuffled,tr_masked_shuffled,vi_masked_shuffled,es_masked_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
EuroLLM-9B-Instruct,9.436578009597664,4.470058636794789,4.428838213382585,1.8182239057239058,1.6567700979788373,3.236842632990089,0.4708045365940103,2.3698040666004054,2.2332447490906473,2.4425479257851284,4.34154807455135,2.0194605876112726,2.798333218024999,1.3343261380932614,1.1101983546107554,2.8232056202496,0.10526315789473684,0.9981835902888534,1.2572031295895751,1.2530301816531089
Llama-3.1-405b,57.14725051959329,38.14581390638567,32.1957588539122,31.051013093221794,18.935773838190688,17.939627036379488,10.839705847119408,7.595170828901746,25.801571261664492,18.991949631208588,32.2980661604921,18.21991159623993,9.101991453678991,20.894374399248854,9.601061686317635,11.071758804094783,6.269296546333316,4.5213356831958125,14.79714472288373,10.033819327618895
Llama-3.1-70B-Instruct-quantized.w4a16,45.434807193303875,21.74095954974419,17.190423800156513,13.76122804782003,9.75664936222993,8.65430000704184,4.4043879122246565,4.463866537014714,14.954997737475086,9.293595417637068,22.402058160323612,8.534666733054715,5.3902383725201,7.386932468057886,4.655462190780566,6.241040217441716,2.6365146718113706,2.1751287416235225,8.376226072840103,4.353297032053184
Llama-3.1-70B-Instruct-quantized.w8a16,40.815424243334846,15.796372295795553,12.528498089529702,10.58538175193008,3.378035445729248,2.3774408557957663,2.2637860217168075,4.789231193685599,7.902147658628645,4.065681368822337,16.030194358134704,7.43281191405819,3.1179627323462937,2.2447727473263503,2.0722226496810365,2.133262106029417,0.8933719555565266,2.165549653457556,4.009588560864382,1.6564773150773588
Llama-3.1-70B-Instruct_,46.099865634575835,22.426121043948108,18.83137601822974,17.00721123977004,11.88819875145337,10.115449416844669,6.0653077214899245,5.400813512173658,15.42564985819881,9.864635236839375,23.333056568488097,11.399681626412589,5.466790294728507,8.968583628260266,5.4491624927564715,6.714574184110693,2.576838703535359,2.5571416124611948,9.165754033765515,4.8528709981015545
Llama-3.1-8B-Instruct-quantized.w4a16,23.05133086146712,4.734451841328977,1.7057155082691118,3.2758919099672523,2.8492748557009864,2.957966655468301,1.1362040253532684,1.7476615891947698,0.3157894736842105,2.0752086078173035,13.234988559407856,2.675681722927107,2.2049663299663296,3.359537403015664,2.0571774187334824,2.173206126867454,1.4646464646464643,0.7511961722488039,0.21052631578947367,0.8968633705475811
Llama-3.1-8B-Instruct-quantized.w8a16,23.21303398841133,7.631474165979178,3.00256701419596,4.146170246080123,5.470289855072464,5.666787439613526,1.5388888888888888,2.795893719806763,1.3194444444444442,3.5181159420289854,15.253618952077854,3.6327292772980213,2.7866660728222876,4.393670399648661,2.7590579710144927,3.386835748792271,1.5055555555555555,2.231280193236715,0.4,2.286111111111111
Llama-3.1-8B-Instruct_,23.773834017689616,7.153242073363525,3.062281415505061,4.388731791290313,3.96520585519363,4.151879731665632,1.3842814105972,2.346589464438434,1.1280372512290473,2.5340131006155335,15.504609367554101,4.020754514677511,3.0530580628984887,4.24266029863856,2.1771047623450372,3.22534127309056,1.1147439305334041,1.811607686321645,0.42016657806131485,1.7249246854510012
Llama-3.3-70B-Instruct,46.21189203109407,21.482189122622067,17.52921398145629,17.19174542353914,11.459791685182244,8.600917098859748,5.022745927874293,3.871832279515424,15.015533739435314,8.53992679055373,24.520050651191564,11.274843556670536,5.114657582645872,8.264785522124457,3.7608200116585433,4.578238710311372,1.8998143140019568,2.118111197763873,6.756185487361626,2.6002126528442315
OLMo-2-1124-13B-Instruct,32.730009701428735,8.949366475805126,5.524381188719689,5.367115626395508,3.836570815846338,5.455112897212779,1.248950949687109,2.1968464199585482,1.1765870802792595,4.086013009986913,17.227107596238657,4.621269927100857,4.256988747120326,2.0739057239057237,2.1073456475246393,3.851384720589263,1.137866541558721,1.3782562466772992,0.7632197971058822,3.0426191741981214
OLMo-2-1124-7B-Instruct,26.45418934848245,4.173519616454399,7.087353224627918,7.7384353102300825,4.726164659035103,4.719541616609685,2.107052521600655,2.2261478245459934,3.349991403328289,2.150417215634607,18.795008906559698,5.499710492963447,5.021637275179093,2.185353535353535,3.1066835461585307,2.9346364811083787,1.395639888430083,1.5974042484339968,2.3571417338383895,1.294435583909268
Qwen2.5-7B-Instruct-1M,12.876909818809585,4.470729472715304,3.0046106961066523,4.556667228168122,1.3456687392614166,1.4709124039787653,0.4727981570086833,1.2876842413455685,2.9554569972738682,1.3058753053032228,2.5292599912165126,1.2998618727530047,1.9365996925779534,1.150631313131313,0.6056445461479786,1.0800375994884004,0.32270069112174377,0.8208399787347155,2.134891330998036,0.4040404040404041
gpt-4o-2024-11-20,71.05787484184061,43.6244476913468,34.64407222604437,38.89797386672539,28.251392850337222,18.89430283214743,9.621279885747823,9.790938608728629,30.2077052548531,29.846182626803447,40.87925714794071,18.199559811791218,11.529146593052072,18.44309473172921,12.651207068930391,7.245609520090641,3.6713349273735756,4.846867245235983,11.134572997317635,12.931599412618816
