,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
EuroLLM-9B-Instruct,12.894736842105264,3.289473684210526,2.1052631578947367,1.25,0.39473684210526316,0.7894736842105263,0.19736842105263158,0.9868421052631579,0.5263157894736842,0.5921052631578947,3.3552631578947367,0.9210526315789473,1.1842105263157894,0.8552631578947368,0.32894736842105265,0.7236842105263158,0.06578947368421052,0.32894736842105265,0.06578947368421052,0.5263157894736842
Llama-3.1-405b,58.48684210526316,39.671052631578945,31.25,22.960526315789473,13.026315789473685,10.855263157894736,5.526315789473684,4.144736842105263,21.05263157894737,16.776315789473685,30.460526315789473,16.842105263157894,13.092105263157896,4.342105263157895,5.657894736842105,5.2631578947368425,2.039473684210526,3.026315789473684,5.9868421052631575,7.171052631578948
Llama-3.1-70B-Instruct-quantized.w4a16,46.64473684210526,16.513157894736842,9.736842105263158,5.526315789473684,5.065789473684211,4.342105263157895,2.4342105263157894,2.1052631578947367,5.328947368421052,5.0,21.644736842105264,4.5394736842105265,3.9473684210526314,3.026315789473684,2.3684210526315788,2.1052631578947367,1.381578947368421,1.4473684210526316,1.5789473684210527,2.236842105263158
Llama-3.1-70B-Instruct-quantized.w8a16,40.26315789473684,11.052631578947368,7.368421052631579,4.7368421052631575,1.9736842105263157,0.4605263157894737,0.4605263157894737,1.0526315789473684,0.9210526315789473,1.513157894736842,13.092105263157896,2.1710526315789473,3.6184210526315788,1.0526315789473684,0.9210526315789473,0.2631578947368421,0.5263157894736842,0.7894736842105263,0.39473684210526316,0.6578947368421053
Llama-3.1-70B-Instruct_,48.28947368421053,18.289473684210527,9.93421052631579,5.9868421052631575,6.315789473684211,4.342105263157895,3.289473684210526,2.4342105263157894,5.9868421052631575,6.118421052631579,22.63157894736842,6.052631578947368,5.4605263157894735,3.1578947368421053,2.763157894736842,2.3026315789473686,1.381578947368421,1.7105263157894737,2.3684210526315788,2.5
Llama-3.1-8B-Instruct-quantized.w4a16,21.776315789473685,2.960526315789474,0.39473684210526316,1.513157894736842,1.381578947368421,0.8552631578947368,0.7236842105263158,0.8552631578947368,0.0,0.9210526315789473,15.328947368421053,3.75,0.5263157894736842,1.381578947368421,0.8552631578947368,0.7894736842105263,0.5263157894736842,0.6578947368421053,0.06578947368421052,0.6578947368421053
Llama-3.1-8B-Instruct-quantized.w8a16,23.223684210526315,4.473684210526316,0.9868421052631579,2.236842105263158,1.8421052631578947,2.039473684210526,1.118421052631579,1.3157894736842106,0.0,1.0526315789473684,16.18421052631579,4.7368421052631575,1.118421052631579,1.8421052631578947,1.513157894736842,1.513157894736842,0.7894736842105263,1.0526315789473684,0.0,0.9868421052631579
Llama-3.1-8B-Instruct_,22.960526315789473,4.407894736842105,0.6578947368421053,2.236842105263158,1.9736842105263157,2.039473684210526,1.0526315789473684,1.25,0.0,1.1842105263157894,16.38157894736842,4.605263157894737,1.1842105263157894,1.8421052631578947,1.513157894736842,1.5789473684210527,0.7894736842105263,1.118421052631579,0.0,0.9868421052631579
Llama-3.3-70B-Instruct,48.48684210526316,16.513157894736842,9.144736842105264,7.894736842105263,5.921052631578948,4.605263157894737,2.4342105263157894,2.3026315789473686,3.6184210526315788,5.657894736842105,22.30263157894737,5.0,3.75,2.8289473684210527,2.1052631578947367,2.039473684210526,1.0526315789473684,1.644736842105263,0.8552631578947368,2.3684210526315788
OLMo-2-1124-13B-Instruct,33.48684210526316,5.723684210526316,3.1578947368421053,3.75,1.9078947368421053,3.6842105263157894,1.0526315789473684,1.5789473684210527,0.19736842105263158,2.3684210526315788,17.30263157894737,1.9078947368421053,2.5657894736842106,4.0131578947368425,1.4473684210526316,2.5,0.6578947368421053,1.118421052631579,0.19736842105263158,1.8421052631578947
OLMo-2-1124-7B-Instruct,27.43421052631579,2.039473684210526,3.3552631578947367,3.223684210526316,1.4473684210526316,2.8289473684210527,0.7894736842105263,1.513157894736842,0.19736842105263158,1.118421052631579,17.236842105263158,1.381578947368421,2.5657894736842106,2.236842105263158,1.0526315789473684,1.7763157894736843,0.5921052631578947,1.0526315789473684,0.0,0.39473684210526316
Qwen2.5-7B-Instruct-1M,17.5,2.3026315789473686,2.1710526315789473,2.763157894736842,0.7236842105263158,0.7236842105263158,0.39473684210526316,0.8552631578947368,0.8552631578947368,0.7236842105263158,2.1052631578947367,0.9210526315789473,1.4473684210526316,1.0526315789473684,0.4605263157894737,0.5921052631578947,0.32894736842105265,0.5921052631578947,0.8552631578947368,0.32894736842105265
gpt-4o-2024-11-20,65.54794520547945,40.342465753424655,27.397260273972602,27.054794520547944,23.424657534246574,15.547945205479452,7.739726027397261,7.945205479452055,23.698630136986303,26.643835616438356,34.52054794520548,13.835616438356164,10.273972602739725,5.0,8.972602739726028,5.205479452054795,2.3972602739726026,3.6986301369863015,3.835616438356164,8.356164383561644
