Title,en_results_title_match,en_results_author_match,en_results_both_match,es_results_title_match,es_results_author_match,es_results_both_match,tr_results_title_match,tr_results_author_match,tr_results_both_match,vi_results_title_match,vi_results_author_match,vi_results_both_match,st_results_title_match,st_results_author_match,st_results_both_match,yo_results_title_match,yo_results_author_match,yo_results_both_match,tn_results_title_match,tn_results_author_match,tn_results_both_match,ty_results_title_match,ty_results_author_match,ty_results_both_match,mai_results_title_match,mai_results_author_match,mai_results_both_match,mg_results_title_match,mg_results_author_match,mg_results_both_match
The_Handmaid_s_Tale,96.0,98.0,96.0,92.0,92.0,92.0,81.0,81.0,81.0,80.0,82.0,80.0,41.0,46.0,41.0,59.0,63.0,59.0,9.0,9.0,9.0,26.0,27.0,26.0,47.0,51.0,47.0,61.0,63.0,61.0
The_Great_Gatsby,98.14814814814815,98.14814814814815,98.14814814814815,96.29629629629629,96.29629629629629,96.29629629629629,92.5925925925926,92.5925925925926,92.5925925925926,98.14814814814815,98.14814814814815,98.14814814814815,77.77777777777779,77.77777777777779,77.77777777777779,75.92592592592592,75.92592592592592,75.92592592592592,48.148148148148145,48.148148148148145,48.148148148148145,50.0,50.0,50.0,85.18518518518519,85.18518518518519,85.18518518518519,83.33333333333334,83.33333333333334,83.33333333333334
Dune,100.0,100.0,100.0,93.0,93.0,93.0,89.0,90.0,89.0,98.0,98.0,98.0,49.0,49.0,49.0,45.0,45.0,45.0,19.0,19.0,19.0,39.0,39.0,39.0,40.0,40.0,40.0,60.0,60.0,60.0
Sense_and_sensibility,96.0,99.0,96.0,91.0,95.0,91.0,85.0,87.0,85.0,79.0,87.0,79.0,68.0,81.0,68.0,80.0,86.0,80.0,36.0,41.0,36.0,49.0,59.0,49.0,69.0,84.0,69.0,79.0,83.0,79.0
The_Picture_of_Dorian_Gray,95.8904109589041,95.8904109589041,95.8904109589041,93.15068493150685,95.8904109589041,93.15068493150685,90.41095890410958,90.41095890410958,90.41095890410958,86.3013698630137,90.41095890410958,86.3013698630137,72.6027397260274,72.6027397260274,72.6027397260274,65.75342465753424,65.75342465753424,65.75342465753424,36.986301369863014,36.986301369863014,36.986301369863014,57.534246575342465,57.534246575342465,57.534246575342465,82.1917808219178,82.1917808219178,82.1917808219178,73.97260273972603,73.97260273972603,73.97260273972603
Percy_Jackson_The_Lightning_Thief,82.4742268041237,92.78350515463917,82.4742268041237,29.896907216494846,87.62886597938144,29.896907216494846,61.855670103092784,76.28865979381443,61.855670103092784,55.670103092783506,73.19587628865979,55.670103092783506,42.2680412371134,48.45360824742268,42.2680412371134,60.824742268041234,63.91752577319587,60.824742268041234,22.68041237113402,24.742268041237114,22.68041237113402,46.391752577319586,50.51546391752577,46.391752577319586,49.48453608247423,53.608247422680414,49.48453608247423,51.546391752577314,62.88659793814433,51.546391752577314
The_Boy_in_the_Striped_Pyjamas,99.0,99.0,99.0,90.0,90.0,90.0,84.0,85.0,84.0,72.0,89.0,72.0,61.0,61.0,61.0,74.0,74.0,74.0,15.0,15.0,15.0,11.0,11.0,11.0,44.0,44.0,44.0,75.0,75.0,75.0
Adventures_of_Sherlock_Holmes,55.00000000000001,0.0,0.0,31.0,0.0,0.0,8.0,0.0,0.0,51.0,0.0,0.0,41.0,0.0,0.0,43.0,0.0,0.0,21.0,0.0,0.0,42.0,0.0,0.0,64.0,0.0,0.0,49.0,0.0,0.0
Adventures_of_Huckleberry_Finn,95.0,100.0,95.0,84.0,90.0,84.0,69.0,84.0,69.0,69.0,85.0,69.0,59.0,73.0,59.0,66.0,78.0,66.0,32.0,40.0,32.0,49.0,63.0,49.0,52.0,67.0,52.0,63.0,79.0,63.0
Of_Mice_and_Men,100.0,100.0,100.0,89.58333333333334,93.75,89.58333333333334,89.58333333333334,91.66666666666666,89.58333333333334,87.5,87.5,87.5,64.58333333333334,64.58333333333334,64.58333333333334,72.91666666666666,75.0,72.91666666666666,33.33333333333333,35.41666666666667,33.33333333333333,68.75,68.75,68.75,41.66666666666667,43.75,41.66666666666667,79.16666666666666,79.16666666666666,79.16666666666666
Frankenstein,98.0392156862745,98.0392156862745,98.0392156862745,98.0392156862745,98.0392156862745,98.0392156862745,98.0392156862745,98.0392156862745,98.0392156862745,96.07843137254902,96.07843137254902,96.07843137254902,76.47058823529412,76.47058823529412,76.47058823529412,92.15686274509804,92.15686274509804,92.15686274509804,41.17647058823529,41.17647058823529,41.17647058823529,72.54901960784314,72.54901960784314,72.54901960784314,82.35294117647058,82.35294117647058,82.35294117647058,92.15686274509804,92.15686274509804,92.15686274509804
Alice_in_Wonderland,93.47826086956522,100.0,93.47826086956522,97.82608695652173,100.0,97.82608695652173,100.0,100.0,100.0,100.0,100.0,100.0,86.95652173913044,86.95652173913044,86.95652173913044,100.0,100.0,100.0,63.04347826086957,63.04347826086957,63.04347826086957,95.65217391304348,95.65217391304348,95.65217391304348,100.0,100.0,100.0,100.0,100.0,100.0
Harry_Potter_and_the_Deathly_Hallows,59.0,100.0,59.0,54.0,98.0,54.0,28.000000000000004,99.0,28.000000000000004,34.0,98.0,34.0,31.0,83.0,31.0,20.0,94.0,20.0,13.0,52.0,13.0,14.000000000000002,85.0,14.000000000000002,28.000000000000004,91.0,28.000000000000004,31.0,93.0,31.0
1984,96.66666666666667,96.66666666666667,96.66666666666667,98.33333333333333,98.33333333333333,98.33333333333333,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,96.66666666666667,90.0,90.0,90.0,90.0,90.0,90.0,60.0,61.66666666666667,60.0,43.333333333333336,45.0,43.333333333333336,91.66666666666666,91.66666666666666,91.66666666666666,91.66666666666666,91.66666666666666,91.66666666666666
A_thousand_splendid_suns,82.97872340425532,85.1063829787234,82.97872340425532,55.319148936170215,65.95744680851064,55.319148936170215,19.148936170212767,29.78723404255319,19.148936170212767,80.85106382978722,89.36170212765957,80.85106382978722,53.191489361702125,59.57446808510638,53.191489361702125,51.06382978723404,57.446808510638306,51.06382978723404,19.148936170212767,31.914893617021278,19.148936170212767,38.297872340425535,63.829787234042556,38.297872340425535,14.893617021276595,36.17021276595745,14.893617021276595,63.829787234042556,85.1063829787234,63.829787234042556
Dracula,100.0,100.0,100.0,96.66666666666667,96.66666666666667,96.66666666666667,72.22222222222221,96.66666666666667,72.22222222222221,85.55555555555556,85.55555555555556,85.55555555555556,80.0,80.0,80.0,76.66666666666667,76.66666666666667,76.66666666666667,35.55555555555556,35.55555555555556,35.55555555555556,67.77777777777779,67.77777777777779,67.77777777777779,76.66666666666667,76.66666666666667,76.66666666666667,83.33333333333334,83.33333333333334,83.33333333333334
A_Tale_of_Two_Cities,100.0,100.0,100.0,79.0,79.0,79.0,95.0,95.0,95.0,88.0,90.0,88.0,79.0,81.0,79.0,91.0,91.0,91.0,50.0,51.0,50.0,80.0,80.0,80.0,68.0,69.0,68.0,90.0,90.0,90.0
Pride_and_Prejudice,97.0,100.0,97.0,98.0,98.0,98.0,95.0,96.0,95.0,94.0,95.0,94.0,79.0,79.0,79.0,95.0,95.0,95.0,50.0,50.0,50.0,86.0,86.0,86.0,93.0,93.0,93.0,92.0,92.0,92.0
