,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
1984,83.33333333333334,73.33333333333333,68.33333333333333,68.33333333333333,46.666666666666664,38.333333333333336,20.0,25.0,65.0,55.00000000000001,51.66666666666667,50.0,46.666666666666664,21.666666666666668,28.333333333333332,20.0,10.0,15.0,26.666666666666668,31.666666666666664
A Tale of Two Cities,77.0,28.999999999999996,42.0,38.0,36.0,28.000000000000004,16.0,12.0,39.0,37.0,41.0,21.0,28.000000000000004,21.0,19.0,16.0,7.000000000000001,6.0,20.0,20.0
A thousand splendid suns,10.638297872340425,19.148936170212767,10.638297872340425,14.893617021276595,4.25531914893617,6.382978723404255,4.25531914893617,4.25531914893617,4.25531914893617,8.51063829787234,8.51063829787234,14.893617021276595,8.51063829787234,10.638297872340425,2.127659574468085,6.382978723404255,0.0,4.25531914893617,0.0,4.25531914893617
Adventures of Huckleberry Finn,94.0,59.0,41.0,42.0,43.0,32.0,18.0,15.0,41.0,35.0,87.0,30.0,32.0,25.0,28.000000000000004,16.0,10.0,8.0,22.0,16.0
Adventures of Sherlock Holmes,35.0,20.0,16.0,25.0,23.0,16.0,9.0,8.0,18.0,20.0,27.0,12.0,11.0,11.0,8.0,4.0,3.0,1.0,5.0,4.0
Alice in Wonderland,93.47826086956522,93.47826086956522,80.43478260869566,80.43478260869566,71.73913043478261,84.78260869565217,34.78260869565217,54.347826086956516,86.95652173913044,86.95652173913044,91.30434782608695,80.43478260869566,80.43478260869566,47.82608695652174,50.0,43.47826086956522,13.043478260869565,26.08695652173913,58.69565217391305,67.3913043478261
Dracula,87.77777777777777,71.11111111111111,66.66666666666666,56.666666666666664,53.333333333333336,36.666666666666664,13.333333333333334,14.444444444444443,44.44444444444444,44.44444444444444,44.44444444444444,32.22222222222222,31.11111111111111,23.333333333333332,24.444444444444443,17.77777777777778,8.88888888888889,8.88888888888889,16.666666666666664,23.333333333333332
Dune,83.0,51.0,61.0,50.0,30.0,30.0,13.0,19.0,28.000000000000004,36.0,45.0,37.0,51.0,27.0,27.0,25.0,10.0,18.0,17.0,26.0
Fahrenheit 451,71.66666666666667,61.66666666666667,55.00000000000001,38.333333333333336,25.0,20.0,10.0,10.0,36.666666666666664,28.333333333333332,25.0,51.66666666666667,31.666666666666664,6.666666666666667,10.0,10.0,5.0,6.666666666666667,20.0,10.0
Frankenstein,96.07843137254902,88.23529411764706,74.50980392156863,80.3921568627451,72.54901960784314,66.66666666666666,19.607843137254903,23.52941176470588,62.745098039215684,62.745098039215684,84.31372549019608,45.09803921568628,47.05882352941176,9.803921568627452,25.49019607843137,19.607843137254903,5.88235294117647,9.803921568627452,29.411764705882355,23.52941176470588
Harry Potter and the Deathly Hallows,47.0,38.0,22.0,27.0,16.0,15.0,3.0,5.0,12.0,17.0,16.0,12.0,13.0,6.0,7.000000000000001,5.0,1.0,2.0,1.0,7.000000000000001
Of Mice and Men,97.91666666666666,52.083333333333336,35.41666666666667,39.58333333333333,41.66666666666667,25.0,31.25,20.833333333333336,39.58333333333333,45.83333333333333,87.5,18.75,37.5,20.833333333333336,29.166666666666668,16.666666666666664,12.5,16.666666666666664,20.833333333333336,39.58333333333333
Percy Jackson The Lightning Thief,67.0103092783505,8.24742268041237,21.649484536082475,27.835051546391753,27.835051546391753,19.587628865979383,8.24742268041237,5.154639175257731,22.68041237113402,18.556701030927837,26.804123711340207,9.278350515463918,10.309278350515463,13.402061855670103,8.24742268041237,6.185567010309279,2.0618556701030926,4.123711340206185,5.154639175257731,9.278350515463918
Pride and Prejudice,82.0,79.0,48.0,74.0,60.0,43.0,26.0,26.0,63.0,56.99999999999999,87.0,51.0,43.0,40.0,26.0,12.0,5.0,11.0,41.0,20.0
Sense and sensibility,53.0,34.0,37.0,18.0,12.0,11.0,5.0,6.0,13.0,14.000000000000002,21.0,15.0,25.0,4.0,5.0,7.000000000000001,2.0,3.0,3.0,7.000000000000001
The Boy in the Striped Pyjamas,56.70103092783505,32.98969072164948,19.587628865979383,26.804123711340207,11.34020618556701,8.24742268041237,3.0927835051546393,2.0618556701030926,5.154639175257731,8.24742268041237,10.309278350515463,14.432989690721648,13.402061855670103,15.463917525773196,5.154639175257731,5.154639175257731,2.0618556701030926,0.0,2.0618556701030926,5.154639175257731
The Great Gatsby,94.44444444444444,79.62962962962963,70.37037037037037,85.18518518518519,70.37037037037037,53.70370370370371,40.74074074074074,44.44444444444444,72.22222222222221,74.07407407407408,77.77777777777779,51.85185185185185,61.111111111111114,68.51851851851852,50.0,31.48148148148148,27.77777777777778,25.925925925925924,38.88888888888889,44.44444444444444
The Handmaid s Tale,93.0,61.0,64.0,39.0,31.0,14.000000000000002,6.0,1.0,51.0,36.0,33.0,13.0,20.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0
The Picture of Dorian Gray,89.04109589041096,75.34246575342466,76.71232876712328,65.75342465753424,47.94520547945205,38.35616438356164,24.65753424657534,28.767123287671232,42.465753424657535,50.68493150684932,56.16438356164384,53.42465753424658,63.013698630136986,13.698630136986301,17.80821917808219,10.95890410958904,5.47945205479452,8.21917808219178,12.32876712328767,20.54794520547945
