Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['ryan'],john,0,0.25,incorrect,woman,0,0.44,incorrect,woman,0,0.44,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],truck stop,0,0.14,incorrect,mba,0,0.29,incorrect,mba,0,0.29,incorrect
['ryan'],he,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],president,0,0.31,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],the person,0,0.29,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],tahoe,0,0.22,incorrect,forbing,0,0.36,incorrect,forbing,0,0.36,incorrect
['pat'],unknown,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['pat'],ryan,0,0.29,incorrect,ryan,0,0.29,incorrect,ryan,0,0.29,incorrect
['ryan'],[mask]'s house,0,0.11,incorrect,cvs,0,0.0,incorrect,cvs,0,0.0,incorrect
['ryan'],saturday,0,0.33,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],me,0,0.0,incorrect,unit,0,0.25,incorrect,unit,0,0.25,incorrect
['ryan'],louisiana,0,0.31,incorrect,louisiana,0,0.31,incorrect,louisiana,0,0.31,incorrect
['ryan'],grandfather,0,0.4,incorrect,grandfather,0,0.4,incorrect,grandfather,0,0.4,incorrect
['ryan'],house,0,0.0,incorrect,house,0,0.0,incorrect,house,0,0.0,incorrect
['ryan'],john,0,0.25,incorrect,car,0,0.29,incorrect,car,0,0.29,incorrect
['rogers'],mrs. johnson,0,0.33,incorrect,mrs.,0,0.4,incorrect,mrs.,0,0.4,incorrect
['ryan'],jack,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],he,0,0.0,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
