Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['mr', 'mr bingley', 'bingley']",mokete,0,0.25,incorrect,uena,0,0.18,incorrect,nila,0,0.36,incorrect,nitori,0,0.25,incorrect,mongwe,0,0.5,incorrect,ke,0,0.22,incorrect,tane,0,0.36,incorrect,aita,0,0.18,incorrect,besii,0,0.33,incorrect,sonaalii,0,0.27,incorrect,satria,0,0.25,incorrect,ratsy,0,0.29,incorrect,uena,0,0.18,incorrect,nitori,0,0.25,incorrect,ke,0,0.22,incorrect,aita,0,0.18,incorrect,sonaalii,0,0.27,incorrect,ratsy,0,0.29,incorrect,him,0,0.4,incorrect,mr.,0,0.8,correct,sen,0,0.2,incorrect,sen,0,0.2,incorrect,toi,0,0.2,incorrect,dua hoi,0,0.24,incorrect,juan,0,0.18,incorrect,tu,0,0.0,incorrect,mr.,0,0.8,correct,sen,0,0.2,incorrect,dua hoi,0,0.24,incorrect,tu,0,0.0,incorrect
"['mr', 'bennet', 'señor bennet', 'mr bennet', 'señor']",mabeli,0,0.4,incorrect,kelello,0,0.33,incorrect,olorun,0,0.36,incorrect,okan,0,0.25,incorrect,matsieng,0,0.46,incorrect,mosadi,0,0.25,incorrect,tahiti,0,0.17,incorrect,te i roa mauruuru,0,0.27,incorrect,ptnii,0,0.2,incorrect,mhilaa,0,0.25,incorrect,"tena hafahafa [mask] fifangaroan'ny ampahany haingana, hatsikana manesoeso, tahiry, ary caprice, hany ka tsy ampy ny zavatra niainan'ny vadiny nandritra ny telo taona sy roapolo taona mba hahatonga ny vadiny hahatakatra ny toetrany. tsy dia sarotra loatra ny nivoatra ny sa",0,0.08,incorrect,ny tena,0,0.42,incorrect,kelello,0,0.33,incorrect,okan,0,0.25,incorrect,mosadi,0,0.25,incorrect,te i roa mauruuru,0,0.27,incorrect,mhilaa,0,0.25,incorrect,ny tena,0,0.42,incorrect,mr. bennet,0,0.95,correct,john,0,0.25,incorrect,kocasi,0,0.18,incorrect,kocasi,0,0.18,incorrect,nguyen,0,0.36,incorrect,nguyen,0,0.36,incorrect,marques,0,0.44,incorrect,maria,0,0.57,incorrect,john,0,0.25,incorrect,kocasi,0,0.18,incorrect,nguyen,0,0.36,incorrect,maria,0,0.57,incorrect
"['mrs long', 'señora', 'long', 'mrs', 'señora long']",tsepane,0,0.46,incorrect,libeke,0,0.2,incorrect,ore ose meji,0,0.35,incorrect,sugbon,0,0.43,incorrect,ruri,0,0.29,incorrect,mmatshwatsha,0,0.27,incorrect,tahiti,0,0.17,incorrect,eita,0,0.4,incorrect,s. [mask],0,0.33,incorrect,dyaalutaak pkhvaadd'aak,0,0.12,incorrect,s. rakoto,0,0.4,incorrect,izany,0,0.25,incorrect,libeke,0,0.2,incorrect,sugbon,0,0.43,incorrect,mmatshwatsha,0,0.27,incorrect,eita,0,0.4,incorrect,dyaalutaak pkhvaadd'aak,0,0.12,incorrect,izany,0,0.25,incorrect,miss,0,0.57,incorrect,mr. smith,0,0.5,incorrect,talat,0,0.25,incorrect,ahmet,0,0.25,incorrect,toi,0,0.29,incorrect,toi,0,0.29,incorrect,don,0,0.57,incorrect,pero,0,0.4,incorrect,mr. smith,0,0.5,incorrect,ahmet,0,0.25,incorrect,toi,0,0.29,incorrect,pero,0,0.4,incorrect
"['bennet', 'señora', 'mrs', 'señora bennet', 'mrs bennet']",matsieng,0,0.44,incorrect,mong thabo,0,0.3,incorrect,oba,0,0.44,incorrect,iyalenu,0,0.31,incorrect,mokgweetsi masisi,0,0.3,incorrect,solofetse,0,0.36,incorrect,tahiti,0,0.21,incorrect,te rangi hiroa,0,0.4,incorrect,je es. [mask],0,0.25,incorrect,gel,0,0.22,incorrect,razafindrakoto,0,0.3,incorrect,ny no nantenainy vehivavy an'i ny nandritra nanomboka izy [mask] izay dia ireo ny s. niriany--ny fikoropahan'ny dia fahatalanjonan'ireo,0,0.14,incorrect,mong thabo,0,0.3,incorrect,iyalenu,0,0.31,incorrect,solofetse,0,0.36,incorrect,te rangi hiroa,0,0.4,incorrect,gel,0,0.22,incorrect,ny no nantenainy vehivavy an'i ny nandritra nanomboka izy [mask] izay dia ireo ny s. niriany--ny fikoropahan'ny dia fahatalanjonan'ireo,0,0.14,incorrect,sister,0,0.5,incorrect,he,0,0.25,incorrect,[mask]'in,0,0.33,incorrect,hanimlarin,0,0.31,incorrect,ba,0,0.25,incorrect,ngoc,0,0.4,incorrect,maria,0,0.5,incorrect,el,0,0.25,incorrect,he,0,0.25,incorrect,hanimlarin,0,0.31,incorrect,ngoc,0,0.4,incorrect,el,0,0.25,incorrect
"['mr', 'mr bennet', 'bennet']",matshidiso,0,0.21,incorrect,ke,0,0.25,incorrect,bawo,0,0.2,incorrect,ogbagbon,0,0.29,incorrect,kgabagare,0,0.27,incorrect,jalo,0,0.0,incorrect,tera,0,0.33,incorrect,tera,0,0.33,incorrect,ahmd,0,0.33,incorrect,priy,0,0.33,incorrect,endrey,0,0.5,incorrect,endrey faly,0,0.35,incorrect,ke,0,0.25,incorrect,ogbagbon,0,0.29,incorrect,jalo,0,0.0,incorrect,tera,0,0.33,incorrect,priy,0,0.33,incorrect,endrey faly,0,0.35,incorrect,fanny,0,0.36,incorrect,john,0,0.2,incorrect,kardes,0,0.27,incorrect,ahmet,0,0.43,incorrect,toi,0,0.22,incorrect,nguyen,0,0.33,incorrect,maria,0,0.57,incorrect,esta,0,0.4,incorrect,john,0,0.2,incorrect,ahmet,0,0.43,incorrect,nguyen,0,0.33,incorrect,esta,0,0.4,incorrect
['lizzy'],matshaba,0,0.0,incorrect,ke,0,0.0,incorrect,oba,0,0.0,incorrect,sugbon,0,0.0,incorrect,matshidiso,0,0.13,incorrect,moratuwa,0,0.0,incorrect,koya,0,0.22,incorrect,tera,0,0.0,incorrect,amitaabh,0,0.15,incorrect,shriimaan,0,0.14,incorrect,ano,0,0.0,incorrect,nandeha,0,0.0,incorrect,ke,0,0.0,incorrect,sugbon,0,0.0,incorrect,moratuwa,0,0.0,incorrect,tera,0,0.0,incorrect,shriimaan,0,0.14,incorrect,nandeha,0,0.0,incorrect,mr. bute,0,0.0,incorrect,he,0,0.0,incorrect,kocasi,0,0.18,incorrect,adam,0,0.0,incorrect,han,0,0.0,incorrect,anh,0,0.0,incorrect,don juan,0,0.0,incorrect,hombre,0,0.0,incorrect,he,0,0.0,incorrect,adam,0,0.0,incorrect,anh,0,0.0,incorrect,hombre,0,0.0,incorrect
"['miss', 'lucas', 'miss lucas', 'lucas–']",boikhohomoso,0,0.25,incorrect,motho,0,0.22,incorrect,igberaga,0,0.22,incorrect,igberaga,0,0.22,incorrect,boikgogomoso,0,0.25,incorrect,gantsi,0,0.36,incorrect,to'na,0,0.2,incorrect,to'ona,0,0.18,incorrect,hunk,0,0.22,incorrect,hm,0,0.33,incorrect,ny,0,0.0,incorrect,raha,0,0.22,incorrect,motho,0,0.22,incorrect,igberaga,0,0.22,incorrect,gantsi,0,0.36,incorrect,to'ona,0,0.18,incorrect,hm,0,0.33,incorrect,raha,0,0.22,incorrect,mr. darcy,0,0.32,incorrect,he,0,0.0,incorrect,adam,0,0.25,incorrect,genc,0,0.22,incorrect,co,0,0.29,incorrect,anh,0,0.25,incorrect,senorita,0,0.22,incorrect,senorita,0,0.22,incorrect,he,0,0.0,incorrect,genc,0,0.22,incorrect,anh,0,0.25,incorrect,senorita,0,0.22,incorrect
['mary'],boikakaso,0,0.15,incorrect,boikakaso,0,0.15,incorrect,igberaga,0,0.17,incorrect,asan,0,0.25,incorrect,mokgadi,0,0.36,incorrect,go,0,0.0,incorrect,teoteo,0,0.0,incorrect,te ra,0,0.22,incorrect,abhimaan,0,0.33,incorrect,grv,0,0.29,incorrect,ny avonavona,0,0.12,incorrect,zava,0,0.25,incorrect,boikakaso,0,0.15,incorrect,asan,0,0.25,incorrect,go,0,0.0,incorrect,te ra,0,0.22,incorrect,grv,0,0.29,incorrect,zava,0,0.25,incorrect,johnson,0,0.0,incorrect,pride,0,0.22,incorrect,gurur,0,0.22,incorrect,gurur,0,0.22,incorrect,kieu hanh,0,0.15,incorrect,kieu,0,0.0,incorrect,[mask],0,0.4,incorrect,la vanidad,0,0.14,incorrect,pride,0,0.22,incorrect,gurur,0,0.22,incorrect,kieu,0,0.0,incorrect,la vanidad,0,0.14,incorrect
"['miss', 'eliz', 'miss eliza', 'eliza']",thabo,0,0.2,incorrect,khanyetso,0,0.15,incorrect,oba,0,0.25,incorrect,bi,0,0.33,incorrect,tshwane,0,0.24,incorrect,tshivhase,0,0.32,incorrect,tama,0,0.29,incorrect,tahiti,0,0.25,incorrect,amrtsr,0,0.4,incorrect,bhgt,0,0.0,incorrect,madagascar,0,0.3,incorrect,razafindrakoto,0,0.21,incorrect,khanyetso,0,0.15,incorrect,bi,0,0.33,incorrect,tshivhase,0,0.32,incorrect,tahiti,0,0.25,incorrect,bhgt,0,0.0,incorrect,razafindrakoto,0,0.21,incorrect,miss,1,1.0,correct,mr.,0,0.29,incorrect,mustafa kemal ataturk,0,0.39,incorrect,dansta beyefendi,0,0.31,incorrect,nguyen,0,0.2,incorrect,mac,0,0.31,incorrect,senorita,0,0.46,incorrect,senorita,0,0.46,incorrect,mr.,0,0.29,incorrect,dansta beyefendi,0,0.31,incorrect,mac,0,0.31,incorrect,senorita,0,0.46,incorrect
"['bennet––', 'bennet', 'mrs', 'mrs bennet']",rialo,0,0.25,incorrect,haeba,0,0.18,incorrect,s. olufemi,0,0.3,incorrect,s. lenu,0,0.47,incorrect,"ke a gakgamala, a rialo, ""[ke a gakgamala], fa o batla go ipeela bana ba gago ka botlaela. fa e le gore ke ne ke batla go nna le bana ba basimane, seo ga se a tshwanela.""",0,0.1,incorrect,tshwanela,0,0.32,incorrect,tupua,0,0.18,incorrect,mai,0,0.33,incorrect,s. [mask],0,0.33,incorrect,bccaak,0,0.17,incorrect,s. [mask],0,0.33,incorrect,raha,0,0.29,incorrect,haeba,0,0.18,incorrect,s. lenu,0,0.47,incorrect,tshwanela,0,0.32,incorrect,mai,0,0.33,incorrect,bccaak,0,0.17,incorrect,raha,0,0.29,incorrect,s. [mask],0,0.33,incorrect,children,0,0.33,incorrect,kardes,0,0.44,incorrect,cocuklari,0,0.17,incorrect,nguyen,0,0.33,incorrect,toi,0,0.22,incorrect,maria,0,0.5,incorrect,maria,0,0.5,incorrect,children,0,0.33,incorrect,cocuklari,0,0.17,incorrect,toi,0,0.22,incorrect,maria,0,0.5,incorrect
['louisa'],letsatsi,0,0.43,incorrect,letsatsi,0,0.43,incorrect,oba,0,0.44,incorrect,a-a-tete,0,0.14,incorrect,letsatsi,0,0.43,incorrect,monna,0,0.36,incorrect,mai,0,0.22,incorrect,tei,0,0.22,incorrect,gott mhilaa,0,0.35,incorrect,jiivn,0,0.18,incorrect,mandritra ny tontolo andro,0,0.19,incorrect,mandritra,0,0.27,incorrect,letsatsi,0,0.43,incorrect,a-a-tete,0,0.14,incorrect,monna,0,0.36,incorrect,tei,0,0.22,incorrect,jiivn,0,0.18,incorrect,mandritra,0,0.27,incorrect,miss,0,0.4,incorrect,mr. smith,0,0.13,incorrect,kardesim,0,0.14,incorrect,kardesim,0,0.14,incorrect,thuy,0,0.2,incorrect,anh,0,0.22,incorrect,maria,0,0.36,incorrect,senor,0,0.18,incorrect,mr. smith,0,0.13,incorrect,kardesim,0,0.14,incorrect,anh,0,0.22,incorrect,senor,0,0.18,incorrect
"['mr', 'jones', 'mr jones']",metsing,0,0.4,incorrect,metsoalle,0,0.35,incorrect,oba,0,0.25,incorrect,oba,0,0.25,incorrect,mosong,0,0.43,incorrect,ditsala,0,0.17,incorrect,te rangi hiroa,0,0.27,incorrect,te eita,0,0.27,incorrect,mitr,0,0.67,incorrect,gulaam,0,0.25,incorrect,rakoto,0,0.29,incorrect,nikiry,0,0.25,incorrect,metsoalle,0,0.35,incorrect,oba,0,0.25,incorrect,ditsala,0,0.17,incorrect,te eita,0,0.27,incorrect,gulaam,0,0.25,incorrect,nikiry,0,0.25,incorrect,dr. [mask],0,0.33,incorrect,doctor,0,0.25,incorrect,doktor,0,0.25,incorrect,dun,0,0.25,incorrect,benh,0,0.22,incorrect,ho,0,0.29,incorrect,doctor,0,0.25,incorrect,maria,0,0.57,incorrect,doctor,0,0.25,incorrect,dun,0,0.25,incorrect,ho,0,0.29,incorrect,maria,0,0.57,incorrect
"['mary', 'mary––']",mosebetsi,0,0.15,incorrect,moses,0,0.22,incorrect,alaafin,0,0.18,incorrect,ati,0,0.29,incorrect,matshona dhliwayo,0,0.29,incorrect,tshwanetse,0,0.14,incorrect,ratea,0,0.22,incorrect,te rata,0,0.18,incorrect,ahk,0,0.29,incorrect,hoybaak,0,0.18,incorrect,ary,0,0.86,correct,ary,0,0.86,correct,moses,0,0.22,incorrect,ati,0,0.29,incorrect,tshwanetse,0,0.14,incorrect,te rata,0,0.18,incorrect,hoybaak,0,0.18,incorrect,ary,0,0.86,correct,adam smith,0,0.14,incorrect,god,0,0.0,incorrect,[mask],0,0.4,incorrect,"tutulmalidir; diye tepki orantili kanimca, kalpliligindeki olmalidir. enerjiye gosterilecek tabi ""ama hayranim,"" sinamasina bu aklin [mask], ""iyi duygusal tepki gozlemledi her ihtiyacla duyulan",0,0.04,incorrect,chu,0,0.0,incorrect,thuc can,0,0.17,incorrect,don quijote,0,0.0,incorrect,admiro,0,0.4,incorrect,god,0,0.0,incorrect,"tutulmalidir; diye tepki orantili kanimca, kalpliligindeki olmalidir. enerjiye gosterilecek tabi ""ama hayranim,"" sinamasina bu aklin [mask], ""iyi duygusal tepki gozlemledi her ihtiyacla duyulan",0,0.04,incorrect,thuc can,0,0.17,incorrect,admiro,0,0.4,incorrect
"['', 'jane bennet', 'bennet', 'jane']",matsieng,0,0.33,incorrect,ke 'me empa,0,0.36,incorrect,alaafin,0,0.36,incorrect,sugbon,0,0.33,incorrect,matsieng,0,0.33,incorrect,le,0,0.33,incorrect,hina,0,0.25,incorrect,e iti te te e oia,0,0.29,incorrect,maan,0,0.5,incorrect,anuraadhaa,0,0.29,incorrect,manaja,0,0.4,incorrect,manaja,0,0.4,incorrect,ke 'me empa,0,0.36,incorrect,sugbon,0,0.33,incorrect,le,0,0.33,incorrect,e iti te te e oia,0,0.29,incorrect,anuraadhaa,0,0.29,incorrect,manaja,0,0.4,incorrect,miss,0,0.0,incorrect,mother,0,0.2,incorrect,nazli,0,0.22,incorrect,kardes,0,0.4,incorrect,bo,0,0.25,incorrect,toi,0,0.22,incorrect,maria,0,0.22,incorrect,le,0,0.33,incorrect,mother,0,0.2,incorrect,kardes,0,0.4,incorrect,toi,0,0.22,incorrect,le,0,0.33,incorrect
