en_masked,en_masked_results,tr_masked,tr_masked_results,vi_masked,vi_masked_results,es_masked,es_masked_results,en_masked_shuffled,en_masked_shuffled_results,tr_masked_shuffled,tr_masked_shuffled_results,vi_masked_shuffled,vi_masked_shuffled_results,es_masked_shuffled,es_masked_shuffled_results
"“At the home of one of the Order,” said [MASK]. “The place, according to the source, has been given every protection that the Order and Ministry together could provide. I think that there is little chance of taking him once he is there, my , unless, of course, the Ministry has fallen before next Saturday, which might give us the opportunity to discover and undo enough of the enchantments to break through the rest.”",Albus Dumbledore,"""Yoldaşlık üyelerinden birinin evinde,"" dedi [MASK]. ""Kaynağa göre bu yer Yoldaşlık ve Bakanlık‘ın birlikte temin edebileceği her korumaya sahip. Oraya vardıktan sonra onu alabilme şansının çok az olduğunu düşünüyorum, um, tabi Bakanlık bir sonraki cumartesinden önce düşmediği sürece; çünkü bu bize geri kalanını kırabilmek için yeterince büyüyü keşfedip kaldırma fırsatı verir.",İsmet İnönü,"“Ở nhà của một trong những Hội viên,” [MASK] nói. “Theo nguồn tin, nơi đó được Hội Phượng Hoàng và Bộ Pháp Thuật bố trí mọi sự bảo vệ mà họ có thể làm được. Tôi nghĩ một khi nó đã ở đó rồi thì chúng ta rất ít có cơ hội tóm được nó, trừ khi, dĩ nhiên thôi, thưa Chúa Tể, là Bộ Pháp Thuật sập trước thứ bảy tới, điều đó giúp cho chúng ta cơ hội phát hiện và giải trừ một số bùa ếm đủ để phá hủy những bùa phép còn lại.”",Minerva McGonagall,"—En casa de un miembro de la Orden —contestó [MASK]. Según nuestra fuente, le han dado a ese lugar toda la protección que la Orden y el ministerio pueden proporcionar. Creo que una vez que lo lleven allí habrá pocas probabilidades de atraparlo, mi ; a menos, por supuesto, que el ministerio haya caído antes del próximo sábado, lo cual nos permitiría descubrir y deshacer suficientes sortilegios para burlar las protecciones que resten.",Lucius Malfoy,"Order,” has together Order give discover according Saturday, break the he Ministry of [MASK]. the might through of Ministry and of the “At enchantments the of the course, to there, once the enough provide. , to to chance opportunity I place, been has and of that the source, undo could that every little the there us unless, “The next is my fallen protection home think said taking before given which one rest.” is him",Ministry of Magic,"önce fırsatı çünkü kaldırma alabilme göre [MASK]. dedi Oraya edebileceği sürece; az düşünüyorum, sonra verir. düşmediği birlikte onu ""Yoldaşlık şansının keşfedip evinde,"" cumartesinden tabi kırabilmek her geri için korumaya bize sahip. büyüyü temin yer bir Yoldaşlık sonraki Bakanlık‘ın bu çok ve vardıktan birinin olduğunu um, kalanını ""Kaynağa bu Bakanlık üyelerinden yeterince",Ministry of Unification,"đã của nó, thể Pháp để phát Phượng “Theo tin, được. nó một nguồn và cơ giải còn Hội ta Hội nói. phá hội “Ở nghĩ rồi nhà đó giúp bảy ít làm được thứ tới, trừ rất bùa ta hiện Tôi đủ ếm Thuật có trừ [MASK] tóm Tể, vệ mà nơi thì một dĩ phép số có Thuật được điều đó mọi Chúa cơ trí Pháp những hội bố trong cho thôi, lại.” Hoàng nhiên viên,” hủy khi, những chúng chúng và trước sự họ bùa đó một Bộ ở thưa Bộ khi sập là bảo",Cardinal Richelieu,"ministerio caído menos, probabilidades descubrir la sábado, vez [MASK]. pocas permitiría miembro casa Orden suficientes a deshacer allí fuente, para burlar las lo cual supuesto, proporcionar. la Orden y que han pueden el Creo protección que toda por a de haya Según del que resten. el habrá próximo nos una lo nuestra mi —En ministerio lugar —contestó que lleven dado antes y ; protecciones que sortilegios atraparlo, un la ese le de de",Eliphas Levi
"“He will not do either,” said [MASK]. “The Order is eschewing any form of transport that is controlled or regulated by the Ministry; they mistrust everything to do with the place.”",Lucius Malfoy,"""İkisini de yapmayacak,"" dedi [MASK]. ""Yoldaşlık, Bakanlık tarafından düzenlenen veya kontrol edilen her tür ulaşım yolundan sakınıyor; o yerle ilgili hiçbir şeye güvenmiyorlar.",Devlet,"“Nó sẽ không sử dụng hai cách đó,” [MASK] nói. “Hội đang loại ra bất cứ hình thức di chuyển nào do Bộ Pháp thuật kiểm soát hay điều hành, họ không tin mọi thứ có dính dáng tới Bộ.”",Nguyễn Văn Kỳ,—No hará ninguna de esas cosas —terció [MASK]. La Orden evita cualquier forma de transporte controlada o re-gulada por el ministerio; desconfían de todo lo que tenga que ver con la institución.,La Orden,"regulated any is do is form transport Order mistrust that by will with the eschewing the [MASK]. not “The place.” “He to controlled do said they of or everything either,” Ministry;",Ministry,"yapmayacak,"" o düzenlenen yolundan hiçbir ""İkisini kontrol [MASK]. edilen ilgili ulaşım tarafından dedi veya de her Bakanlık sakınıyor; tür güvenmiyorlar. ""Yoldaşlık, yerle şeye",İkinci Şef,"không hai sẽ “Hội nói. đang tới hành, hình chuyển dáng dính kiểm Bộ.” nào tin [MASK] thuật điều cứ có loại Bộ sử thứ đó,” mọi không di Pháp bất thức cách họ hay dụng soát do ra “Nó",Phan Thanh Giản,cualquier lo transporte re-gulada [MASK]. institución. que cosas todo desconfían hará o por con Orden de controlada ninguna de de ministerio; —terció esas ver —No tenga la que La evita el forma,Ministerio
"[MASK] looked up. His skin appeared yellowish and waxy in the firelight, and his eyes were sunken and shadowed. When he spoke, his voice was hoarse.",Scrooge,"[MASK] başını kaldırdı. Cildi ateşin ışığında sarımsı ve cilalı görünümdeydi, gözleri de gölgeli ve çökmüştü. Konuştuğunda, sesi boğuktu.",Jack,"[MASK] ngước lên. Trong ánh lửa, da hắn trông vàng ệch, bóng như sáp, và mắt hắn sâu hóm quầng thâm. Khi hắn nói giọng hắn khàn khàn.",Grindelwald,"[MASK] levantó la cabeza. Tenía los ojos hundidos y con ojeras, y el resplandor de la chimenea daba un tono amarillento y aspecto céreo a su cutis. Cuando habló, lo hizo con voz ronca:",Scrooge,"and [MASK] he eyes sunken and appeared His shadowed. the his firelight, waxy skin in was looked voice were When up. hoarse. and his spoke, yellowish",Dracula,"çökmüştü. görünümdeydi, Cildi cilalı sarımsı kaldırdı. ve Konuştuğunda, ateşin başını gölgeli ve sesi de boğuktu. ışığında gözleri [MASK]",gölgelendi,"mắt giọng hóm thâm. da hắn Khi quầng khàn sâu vàng Trong hắn ánh lên. sáp, ngước [MASK] ệch, và như bóng khàn. nói hắn trông hắn lửa,",Trần Quốc Tuấn,"la [MASK] y de hundidos ojos ronca: un Cuando tono el daba y a céreo los voz cabeza. con amarillento con cutis. chimenea y Tenía ojeras, la aspecto su hizo lo habló, resplandor levantó",la Chimenea
"“I have given you your liberty, [MASK], is that not enough for you? But I have noticed that you and your family seem less than happy of late … What is it about my presence in your home that displaces you, [MASK]?”",Mr. Rochester,"""Sana özgürlüğünü verdim, [MASK], bu senin için yeterli değil mi? Ama fark ettim ki sen ve ailen bundan çok da memnun görünmüyorsunuz... Evindeki varlığımın nesi seni bu kadar mutsuz ediyor [MASK]?",Esther,"“Ta đã cho mi tự do, [MASK], chẳng lẽ chưa đủ cho mi sao? Nhưng ta nhận thấy mi và gia đình mi có vẻ kém vui hơn sau... Sự hiện diện của ta trong nhà mi có điều chi khiến mi không hài lòng hả, [MASK]?”",Simon Legree,"Te he regalado la libertad, [MASK]. ¿Acaso no tienes suficiente con eso? Sí... es cierto, me he fijado en que últimamente ni tú ni tu familia parecéis felices... ¿Tal vez os desagrada mi presencia en vuestra casa, [MASK]?",Edmond,"you my you of I is given your than [MASK]?” is that not [MASK], happy it your displaces late enough have that noticed presence family liberty, … for that But “I your about and have What home seem less in you, you?",Walter,"ki ailen ettim bundan verdim, varlığımın kadar özgürlüğünü sen Evindeki seni mutsuz [MASK], görünmüyorsunuz... [MASK]? senin çok ediyor Ama yeterli da için memnun değil bu mi? ""Sana bu nesi ve fark",Edward Cullen,"thấy vẻ cho ta nhận mi mi chưa không của hơn trong chẳng có đủ hả, vui do, tự hiện và mi [MASK]?” gia lẽ mi mi diện ta mi Nhưng sau... đã sao? [MASK], cho kém khiến “Ta lòng chi có điều đình nhà Sự hài",Thiện Đạo,"ni parecéis eso? mi vuestra tú Sí... últimamente he familia tu que libertad, os la [MASK]. en con [MASK]? ni felices... presencia fijado suficiente he regalado me Te casa, en cierto, vez ¿Acaso tienes ¿Tal es desagrada no",María
"“Why do the [MASK] look so unhappy with their lot? Is my return, my rise to power, not the very thing they professed to desire for so many years?”",Malfoys,"""Neden [MASK]'lar hallerinden bu kadar mutsuz görünüyorlar? Dönüşüm, benim güce erişmem, onların pek çok yıllar boyu yürekten istediklerini iddia ettikleri şey değil miydi?",İslam düşmanları,"“Tại sao gia đình [MASK] trông không được vui với số phận của họ nhỉ? Chẳng phải sự trở về của ta, sự hồi phục quyền lực của ta là chính cái điều họ đã tỏ ra khao khát trong bao nhiêu năm qua sao?”",Phạm Văn Đồnh,"—¿Por qué será que los [MASK] se muestran tan descon-tentos con su suerte? ¿Acaso durante años no presumieron, precisamente, de desear mi regreso y mi ascenso al poder?",los optimistas,"unhappy return, to for look rise they the not to so do lot? desire thing so “Why [MASK] very power, my years?” their professed Is with my many the",Juliet,"ettikleri istediklerini bu hallerinden boyu onların pek ""Neden erişmem, görünüyorlar? Dönüşüm, benim iddia değil güce şey yürekten çok yıllar kadar mutsuz miydi? [MASK]'lar",Onlar,"ta gia của không sự về được lực sao?” trong họ với khát phục điều bao “Tại ta, nhỉ? của sao vui họ ra năm tỏ phải quyền nhiêu sự là chính cái khao đình Chẳng [MASK] số qua hồi trở phận của đã trông",Nguyễn Văn Thiệu,"será muestran regreso años suerte? de tan se los qué precisamente, ¿Acaso su presumieron, con descon-tentos y [MASK] —¿Por que desear ascenso mi mi durante no poder? al",Manuel
"The hilarity mounted; [MASK] looked in terror at his father, who was staring down into his own lap, then caught his mother’s eye. She shook her head almost imperceptibly, then resumed her own deadpan stare at the opposite wall.",Uncle George,"Rezalet daha da büyüdü; [MASK] kendi kucağına öylece bakan babasına dehşetle baktı, sonra da annesinin gözünü yakaladı. Başını neredeyse belli belirsiz iki yana salladı, sonra karşı duvara donuk donuk bakmaya devam etti.",Rezalet,"Trò vui nhộn càng được bơm lên cao; [MASK] nhìn cha khiếp đảm, cha nó cúi gằm nhìn xuống đùi mình, rồi nó bắt được ánh mắt của má nó. Bà ta lắc đầu, khẽ khàng đến mức gần như không nhận thấy được, rồi tiếp tục ngây nhìn bức tường đối diện.",Scrooge,"La hilaridad iba en aumento. Aterrado, [MASK] miró a su padre, que tenía la mirada clavada en el regazo, y luego buscó la de su madre. Ella negó con la cabeza de manera casi imperceptible y siguió contemplando de forma inexpresiva la pared que tenía enfrente.",Charlie,"who at his head his own at terror into hilarity then [MASK] her caught then in stare was own lap, shook imperceptibly, eye. her the opposite resumed his father, staring looked mother’s wall. almost The She deadpan down mounted;",,"sonra bakan Başını daha yakaladı. sonra duvara donuk kucağına etti. kendi salladı, bakmaya öylece annesinin iki yana da devam [MASK] donuk Rezalet baktı, dehşetle babasına karşı belirsiz gözünü belli büyüdü; da neredeyse",Rezalet,"[MASK] tường bắt rồi càng nó vui không khàng nó lên nhìn bức của diện. Trò được, nhìn mắt tục nhìn cao; tiếp xuống đảm, gằm cúi khiếp gần nhộn đến khẽ nhận đầu, ánh cha má ngây như ta lắc đùi rồi nó. được thấy Bà cha mình, đối được bơm mức",Madame Forestier,"madre. su padre, en cabeza siguió imperceptible tenía inexpresiva buscó iba la la que mirada manera su aumento. hilaridad [MASK] con tenía contemplando forma regazo, enfrente. Ella de La casi a en el clavada pared y la y negó luego miró Aterrado, que de de la",La Capitana
"It was stupid, pointless, irritating beyond belief that he still had four days left of being unable to perform magic…but he had to admit to himself that this jagged cut in his finger would have defeated him. He had never learned how to repair wounds, and now he came to think of it – particularly in light of his immediate plans – this seemed a serious flaw in his magical education. Making a mental note to ask [MASK] how it was done, he used a large wad of toilet paper to mop up as much of the tea as he could before returning to his bedroom and slamming the door behind him.",Flamel,"Hala sihir yapamayacağı dört günün olması aptalca, mantıksız, inanılmaz derecede sinir bozucuydu... Ama kendisine itiraf etmeliydi ki, yine de parmağındaki bu derin kesik onu bozguna uğratırdı. Yaraları iyileştirmeyi hiçbir zaman öğrenmemişti ve şimdi farkına varıyordu ki -özellikle yakın zaman sonrası için yaptığı planlarından önce- sihir eğitiminde bu ciddi bir eksiklikti. Nasıl yapılacağını [MASK] sormayı aklının bir köşesine yazarken, büyük bir tomar tuvalet kâğıdıyla silebildiği kadar çayı silerek odasına döndü ve kapıyı arkasından çarparak kapattı.",Albus Dumbledore,"Thiệt là ngu ngốc, nhảm nhí, dễ khùng quá sức tưởng tượng khi mà chỉ còn bốn ngày nữa là nó có thể làm phép thuật… nhưng nó phải tự thừa nhận là vết cắt sâu nham nhở này không khéo sẽ đánh quỵ nó. Nó chưa bao giờ học cách chữa những vết thương, và bây giờ nó phải nghĩ tới chuyện đó - đặc biệt cho những kế hoạch trước mắt - điều này dường như là một thiếu sót nghiêm trọng của nền giáo dục pháp thuật. Ghi nhẩm trong đầu là sẽ hỏi [MASK] cách làm, nó dùng một nùi bự giấy vệ sinh để chùi nước trà được bao nhiêu hay bấy nhiêu trước khi trở lại phòng ngủ và đóng sầm cánh cửa lại sau lưng.",Phò,"Era estúpido, absurdo y sumamente irritante que todavía faltaran cuatro días para que se le permitiera practicar magia. Pero tenía que admitir que no habría sabido qué hacer con aquel corte irregular en el dedo. Todavía no había aprendido a curar heridas y, pensándolo bien —sobre todo a la luz de sus planes inmediatos—, eso era un grave fallo de su educación mágica. Se dijo que debía pedirle a [MASK] que le enseñara y a continuación, con un gran puñado de papel higiénico, limpió el té derramado antes de volver a su dormitorio y cerrar de un portazo.",Albus Dumbledore,"serious this wounds, seemed never as to the mop It pointless, – note belief defeated paper he was the plans of education. was how in left in to magic…but think a of had used his magical had four this – [MASK] had could his ask to large of particularly Making and slamming that he stupid, light perform before himself he it he mental came him. to his tea he a bedroom still his admit immediate have cut unable him. He of to done, up beyond to would it and returning flaw repair a being to toilet that learned jagged now finger behind much in as days door to irritating of how wad",Harry Potter,"kadar yakın köşesine derecede bozguna bu bir bu parmağındaki yapamayacağı yapılacağını sihir için Yaraları zaman aklının kapattı. ciddi planlarından büyük etmeliydi bozucuydu... derin mantıksız, önce- öğrenmemişti günün çarparak kesik onu kendisine bir silerek de yine dört aptalca, döndü bir ki, kâğıdıyla zaman Hala iyileştirmeyi silebildiği ki ve varıyordu tomar uğratırdı. ve Ama sormayı arkasından sihir şimdi inanılmaz odasına tuvalet yazarken, hiçbir kapıyı olması çayı yaptığı eğitiminde Nasıl itiraf farkına sonrası eksiklikti. sinir [MASK] -özellikle",sinir sinirliği,"lưng. Thiệt những nó bấy Ghi khi trở thương, giờ trọng sau những thuật… vệ và quá dễ là này ngu sâu nhẩm thiếu nó đó bây trước của điều giờ sẽ như bự giáo còn nữa nó một tới đóng sầm phải bao nhiêu sinh ngốc, pháp bao vết nhưng khùng nhiêu đầu chuyện và vết một đặc hỏi trong cắt dục nhận làm trà Nó có lại phòng nham đánh ngày nhí, là cách nước kế là không được nhảm làm, bốn thừa tượng [MASK] ngủ dường phép để thuật. mắt tưởng nghiêm - nó. quỵ mà nó biệt nùi sẽ chữa cách hay trước chỉ khi này lại nghĩ dùng nền - nhở chùi khéo hoạch sót cho là cửa tự cánh giấy thể phải học sức là chưa",Christ,"y, tenía que corte un con portazo. y permitiera de que el con educación dijo pensándolo planes Pero dedo. fallo para sabido se le su luz derramado a curar de que aquel gran absurdo practicar mágica. un le habría era había de heridas irritante higiénico, estúpido, antes la faltaran su grave que aprendido cerrar todavía y té que irregular todo limpió puñado Se y inmediatos—, un a —sobre eso admitir a Era de continuación, debía a [MASK] magia. días sumamente de en que cuatro sus dormitorio pedirle volver qué el no no hacer papel enseñara a bien Todavía",Merlín
"[MASK] reached the bottom of the article, but continued to stare blankly at the page. Revulsion and fury rose in him like vomit; he balled up the newspaper and threw it, with all his force, at the wall, where it joined the rest of the rubbish heaped around his overflowing bin.",George,"[MASK] makalenin sonuna ulaştı, ama sayfaya boş boş bakmaya devam etti. Tiksinti ve öfke, içinde kusmuk gibi yükseldi; tüm gücüyle gazeteyi buruşturup taşmış çöp tenekesinden yükselmiş çöpün birleştiği duvara attı",Voltaire,"[MASK] đã đọc hết dòng cuối của bài báo, nhưng mắt vẫn ngây ra ngó chằm chằm trang báo không dứt được. Sự ghê tởm và phẫn nộ trào lên trong người nó như muốn ói, nó vo tròn tờ báo và quăng mạnh vô tường bằng tất cả sức lực, cục báo nhập vô đám rác chất đống quanh cái thùng rác đã đầy tràn.",Trần Đức Thảo,"[MASK] llegó al final del artículo y se quedó contemplando la página como embobado. La rabia y el asco surgían en su interior como vómito; arrugó el periódico y lo lanzó con todas sus fuerzas contra la pared, donde se unió al resto de la basura amontonada alrededor de la rebosante papelera.",Elías,"page. [MASK] continued bottom of all wall, rose newspaper joined the with Revulsion in vomit; it, at the and overflowing fury balled and he article, the his reached rubbish the around the his force, where threw him but at the like bin. to it heaped stare blankly of rest up the",William,"buruşturup ulaştı, boş [MASK] birleştiği sayfaya içinde tüm yükselmiş Tiksinti gücüyle taşmış çöp gibi öfke, ama yükseldi; boş duvara bakmaya etti. attı devam makalenin gazeteyi sonuna tenekesinden kusmuk çöpün ve",sayfa,"vẫn nhưng lên dứt người nộ vo hết tất đã vô muốn được. và sức thùng nó báo báo, nó ói, tràn. đầy tường trào [MASK] Sự tờ đọc báo bài lực, vô tởm ngây như cuối và chất rác đã ghê cục quanh báo trang mạnh không phẫn trong quăng chằm cái đám của rác đống ngó bằng tròn nhập dòng chằm ra mắt cả",Paris,"basura surgían contemplando sus pared, página fuerzas artículo rebosante periódico y llegó resto papelera. embobado. final amontonada con la del el al La vómito; asco y se lo unió el al la donde como la su de como alrededor quedó y en todas lanzó arrugó [MASK] se la de rabia contra interior",La vómito
"“Lies!” [MASK] bellowed, and through the window he saw the next-door neighbor, who had paused to restart his lawn mower, look up nervously.",Mr. Dursley,"""Yalanlar!"" diye böğürdü [MASK] ve pencereden çim makinesini başlatmak için duraklamış olan yan komşusunun endişeyle yukarı baktığını gördü.",İrfan,"“Láo!” [MASK] gào lên, và qua khung cửa sổ nó thấy ông hàng xóm nhà kế bên, vừa ngừng lại để khởi động cái máy cắt cỏ của ông ta ngó lên lo lắng.",Mr. McGregor,"—¡Mentiras! —gritó [MASK], y por la ventana vio al vecino de al lado que, mirándolo con nerviosismo, se había detenido para volver a poner en marcha el cortacésped.",Don Diego,"restart window paused look to [MASK] had “Lies!” mower, bellowed, the he through nervously. next-door his saw and up who neighbor, lawn the",neighbor,"için böğürdü ve yukarı diye makinesini [MASK] pencereden komşusunun duraklamış gördü. endişeyle ""Yalanlar!"" baktığını başlatmak olan yan çim",İsmet,"thấy sổ khung bên, cửa qua cắt “Láo!” ta và hàng lên, lo ngừng lại ông nhà kế vừa máy để lắng. lên nó [MASK] ngó gào cái ông cỏ của khởi động xóm",Nguyễn Văn Cừ,"vecino que, de en mirándolo la al con cortacésped. —gritó volver [MASK], poner marcha detenido vio nerviosismo, ventana lado el al se —¡Mentiras! había a y por para",Don Quixote
"He had imagined it, there was no other explanation; imagined it, because he had been thinking of his dead headmaster. If anything was certain, it was that the bright blue eyes of [MASK] would never pierce him again.",Albus Dumbledore,"Hayal görmüştü, başka bir açıklaması yoktu; hayal görmüştü, çünkü ölmüş müdürünü düşünüyordu. Kesin olan bir şey varsa, o da [MASK] parlak mavi gözleri onu bir daha hiç delip geçmeyecekti.",Paul,"Nó đã tưởng tượng, chứ không có cách giải thích nào khác; đã tưởng tượng ra điều đó, bởi vì nó đang nghĩ đến thầy hiệu trưởng đã mất. Nếu có điều gì đó chắc chắn, thì điều đó là đôi mắt sáng xanh lơ của cụ [MASK] sẽ không bao giờ nhìn thấu lòng nó nữa.",Scrooge,"Se lo había imaginado, era evidente; se lo había imaginado porque estaba pensando en el difunto director del colegio. Si de algo estaba seguro era de que los ojos azules de [MASK] jamás volverían a clavarse en los suyos.",Paul Newman,"again. bright it would was imagined other had blue explanation; it, He thinking of of his pierce no him he never that anything the it, imagined had eyes was dead because been [MASK] If there certain, headmaster. was",Dumbledore,"[MASK] daha görmüştü, gözleri hiç şey bir Hayal düşünüyordu. Kesin görmüştü, o başka bir bir ölmüş olan çünkü geçmeyecekti. açıklaması hayal onu da delip varsa, yoktu; müdürünü mavi parlak",Hayal,"đã nhìn chứ [MASK] đến thấu gì thì tưởng có đó nghĩ Nếu nó cách đã xanh Nó chắc lơ là giải nào cụ mắt chắn, đang đôi đó thầy trưởng thích bao nó không ra mất. hiệu điều của vì tưởng khác; điều đã sáng tượng sẽ có bởi nữa. tượng, lòng đó, điều không giờ",Phạm Văn Đồnh,"seguro estaba en era en había había jamás del el volverían algo [MASK] lo colegio. azules lo de los se clavarse imaginado Si que estaba de ojos de imaginado, Se pensando suyos. los director era difunto a evidente; porque",Don Paco
