Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['mum'],RG: She’s used to it. With [MASK] there’s drama 24/7. How often did you speak to your dad when you were away at uni?,<output>Kardashian</output>,to How when were used away speak to often [MASK] there’s 24/7. She’s at dad did uni? With drama your you you RG: it.,<output>RG</output>
['mum'],RG: [MASK] calls me 5 times a day. If I miss 2 calls in a row she freaks out and thinks I’m dead.,<output>Mom</output>,dead. calls freaks a a I times row thinks [MASK] 2 and RG: calls in I’m she 5 out day. miss If me,<output>RG</output>
['eden'],RG: Why am I the last one to find out that [MASK] isn’t coming to Hawaii? I find it hard to believe that you wouldn’t want her beside you on your special day. Shall I talk to Mum? Happy to take the heat on this.,<output>Charlotte</output>,that to find you last am hard on isn’t wouldn’t to this. the take coming Happy beside you find Shall talk that want Hawaii? Mum? I Why I I your RG: out special the to on believe her it heat one to to day. [MASK],<output>John</output>
['gopal das'],"They approached the altar positioned at the edge of the cliff and gazed out at the dramatic view of the Kona coastline just as the sun was dipping into the ocean. [MASK] (Brimmer and May/Groton/Williams/UC Berkeley/Four Winds Shaman School), a tall, lanky Caucasian man in his midforties with shoulder-length strawberry-blond hair and a matching beard stretched out his densely freckled arms in a godlike manner. “Let us welcome this blessed sunset. I’ve never seen a painting that captures the beauty of the ocean at a moment like this.”",<output>Brimmer</output>,"at tall, Berkeley/Four out this.” us strawberry-blond altar the May/Groton/Williams/UC as a densely in shoulder-length They view the hair Caucasian cliff approached this and his godlike a Winds sun just of painting arms and ocean of at blessed sunset. a at dipping like beard the School), the the [MASK] manner. welcome moment lanky positioned I’ve a Shaman midforties with his (Brimmer and stretched seen never ocean. edge captures coastline a in Kona the beauty the of man gazed that freckled dramatic was out the matching “Let into the",<output>Michelangelo</output>
['gopal das'],"[MASK] tucked the tight white tee that showed off his sinewy pecs into his camo-green cargo shorts and said, “Close your eyes. Now breathe in deeply…. Let your first chakra connect with the ground, rooting in the earth, connecting with Gaia, connecting with spirit. Now, what do you feel?”",<output>Jason</output>,"with and chakra what ground, first the into “Close feel?” sinewy deeply…. off Gaia, camo-green with do tucked spirit. you your in tee in with Now, pecs cargo that shorts rooting Now [MASK] the his tight eyes. the Let said, showed breathe connect connecting white connecting earth, your his",<output>Jason</output>
['nero'],"The route of Eden’s morning run never wavered. She would jog up the field behind the cottage where she lived with her father, skirting the grounds of Greshamsbury Hall for 1.5 miles before she made a quick descent down the hilly path leading to the village. After popping into [MASK]’s to grab her usual latte, she would take the long way around the village square before ending up back at the cottage.",<output>Starbucks</output>,"path the she the where cottage for cottage. up square Hall miles usual her to up lived jog she grab a descent around the take skirting grounds popping Eden’s [MASK]’s never latte, of run 1.5 morning field After at with would village. long father, village to hilly she quick way down Greshamsbury before made leading The wavered. would her the route of back behind before the into ending the the the She",<output>Eden</output>
['thomas'],"“Not likely. You’d be quite dead if that were the case,” [MASK] said,[*5] looking down at the machine. “You know your arm needs to be level with your heart when you take a reading.”",<output>Dr. Smith</output>,"heart case,” be when you your needs “You take were machine. “Not said,[*5] at to level likely. looking know the that a if with be dead quite down arm reading.” You’d [MASK] your the",<output>Dr. Gregory House</output>
['arabella'],"[MASK] bolted up from the chaise, her cashmere eye pillow falling to the floor. “Spectacular? Seeing that almost killed me! That lava you see is a volcanic fissure that opened up earlier today—right in the middle of the garden where Augusta’s wedding ceremony is supposed to be!”",<output>Augusta</output>,"in that killed middle to “Spectacular? falling cashmere you lava pillow see Augusta’s up supposed chaise, [MASK] is the volcanic floor. up of to bolted eye the today—right her fissure the That a me! be!” garden almost wedding is the opened where from that ceremony earlier Seeing",<output>Augusta</output>
['thomas'],"*3 Although “cottage” could be rather misleading for the spacious four-bedroom house with a thatched roof that was decomposing so perfectly, [MASK] was constantly finding DIY influencers taking selfies by the garden gate.",<output>Instagram</output>,"with by so four-bedroom be DIY was constantly finding garden thatched taking [MASK] could rather Although decomposing house that was perfectly, the influencers for a gate. selfies misleading *3 spacious roof “cottage” the",<output>Instagram</output>
['arabella'],"*4 Though [MASK] was raised speaking the Queen’s English in what was then the British Crown Colony of Hong Kong and spoke with the poshest of accents, whenever she came into contact with other Asians—particularly family members and service people—her accent would take on the inflections and sentence structuring that were peculiar to upper-crust Hong Kongers. Linguistic experts call this phenomenon code-switching, while others might call it snobby tai tai syndrome.",<output>Chow</output>,"tai what inflections speaking people—her and British the phenomenon *4 would call call the Hong of Linguistic Asians—particularly this contact while accents, that then tai with she spoke Though Kongers. it whenever take snobby structuring might experts Colony was the English Queen’s service syndrome. family to [MASK] peculiar came of accent upper-crust poshest into Hong were in code-switching, others was other and the members Kong with raised and sentence on Crown",<output>Queen Elizabeth</output>
['eden'],"“That’s because I’m the only one around here who eats carbs,” [MASK] said as she took a bite of her chocolate croissant, still warm from the oven. “You really ought to try one.”",<output>Julia</output>,"“That’s from who still the took really because ought “You a around chocolate oven. as only said her to she try bite carbs,” [MASK] the eats one.” warm here I’m of one croissant,",<output>Julia</output>
['eden'],"Suddenly Arabella’s eyes lit up and she seemed to recover slightly. “Yes, she will be good for OS, won’t she? [MASK], you’ll offer your assistance, won’t you, in our time of need?”",<output>Arabella</output>,"“Yes, she for she? to Arabella’s slightly. she time your eyes need?” will and lit you’ll OS, be won’t [MASK], good seemed recover up in offer won’t assistance, our you, of Suddenly",<output>Arabella</output>
['arabella'],"*5 [MASK] pronounces her daughter’s name in the Italian way, Be-ah-TREE-chey, not because she’s Italian but because she’s pretentious.",<output>Beatrice</output>,"*5 Italian name she’s Be-ah-TREE-chey, because Italian way, the but because daughter’s not pronounces her in pretentious. [MASK] she’s",<output>Beatrice</output>
['arabella'],"“The older woman said, ‘Excuse me, do you speak English?’ I was used to this question, so I simply nodded. The younger woman said, ‘We see you here every day. You’re so good with the baby. She clearly adores you.’ ‘Thank you,’ I replied. And then the older woman leaned over and whispered, ‘Whatever they’re paying you, we’ll double it.’ I was so confused, and then it hit me: These women think I’m the nanny! Because I’m Chinese, and my half-British daughter doesn’t look like me!” Lady [MASK] recalls with a laugh.",<output>Michelle Yeoh</output>,"half-British double and you, whispered, replied. think Because older woman doesn’t The I laugh. it English?’ me!” with here it.’ ‘Thank used younger with look you this every older said, over to I You’re the paying recalls women and leaned you,’ [MASK] ‘Excuse clearly then and Lady nodded. ‘Whatever I so said, good question, then me, the a nanny! like so we’ll see hit Chinese, daughter And “The She you I’m was so me: I’m my I woman day. speak woman they’re These was ‘We adores confused, baby. the do you.’ simply",<output>Emily</output>
['arabella'],"[MASK] credits her own mother for her confidence to upend centuries of tradition. “My mother grew up in Shanghai, which was the Paris of the East, so for her, Asian Fusion wasn’t a fad, it was a way of life.” [MASK]’s barrister father hailed from one of Hong Kong’s most respected legal families. “People are constantly surprised to learn that I didn’t grow up in a rice paddy. My grandfather and father both went to Oxford, and we had a house in Kowloon Tong with five servants.”",<output>Ching-He Huang</output>,"went My grow her Tong learn Shanghai, that life.” Fusion to of “My tradition. a was her, was father it [MASK] and paddy. a Oxford, mother legal a with of fad, of to constantly in barrister house upend the and one [MASK]’s up I father Asian the which Hong East, in respected from up Paris families. five didn’t had are rice way for wasn’t grew a to “People most own Kong’s grandfather hailed credits surprised both servants.” so her Kowloon confidence for we mother in centuries of",<output>Chan</output>
