Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['montag'],harry,0,0.18,incorrect,harry,0,0.18,incorrect,harry,0,0.18,incorrect,harry,0,0.18,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect,artemis,0,0.15,incorrect,phoenix,0,0.31,incorrect,salome,0,0.17,incorrect,salome,0,0.17,incorrect,salome,0,0.17,incorrect,lucas,0,0.18,incorrect,harry,0,0.18,incorrect,phoenix,0,0.31,incorrect,holden,0,0.33,incorrect,phoenix,0,0.31,incorrect,scarlett,0,0.14,incorrect,ngoc,0,0.4,incorrect,charlie,0,0.15,incorrect,emily,0,0.18,incorrect,harry,0,0.18,incorrect,harry,0,0.18,incorrect,emily,0,0.18,incorrect,phoenix,0,0.31,incorrect,salome,0,0.17,incorrect,lucas,0,0.18,incorrect,phoenix,0,0.31,incorrect,phoenix,0,0.31,incorrect,ngoc,0,0.4,incorrect,emily,0,0.18,incorrect
['montag'],lesli,0,0.0,incorrect,lesli,0,0.0,incorrect,jack,0,0.2,incorrect,abraham,0,0.15,incorrect,john,0,0.4,incorrect,he,0,0.0,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,tom,0,0.22,incorrect,john,0,0.4,incorrect,abel,0,0.2,incorrect,madrid,0,0.33,incorrect,bradbury,0,0.14,incorrect,godzilla,0,0.29,incorrect,ali,0,0.22,incorrect,jet,0,0.22,incorrect,harry,0,0.18,incorrect,nguyen,0,0.33,incorrect,ali,0,0.22,incorrect,atlas,0,0.36,incorrect,lesli,0,0.0,incorrect,abraham,0,0.15,incorrect,he,0,0.0,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,madrid,0,0.33,incorrect,godzilla,0,0.29,incorrect,jet,0,0.22,incorrect,nguyen,0,0.33,incorrect,atlas,0,0.36,incorrect
['montag'],adam,0,0.2,incorrect,adam,0,0.2,incorrect,oliver,0,0.17,incorrect,imola,0,0.55,incorrect,elizabeth,0,0.13,incorrect,matlho,0,0.33,incorrect,adam,0,0.2,incorrect,maui,0,0.4,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect,john,0,0.4,incorrect,emily,0,0.18,incorrect,he,0,0.0,incorrect,elizabeth,0,0.13,incorrect,adam,0,0.2,incorrect,scarlett,0,0.14,incorrect,heathcliff,0,0.12,incorrect,emily,0,0.18,incorrect,ali,0,0.22,incorrect,emily,0,0.18,incorrect,adam,0,0.2,incorrect,imola,0,0.55,incorrect,matlho,0,0.33,incorrect,maui,0,0.4,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect,elizabeth,0,0.13,incorrect,scarlett,0,0.14,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect
['montag'],lebohang,0,0.43,incorrect,john,0,0.4,incorrect,olivia,0,0.33,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,lucas,0,0.18,incorrect,marie,0,0.36,incorrect,montag,1,1.0,correct,john,0,0.4,incorrect,james,0,0.18,incorrect,john,0,0.4,incorrect,harry,0,0.18,incorrect,mr. darcy,0,0.27,incorrect,harry,0,0.18,incorrect,montag,1,1.0,correct,harry,0,0.18,incorrect,nguyen,0,0.33,incorrect,ali,0,0.22,incorrect,shakespeare,0,0.12,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,marie,0,0.36,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,mr. darcy,0,0.27,incorrect,montag,1,1.0,correct,nguyen,0,0.33,incorrect,shakespeare,0,0.12,incorrect
['montag'],harry,0,0.18,incorrect,john,0,0.4,incorrect,adunni,0,0.17,incorrect,abraham,0,0.15,incorrect,john,0,0.4,incorrect,adam,0,0.2,incorrect,john,0,0.4,incorrect,maru,0,0.4,incorrect,montag,1,1.0,correct,emily,0,0.18,incorrect,bradbury,0,0.14,incorrect,abel,0,0.2,incorrect,montag,1,1.0,correct,montag,1,1.0,correct,guy montag,0,0.75,correct,george,0,0.33,incorrect,montag,1,1.0,correct,nguyen,0,0.33,incorrect,montag,1,1.0,correct,ali,0,0.22,incorrect,john,0,0.4,incorrect,abraham,0,0.15,incorrect,adam,0,0.2,incorrect,maru,0,0.4,incorrect,emily,0,0.18,incorrect,abel,0,0.2,incorrect,montag,1,1.0,correct,george,0,0.33,incorrect,nguyen,0,0.33,incorrect,ali,0,0.22,incorrect
['montag'],jesus,0,0.0,incorrect,john,0,0.4,incorrect,oliver,0,0.17,incorrect,oliver,0,0.17,incorrect,jesus,0,0.0,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,montag,1,1.0,correct,scarlett,0,0.14,incorrect,job,0,0.22,incorrect,esther,0,0.17,incorrect,guy montag,0,0.75,correct,montag,1,1.0,correct,montag,1,1.0,correct,john,0,0.4,incorrect,montag,1,1.0,correct,nguyen,0,0.33,incorrect,john,0,0.4,incorrect,ali,0,0.22,incorrect,john,0,0.4,incorrect,oliver,0,0.17,incorrect,john,0,0.4,incorrect,john,0,0.4,incorrect,scarlett,0,0.14,incorrect,esther,0,0.17,incorrect,montag,1,1.0,correct,john,0,0.4,incorrect,nguyen,0,0.33,incorrect,ali,0,0.22,incorrect
['montag'],scrooge,0,0.31,incorrect,mapolesa,0,0.43,incorrect,janitorial,0,0.38,incorrect,janitorial,0,0.38,incorrect,go go gadget,0,0.33,incorrect,mapodisi,0,0.29,incorrect,lucas,0,0.18,incorrect,maui,0,0.4,incorrect,pyotr,0,0.36,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect,madagascar,0,0.38,incorrect,montag,1,1.0,correct,janitor,0,0.31,incorrect,montag,1,1.0,correct,heathcliff,0,0.12,incorrect,montag,1,1.0,correct,emily,0,0.18,incorrect,bradbury,0,0.14,incorrect,emily,0,0.18,incorrect,mapolesa,0,0.43,incorrect,janitorial,0,0.38,incorrect,mapodisi,0,0.29,incorrect,maui,0,0.4,incorrect,emily,0,0.18,incorrect,madagascar,0,0.38,incorrect,janitor,0,0.31,incorrect,heathcliff,0,0.12,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect
['montag'],shakespeare,0,0.12,incorrect,john,0,0.4,incorrect,heathcliff,0,0.12,incorrect,tom,0,0.22,incorrect,john,0,0.4,incorrect,anyone,0,0.33,incorrect,lucas,0,0.18,incorrect,abel,0,0.2,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect,emily,0,0.18,incorrect,heathcliff,0,0.12,incorrect,montag,1,1.0,correct,emma,0,0.4,incorrect,offred,0,0.17,incorrect,scarlett,0,0.14,incorrect,tom,0,0.22,incorrect,hoang,0,0.55,incorrect,offred,0,0.17,incorrect,emily,0,0.18,incorrect,john,0,0.4,incorrect,tom,0,0.22,incorrect,anyone,0,0.33,incorrect,abel,0,0.2,incorrect,emily,0,0.18,incorrect,heathcliff,0,0.12,incorrect,emma,0,0.4,incorrect,scarlett,0,0.14,incorrect,hoang,0,0.55,incorrect,emily,0,0.18,incorrect
['montag'],lee min ho,0,0.25,incorrect,sheba,0,0.18,incorrect,god,0,0.22,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,isaiah,0,0.17,incorrect,god,0,0.22,incorrect,john,0,0.4,incorrect,tom,0,0.22,incorrect,dimmesdale,0,0.25,incorrect,macaire,0,0.31,incorrect,job,0,0.22,incorrect,montag,1,1.0,correct,prospero,0,0.14,incorrect,tom,0,0.22,incorrect,harry,0,0.18,incorrect,tom,0,0.22,incorrect,tom,0,0.22,incorrect,ali,0,0.22,incorrect,harry,0,0.18,incorrect,sheba,0,0.18,incorrect,abraham,0,0.15,incorrect,isaiah,0,0.17,incorrect,john,0,0.4,incorrect,dimmesdale,0,0.25,incorrect,job,0,0.22,incorrect,prospero,0,0.14,incorrect,harry,0,0.18,incorrect,tom,0,0.22,incorrect,harry,0,0.18,incorrect
"['beatty—', 'beatty']",jesus,0,0.18,incorrect,abraham,0,0.31,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,job,0,0.22,incorrect,adam,0,0.2,incorrect,god,0,0.0,incorrect,abraham,0,0.31,incorrect,job,0,0.22,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abraham,0,0.31,incorrect,henry,0,0.36,incorrect,montag,0,0.17,incorrect,heinrich,0,0.14,incorrect,shelob,0,0.17,incorrect,heathcliff,0,0.38,incorrect,god,0,0.0,incorrect,mustafa,0,0.15,incorrect,god,0,0.0,incorrect,abraham,0,0.31,incorrect,god,0,0.0,incorrect,adam,0,0.2,incorrect,abraham,0,0.31,incorrect,god,0,0.0,incorrect,abraham,0,0.31,incorrect,montag,0,0.17,incorrect,shelob,0,0.17,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
