Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct
['adela'],hayley,0,0.36,incorrect,blond,0,0.2,incorrect,blond,0,0.2,incorrect
['adela'],dr. gregory house,0,0.18,incorrect,experts,0,0.17,incorrect,experts,0,0.17,incorrect
"['graham', 'gore', 'graham gore']",horatio nelson,0,0.33,incorrect,robert falcon scott,0,0.27,incorrect,robert falcon scott,0,0.27,incorrect
['gore'],charles dickens,0,0.21,incorrect,william morris,0,0.22,incorrect,william morris,0,0.22,incorrect
['mm'],mom,0,0.8,correct,refrigerator,0,0.0,incorrect,refrigerator,0,0.0,incorrect
['gore'],marlowe,0,0.36,incorrect,marlboro,0,0.33,incorrect,marlboro,0,0.33,incorrect
['gore'],no one's,0,0.33,incorrect,whale,0,0.22,incorrect,whale,0,0.22,incorrect
['gore'],horatio nelson,0,0.33,incorrect,newton,0,0.2,incorrect,newton,0,0.2,incorrect
['gore'],harry,0,0.22,incorrect,ministry of defence,0,0.17,incorrect,ministry of defence,0,0.17,incorrect
['gore'],his father,0,0.14,incorrect,nelson,0,0.2,incorrect,nelson,0,0.2,incorrect
['gore'],him,0,0.0,incorrect,he,0,0.33,incorrect,he,0,0.33,incorrect
['gore'],rahul,0,0.22,incorrect,he,0,0.33,incorrect,he,0,0.33,incorrect
['gore'],heathcliff,0,0.14,incorrect,nothing,0,0.18,incorrect,nothing,0,0.18,incorrect
['stanley'],he,0,0.22,incorrect,bayard,0,0.31,incorrect,bayard,0,0.31,incorrect
['gore'],he,0,0.33,incorrect,blood,0,0.22,incorrect,blood,0,0.22,incorrect
['gore'],he,0,0.33,incorrect,arctic,0,0.2,incorrect,arctic,0,0.2,incorrect
['gore'],him,0,0.0,incorrect,ministry of defence,0,0.17,incorrect,ministry of defence,0,0.17,incorrect
['adela'],dr. emmet brown,0,0.2,incorrect,body,0,0.22,incorrect,body,0,0.22,incorrect
['adela'],doctor,0,0.18,incorrect,expats,0,0.36,incorrect,expats,0,0.36,incorrect
['gore'],heathcliff,0,0.14,incorrect,icarus,0,0.2,incorrect,icarus,0,0.2,incorrect
['gore'],he,0,0.33,incorrect,albert,0,0.2,incorrect,albert,0,0.2,incorrect
['gore'],sherlock holmes,0,0.21,incorrect,jesus,0,0.22,incorrect,jesus,0,0.22,incorrect
['gore'],he,0,0.33,incorrect,mr. darcy,0,0.15,incorrect,mr. darcy,0,0.15,incorrect
['ralph'],james bond,0,0.13,incorrect,passport,0,0.31,incorrect,passport,0,0.31,incorrect
['ralph'],minister,0,0.15,incorrect,ministry of defence,0,0.08,incorrect,ministry of defence,0,0.08,incorrect
['negro'],miscegenation,0,0.33,incorrect,god,0,0.5,incorrect,god,0,0.5,incorrect
['black'],lesbian,0,0.33,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['graham'],cambodia,0,0.29,incorrect,thailand,0,0.29,incorrect,thailand,0,0.29,incorrect
['graham'],christian,0,0.27,incorrect,friends,0,0.15,incorrect,friends,0,0.15,incorrect
['arthur'],the doctor,0,0.38,incorrect,brigadier,0,0.27,incorrect,brigadier,0,0.27,incorrect
['stokes'],cook,0,0.4,incorrect,cook,0,0.4,incorrect,cook,0,0.4,incorrect
['graham'],da vinci,0,0.14,incorrect,julius caesar,0,0.21,incorrect,julius caesar,0,0.21,incorrect
['graham'],he,0,0.25,incorrect,marlboro,0,0.14,incorrect,marlboro,0,0.14,incorrect
['graham'],he,0,0.25,incorrect,century,0,0.15,incorrect,century,0,0.15,incorrect
['graham'],he,0,0.25,incorrect,ministry of health,0,0.25,incorrect,ministry of health,0,0.25,incorrect
['graham'],seventeen-twelve,0,0.0,incorrect,world war,0,0.27,incorrect,world war,0,0.27,incorrect
['adela'],god,0,0.25,incorrect,shakespeare,0,0.38,incorrect,shakespeare,0,0.38,incorrect
['adela'],miss havisham,0,0.22,incorrect,angelina jolie,0,0.42,incorrect,angelina jolie,0,0.42,incorrect
['graham'],harry,0,0.36,incorrect,ministry,0,0.14,incorrect,ministry,0,0.14,incorrect
['margaret'],the bartender,0,0.29,incorrect,lemon,0,0.15,incorrect,lemon,0,0.15,incorrect
['graham'],heathcliff,0,0.25,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect
['margaret'],forty-seven,0,0.21,incorrect,god,0,0.18,incorrect,god,0,0.18,incorrect
['margaret'],she,0,0.18,incorrect,brigadier,0,0.47,incorrect,brigadier,0,0.47,incorrect
['margaret'],sancho panza,0,0.2,incorrect,god,0,0.18,incorrect,god,0,0.18,incorrect
['graham'],my mother,0,0.13,incorrect,china,0,0.36,incorrect,china,0,0.36,incorrect
['graham'],me,0,0.25,incorrect,hitler,0,0.17,incorrect,hitler,0,0.17,incorrect
['adela'],she,0,0.25,incorrect,ministry,0,0.0,incorrect,ministry,0,0.0,incorrect
['adela'],michael jackson,0,0.4,incorrect,dr. frankenstein,0,0.19,incorrect,dr. frankenstein,0,0.19,incorrect
['adela'],secretary,0,0.29,incorrect,president,0,0.29,incorrect,president,0,0.29,incorrect
['graham'],heathcliff,0,0.25,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect
['graham'],sherlock holmes,0,0.29,incorrect,mr. darcy,0,0.27,incorrect,mr. darcy,0,0.27,incorrect
['adela'],control,0,0.17,incorrect,albert einstein,0,0.2,incorrect,albert einstein,0,0.2,incorrect
['graham'],victorian,0,0.27,incorrect,dr. jekyll,0,0.12,incorrect,dr. jekyll,0,0.12,incorrect
['graham'],england,0,0.31,incorrect,charles darwin,0,0.2,incorrect,charles darwin,0,0.2,incorrect
['graham'],him,0,0.44,incorrect,ministry,0,0.14,incorrect,ministry,0,0.14,incorrect
['margaret'],shakespeare,0,0.42,incorrect,the audience,0,0.2,incorrect,the audience,0,0.2,incorrect
['salese'],brigadier,0,0.27,incorrect,lucifer,0,0.31,incorrect,lucifer,0,0.31,incorrect
['adela'],general,0,0.33,incorrect,general,0,0.33,incorrect,general,0,0.33,incorrect
['graham'],i,0,0.0,incorrect,barack obama,0,0.44,incorrect,barack obama,0,0.44,incorrect
['salese'],james bond,0,0.38,incorrect,general,0,0.31,incorrect,general,0,0.31,incorrect
['arthur'],wales,0,0.18,incorrect,englishman,0,0.12,incorrect,englishman,0,0.12,incorrect
['graham'],frank sinatra,0,0.32,incorrect,ministry,0,0.14,incorrect,ministry,0,0.14,incorrect
['graham'],he,0,0.25,incorrect,marie curie,0,0.12,incorrect,marie curie,0,0.12,incorrect
['margaret'],cher,0,0.17,incorrect,cher,0,0.17,incorrect,cher,0,0.17,incorrect
['arthur'],he,0,0.25,incorrect,alan turing,0,0.47,incorrect,alan turing,0,0.47,incorrect
['graham'],spock,0,0.0,incorrect,mr. spock,0,0.13,incorrect,mr. spock,0,0.13,incorrect
['arthur'],nick,0,0.0,incorrect,hand,0,0.2,incorrect,hand,0,0.2,incorrect
['margaret'],grandmother,0,0.32,incorrect,angkor,0,0.43,incorrect,angkor,0,0.43,incorrect
['graham'],"someone in the group of expats, likely a friend or acquaintance of the narrator, possibly a person the narrator has interacted with before, but the name is not specified in the passage, so i'll take a guess: alex",0,0.06,incorrect,century,0,0.15,incorrect,century,0,0.15,incorrect
['margaret'],"someone, likely a female friend or acquaintance, possibly named in a previous, unseen part of the text, but based on the given passage, the name is not specified, however, a guess could be ""a girl"" or ""a woman"" but a more likely answer would be a name like ""sarah"" or ""emily"" but the most likely answer is ""someone"" or ""her"" but the best guess for a proper name is ""emily"".",0,0.04,incorrect,london,0,0.0,incorrect,london,0,0.0,incorrect
['arthur'],god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['margaret'],beethoven,0,0.24,incorrect,shoes,0,0.15,incorrect,shoes,0,0.15,incorrect
['arthur'],he,0,0.25,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['margaret'],she,0,0.18,incorrect,emily dickinson,0,0.09,incorrect,emily dickinson,0,0.09,incorrect
['margaret'],she,0,0.18,incorrect,herself,0,0.27,incorrect,herself,0,0.27,incorrect
['margaret'],emily,0,0.15,incorrect,queen victoria,0,0.18,incorrect,queen victoria,0,0.18,incorrect
['margaret'],he,0,0.2,incorrect,lincoln,0,0.0,incorrect,lincoln,0,0.0,incorrect
['graham'],arthur,0,0.33,incorrect,arthur,0,0.33,incorrect,arthur,0,0.33,incorrect
['arthur'],scotland,0,0.14,incorrect,coat,0,0.4,incorrect,coat,0,0.4,incorrect
['graham'],jesus,0,0.0,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect
['adela'],he,0,0.29,incorrect,gp,0,0.0,incorrect,gp,0,0.0,incorrect
['graham'],his,0,0.22,incorrect,freud,0,0.18,incorrect,freud,0,0.18,incorrect
['graham'],margaret,0,0.29,incorrect,atwood,0,0.17,incorrect,atwood,0,0.17,incorrect
['graham'],albus dumbledore,0,0.18,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect
['adela'],she,0,0.25,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect
['graham'],harry potter,0,0.22,incorrect,harry potter,0,0.22,incorrect,harry potter,0,0.22,incorrect
['graham'],my father,0,0.27,incorrect,computer,0,0.14,incorrect,computer,0,0.14,incorrect
['graham'],he,0,0.25,incorrect,anthony bourdain,0,0.27,incorrect,anthony bourdain,0,0.27,incorrect
['adela'],he,0,0.29,incorrect,london,0,0.18,incorrect,london,0,0.18,incorrect
['graham'],victor,0,0.17,incorrect,paul mccartney,0,0.2,incorrect,paul mccartney,0,0.2,incorrect
['graham'],japan,0,0.36,incorrect,google,0,0.17,incorrect,google,0,0.17,incorrect
['arthur'],hitler,0,0.33,incorrect,churchill,0,0.4,incorrect,churchill,0,0.4,incorrect
['adela'],someone from the group or team working with eighteen-forty-seven,0,0.06,incorrect,lincoln,0,0.17,incorrect,lincoln,0,0.17,incorrect
['adela'],her,0,0.25,incorrect,expat,0,0.4,incorrect,expat,0,0.4,incorrect
['arthur'],dad,0,0.22,incorrect,stephen fry,0,0.35,incorrect,stephen fry,0,0.35,incorrect
