Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['snape—', 'snape']",god,0,0.0,incorrect,jerusalem,0,0.43,incorrect,mmusi,0,0.2,incorrect,god,0,0.0,incorrect,abraham,0,0.17,incorrect,eve,0,0.25,incorrect,god,0,0.0,incorrect,shakespeare,0,0.5,incorrect,harry,0,0.2,incorrect,minister,0,0.31,incorrect,god,0,0.0,incorrect,jerusalem,0,0.43,incorrect,god,0,0.0,incorrect,eve,0,0.25,incorrect,shakespeare,0,0.5,incorrect,minister,0,0.31,incorrect,severus,0,0.33,incorrect,defence,0,0.33,incorrect,harry,0,0.2,incorrect,stalin,0,0.36,incorrect,severus snape,0,0.56,incorrect,phap,0,0.44,incorrect,harry,0,0.2,incorrect,harry,0,0.2,incorrect,defence,0,0.33,incorrect,stalin,0,0.36,incorrect,phap,0,0.44,incorrect,harry,0,0.2,incorrect
"['snape—', 'snape']",god,0,0.0,incorrect,aristotle,0,0.29,incorrect,god,0,0.0,incorrect,moses,0,0.4,incorrect,god,0,0.0,incorrect,eve,0,0.25,incorrect,jesus,0,0.2,incorrect,government,0,0.27,incorrect,rabe,0,0.44,incorrect,god,0,0.0,incorrect,moses,0,0.4,incorrect,aristotle,0,0.29,incorrect,moses,0,0.4,incorrect,eve,0,0.25,incorrect,government,0,0.27,incorrect,god,0,0.0,incorrect,harry,0,0.2,incorrect,ministry,0,0.15,incorrect,sam,0,0.5,incorrect,ulastirma,0,0.29,incorrect,harry,0,0.2,incorrect,phap,0,0.44,incorrect,harry,0,0.2,incorrect,europa,0,0.18,incorrect,ministry,0,0.15,incorrect,ulastirma,0,0.29,incorrect,phap,0,0.44,incorrect,europa,0,0.18,incorrect
"['lucius malfoy', 'malfoy', 'lucius']",sango,0,0.36,incorrect,elijah,0,0.33,incorrect,jesus,0,0.36,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,noah,0,0.2,incorrect,medusa,0,0.33,incorrect,shakespeare,0,0.17,incorrect,moses,0,0.36,incorrect,andriamanitra,0,0.23,incorrect,job,0,0.22,incorrect,elijah,0,0.33,incorrect,god,0,0.22,incorrect,noah,0,0.2,incorrect,shakespeare,0,0.17,incorrect,andriamanitra,0,0.23,incorrect,pip,0,0.22,incorrect,pip,0,0.22,incorrect,omer,0,0.2,incorrect,hz. isa,0,0.31,incorrect,quasi,0,0.36,incorrect,dai bang,0,0.29,incorrect,scrooge,0,0.2,incorrect,medusa,0,0.33,incorrect,pip,0,0.22,incorrect,hz. isa,0,0.31,incorrect,dai bang,0,0.29,incorrect,medusa,0,0.33,incorrect
"['luciu', 'lucius']",abraham,0,0.0,incorrect,god,0,0.0,incorrect,morena,0,0.0,incorrect,god,0,0.0,incorrect,abraham,0,0.0,incorrect,elijah,0,0.36,incorrect,god,0,0.0,incorrect,india,0,0.2,incorrect,tompo,0,0.0,incorrect,god,0,0.0,incorrect,israel,0,0.33,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,elijah,0,0.36,incorrect,india,0,0.2,incorrect,god,0,0.0,incorrect,heathcliff,0,0.27,incorrect,god,0,0.0,incorrect,ozgur,0,0.2,incorrect,annem,0,0.0,incorrect,thuy,0,0.22,incorrect,duc,0,0.5,incorrect,ismael,0,0.33,incorrect,jesus,0,0.36,incorrect,god,0,0.0,incorrect,annem,0,0.0,incorrect,duc,0,0.5,incorrect,jesus,0,0.36,incorrect
"['malfoys', 'malfoy']",israelites,0,0.35,incorrect,abraham,0,0.15,incorrect,israel,0,0.33,incorrect,god,0,0.22,incorrect,god,0,0.22,incorrect,elijah,0,0.17,incorrect,napoleon,0,0.43,incorrect,shakespeare,0,0.22,incorrect,god,0,0.22,incorrect,noah,0,0.2,incorrect,moses,0,0.5,incorrect,abraham,0,0.15,incorrect,god,0,0.22,incorrect,elijah,0,0.17,incorrect,shakespeare,0,0.22,incorrect,noah,0,0.2,incorrect,citizens,0,0.13,incorrect,god,0,0.22,incorrect,drakon,0,0.33,incorrect,frankenstein,0,0.21,incorrect,nguyen ai quoc,0,0.2,incorrect,chua,0,0.2,incorrect,judios,0,0.31,incorrect,platon,0,0.33,incorrect,god,0,0.22,incorrect,frankenstein,0,0.21,incorrect,chua,0,0.2,incorrect,platon,0,0.33,incorrect
"['draco', 'draco malfoy', 'malfoy']",esau,0,0.22,incorrect,elijah,0,0.18,incorrect,hilary,0,0.33,incorrect,bill,0,0.2,incorrect,eve,0,0.0,incorrect,eve,0,0.0,incorrect,esther,0,0.18,incorrect,jesus,0,0.0,incorrect,tom,0,0.27,incorrect,adama,0,0.47,incorrect,jesus,0,0.0,incorrect,elijah,0,0.18,incorrect,bill,0,0.2,incorrect,eve,0,0.0,incorrect,jesus,0,0.0,incorrect,adama,0,0.47,incorrect,laurence,0,0.31,incorrect,emily,0,0.55,incorrect,cocuk,0,0.4,incorrect,rebecca,0,0.33,incorrect,narrator,0,0.46,incorrect,nguyen,0,0.17,incorrect,juan,0,0.22,incorrect,maria,0,0.4,incorrect,emily,0,0.55,incorrect,rebecca,0,0.33,incorrect,nguyen,0,0.17,incorrect,maria,0,0.4,incorrect
"['hermione‘ye', 'hermione']",god,0,0.18,incorrect,einstein,0,0.5,incorrect,god,0,0.18,incorrect,god,0,0.18,incorrect,adam,0,0.17,incorrect,eve,0,0.36,incorrect,harry,0,0.38,incorrect,harry potter,0,0.4,incorrect,einstein,0,0.5,incorrect,mercury,0,0.33,incorrect,google,0,0.29,incorrect,einstein,0,0.5,incorrect,god,0,0.18,incorrect,eve,0,0.36,incorrect,harry potter,0,0.4,incorrect,mercury,0,0.33,incorrect,professor dumbledore,0,0.36,incorrect,harry,0,0.38,incorrect,harry,0,0.38,incorrect,harry,0,0.38,incorrect,hermione,1,1.0,correct,newton,0,0.43,incorrect,albus,0,0.0,incorrect,harry,0,0.38,incorrect,harry,0,0.38,incorrect,harry,0,0.38,incorrect,newton,0,0.43,incorrect,harry,0,0.38,incorrect
['harry'],jesus,0,0.0,incorrect,charles darwin,0,0.42,incorrect,samson,0,0.18,incorrect,jerusalem,0,0.14,incorrect,samson,0,0.18,incorrect,god,0,0.0,incorrect,shakespeare,0,0.38,incorrect,shakespeare,0,0.38,incorrect,robinson crusoe,0,0.2,incorrect,london,0,0.0,incorrect,moshoeshoe,0,0.13,incorrect,charles darwin,0,0.42,incorrect,jerusalem,0,0.14,incorrect,god,0,0.0,incorrect,shakespeare,0,0.38,incorrect,london,0,0.0,incorrect,winston,0,0.0,incorrect,hamlet,0,0.36,incorrect,hamlet,0,0.36,incorrect,wallace,0,0.17,incorrect,nguyen tuan,0,0.12,incorrect,hanoi,0,0.4,incorrect,hamlet,0,0.36,incorrect,hamlet,0,0.36,incorrect,hamlet,0,0.36,incorrect,wallace,0,0.17,incorrect,hanoi,0,0.4,incorrect,hamlet,0,0.36,incorrect
['harry'],jesus,0,0.0,incorrect,elijah,0,0.18,incorrect,jack,0,0.22,incorrect,god,0,0.0,incorrect,abraham,0,0.33,incorrect,god,0,0.0,incorrect,heathcliff,0,0.27,incorrect,edgar,0,0.4,incorrect,job,0,0.0,incorrect,andriamahilala,0,0.21,incorrect,adam,0,0.22,incorrect,elijah,0,0.18,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,edgar,0,0.4,incorrect,andriamahilala,0,0.21,incorrect,tom,0,0.0,incorrect,jesus,0,0.0,incorrect,tom,0,0.0,incorrect,araba,0,0.4,incorrect,narrator,0,0.46,incorrect,duc,0,0.0,incorrect,juan,0,0.22,incorrect,jesus,0,0.0,incorrect,jesus,0,0.0,incorrect,araba,0,0.4,incorrect,duc,0,0.0,incorrect,jesus,0,0.0,incorrect
"['dumbledore‘un', 'albus', 'albus dumbledore‘un', 'dumbledore', 'albus dumbledore']",abraham lincoln,0,0.35,incorrect,elijah,0,0.18,incorrect,god,0,0.15,incorrect,god,0,0.15,incorrect,eve,0,0.31,incorrect,easter,0,0.36,incorrect,hitler,0,0.38,incorrect,einstein,0,0.29,incorrect,andriamanitra,0,0.28,incorrect,andriamanitra,0,0.28,incorrect,einstein,0,0.29,incorrect,elijah,0,0.18,incorrect,god,0,0.15,incorrect,easter,0,0.36,incorrect,einstein,0,0.29,incorrect,andriamanitra,0,0.28,incorrect,dumbledore,1,1.0,correct,dumbledore,1,1.0,correct,olum,0,0.44,incorrect,atlantis,0,0.46,incorrect,thay,0,0.22,incorrect,thales,0,0.55,incorrect,el director,0,0.44,incorrect,newton,0,0.32,incorrect,dumbledore,1,1.0,correct,atlantis,0,0.46,incorrect,thales,0,0.55,incorrect,newton,0,0.32,incorrect
