Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['snape', 'snape—']",sebaka,0,0.36,incorrect,moqebelo,0,0.15,incorrect,ase,0,0.5,incorrect,ile-ise,0,0.33,incorrect,labotlhano,0,0.13,incorrect,lefelo,0,0.18,incorrect,faatereraa hau,0,0.21,incorrect,hau,0,0.25,incorrect,akash,0,0.2,incorrect,akash,0,0.2,incorrect,order,0,0.2,incorrect,sabotsy,0,0.33,incorrect,moqebelo,0,0.15,incorrect,ile-ise,0,0.33,incorrect,lefelo,0,0.18,incorrect,hau,0,0.25,incorrect,akash,0,0.2,incorrect,sabotsy,0,0.33,incorrect,the order,0,0.14,incorrect,ministry,0,0.15,incorrect,bakanlik,0,0.15,incorrect,oraya,0,0.2,incorrect,theo,0,0.22,incorrect,hoang,0,0.2,incorrect,miembro,0,0.17,incorrect,sabado,0,0.36,incorrect,ministry,0,0.15,incorrect,oraya,0,0.2,incorrect,hoang,0,0.2,incorrect,sabado,0,0.36,incorrect
"['snape', 'snape—']",taelo,0,0.4,incorrect,lekala,0,0.18,incorrect,ife,0,0.25,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,taelo,0,0.4,incorrect,eita,0,0.22,incorrect,eita,0,0.22,incorrect,kahalakhin,0,0.13,incorrect,government,0,0.27,incorrect,hoy,0,0.0,incorrect,ministre,0,0.31,incorrect,lekala,0,0.18,incorrect,hester,0,0.36,incorrect,taelo,0,0.4,incorrect,eita,0,0.22,incorrect,government,0,0.27,incorrect,ministre,0,0.31,incorrect,the order,0,0.14,incorrect,ministry,0,0.15,incorrect,ikisini,0,0.33,incorrect,kim,0,0.0,incorrect,hester,0,0.36,incorrect,hoi,0,0.0,incorrect,mask,0,0.22,incorrect,institucion,0,0.25,incorrect,ministry,0,0.15,incorrect,kim,0,0.0,incorrect,hoi,0,0.0,incorrect,institucion,0,0.25,incorrect
"['lucius malfoy', 'lucius', 'malfoy']",hester,0,0.17,incorrect,letlalo,0,0.46,incorrect,someone,0,0.31,incorrect,hester,0,0.17,incorrect,letlalo,0,0.46,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,peter,0,0.0,incorrect,mary,0,0.6,incorrect,rehefa,0,0.17,incorrect,letlalo,0,0.46,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,hester,0,0.17,incorrect,peter,0,0.0,incorrect,rehefa,0,0.17,incorrect,his,0,0.44,incorrect,his,0,0.44,incorrect,cildi,0,0.36,incorrect,cildi,0,0.36,incorrect,nguyen,0,0.21,incorrect,han,0,0.22,incorrect,person,0,0.21,incorrect,hester,0,0.17,incorrect,his,0,0.44,incorrect,cildi,0,0.36,incorrect,han,0,0.22,incorrect,hester,0,0.17,incorrect
"['lucius', 'luciu']",hester,0,0.17,incorrect,empa,0,0.0,incorrect,hester,0,0.17,incorrect,sugbon,0,0.18,incorrect,hester,0,0.17,incorrect,ke,0,0.0,incorrect,hester,0,0.17,incorrect,eaha,0,0.0,incorrect,mask,0,0.2,incorrect,freedom,0,0.0,incorrect,hester,0,0.17,incorrect,saingy,0,0.18,incorrect,empa,0,0.0,incorrect,sugbon,0,0.18,incorrect,ke,0,0.0,incorrect,eaha,0,0.0,incorrect,freedom,0,0.0,incorrect,saingy,0,0.18,incorrect,mask,0,0.2,incorrect,happy,0,0.0,incorrect,ailen,0,0.2,incorrect,selma,0,0.2,incorrect,mi,0,0.29,incorrect,mi,0,0.29,incorrect,familia,0,0.33,incorrect,familia,0,0.33,incorrect,happy,0,0.0,incorrect,selma,0,0.2,incorrect,mi,0,0.29,incorrect,familia,0,0.33,incorrect
"['malfoys', 'malfoy']",hester,0,0.15,incorrect,ke,0,0.0,incorrect,awon won,0,0.29,incorrect,se idagbasoke,0,0.21,incorrect,elizabeth,0,0.13,incorrect,hester,0,0.15,incorrect,hester,0,0.15,incorrect,hester,0,0.15,incorrect,shakespeares,0,0.21,incorrect,mask,0,0.55,incorrect,zavatra,0,0.15,incorrect,nahoana,0,0.31,incorrect,ke,0,0.0,incorrect,se idagbasoke,0,0.21,incorrect,hester,0,0.15,incorrect,hester,0,0.15,incorrect,mask,0,0.55,incorrect,nahoana,0,0.31,incorrect,the [mask],0,0.35,incorrect,elizabeth,0,0.13,incorrect,maskullar,0,0.4,incorrect,birgit,0,0.0,incorrect,familia,0,0.31,incorrect,ho,0,0.25,incorrect,peruvians,0,0.25,incorrect,presumieron,0,0.24,incorrect,elizabeth,0,0.13,incorrect,birgit,0,0.0,incorrect,ho,0,0.25,incorrect,presumieron,0,0.24,incorrect
"['draco malfoy', 'draco', 'malfoy']",sheba,0,0.2,incorrect,sheba,0,0.2,incorrect,hester,0,0.18,incorrect,hilarity,0,0.29,incorrect,hilary,0,0.33,incorrect,hilary,0,0.33,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,punit,0,0.0,incorrect,hester,0,0.18,incorrect,hilaria,0,0.33,incorrect,nitombo,0,0.32,incorrect,sheba,0,0.2,incorrect,hilarity,0,0.29,incorrect,hilary,0,0.33,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,nitombo,0,0.32,incorrect,he,0,0.0,incorrect,her,0,0.25,incorrect,rezalet,0,0.33,incorrect,rezalet,0,0.33,incorrect,nhat,0,0.22,incorrect,ba,0,0.29,incorrect,mask,0,0.4,incorrect,la,0,0.29,incorrect,her,0,0.25,incorrect,rezalet,0,0.33,incorrect,ba,0,0.29,incorrect,la,0,0.29,incorrect
"['hermione', 'hermione‘ye']",mary,0,0.27,incorrect,hester,0,0.43,incorrect,hester,0,0.43,incorrect,hester,0,0.43,incorrect,jaanong,0,0.27,incorrect,hester,0,0.43,incorrect,hester,0,0.43,incorrect,aita nehenehe,0,0.42,incorrect,hester,0,0.43,incorrect,hester,0,0.43,incorrect,ankify,0,0.24,incorrect,adaladala,0,0.0,incorrect,hester,0,0.43,incorrect,hester,0,0.43,incorrect,hester,0,0.43,incorrect,aita nehenehe,0,0.42,incorrect,hester,0,0.43,incorrect,adaladala,0,0.0,incorrect,someone,0,0.53,incorrect,he,0,0.4,incorrect,profesor,0,0.38,incorrect,hala,0,0.17,incorrect,hoc vien,0,0.38,incorrect,nhu,0,0.18,incorrect,albus,0,0.0,incorrect,alicia,0,0.14,incorrect,he,0,0.4,incorrect,hala,0,0.17,incorrect,nhu,0,0.18,incorrect,alicia,0,0.14,incorrect
['harry'],hester,0,0.36,incorrect,khalefo,0,0.33,incorrect,hester,0,0.36,incorrect,revulsion,0,0.14,incorrect,hester,0,0.36,incorrect,tswana,0,0.18,incorrect,matua,0,0.2,incorrect,ua,0,0.29,incorrect,mark twain,0,0.27,incorrect,chatur,0,0.55,incorrect,nokapohiny,0,0.27,incorrect,hester,0,0.36,incorrect,khalefo,0,0.33,incorrect,revulsion,0,0.14,incorrect,tswana,0,0.18,incorrect,ua,0,0.29,incorrect,chatur,0,0.55,incorrect,hester,0,0.36,incorrect,he,0,0.29,incorrect,revulsion,0,0.14,incorrect,makale,0,0.18,incorrect,sayfaya,0,0.33,incorrect,it,0,0.0,incorrect,ngoc,0,0.0,incorrect,el hombre,0,0.29,incorrect,la,0,0.29,incorrect,revulsion,0,0.14,incorrect,sayfaya,0,0.33,incorrect,ngoc,0,0.0,incorrect,la,0,0.29,incorrect
['harry'],hester,0,0.36,incorrect,maureen,0,0.33,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,momoni,0,0.0,incorrect,hester,0,0.36,incorrect,shri,0,0.44,incorrect,karbabak,0,0.31,incorrect,lainga,0,0.18,incorrect,lainga,0,0.18,incorrect,maureen,0,0.33,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,hester,0,0.36,incorrect,karbabak,0,0.31,incorrect,lainga,0,0.18,incorrect,neighbor,0,0.31,incorrect,neighbor,0,0.31,incorrect,maskarade,0,0.29,incorrect,neighbours,0,0.27,incorrect,nguoi hang xom,0,0.21,incorrect,ong,0,0.0,incorrect,vecino,0,0.0,incorrect,vecino,0,0.0,incorrect,neighbor,0,0.31,incorrect,neighbours,0,0.27,incorrect,ong,0,0.0,incorrect,vecino,0,0.0,incorrect
"['dumbledore‘un', 'dumbledore', 'albus dumbledore', 'albus dumbledore‘un', 'albus']",hester,0,0.27,incorrect,haeba,0,0.4,incorrect,hester,0,0.27,incorrect,tinubu,0,0.36,incorrect,mogokgo,0,0.24,incorrect,fa,0,0.29,incorrect,hana,0,0.22,incorrect,ua,0,0.29,incorrect,hester,0,0.27,incorrect,hester,0,0.27,incorrect,nieritreritra,0,0.26,incorrect,nieritreritra,0,0.26,incorrect,haeba,0,0.4,incorrect,tinubu,0,0.36,incorrect,fa,0,0.29,incorrect,ua,0,0.29,incorrect,hester,0,0.27,incorrect,nieritreritra,0,0.26,incorrect,headmaster,0,0.4,incorrect,pierce,0,0.38,incorrect,muduru,0,0.42,incorrect,hayal,0,0.4,incorrect,thay hieu truong,0,0.34,incorrect,nhu,0,0.25,incorrect,daniel,0,0.36,incorrect,director,0,0.44,incorrect,pierce,0,0.38,incorrect,hayal,0,0.4,incorrect,nhu,0,0.25,incorrect,director,0,0.44,incorrect
