,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
EuroLLM-9B-Instruct,4.323308270676692,3.0701754385964914,2.694235588972431,1.1904761904761905,1.0526315789473684,0.9868421052631579,0.39473684210526316,0.9868421052631579,0.5263157894736842,1.4473684210526316,1.8796992481203008,2.0050125313283207,2.506265664160401,1.6290726817042607,0.8552631578947368,0.9210526315789473,0.5263157894736842,0.7894736842105263,0.6578947368421053,1.381578947368421
Llama-3.1-405b,30.800542740841248,20.081411126187245,14.58616010854817,15.400271370420624,4.477611940298507,5.291723202170964,1.7639077340569878,2.5780189959294435,9.430122116689281,4.613297150610584,9.090909090909092,3.2564450474898234,4.2062415196743554,2.37449118046133,1.5603799185888738,2.03527815468114,1.3568521031207599,1.8995929443690638,1.8317503392130259,1.8995929443690638
Llama-3.1-70B-Instruct-quantized.w4a16,20.80200501253133,11.967418546365915,7.330827067669173,5.137844611528822,2.236842105263158,2.6315789473684212,0.39473684210526316,1.5789473684210527,2.3684210526315788,2.1710526315789473,6.0776942355889725,2.819548872180451,3.3834586466165413,1.4411027568922306,1.118421052631579,0.9210526315789473,0.32894736842105265,1.381578947368421,0.7894736842105263,1.7763157894736843
Llama-3.1-70B-Instruct-quantized.w8a16,16.666666666666668,3.8847117794486214,3.3834586466165413,2.255639097744361,0.5921052631578947,0.39473684210526316,0.2631578947368421,1.1842105263157894,1.118421052631579,1.118421052631579,2.506265664160401,1.3784461152882206,2.130325814536341,1.0651629072681705,0.4605263157894737,0.5263157894736842,0.5263157894736842,1.0526315789473684,0.13157894736842105,1.0526315789473684
Llama-3.1-70B-Instruct_,22.681704260651628,11.716791979949875,7.5814536340852134,6.015037593984962,2.6315789473684212,2.6973684210526314,0.5263157894736842,1.4473684210526316,2.5,1.9736842105263157,6.140350877192983,2.568922305764411,3.7593984962406015,1.5037593984962405,1.0526315789473684,0.7236842105263158,0.39473684210526316,1.5789473684210527,0.9868421052631579,1.644736842105263
Llama-3.1-8B-Instruct-quantized.w4a16,7.706766917293233,2.819548872180451,3.007518796992481,1.8796992481203008,1.1842105263157894,1.118421052631579,0.39473684210526316,0.7894736842105263,1.3157894736842106,1.513157894736842,2.506265664160401,1.2531328320802004,1.8796992481203008,1.5664160401002507,0.9868421052631579,0.8552631578947368,0.5263157894736842,0.6578947368421053,0.8552631578947368,1.644736842105263
Llama-3.1-8B-Instruct-quantized.w8a16,8.020050125313283,3.0701754385964914,3.4461152882205512,2.130325814536341,1.118421052631579,1.25,0.2631578947368421,0.7894736842105263,0.7894736842105263,1.4473684210526316,2.6315789473684212,1.2531328320802004,2.0676691729323307,1.1278195488721805,0.7894736842105263,0.9868421052631579,0.2631578947368421,0.5263157894736842,0.5921052631578947,0.9210526315789473
Llama-3.1-8B-Instruct_,8.270676691729323,3.6340852130325816,3.4461152882205512,2.0676691729323307,1.0526315789473684,1.0526315789473684,0.2631578947368421,0.6578947368421053,0.7236842105263158,1.513157894736842,2.819548872180451,1.1278195488721805,2.0050125313283207,1.0651629072681705,0.6578947368421053,1.0526315789473684,0.19736842105263158,0.5263157894736842,0.7236842105263158,0.9210526315789473
Llama-3.3-70B-Instruct,20.927318295739347,10.213032581453634,6.578947368421052,5.325814536340852,2.8289473684210527,2.5,0.7894736842105263,1.381578947368421,2.6315789473684212,2.4342105263157894,4.761904761904762,2.130325814536341,2.882205513784461,1.6290726817042607,0.7236842105263158,0.7236842105263158,0.13157894736842105,0.8552631578947368,0.8552631578947368,1.4473684210526316
OLMo-2-1124-13B-Instruct,10.025062656641603,1.8170426065162908,1.2531328320802004,1.0651629072681705,0.9210526315789473,0.8552631578947368,0.39473684210526316,0.7894736842105263,0.32894736842105265,0.5921052631578947,2.944862155388471,0.9398496240601504,0.8771929824561403,0.7518796992481203,0.7236842105263158,0.5263157894736842,0.2631578947368421,0.4605263157894737,0.39473684210526316,0.6578947368421053
OLMo-2-1124-7B-Instruct,7.205513784461153,2.506265664160401,3.2581453634085213,1.6290726817042607,0.7236842105263158,0.9868421052631579,0.5263157894736842,0.5263157894736842,0.4605263157894737,1.1842105263157894,3.3834586466165413,1.9423558897243107,2.568922305764411,1.3784461152882206,0.7236842105263158,0.7236842105263158,0.39473684210526316,0.5921052631578947,0.39473684210526316,1.0526315789473684
Qwen2.5-7B-Instruct-1M,1.6917293233082706,2.192982456140351,2.130325814536341,1.5037593984962405,0.6578947368421053,0.9210526315789473,0.39473684210526316,0.8552631578947368,0.7894736842105263,0.9210526315789473,1.5664160401002507,1.0025062656641603,1.6290726817042607,1.5664160401002507,0.9868421052631579,0.6578947368421053,0.32894736842105265,0.8552631578947368,0.8552631578947368,1.118421052631579
gpt-4o-2024-11-20,38.223684210526315,23.42105263157895,16.44736842105263,21.44736842105263,7.0394736842105265,5.921052631578948,2.3684210526315788,2.763157894736842,9.539473684210526,8.68421052631579,12.5,5.394736842105263,5.131578947368421,2.3684210526315788,2.3026315789473686,1.8421052631578947,0.7236842105263158,1.4473684210526316,1.5789473684210527,2.1052631578947367
