Model,en,trans,xling,en_shuffled,trans_shuffled,xling_shuffled
EuroLLM-9B-Instruct,4.5394736842105265,2.1052631578947367,0.7456140350877193,2.3684210526315788,1.7763157894736843,0.6578947368421053
Llama-3.1-405b,25.712347354138398,9.339665309814563,2.261420171867933,4.681139755766622,1.8769787426503843,0.9611035730438715
Llama-3.1-70B-Instruct-quantized.w4a16,18.68421052631579,4.802631578947368,1.0526315789473684,4.078947368421052,1.7105263157894737,0.5592105263157895
Llama-3.1-70B-Instruct-quantized.w8a16,12.697368421052632,2.5657894736842106,0.39473684210526316,1.9078947368421053,1.25,0.4276315789473684
Llama-3.1-70B-Instruct_,18.94736842105263,5.241228070175438,1.0635964912280702,4.473684210526316,1.7105263157894737,0.6469298245614035
Llama-3.1-8B-Instruct-quantized.w4a16,8.421052631578947,1.8421052631578947,0.7894736842105263,3.223684210526316,1.7982456140350878,0.5372807017543859
Llama-3.1-8B-Instruct-quantized.w8a16,8.618421052631579,2.1271929824561404,0.7785087719298246,3.486842105263158,1.4254385964912282,0.44956140350877194
Llama-3.1-8B-Instruct_,8.421052631578947,2.258771929824561,0.668859649122807,3.223684210526316,1.293859649122807,0.4824561403508772
Llama-3.3-70B-Instruct,19.539473684210527,4.692982456140351,1.206140350877193,4.5394736842105265,1.6008771929824561,0.5701754385964912
OLMo-2-1124-13B-Instruct,9.671052631578947,1.0087719298245614,0.5043859649122807,2.3026315789473686,0.6578947368421053,0.4276315789473684
OLMo-2-1124-7B-Instruct,7.894736842105263,1.8859649122807018,0.6798245614035088,2.6973684210526314,1.3596491228070176,0.581140350877193
Qwen2.5-7B-Instruct-1M,2.039473684210526,1.118421052631579,0.5482456140350878,1.3157894736842106,1.030701754385965,0.5153508771929824
gpt-4o-2024-11-20,36.51315789473684,14.714912280701755,4.144736842105263,8.421052631578947,2.807017543859649,1.2828947368421053
