Single_ent,st_results,st_exact_match,st_highest_fuzzy_match,st_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
['bruno'],hester,0,0.18,incorrect,mary,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,john,0,0.22,incorrect,mary,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,rim,0,0.25,incorrect,jane,0,0.22,incorrect,james,0,0.0,incorrect,tom,0,0.25,incorrect,hester,0,0.18,incorrect,paul,0,0.22,incorrect,ayse,0,0.0,incorrect,paul,0,0.22,incorrect,cau,0,0.25,incorrect,juan,0,0.44,incorrect,maria,0,0.2,incorrect,mary,0,0.22,incorrect,hester,0,0.18,incorrect,mary,0,0.22,incorrect,hester,0,0.18,incorrect,rim,0,0.25,incorrect,james,0,0.0,incorrect,hester,0,0.18,incorrect,ayse,0,0.0,incorrect,cau,0,0.25,incorrect,maria,0,0.2,incorrect
['gretel'],hester,0,0.5,incorrect,kaofela,0,0.31,incorrect,hester,0,0.5,incorrect,abraham,0,0.15,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect,matou,0,0.18,incorrect,hester,0,0.5,incorrect,john,0,0.0,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect,hester,0,0.5,incorrect,emma,0,0.2,incorrect,hester,0,0.5,incorrect,john,0,0.0,incorrect,hester,0,0.5,incorrect,maria,0,0.18,incorrect,juan,0,0.0,incorrect,juan,0,0.0,incorrect,kaofela,0,0.31,incorrect,abraham,0,0.15,incorrect,hester,0,0.5,incorrect,matou,0,0.18,incorrect,john,0,0.0,incorrect,hester,0,0.5,incorrect,emma,0,0.2,incorrect,john,0,0.0,incorrect,maria,0,0.18,incorrect,juan,0,0.0,incorrect
['bruno'],hester,0,0.18,incorrect,berlin,0,0.55,incorrect,berlin,0,0.55,incorrect,berlin,0,0.55,incorrect,refilwe,0,0.17,incorrect,refilwe,0,0.17,incorrect,berlin,0,0.55,incorrect,berlin,0,0.55,incorrect,anna,0,0.22,incorrect,berlin,0,0.55,incorrect,anna,0,0.22,incorrect,berlin,0,0.55,incorrect,bruno,1,1.0,correct,oskar,0,0.2,incorrect,emma,0,0.0,incorrect,berlin,0,0.55,incorrect,bruno,1,1.0,correct,oskar,0,0.2,incorrect,bruno,1,1.0,correct,berlin,0,0.55,incorrect,berlin,0,0.55,incorrect,berlin,0,0.55,incorrect,refilwe,0,0.17,incorrect,berlin,0,0.55,incorrect,berlin,0,0.55,incorrect,berlin,0,0.55,incorrect,oskar,0,0.2,incorrect,berlin,0,0.55,incorrect,oskar,0,0.2,incorrect,berlin,0,0.55,incorrect
['bruno'],mary,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hiti,0,0.0,incorrect,hester,0,0.18,incorrect,john,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,tom,0,0.25,incorrect,owen,0,0.22,incorrect,aylin,0,0.2,incorrect,medusa,0,0.18,incorrect,ha,0,0.0,incorrect,omar,0,0.22,incorrect,ana,0,0.25,incorrect,pedro,0,0.4,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hiti,0,0.0,incorrect,john,0,0.22,incorrect,hester,0,0.18,incorrect,owen,0,0.22,incorrect,medusa,0,0.18,incorrect,omar,0,0.22,incorrect,pedro,0,0.4,incorrect
['bruno'],hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ramesh,0,0.18,incorrect,hester,0,0.18,incorrect,james,0,0.0,incorrect,tom,0,0.25,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,emily,0,0.0,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,don quijote,0,0.25,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,john,0,0.22,incorrect,hester,0,0.18,incorrect,ramesh,0,0.18,incorrect,james,0,0.0,incorrect,hester,0,0.18,incorrect,emily,0,0.0,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect
"['maria', 'maría']",hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,john,0,0.0,incorrect,emily,0,0.4,incorrect,hester,0,0.18,incorrect,james,0,0.2,incorrect,mary,0,0.67,incorrect,john,0,0.0,incorrect,anne,0,0.22,incorrect,emily,0,0.4,incorrect,harry,0,0.4,incorrect,hung,0,0.0,incorrect,maria,1,1.0,correct,maria,1,1.0,correct,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,emily,0,0.4,incorrect,james,0,0.2,incorrect,john,0,0.0,incorrect,emily,0,0.4,incorrect,hung,0,0.0,incorrect,maria,1,1.0,correct
"['maria', 'maría']",hester,0,0.18,incorrect,mary,0,0.67,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,mary,0,0.67,incorrect,hester,0,0.18,incorrect,mary,0,0.67,incorrect,mary,0,0.67,incorrect,maya,0,0.67,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,harry,0,0.4,incorrect,harry,0,0.4,incorrect,marilla,0,0.83,correct,mary,0,0.67,incorrect,hester,0,0.18,incorrect,minh,0,0.44,incorrect,juan,0,0.22,incorrect,maria,1,1.0,correct,mary,0,0.67,incorrect,hester,0,0.18,incorrect,mary,0,0.67,incorrect,mary,0,0.67,incorrect,maya,0,0.67,incorrect,hester,0,0.18,incorrect,harry,0,0.4,incorrect,mary,0,0.67,incorrect,minh,0,0.44,incorrect,maria,1,1.0,correct
['bruno'],hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,brim,0,0.44,incorrect,hester,0,0.18,incorrect,john,0,0.22,incorrect,hester,0,0.18,incorrect,hina,0,0.22,incorrect,hester,0,0.18,incorrect,ramesh,0,0.18,incorrect,hester,0,0.18,incorrect,feno,0,0.44,incorrect,harry,0,0.2,incorrect,tom,0,0.25,incorrect,hannah,0,0.18,incorrect,ali,0,0.0,incorrect,harry,0,0.2,incorrect,hy,0,0.0,incorrect,alicia,0,0.0,incorrect,leandro,0,0.33,incorrect,hester,0,0.18,incorrect,brim,0,0.44,incorrect,john,0,0.22,incorrect,hina,0,0.22,incorrect,ramesh,0,0.18,incorrect,feno,0,0.44,incorrect,tom,0,0.25,incorrect,ali,0,0.0,incorrect,hy,0,0.0,incorrect,leandro,0,0.33,incorrect
['bruno'],gulliver,0,0.15,incorrect,hester,0,0.18,incorrect,rip,0,0.25,incorrect,john,0,0.22,incorrect,hester,0,0.18,incorrect,john,0,0.22,incorrect,hester,0,0.18,incorrect,hau,0,0.25,incorrect,victor,0,0.18,incorrect,ramesh,0,0.18,incorrect,alice,0,0.0,incorrect,monja,0,0.2,incorrect,george,0,0.18,incorrect,frankenstein,0,0.24,incorrect,victor,0,0.18,incorrect,victor,0,0.18,incorrect,hercules,0,0.31,incorrect,huy,0,0.25,incorrect,hugo,0,0.44,incorrect,gregorio,0,0.31,incorrect,hester,0,0.18,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect,hau,0,0.25,incorrect,ramesh,0,0.18,incorrect,monja,0,0.2,incorrect,frankenstein,0,0.24,incorrect,victor,0,0.18,incorrect,huy,0,0.25,incorrect,gregorio,0,0.31,incorrect
['bruno'],hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,james,0,0.0,incorrect,john,0,0.22,incorrect,olebogeng,0,0.29,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,hester,0,0.18,incorrect,ramesh,0,0.18,incorrect,peter,0,0.2,incorrect,james,0,0.0,incorrect,peter,0,0.2,incorrect,gregory,0,0.33,incorrect,pippi,0,0.0,incorrect,ahmet,0,0.0,incorrect,harry,0,0.2,incorrect,cau,0,0.25,incorrect,alicia,0,0.0,incorrect,pedro,0,0.4,incorrect,hester,0,0.18,incorrect,james,0,0.0,incorrect,olebogeng,0,0.29,incorrect,hester,0,0.18,incorrect,ramesh,0,0.18,incorrect,james,0,0.0,incorrect,gregory,0,0.33,incorrect,ahmet,0,0.0,incorrect,cau,0,0.25,incorrect,pedro,0,0.4,incorrect
