en_first_half,en_second_half,en_word_count,en_results_raw,vi_first_half,vi_second_half,vi_word_count,vi_results_raw,es_first_half,es_second_half,es_word_count,es_results_raw,tr_first_half,tr_second_half,tr_word_count,tr_results_raw
"His daughter attended him with the greatest tenderness, but she saw with despair that their little fund was rapidly decreasing and that there was no other prospect of support. But Caroline Beaufort possessed a mind","of an uncommon mould, and her courage rose to support her in her adversity. She procured plain work; she plaited straw and by various means contrived to earn a pittance scarcely sufficient to support life.",70,completion,"Con gái ông chăm sóc ông hết sức dịu dàng tận tụy; nhưng cô thất vọng thấy vốn liếng nhanh chóng cạn dần, mà xem ra không có triển vọng được ai giúp đỡ cả. Tuy nhiên Caroline Beaufort có ý chí hơn","người: lòng can đảm đã hỗ trợ cô trong nghịch cảnh. Cô khâu thuê vá mướn, bện rơm và làm nhiều công việc hèn mọn khác nữa nhằm xoay xở kiếm chút thù lao nhỏ nhoi khả dĩ duy trì được cuộc sống.",86,completion,"Su hija lo cuidaba con el máximo cariño, pero veía con desazón que su pequeño capital disminuía con rapidez y que no había otras perspectivas de sustento. Pero Caroline Beaufort estaba dotada de una","inteligencia poco común; y su valor vino en su ayuda en la adversidad. Empezó a hacer labores sencillas; trenzaba paja, y de diversas maneras consiguió ganar una miseria que apenas le bastaba para sustentarse.",68,completion>,"Kızı büyük bir şefkatle ona bakmış, ama ellerinde avuçlarında kalan paranın hızla azaldığını ve önlerinde hiçbir çıkış yolu olmadığını gördükçe ümitsizliğe kapılmıştı. Ancak Caroline","Beaufort benzersiz bir zekâya sahipti ve zor anlarında cesareti yardımına koşuyordu. Basit işler yapıyordu. Hasır örüyor, çeşitli yollardan geçimlerini güçlükle sağlayacak miktarda parayı kazanmayı başarıyordu.",49,"completion> Caroline, her ne kadar umutsuzluğa kapılmış olsa da, kızı için bir çıkış yolu bulmak için elinden geleni yapmaya kararlıydı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalıştı. Kızı için bir gelecek kurmak istiyordu ve bu yüzden, kızı için bir umut ışığı olabilecek bir şeyler yapmaya çalış"
"My departure for Ingolstadt, which had been deferred by these events, was now again determined upon. I obtained from my father a respite of some weeks. It appeared to me sacrilege so soon to leave the repose, akin to death, of the house of mourning and","to rush into the thick of life. I was new to sorrow, but it did not the less alarm me. I was unwilling to quit the sight of those that remained to me, and above all, I desired to see my sweet Elizabeth in some degree consoled.",93,completion>,"Chuyến lên đường đến Ingolstadt của tôi, do chuyện này mà hoãn lại một thời gian, nay được hoạch định lại. Tôi xin phép cha tôi cho lùi lại vài tuần. Đối với tôi thật là báng bổ nếu rời bỏ quá sớm cảnh trầm lặng, gần như cái chết của ngôi","nhà tang tóc để lao vào cuộc đời náo nhiệt quá sớm. Tôi lần đầu biết đến buồn phiền, tuy nhiên nó không khiến tôi hoảng hốt. Tôi chưa muốn rời bỏ những người thương yêu còn lại trên đời; và trên hết tôi muốn Elizabeth dịu hiền được khuyến khích phần nào.",105,completion,"De nuevo se volvió a hablar sobre mi viaje a Ingolstadt, que se había visto aplazado por los acontecimientos. Obtuve de mi padre algunas semanas de","reposo, período que transcurrió tristemente. La muerte de mi madre y mi cercana marcha nos deprimía, pero Elizabeth intentaba reavivar la alegría en nuestro pequeño círculo.",52,completion>,Bu olaylar yüzünden geciken Ingolstadt yolculuğum yeniden ayarlandı. Babamdan birkaç haftalık bir süre istemiştim. Yas evinin ölüme benzer sükûnetini bu kadar çabuk terk edip hayatın keşmekeşine katılmak bana,"saygısızlık gibi geliyordu. Bu tür bir acıyla yeni tanışıyor olsam da kaygılarım çoktu. Geriye kalan sevdiklerimi bırakmak istemiyor, özellikle de canım Elizabeth’imin biraz olsun teselli bulduğunu görmek istiyordum.",56,completion
"The next morning I delivered my letters of introduction and paid a visit to some of the principal professors. Chance—or rather the evil influence, the Angel of Destruction, which asserted omnipotent sway over me from the moment I turned my reluctant steps from my father’s door—led me first to M. Krempe, professor of natural philosophy. He was an uncouth man, but","deeply imbued in the secrets of his science. He asked me several questions concerning my progress in the different branches of science appertaining to natural philosophy. I replied carelessly, and partly in contempt, mentioned the names of my alchemists as the principal authors I had studied. The professor stared. “Have you,” he said, “really spent your time in studying such nonsense?”",122,completion>,"Sáng hôm sau tôi đem thư giới thiệu đến gặp mấy vị giáo sư chủ chốt. Sự tình cờ, hay đúng hơn là thế lực đen tối có tên vị Thần Hủy Hoại, đã bắt đầu thống lĩnh kể từ lúc tôi miễn cưỡng rời chân khỏi ngưỡng cửa nhà cha tôi, dẫn tôi trước hết tới thầy Krempe, giáo sư môn triết học tự nhiên. Đó là một người đàn ông thô lỗ, tuy nhiên đi khá sâu vào","những bí mật của môn khoa học mình theo đuổi. Ông hỏi tôi mấy câu về quá trình nghiên cứu của tôi trong nhiều nhánh khác nhau của triết học tự nhiên. Tôi trả lời một cách bất cẩn; và, có phần ghê tởm, nêu tên các nhà giả kim học là những tác giả chính yếu tôi nghiên cứu. Ông giáo sư nhìn chằm chằm vào tôi: “Anh thực mất thì giờ học những thứ lăng nhăng vậy sao?”",160,completion,"A la mañana siguiente entregué mis cartas de presentación y visité a los principales profesores, entre otros al señor Krempe, profesor de filosofía natural. Me recibió con mucha educación y me hizo diversas preguntas sobre mi conocimiento de las distintas ramas científicas,","relacionadas con la filosofía natural. Temblando y con cierto miedo, a decir verdad, cité los únicos autores cuyas obras yo había leído al respecto. El profesor me miró fijamente: —¿De verdad que ha pasado usted el tiempo estudiando semejantes tonterías? —me preguntó.",84,completion,"Ertesi sabah referans mektuplarımı elden teslim ettim ve önemli profesörlerden birkaçıyla tanıştım. Şans, daha doğrusu şeytani bir güç; babamın kapısından ayaklarımı sürüye sürüye uzaklaştığım anda üzerimde sonsuz bir hâkimiyet kuran o Yıkım Meleği, beni ilk olarak doğa felsefesi profesörü Krempe'nin kapısına götürdü. Tuhaf ama","kendisini ilminin sırlarına adamış bir adamdı. Doğa felsefesi ilminin çeşitli dallarında kaydettiğim aşamaları öğrenmek için bana birkaç soru sordu. Sorularını biraz küçümseyerek kayıtsızca yanıtladım ve incelediğim başlıca yazarlar arasında simyacılarımın adını verdim. Profesör gözlerini üstüme diktikten sonra, “Vaktini gerçekten bu saçmalıkları çalışarak mı geçirdin?” dedi.",89,"completion> Krempe, beni karşılarken, yüzünde bir gülümseme vardı, ama bu gülümseme, bir anlığına bile olsa, beni rahatlatmadı. ""Sizi burada görmek ne güzel,"" dedi, ""ama sanırım biraz şaşırmışsınız. Burası, felsefenin ve bilimin sınırlarını zorladığımız bir yer. Sizinle tanışmak, benim için de bir sürpriz oldu. Ama sanırım, sizinle konuşmak, benim için de bir fırsat olacak."" Krempe, beni ofisine aldı ve oturma odasına götürdü. Odada, duvarları kaplayan kitaplar ve çeşitli bilimsel aletler vardı. Krempe, beni oturttuktan sonra, ""Sizinle, doğa felsefesi üzerine konuşmak istiyorum,"" dedi. ""Ama önce, sizinle ilgili bazı sorular sormam gerekiyor. Biraz zaman ayırırsanız, size daha iyi yardımcı olabilirim."" Krempe, sorularını sormaya başladı ve ben, onun sorularına cevap vermeye çalıştım. Krempe, beni dikkatle dinliyordu ve zaman zaman, notlar alıyordu. Krempe, sorularına cevaplarımı aldıktan sonra, ""Sizinle ilgili bazı şeyler, beni şaşırttı,"" dedi. ""Ama sanırım, sizinle konuşmak, benim için de bir fırsat olacak. Sizinle, doğa felsefesi üzerine konuşmak istiyorum."" Krempe, beni ofisine aldı ve oturma odasına götürdü. Odada, duvarları kaplayan kitaplar ve çeşitli bilimsel aletler vardı. Krempe, beni oturttuktan sonra, ""Sizinle, doğa felsefesi üzerine konuşmak istiyorum,"" dedi. ""Ama önce, sizinle ilgili bazı sorular sormam gerekiyor. Biraz zaman ayırırsanız, size daha iyi yardımcı olabilirim."" Krempe, sorularını sormaya başladı ve ben, onun sorularına cevap vermeye çalıştım. Krempe, beni dikkatle dinliyordu ve zaman zaman, notlar alıyordu. Krempe, sorularına cevaplarımı aldıktan sonra, ""Sizinle ilgili bazı şeyler, beni şaşırttı,"" dedi. ""Ama sanırım, sizinle konuşmak, benim için de bir fırsat olacak. Sizinle, doğa felsefesi üzerine konuşmak istiyorum."" Krempe, beni ofisine aldı ve oturma odasına götürdü. Odada, duvarları kaplayan kitaplar ve çeşitli bilimsel aletler vardı. Krempe, beni oturttuktan sonra, ""Sizinle, doğa felsefesi üzerine konuşmak istiyorum,"" dedi. ""Ama önce, sizinle ilgili bazı sorular sormam gerekiyor. Biraz zaman ayırırsanız, size daha iyi yardımcı olabilirim."" Krempe, sorularını sormaya başladı ve ben, onun sorularına cevap vermeye çalıştım. Krempe, beni dikkatle dinliyordu ve zaman zaman, notlar alıyordu. Krempe, sorularına cevaplarımı aldıktan sonra, ""Sizinle ilgili bazı şeyler, beni şaşırttı,"" dedi. ""Ama sanırım, sizinle konuşmak, benim için de bir fırsat olacak. Sizinle, doğa felsefesi üzerine konuşmak istiyorum."" Krempe, beni ofisine aldı ve oturma odasına götürdü. Odada, duvarları kaplayan kitaplar ve çeşitli bilimsel aletler vardı. Krempe, beni oturttuktan sonra, ""Sizinle, doğa felsefesi üzerine konuşmak istiyorum,"" dedi. ""Ama önce, sizinle ilgili bazı sorular sormam gerekiyor. Biraz zaman ayırırsanız, size daha iyi yardımcı olabilirim."" Krempe, sorularını sormaya başladı ve ben, onun sorularına cevap vermeye çalıştım. Krempe, beni dikkatle dinliyordu ve zaman zaman, notlar alıyordu. Krempe, sorularına cevaplarımı aldıktan sonra, ""Sizinle ilgili bazı şeyler, beni şaşırttı,"" dedi. ""Ama sanırım, sizinle konuşmak, benim için de bir fırsat olacak. Sizinle, doğa felsefesi üzerine konuşmak istiyorum."" Krempe, beni ofisine aldı ve oturma odasına götürdü. Odada, duvarları kaplayan kitaplar ve çeşitli bilimsel aletler vardı. Krempe, beni oturttuktan sonra, ""Sizinle, doğa felsefesi üzerine konuşmak istiyorum,"" dedi. ""Ama önce, sizinle ilgili bazı sorular sormam gerekiyor. Biraz zaman ayırırsanız,"
"So saying, he stepped aside and wrote down a list of several books treating of natural philosophy which he desired me to procure, and dismissed me after mentioning that in the beginning of the","following week he intended to commence a course of lectures upon natural philosophy in its general relations, and that M. Waldman, a fellow professor, would lecture upon chemistry the alternate days that he omitted.",68,completion>,"Nói xong ông bước sang một bên, ghi cho tôi một danh sách dài các sách về triết học tự nhiên để tôi tìm đọc; rồi cho tôi lui, sau khi lưu ý rằng đầu tuần sau ông bắt đầu","giảng một khóa học về những nguyên lý tổng quát của triết học tự nhiên, và rằng thầy Waldman, bạn đồng nghiệp của ông sẽ xen kẽ những buổi ông không có giờ giảng để lên lớp về hóa học.",80,completion,"Y diciendo esto, se apartó, me hizo una lista de libros sobre filosofía natural, que me pidió que leyera, y me despidió, comunicándome que a principios de la","semana próxima comenzaría un seminario sobre filosofía natural y sus implicaciones generales, y que el señor Waldman, un colega suyo, en días alternos a él hablaría de química.",56,completion>,"Böyle dedikten sonra bana doğa felsefesi üstüne yazılmış, almamı istediği birkaç kitaptan oluşan bir liste çıkardı ve bir sonraki hafta","başı, genel hatlarıyla doğa felsefesi üstüne ders vermeye başlayacağını, diğer günlerde de Profesör Waldman’ın kimya dersi vereceğini söyledikten sonra beni gönderdi.",41,completion
"I returned home not disappointed, for I have said that I had long considered those authors useless whom the professor reprobated; but I returned not at all the more inclined to recur to these studies in any shape. M. Krempe was a little squat man with a gruff voice and a repulsive countenance; the teacher, therefore, did not prepossess me in favour of his pursuits. In rather a too philosophical and connected a strain, perhaps, I have given an account of the conclusions I had come to concerning them in my early years. As a child I had not been content with the results promised by the modern professors of natural science. With a confusion of ideas only","to be accounted for by my extreme youth and my want of a guide on such matters, I had retrod the steps of knowledge along the paths of time and exchanged the discoveries of recent inquirers for the dreams of forgotten alchemists. Besides, I had a contempt for the uses of modern natural philosophy. It was very different when the masters of the science sought immortality and power; such views, although futile, were grand; but now the scene was changed. The ambition of the inquirer seemed to limit itself to the annihilation of those visions on which my interest in science was chiefly founded. I was required to exchange chimeras of boundless grandeur for realities of little worth.",236,completion,"Tôi trở về nhà, không hề thất vọng, vì như tôi đã nói, từ lâu tôi đã coi mấy tác giả mà ông giáo sư bài xích là vô dụng; nhưng tôi trở về mà không hề có ý định khơi lại những môn học đó cho dù dưới hình thức nào chăng nữa. Ông Krempe người mập lùn, giọng cộc cằn, mặt đầy ác ý, thế cho nên chẳng đưa lại cho tôi chút thiện cảm nào những điều ông ta theo đuổi. Tôi đã kể cho anh, trong một cơn phấn hứng có lẽ hơi quá triết lý và mạch lạc, những kết luận về chúng mà tôi đã rút ra từ nhiều năm trước. Từ hồi nhỏ tôi đã không hài lòng với những kết quả mà các giáo sư hiện đại của khoa học tự nhiên hứa hẹn. Đầu óc đầy những ý tưởng hỗn độn - chỉ có thể đổ tội cho thực tế là tôi quá trẻ, và thiếu hướng","dẫn đúng đắn về những vấn đề đó - tôi đã đi ngược trở lại từng nấc kiến thức dọc theo những con đường xa xưa, đánh đổi những khám phá của các nhà khảo cứu mới đây lấy giấc mơ của các nhà giả kim đã từ lâu bị quên lãng. Hơn nữa tôi vốn rất khinh các ứng dụng của triết học tự nhiên hiện đại. Khi các nhà khoa học bậc thầy đi tìm sự bất tử và quyền lực, đó là một chuyện khác hẳn; quan niệm ấy tuy phù phiếm nhưng lại rất vĩ đại; còn bây giờ, quang cảnh đã đổi khác. Tham vọng của nhà khảo cứu có vẻ như chỉ hạn chế ở chỗ làm sao tiêu diệt chính những viễn tượng đã làm cơ sở cho hứng thú khoa học của tôi. Người ta đòi hỏi tôi phải đánh đổi ảo tưởng lộng lẫy đến vô bờ ấy lấy thứ thực tế chẳng có giá trị bao nhiêu.",333,completion,"Regresé a casa no del todo disgustado, pues hacía tiempo que yo mismo consideraba inútiles a aquellos autores tan desaprobados por el profesor, si bien no me sentía demasiado inclinado a leer los libros que conseguí bajo su recomendación. El señor Krempe era un hombrecillo fornido, de voz ruda y desagradable aspecto, y por tanto me predisponía poco en favor de su doctrina. Además yo sentía cierto desprecio por la aplicación","de la filosofía natural moderna. Era muy distinto cuando los maestros de la ciencia buscaban la inmortalidad y el poder; tales enfoques, si bien carentes de valor, tenían grandeza; pero ahora el panorama había cambiado. El objetivo del investigador parecía limitarse a la aniquilación de las expectativas sobre las cuales se fundaba todo mi interés por la ciencia. Se me pedía que trocara quimeras de infinita grandeza por realidades de escaso valor.",143,completion,"Eve döndüğümde hayal kırıklığına uğramış değildim çünkü profesörün kınadığı yazarları zaten uzun süredir faydasız görmekteydim, ancak önerilen konulardaki çalışmalara dönmeye de hiç niyetim yoktu. Krempe boğuk sesli, sevimsiz, ufak tefek bir adamdı ve ilgi alanıyla beni cezbedememişti. Oldukça felsefi ve biraz da ilintiler kurarak yaptığım açıklamalarımda bu alan konusunda genç yaşlarımda vardığım sonucu anlatmıştım. Çocukluğumda modem çağ doğa bilimi profesörlerinin yaptıkları çıkarımlar beni tatmin etmemişti. Yalnızca çok genç olmamla ve bu tür konularda bir rehbere gereksinim duymamla","açıklanabilecek bir zihin karmaşası içinde, zaman patikasında bilginin adımlarını geriye doğru takip etmiş ve adı sanı unutulmuş simyacıların hayallerini, modem araştırmaların keşiflerine tercih etmiştim. Üstelik modem doğa felsefesinin faydalarını küçümsüyordum. Bilim âlimlerinin ölümsüzlük ve güç arayışına çıkması farklı bir şeydi; bu fikirler sonuçsuz da olsalar, büyük fikirlerdi. Ama şimdi sahne değişmişti. Şimdiki araştırmacıların tutkusu sanki benim bilimde en çok ilgimi çeken görüşleri çürütmekle sınırlıydı. Benden engin bir ihtişamın kuruntuları yerine pek az değeri olan gerçekleri koymam isteniyordu.",154,completion
Oh! No mortal could support the horror of that countenance. A mummy again endued with animation could not be so hideous as that wretch. I had gazed on him,"while unfinished; he was ugly then, but when those muscles and joints were rendered capable of motion, it became a thing such as even Dante could not have conceived.",58,completion,Ôi! không người sống nào có thể chịu nổi gương mặt kinh khủng ấy. Một cái xác ướp sống lại cũng không đến nỗi xấu xí ghê tởm như của khốn nạn này. Tôi đã nhìn kỹ,"hắn lúc hắn chưa được hoàn thành; lúc ấy trông hắn đã xấu rồi; nhưng đến khi các cơ và khớp đã cử động được, hắn trở thành một thứ ngay cả Dante cũng không hình dung nổi.",75,completion,"¡Ay!, Ningún mortal podría soportar el horror que inspiraba aquel rostro. Ni una momia reanimada podría ser tan espantosa como aquel engendro. Lo había observado cuando","aún estaba incompleto, y ya entonces era repugnante; pero cuando sus músculos y articulaciones tuvieron movimiento, se convirtió en algo que ni siquiera Dante hubiera podido concebir.",53,completion,Ah! Hiçbir ölümlü yoktur ki o çehrenin dehşetine katlanabilsin. Canlanmış bir mumya dahi o yaratığın çirkinliğiyle yarışamaz. Henüz tamamlanmadığı,"bir sırada incelemiştim onu; o zaman da çirkindi ama kasları ile eklemleri hareketlenince, Dante'nin dahi hayal edemeyeceği bir şeye dönüşüverdi.",39,completion
"“Very well, and very happy, only a little uneasy that they hear from you so seldom. By the by, I mean to lecture you a little upon their account myself. But, my dear Frankenstein,”","continued he, stopping short and gazing full in my face, “I did not before remark how very ill you appear; so thin and pale; you look as if you had been watching for several nights.”",69,completion,"“Họ khỏe cả, và rất hạnh phúc, chỉ hơi không yên lòng khi bạn gần như chẳng viết thư về gì cả. Nhân đây, tôi cũng được giao nhiệm vụ phải thay họ diễn thuyết một bài đạo đức cho","bạn nhớ. - Nhưng Frankenstein ạ,” Clerval bỗng đứng lại, nhìn kỹ khuôn mặt tôi, “lúc nãy tôi chưa kịp để ý rằng trông bạn ốm quá đi mất, xanh và gầy quá, có vẻ như đã thức trắng nhiều đêm.”",81,completion,"—Bien, y contentos; aunque algo inquietos por la falta de noticias tuyas. Por cierto, que yo mismo pienso sermonearte un poco. Pero, querido Frankenstein —continuó, deteniéndose de pronto y","mirándome fijamente—, no me había dado cuenta de tu mal aspecto. Pareces enfermo; ¡estás muy pálido y delgado! Como si llevaras varias noches en vela. —Estás en lo cierto.",58,completion,"“Gayet iyiler ve hallerinden memnunlar. Yalnızca senden pek haber alamadıklarına üzülüyorlar. Bu arada yeri gelmişken onların adına sana biraz nasihat vereceğim, bilmiş ol. Ama sevgili Frankenstein'ım,” dedi ve bir an","durup yüzüme şöyle bir baktıktan sonra, “Ne kadar bitkin göründüğünü fark etmemişim. Nasıl da zayıf ve solgunsun. Geceler boyu nöbet tutmuş gibi bir halin var,” diye sözlerine devam etti. “Doğru bildin.",61,completion
"We ascended into my room, and the servant presently brought breakfast; but I was unable to contain myself. It was not joy only that possessed me; I felt my flesh tingle with excess of sensitiveness, and my pulse beat rapidly. I was unable to remain for a single instant in the same place;","I jumped over the chairs, clapped my hands, and laughed aloud. Clerval at first attributed my unusual spirits to joy on his arrival, but when he observed me more attentively, he saw a wildness in my eyes for which he could not account, and my loud, unrestrained, heartless laughter frightened and astonished him.",106,completion,"Hai chúng tôi lên phòng, và người phục vụ lập tức mang thức ăn sáng tới, nhưng tôi không kiềm chế được mình. Tôi không chỉ tràn ngập trong sung sướng; tôi cảm thấy từng thớ thịt mình rạo rực như có kim châm, mạch tôi rộn lên. Tôi không đứng yên được lấy một chút; tôi nhảy lên ghế, vỗ","hai bàn tay vào cười lên ha hả. Lúc đầu Clerval tưởng tôi vui bất thường là do anh đến, nhưng sau khi nhìn kỹ hơn, anh thấy trong mắt tôi có ánh điên dại mà anh không hiểu được; và những tràng cười lớn, khô khốc, không kiềm chế được của tôi khiến anh lấy làm lạ và hoảng sợ nữa.",123,completion,"Subimos a mi cuarto, y el criado enseguida nos sirvió el desayuno; pero me costaba dominarme. No era júbilo lo único que me embargaba. Sentía que un hormigueo de aguda sensibilidad me recorría todo el cuerpo, y el pecho me latía fuertemente. Me resultaba imposible permanecer quieto; saltaba","por encima de las sillas, daba palmas y me reía a carcajadas. En un principio Clerval atribuyó esta insólita alegría a su llegada. Pero al observarme con mayor detención, percibió una inexplicable exaltación en mis ojos. Sorprendido y asustado ante mi alboroto irrefrenado y casi cruel, me dijo:",96,completion,"Birlikte odama geçtik, hizmetçi hemen kahvaltı getirdi. Ancak benim içim içime sığmıyordu. Yalnızca sevinç değildi hissettiğim şey; tenimin aşın bir duyarlılıkla gıdıklandığını ve nabzımın hızlı hızlı attığını hissediyordum. Bir an olsun yerimde duramıyordum. Koltukların üstünden atlıyor, el çırparak","kahkahalarla gülüyordum. Clerval, benim bu sıra dışı halimi ilk başta onu görmekten dolayı duyduğum sevince verdiyse de dikkatle inceledikten sonra bakışlarımda anlamlandıramadığı bir çılgınlık olduğunu fark etti ve gürültülü, kontrolsüz, donuk kahkahalarım onu hem korkuttu hem de şaşırttı.",76,completion
"But I was in reality very ill, and surely nothing but the unbounded and unremitting attentions of my friend could have restored me to life. The form of the monster on whom I had bestowed existence was for ever before my eyes, and I raved incessantly","concerning him. Doubtless my words surprised Henry; he at first believed them to be the wanderings of my disturbed imagination, but the pertinacity with which I continually recurred to the same subject persuaded him that my disorder indeed owed its origin to some uncommon and terrible event.",93,completion,"Nhưng tôi thực sự ốm rất nặng, và chắc chắn chỉ có sự chăm sóc tận tụy vô hạn của bạn tôi mới có thể trả tôi về với cuộc đời. Hình thù con quái vật tôi đã trao cho sự sống lúc nào cũng hiện trước mắt tôi, và tôi không ngừng nói mê nói sảng về nó. Hẳn lời",tôi nói phải khiến Henry lấy làm lạ: lúc đầu anh cho đó là kết quả của óc tưởng tượng bị kích động của tôi; nhưng cứ nghe tôi dai dẳng nói mãi về cùng một đề tài anh đã bị thuyết phục rằng bệnh tình tôi thực tế bắt nguồn từ một sự kiện bất thường và kinh khủng nào đó.,123,completion,"Pero mi enfermedad era muy grave, y sólo los constantes e ilimitados cuidados de mi amigo me devolvieron la vida. Tenía siempre ante los ojos la imagen del monstruo al que había dotado de vida, y deliraba constantemente sobre él.","Sin duda, mis palabras sorprendieron a Henry. En un principio, las tomó por divagaciones de mi mente trastornada; pero la insistencia con que recurría al mismo tema le convenció de que mi enfermedad se debía a algún suceso insólito y terrible.",81,completion,Ancak ben gerçekte ağır hastaydım ve dostumun sınırsız ve kesintisiz ilgisinden başka beni hayata döndürecek hiçbir şey yoktu. Hayat bahşettiğim canavarın görüntüsü gözümün önünden gitmiyordu ve sık sık onu,"sayıklıyordum. Sözlerim, Henry'yi doğal olarak şaşırtıyordu. önceleri bunların çarpık hayallerimden kaynaklandığını düşündü, ama inatla aynı konuya döndüğümü görünce rahatsızlığımın gerçekten de sıra dışı ve korkunç bir olaydan kaynaklandığına ikna oldu.",59,completion
"“Dearest Clerval,” exclaimed I, “how kind, how very good you are to me. This whole winter, instead of being spent in study, as you promised yourself, has been consumed","in my sick room. How shall I ever repay you? I feel the greatest remorse for the disappointment of which I have been the occasion, but you will forgive me.”",59,completion,"“Bạn Clerval yêu mến nhất đời của tôi ơi,” tôi nói, “bạn tốt với tôi quá! Cả mùa đông mà bạn tự hứa sẽ dành để học hành, lại mất tiêu trong phòng người bệnh như",thế này. Tôi biết làm sao trả ơn bạn đây? Tôi ân hận vô cùng vì đã là nguyên cớ cho nỗi thất vọng ấy của bạn; nhưng hẳn là bạn sẽ tha thứ cho tôi.”,72,completion,"Querido Clerval —exclamé un día—, ¡qué bueno eres conmigo! En vez de dedicar el invierno al estudio, como habías planeado, lo has pasado","junto a mi lecho. ¿Cómo podré pagarte esto jamás? Siento el mayor remordimiento por los trastornos que te he causado. Pero ¿me perdonarás, verdad?",47,completion,"""Sevgili Clerval,” diye haykırdım, ""bana karşı ne kadar kibar, ne kadar iyisin. Şu koca kışı kendine söz verdiğin üzere çalışarak","geçirmek yerine, benim hasta odamda tükettin. Sana borcumu nasıl ödeyeceğim? Neden olduğum hayal kırıklığı için çok üzgünüm, umarım beni affedersin.",40,completion
