en_first_half,en_second_half,en_word_count,en_results_raw
RG: She’s used to it. With Mum there’s drama 24/7. How often,did you speak to your dad when you were away at uni?,24,"completion: She’s grown accustomed to the constant chaos, but sometimes she wishes for a moment of peace and quiet. The drama that comes with having a mother like that can be overwhelming, and she often finds herself wishing for a simpler life. However, she knows that she can’t escape it, and that she’s lucky to have her mother by her side, even if it’s a bit of a rollercoaster ride."
RG: Why am I the last one to find out that Eden isn’t coming to Hawaii? I find it hard to believe,that you wouldn’t want her beside you on your special day. Shall I talk to Mum? Happy to take the heat on this.,45,completion
"They approached the altar positioned at the edge of the cliff and gazed out at the dramatic view of the Kona coastline just as the sun was dipping into the ocean. Gopal Das (Brimmer and May/Groton/Williams/UC Berkeley/Four Winds Shaman School), a tall, lanky Caucasian",man in his midforties with shoulder-length strawberry-blond hair and a matching beard stretched out his densely freckled arms in a godlike manner. “Let us welcome this blessed sunset. I’ve never seen a painting that captures the beauty of the ocean at a moment like this.”,89,completion
"Gopal Das tucked the tight white tee that showed off his sinewy pecs into his camo-green cargo shorts and said, “Close your eyes. Now breathe","in deeply…. Let your first chakra connect with the ground, rooting in the earth, connecting with Gaia, connecting with spirit. Now, what do you feel?”",50,completion
"“Not likely. You’d be quite dead if that were the case,” Thomas said,[*5] looking down at the",machine. “You know your arm needs to be level with your heart when you take a reading.”,34,completion
"Arabella bolted up from the chaise, her cashmere eye pillow falling to the floor. “Spectacular? Seeing that almost killed me! That lava you",see is a volcanic fissure that opened up earlier today—right in the middle of the garden where Augusta’s wedding ceremony is supposed to be!”,47,completion>
*3 Although “cottage” could be rather misleading for the spacious four-bedroom house with a thatched roof,"that was decomposing so perfectly, Thomas was constantly finding DIY influencers taking selfies by the garden gate.",33,completion
"*4 Though Arabella was raised speaking the Queen’s English in what was then the British Crown Colony of Hong Kong and spoke with the poshest of accents, whenever she came into contact with other Asians—particularly","family members and service people—her accent would take on the inflections and sentence structuring that were peculiar to upper-crust Hong Kongers. Linguistic experts call this phenomenon code-switching, while others might call it snobby tai tai syndrome.",71,completion>
"“That’s because I’m the only one around here who eats carbs,” Eden said as she took","a bite of her chocolate croissant, still warm from the oven. “You really ought to try one.”",33,completion
"Suddenly Arabella’s eyes lit up and she seemed to recover slightly. “Yes, she will be good","for OS, won’t she? Eden, you’ll offer your assistance, won’t you, in our time of need?”",32,completion
*5 Arabella pronounces her daughter’s name in the Italian,"way, Be-ah-TREE-chey, not because she’s Italian but because she’s pretentious.",19,completion
"“The older woman said, ‘Excuse me, do you speak English?’ I was used to this question, so I simply nodded. The younger woman said, ‘We see you here every day. You’re so good with the baby. She clearly adores you.’ ‘Thank you,’ I replied. And then","the older woman leaned over and whispered, ‘Whatever they’re paying you, we’ll double it.’ I was so confused, and then it hit me: These women think I’m the nanny! Because I’m Chinese, and my half-British daughter doesn’t look like me!” Lady Arabella recalls with a laugh.",92,completion
"Arabella credits her own mother for her confidence to upend centuries of tradition. “My mother grew up in Shanghai, which was the Paris of the East, so for her, Asian Fusion wasn’t a fad, it was a way of life.” Arabella’s barrister father","hailed from one of Hong Kong’s most respected legal families. “People are constantly surprised to learn that I didn’t grow up in a rice paddy. My grandfather and father both went to Oxford, and we had a house in Kowloon Tong with five servants.”",87,completion
"The countess never imagined that her modern spin on Marco Polo would spawn her own design and hospitality empire, but after a famously finicky Qatari prince spent the weekend and was wowed by the countess’s hospitality, he commanded her to design a hotel in London “for people who can only bear to stay in palaces when they travel,” promising to book out","the entire place every year for the London Season. Arabella quickly conceived of Bella’s, the gemlike London oasis that has set the standard for boutique establishments everywhere. Then came the Bella outposts in Hong Kong, Antwerp, and the Maldives, all of which possess the perfect alchemy of understated glamour, exquisite service, and discretion that have made them de rigueur destinations for the cognoscenti.",125,completion
Dr. Thomas Tong was in the midst of enjoying a cup of tea,in the break room when his flatmate peeked his head through the open door.,27,completion
"Eden awoke to the sound of unfamiliar chirps. The chorus of birds outside sounded more spirited than anything she’d heard before, and they had been at it all night. Having arrived very late the previous","evening to a house at the end of a pitch-black road, she had no inkling of what lay outside. She rose from the bed lazily, flung open the louvered plantation doors, and almost gasped in disbelief.",71,completion
“Watch your step!” came a shout behind her. Eden looked down and saw the large gray rock,she was about to step on suddenly move. It was a sea turtle basking in the sun.,34,completion
"“Oh my god!” Eden exclaimed, backing off. She turned around to see",a woman in her late twenties sitting on a sun-bleached tree trunk.,24,completion
"“I should put on some proper clothes first,” Eden said, realizing she was still",in her sleeping clothes—an old pair of cotton jersey shorts and a skinny tee.,28,completion
“Why? Are you going to the Wolseley? Look how I’m dressed.” Rufus gestured to his tattered board shorts and bare feet as they cut through a wooded path that led from the beach to a road that to Eden seemed straight out of a dream. Tall coconut,"palms, fragrant hibiscus bushes, and mango trees lined the winding lane of relaxed old bungalows and wooden beach cottages next door to the occasional sprawling mansion. Rufus reached up into one of the low-hanging branches as they walked past and plucked two ripe mangoes. “For breakfast.” He grinned.",95,completion
"“Puako Beach Road is one of the only places left on the entire island that still has these original cottages from the sixties right on the beach,” Rufus","explained. “It’s a real neighborhood, as opposed to some poncy resort. You love hunting down the local hangouts whenever you travel, so I thought you’d prefer it over here.”",57,completion
Rufus gestured outside. On one end of the back deck was an outdoor shower nestled between thick tropical bushes and a,wall of stacked volcanic rocks. Rufus pointed to a galvanized steel cistern on the roof. “That tank collects rainwater for the shower.”,43,completion
"“Now, you and I both know that Rufus is wasting his life away",in Hawaii. It’s high time Rufus settled down and did something with his life…”,27,completion
Arabella nodded. “She is one of the hottest emerging artists around. She already has important galleries in,"London, Paris, and LA, and everyone’s flipping her work, so she can satisfy all of Rufus’s artistic pretensions.”",35,completion>
"“Not only is she to the manor born, she is to the hotel born too!” Bea jumped in. “The de Courcys own a fabulous crop of hotels all over",France and the French Caribbean. That’s why it’s a match made in heaven—she already knows what it feels like to be constantly harassed by friends angling for room upgrades!”,58,completion>
They went outside to the wooden deck and sat down on a pair of canvas butterfly chairs. Eden,"inhaled the steam from her coffee mug, which was infused with a sweet scent. “Did you add vanilla?”",36,completion
"“Mmm. Love it.” Eden smiled as she took a long, slow sip, closed her eyes, and eased into her chair. The sun on her face","felt so lovely, she could hardly believe that it was the middle of winter back in Britain. “Now I feel like I’m truly on holiday.”",50,completion
“I think this is our last moment of peace before guests start,flooding the island. Ready for the craziest wedding weekend ever?” Rufus asked.,24,completion
"No you’re not, Eden thought to herself as she sipped on her coffee, taking in the sounds of the waves","pounding onto the lava rocks and the ecstatic screech of birds. “I’ve never heard birds quite like this before,” she said.",41,completion
Rufus laughed. “Because they aren’t birds. That’s the sound of the,coqui frog. They’re everywhere on the island. That’s their mating call.”,22,completion
Bea was just fastening the labradorite-bead[*1] necklace around her sister Augusta’s,neck when there was a series of quick raps on the door.,23,completion
"“Yes! I had nothing to wear for this evening and they came to my rescue. This just arrived an hour ago from New York,” Bea replied of her strapless gown","with its dramatic purple bodice bow sash and painted anemones on the skirt. Unlike her sister, she had no issues with looking like she had just stepped off a fashion catwalk.",61,completion
"“It looks like she found it on the clearance rack at Mango,” Arabella replied curtly","as the first guests appeared at the top of the steps, and Augusta burst into tears.",31,completion
"“How can you say such a thing, Countess? I have known Eden since my very first visit to Greshamsbury Hall three years ago, and the girls and I even went camping in the Outer Hebrides","last year. When someone has seen you empty your bowels into a hole you have just dug in the sand with your bare hands, I don’t think they have to call you ‘Serene Highness’ anymore.”",70,completion
"Rufus gave a bashful grin. “I thought, why not turn bad luck into good? It’s not","every day that an eruption occurs at a wedding site, so let’s have everyone enjoy the experience!”",33,completion>
"“Mind if I stop? The text goes on and on and I’m feeling a bit sick reading off your phone.” Eden closed her eyes, trying to enjoy the feel of the sun on her face and the cool breeze in her hair, but it","wasn’t working. She felt miserably hungover from the previous evening. After sunset cocktails at the lava-viewing platform, the party had moved into a magnificent inner courtyard with four reflecting pools where an eight-course banquet commenced, and Eden had fallen victim to the exquisite wine pairings.",89,completion
“Change of plans. When Freddy realized we were going whale watching on a fishing,"boat, he insisted that we take his Walrus or whatever that thing is called.”",28,completion>completion
