en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"Aside from Eager Beaver, there are fourteen of us starting today. Fourteen of us fresh out of top-five graduate programs, and prestigious internships, and CV-beefing industry","jobs accepted exclusively to look more attractive during NASA’s next round of recruitment. There’re fourteen of us, and the thirteen that aren’t me are all nodding enthusiastically.","experiences, all gathered in this windowless conference room, ready to embark on the most grueling and competitive training program in the industry. The air is thick with anticipation",53,"experiences, all gathered in this windowless conference room, ready to embark on the most grueling and competitive training program in the industry. The air is thick with anticipation and a hint of nervousness as we await the arrival of our instructors, who will put us through a series of challenges designed to test our skills, our wits, and our resolve. As I glance around the room, I notice a mix of confident smiles and anxious glances, each of us wondering what the next few weeks have in store for us. The only sound is the soft hum of the fluorescent lights overhead and the occasional rustle of papers as we fidget with our notes and laptops, trying to prepare ourselves for the unknown. And then, just as we're starting to get restless, the door swings open and a tall, imposing figure strides in, a stern expression etched on his face, and a hint of a challenge in his eyes."
"The truth, though, is quite the opposite. I hated school at first sight—with the direct consequence that school hated the sullen, listless child that I was right back. In the first grade, I refused to learn how to write my name, even though Hannah is only three letters repeated twice. In junior high, I set a school record for the highest number of consecutive detention days—what happens when","you decide to take a stand and not do homework for any of your classes because they are too boring, too difficult, too useless, or all of the above. Until the end of my sophomore year, I couldn’t wait to graduate and leave all of school behind: the books, the teachers, the grades, the cliques. Everything. I didn’t really have a plan for after, except for leaving now behind.","you're a shy, introverted kid who's also fiercely stubborn and refuses to back down, even when faced with the wrath of authority figures. I recall one particularly memorable instance where I was forced to stay after school for a week straight, serving detention every day, simply because I wouldn't apologize for something I didn't do. My parents were called in, and I was threatened",137,"you're a shy, introverted kid who's also fiercely stubborn and refuses to back down, even when faced with the wrath of authority figures. I recall one particularly memorable instance where I was forced to stay after school for a week straight, serving detention every day, simply because I wouldn't apologize for something I didn't do. My parents were called in, and I was threatened with expulsion, but I still refused to budge. It wasn't until the school realized that I was willing to take it all the way to the principal's office that they finally relented. Looking back, I realize that my behavior was likely a cry for help, a desperate attempt to assert my individuality in a sea of conformity. But at the time, I just thought I was being obstinate. As I navigated the ups and downs of adolescence, my relationship with school continued to be complicated. I struggled to connect with my teachers, who seemed more interested in discipline than in actually teaching. I felt like I was just going through the motions, waiting for the bell to ring so I could escape the confines of the classroom. But despite my difficulties, I found solace in the world of books. I devoured everything I could get my hands on, from science fiction to fantasy to historical nonfiction. Reading became my escape, my sanctuary, and my passion. It allowed me to explore new worlds, meet new people, and experience things that I never could have in real life. And it was through reading that I began to discover my own voice, my own unique perspective on the world. I started writing my own stories, pouring my heart and soul into the pages of my journal. It was a way for me to process my emotions, to make sense of the chaos that surrounded me. And it was through writing that I finally found a sense of purpose, a sense of direction. I realized that I didn't have to be defined by my struggles in school. I could create my own path, forge my own way. And that realization changed everything."
"“It’s like space is your whole personality,” the girl I casually hooked up with during most of my sophomore year of undergrad told me. It was after I explained that no, thank you, I wasn’t interested in going out for coffee to meet her friends because of a lecture on","Kalpana Chawla I was planning to attend. “Do you have any other interests?” she asked. I threw her a quick “Nope,” waved good-bye, and wasn’t too surprised when, the following week, she didn’t reply to my offer to meet up. After all, I clearly couldn’t give her what she wanted.","the societal implications of astrology in the 21st century that I had been putting off for weeks. She laughed and said, ""You're so extra, always talking about the stars and planets like they're people you know personally."" I shrugged, feeling a bit self-conscious about my fascination",100,"the societal implications of astrology in the 21st century that I had been putting off for weeks. She laughed and said, ""You're so extra, always talking about the stars and planets like they're people you know personally."" I shrugged, feeling a bit self-conscious about my fascination with the subject, but also slightly defensive. I mean, what's wrong with being interested in the mysteries of the universe? As I was getting dressed to leave, she mentioned that her friend was a ""total Scorpio"" and that I would love her. I smiled politely, but inside I was thinking, ""No, I won't."" I've always been skeptical of people who claim to be experts on personality types based on sun signs alone. I mean, isn't that just a form of cosmic stereotyping? But at the same time, I couldn't help but wonder if there was some truth to it. Was I really a ""spacey"" person, as she put it? And what did that even mean, anyway? As I walked out of her apartment and into the crisp autumn air, I felt a sense of disconnection from the world around me. It was as if I was floating above it all, observing the people and buildings and trees with a sense of detachment. Maybe that's what she meant by ""spacey."" Maybe I was just a little too good at drifting through life, never really touching down on solid ground. The thought sent a shiver down my spine, and I quickened my pace, lost in the sea of strangers rushing to and fro."
"“Yeah, I’m not sure.” She shrugs and continues to make her way through a Tupperware of broccoli, an apple, and approximately two fucktons of Cheez-Its. “I don’t really know much about him. His parents divorced, then people in my family had arguments and stopped talking to each other. There was a lot of","prime Floyd dysfunction happening, so I haven’t actually spoken to him in years. But I heard from one of my other cousins that he was working on that thing that landed on Mars back when we were in high school. It was called something like . . . Contingency, or Carpentry, or Crudity—”","bad blood, I guess. I mean, I don't really know the specifics, but I do know that my mom and her sister haven't spoken in years, and it's all somehow connected to him. It's weird, because I've seen him around town a few times, but we've never really talked or anything. He seems nice,",106,"bad blood, I guess. I mean, I don't really know the specifics, but I do know that my mom and her sister haven't spoken in years, and it's all somehow connected to him. It's weird, because I've seen him around town a few times, but we've never really talked or anything. He seems nice, I guess. I mean, he's always smiling and saying hi, but there's just this...this thing between our families, you know? Anyway, enough about that. How was your day?"" She looks up, her eyes squinting slightly as she waits for a response, her mouth still working on the Cheez-Its. The crunching sound fills the air, punctuated by the occasional slurp of soda from the can on the table. The TV drones on in the background, a steady hum of noise that's easy to tune out. The room is cozy, the kind of space that's been lived in for a long time, with all the comfortable quirks and familiar smells that come with it. There's a big, fluffy cat lounging on the windowsill, chasing the occasional fly and napping in the sunbeam that streams through the glass. It's a peaceful scene, one that belies the underlying tension that's been simmering just below the surface."
"“I think so. Do the dates add up? Maybe it was some kind of summer internship? But honestly, it might just be Floyd family lore. I have an aunt who insists that we’re related to","the Finnish royals, and according to Wikipedia there are no Finnish royals. So.” She shrugs and pops another handful of Cheez-Its in her mouth. “Would you like me to ask around, though? For the assignment?”","Benjamin Franklin, but I've never been able to verify that claim. Anyway, I'm pretty sure my grandfather worked at the lab during the war, and he used to tell us stories about the crazy things they were working",70,"Benjamin Franklin, but I've never been able to verify that claim. Anyway, I'm pretty sure my grandfather worked at the lab during the war, and he used to tell us stories about the crazy things they were working on. I always thought he was just spinning yarns, but now I'm not so sure. Maybe there's some truth to it after all. I should really dig through the family archives and see if I can find any records or documents that might shed some light on the whole thing. It's funny, I've always been skeptical of family legends, but now I'm starting to wonder if there's more to them than I thought. Maybe I'll even try to track down some of the other people who worked at the lab back then and see if they have any stories to share. Who knows, maybe I'll uncover a whole new chapter in the Floyd family history."
"“By the way, I sent you my cousin-or-something’s contact info a while ago,” Mara tells me one night. We’re at the",cheapest grad bar we’ve been able to find. She’s on her second Midori sour of the night. “Did you get it?”,"local diner, sipping coffee and discussing our plans for the upcoming summer. I had almost forgotten about",42,"local diner, sipping coffee and discussing our plans for the upcoming summer. I had almost forgotten about the message, but now I rack my brain trying to recall the name and face of this mysterious cousin. ""Oh yeah, I remember,"" I say, trying to sound casual, ""I've been meaning to reach out to them."" Mara looks at me expectantly, clearly waiting for me to elaborate on my plans. I take a sip of my coffee, stalling for time, and ask, ""So, what's the story with this cousin again?"" Mara launches into a detailed explanation of their family tree, and I listen intently, trying to commit the names and relationships to memory. As she talks, I find myself wondering what this cousin is like, and what kind of adventures we might have together."
"He frowns, as if momentarily blanking on Mara’s name. “Ah, yes.” He nods. Only once. “Apparently,” he adds, which makes me laugh. He waits for me to take a seat","across from him before folding back in his chair. I notice that he doesn’t hold out his hand, nor does he smile. Interesting. “Thank you for agreeing to meet with me.”","before continuing, his eyes drifting to the window as if searching for an escape route or a distraction from the conversation. The sunlight catches his profile, accentuating",61,"before continuing, his eyes drifting to the window as if searching for an escape route or a distraction from the conversation. The sunlight catches his profile, accentuating the sharp angles of his face and the faint creases around his eyes. I take a deep breath, trying to compose myself, and sit down in the chair across from him, my movements a little too deliberate. The silence that follows is oppressive, heavy with unspoken questions and unresolved tension. I fidget with the hem of my sleeve, waiting for him to break the silence, but he seems content to simply sit there, his gaze still fixed on some point outside the window."
"“Officially: unclear. But I’m fairly sure my brother made CDs of it. Sent them to local TV stations and whatnot.” He gestures vaguely, and his forearm is dusted with freckles and pale-red hair. I want to grab his wrist, hold it in front","of my eyes, study it at my leisure. Trace, smell, touch. “I haven’t spent a holiday with the Floyd side of the family in twenty years, but I’m told that the video is a source of great entertainment for all age groups at Thanksgiving.”","of my face, and examine it more closely. The way the freckles cluster and scatter, like constellations on a summer night. I want to ask him if he's always had so many, or if they've multiplied over the years, but I don't. Instead, I let",87,"of my face, and examine it more closely. The way the freckles cluster and scatter, like constellations on a summer night. I want to ask him if he's always had so many, or if they've multiplied over the years, but I don't. Instead, I let my gaze drift back to his face, where his eyes are still fixed on some point beyond my shoulder. ""And did they... did they ever air it?"" I ask, trying to sound casual, but my curiosity getting the better of me. He shrugs, and his eyes flicker back to mine, a hint of a smile playing on his lips. ""I don't know. I never saw it on TV, but that doesn't mean it didn't happen."" He pauses, lost in thought for a moment, before his expression turns serious. ""You know, I've often wondered what happened to those tapes. If they're still out there, somewhere, gathering dust in some old archive or something."" His voice trails off, and I can almost see the wheels turning in his head, as he chases down the memories of a long-forgotten past."
"The section is in C++. Which happens to be the very first language I taught myself back in high school, when every single Google search for “Skills + Necessary + NASA” led to the sad result of “Programming.” Python came after. Then SQL. Then HAL/S. For each language, I started out convinced that chewing on","glass would surely be preferable. Then, at some point along the way, I began thinking in terms of functions, variables, conditional loops. A little after that, reading code became a bit like inspecting the label on the back of the conditioner bottle while showering: not particularly fun, but overall easy. I do have some talents, apparently.","the toughest, most obscure problems would somehow magically imbue me with the skills necessary to work at NASA. I was wrong, of course. But I was driven by a fierce passion and a determination to succeed. I spent hours upon hours poring over lines of code, debugging, and testing. And with each new language, I felt like I was one step closer",111,"the toughest, most obscure problems would somehow magically imbue me with the skills necessary to work at NASA. I was wrong, of course. But I was driven by a fierce passion and a determination to succeed. I spent hours upon hours poring over lines of code, debugging, and testing. And with each new language, I felt like I was one step closer to achieving my dream. But it wasn't until I started working on real-world projects that I realized the true value of programming. It wasn't just about solving problems or writing code, it was about creating something from scratch, bringing an idea to life. And that's when I knew that I had found my true calling. The journey wasn't easy, but it was worth it. I learned that with persistence, dedication, and a willingness to learn, anything is possible. And now, as I look back on my journey, I am grateful for that first Google search that led me to C++. It was the starting point of an incredible adventure that has taken me to places I never thought I'd go."
"My heart rate picks up. Warmth twists in my lower stomach. I lean forward with a smile, feeling like I’m finally in my element. This, this, is what I know best. Depending on how busy I am with school, or work, or binge-watching K-dramas,","I do this about once a week. Which amounts to quite a bit of practice. “Maybe I could come to your place?” I say, finding the sweet spot between comically suggestive and Let’s get together to play Cards Against Humanity. “And you could show me?”","I usually spend anywhere from a few hours to an entire day at the café, typing away on my laptop or scribbling in my journal. The aroma of freshly brewed coffee and baked goods is my happy place, and the gentle hum of conversations in the background",89,"I usually spend anywhere from a few hours to an entire day at the café, typing away on my laptop or scribbling in my journal. The aroma of freshly brewed coffee and baked goods is my happy place, and the gentle hum of conversations in the background is the perfect accompaniment to my creative process. As I settle into my favorite corner table, I feel a sense of comfort and familiarity wash over me, like slipping into a well-worn pair of jeans. The barista, a friendly woman with a warm smile, greets me with a nod and asks how my day is going, and I launch into a enthusiastic recounting of my latest writing project or academic triumph. For a few blissful hours, I am in my own little world, where the only thing that matters is the words flowing onto the page and the caffeine coursing through my veins."
