en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"Peter said this felt like an invitation. Laughed, almost self-deprecatingly,","as he added, “I’d never believed in fate before that.”","he shook his head, as if to clear the cobwebs, and began",20,"he shook his head, as if to clear the cobwebs, and began to walk towards the old mansion, his footsteps echoing through the stillness of the night air."
"My hat landed atop a pile of discarded lo mein, the lip of the can smashed into","my rib cage, and I did a wheezing pratfall into the grass. Peter described this as “adorably clumsy.”","the pavement, and I watched in dismay as a puddle of congealed noodles began to seep out, like a slow-moving",35,"the pavement, and I watched in dismay as a puddle of congealed noodles began to seep out, like a slow-moving oil spill, onto the dirty sidewalk. The smell of stale grease and soy sauce wafted up, mingling with the exhaust fumes from the passing traffic, and I couldn't help but feel a sense of unease as I stood there, hatless and helpless, amidst the chaos of the city street."
“I fell in love with Daphne the moment I looked up from,"her hat,” he’d say, no mention of the trash-noodles in my hair.","my book and saw her standing in the doorway, a vision of loveliness",24,"my book and saw her standing in the doorway, a vision of loveliness with her wild curls and bright, inquisitive eyes that seemed to hold a world of wonder within them, and I knew in that instant that my life would never be the same again."
"Over the last three years, Peter dusted off Our Story every chance he got.",I was sure he’d work it into both our vows and his wedding reception speech.,"He would often take it down from the shelf, gently blowing off the thin layer",29,"He would often take it down from the shelf, gently blowing off the thin layer of dust that had accumulated, and begin to read from a random page, re-living the memories that the words evoked."
“Could you just turn it down?” I say. “All the plates are rattling,in the cabinets and Mr. Dorner’s trying to bust down the living room wall.”,"and the glasses are shaking, and I'm starting to get a headache from the vibrations.",27,"and the glasses are shaking, and I'm starting to get a headache from the vibrations. My roommate, Alex, looks up from his phone, seemingly oblivious to the chaos he's causing, and says, ""What's wrong? I'm just trying to get pumped up for the game tonight."""
"Petra is also a stoner without a college degree, but I guess it’s different when you’re a perfect",ten with a picturesque family and well-padded bank account. Then you’re not a stoner; you’re a free spirit.,"ten and have a trust fund, because then you can just coast through life without any real responsibilities or",36,"ten and have a trust fund, because then you can just coast through life without any real responsibilities or consequences, and people will still fawn all over you and pretend like you're some kind of genius or visionary."
"When I jolted awake at the click of the front door, it was full","bright in the living room, so I could see Peter’s surprise at finding me there.","dark outside, the moon hidden behind a thick veil of clouds, and the only sound",29,"dark outside, the moon hidden behind a thick veil of clouds, and the only sound the creaking of the old wooden floorboards beneath my father's weary feet as he made his way to the kitchen, the smell of smoke and sweat clinging to him like a bad omen, signaling the end of another long day at the factory."
"“No!” he said. “I mean, it wasn’t like that. We’re . . . She told me she’s in","love with me, Daphne. And I realized I am too. In love. With her. Fuck, I’m so sorry.”","a relationship, but I didn't know that at the time. I thought we were just friends, hanging",36,"a relationship, but I didn't know that at the time. I thought we were just friends, hanging out and having a good time. I mean, we were laughing and joking around, and I didn't think anything of it. But then she told me that she's been seeing someone else, and I felt like I'd been punched in the gut. I didn't know what to say or do, so I just stood there, trying to process what she was telling me."
"“Are you fucking kidding me, Peter?” I jumped up. I didn’t",feel hurt then. That would come later. First it was all rage.,"mean to yell, but my voice echoed through the empty apartment,",23,"mean to yell, but my voice echoed through the empty apartment, making me feel even more ridiculous for overreacting to the news that Peter had just dropped like a bombshell."
"“Of course she fucking meant for this to happen, Peter! She had twenty-five",years to tell you she was in love with you and chose last night!”,"years to think about it, to plan it, to make sure that everything",27,"years to think about it, to plan it, to make sure that everything was in place before she made her move, and now you're telling me it was all just a big coincidence?"
"“I’m really sorry, Daph,” he said, and leaned in to kiss my forehead","like some benevolent father figure, regretfully shipping off for war to do his duty.","His warm breath danced across my skin, sending a shiver down my spine as he whispered,",27,"His warm breath danced across my skin, sending a shiver down my spine as he whispered, ""I never meant to hurt you, I swear."" I felt a lump form in my throat as I looked up at him, his eyes filled with a deep regret that made my heart ache. We stood there for a moment, the tension between us palpable, before he pulled back and took a deep breath, his eyes never leaving mine. ""Can you ever forgive me?"" he asked, his voice barely above a whisper."
"I stayed there watching the road for probably ten minutes. Then I went back inside and cried so hard it might’ve made me vomit, if I hadn’t completely forgotten to eat the","night before. I wasn’t much of a cook, and besides that, Peter was extremely careful with his diet. Low carbs, high protein. I dug around our understocked cabinets and started making Easy Mac.","previous day's dinner. The tears eventually subsided, and I was left feeling numb and empty, the silence of the house deafening. I wandered aimlessly from room to room, searching for some semblance",65,"previous day's dinner. The tears eventually subsided, and I was left feeling numb and empty, the silence of the house deafening. I wandered aimlessly from room to room, searching for some semblance of comfort, but it seemed to elude me at every turn. As the hours ticked by, the darkness outside began to press in, making me feel trapped and alone. I thought about calling someone, but who could I turn to? The weight of my isolation was crushing me, and I couldn't shake the feeling that I was staring into the abyss, with no safety net to catch me if I fell."
"Fool that I am, my only guess was that Peter had come back. That he’d made",it to the airport only for a burst of clarity to send him racing home to me.,"a miraculous recovery and was now standing in my living room, a sly grin spreading",33,"a miraculous recovery and was now standing in my living room, a sly grin spreading across his face as he took in the scene before him. But as I turned to face him, my heart sank, for it wasn't Peter at all, but a stranger who looked uncannily like him, with piercing green eyes that seemed to bore into my very soul."
