en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"“I think I’m all set here,” he says, and lol of course he isn’t going","to kiss me. “But if I forgot anything, you can have Jake come pick it up.”","to do anything but stand there, frozen in a mixture of fear and uncertainty,",31,"to do anything but stand there, frozen in a mixture of fear and uncertainty, as the reality of the situation slowly starts to sink in, his eyes fixed on some point in the distance, his mind racing with the consequences of his actions, the weight of his decision settling heavy on his shoulders, like a physical force that's slowly crushing him, making it hard to breathe, hard to think, hard to do anything but stand there, paralyzed by the enormity of what he's done."
"Jake: younger brother to West (and only slightly less good-looking) and that type of college friend who knows everything about my life at UCLA but has never met my father, who lives only an hour away.","Jake introduced me to West; now Jake will be my sole remaining connection to West. The thought makes me a little sad, but then I remember I have the couch and T-virus zombies waiting for me inside.","He's the kind of friend who knows my favorite coffee order, my go-to karaoke song, and the intricacies of my complicated relationship with my ex, but has never set foot in my childhood home or met the",73,"He's the kind of friend who knows my favorite coffee order, my go-to karaoke song, and the intricacies of my complicated relationship with my ex, but has never set foot in my childhood home or met the man who has been a constant presence in my life. Despite this, Jake has a way of making me feel like he's known me forever, and I've grown accustomed to his easy smile and effortless charm. We've spent countless nights exploring the city, trying out new restaurants, and laughing until our sides ache, and yet, there's still a part of me that feels like he's missing out on a fundamental part of who I am. I've often wondered what he would think if he met my dad, if he would be surprised by the man behind the stories I've shared, or if he would simply nod knowingly, as if he's always understood the complexities of our relationship. The thought has crossed my mind more times than I can count, and yet, I've never mustered the courage to make the introduction, content instead to keep my two worlds separate, like parallel universes that never intersect."
"“You, too.” West smiles that eye-crinkling smile again, and","damn, I really wish I’d seen it more. “Bye, Anna.”","he nods toward the door, as if to say, 'You're free",19,"he nods toward the door, as if to say, 'You're free to go, but I know you won't.'"
"I feel her attention move from the empty apartment to the side of my face, and when I smile","over at her, her blue eyes are round with worry. “Holy shit, Anna, I had no idea. Are you okay?”","she smiles back, and for a moment, the tension between us dissipates, replaced by a sense of mutual",39,"she smiles back, and for a moment, the tension between us dissipates, replaced by a sense of mutual understanding, as if we're sharing a secret joke that only we can hear, the sound of our laughter mingling with the hum of the city outside, creating a sense of normalcy that feels almost surreal."
"“That is wonderful news, sweetheart! Oh, I’m so thrilled! Why don’t you fly down to John Wayne the night","before, stay at the house, and we’ll all take the plane over together? The flight to Singapore is a bear.”",before the weekend and we can celebrate in style? I'll make the reservations at that new restaurant you've,39,"before the weekend and we can celebrate in style? I'll make the reservations at that new restaurant you've been wanting to try. We can even invite some friends to join us. I just know this is going to be the start of something amazing for you, and I couldn't be prouder. When do you think you'll be able to make the trip? I'll start making arrangements as soon as you give me the word."
"“Anna?” he says, like he’s not entirely sure, and then does a full top-to-bottom sweep of my body, which recalls the lack of pants.","When he digs his hand into his luscious head of hair, I forget to be embarrassed again, because it all comes back to me.","His eyes linger on my legs for a moment before he looks away, clearing his throat, and I feel a flush rise to my cheeks as",48,"His eyes linger on my legs for a moment before he looks away, clearing his throat, and I feel a flush rise to my cheeks as I realize I'm still standing there in just my underwear. ""Anna, what's going on?"" he asks again, his voice softer this time, and I try to play it cool, like I'm not totally mortified. ""Just, uh, just getting ready for bed,"" I say, trying to sound nonchalant, but my voice comes out all shaky and unconvincing. He raises an eyebrow, clearly not buying it, and I can tell he's trying not to laugh. ""At...at 3 am?"" he asks, his tone skeptical, and I realize I'm not fooling anyone, least of all him."
The expression he makes is like the meme of that one kid who smiles and then immediately bursts into tears.,West is staring at me like he’s doomed but must pretend to be happy about it. “Anna. You look… great?”,"His face contorts in a mixture of emotions, as if he's trying to hold back laughter, but the absurdity",40,"His face contorts in a mixture of emotions, as if he's trying to hold back laughter, but the absurdity of the situation is too much for him to handle, and his smile quickly turns into a comical grimace, making everyone around him crack up."
"Stepping aside, I let him pass, and he pulls up short at what’s on the television screen. Conan is",enthusiastically fucking a witch in a cave. We both clear our throats and look up at the ceiling instead.,"on, and the guest is a woman with a familiar face - it's Emily Wilson, the actress who played the lead in",38,"on, and the guest is a woman with a familiar face - it's Emily Wilson, the actress who played the lead in that movie we watched last week. The guest is talking about her new project, and my friend's eyes widen in surprise as he takes in the news. He turns to me, a look of excitement on his face, and I can tell he's about to launch into a long and detailed analysis of the movie and its themes. I smile to myself, knowing that I'm in for a lengthy and enthusiastic discussion, and settle in to listen and respond."
"He adjusts his posture on the sofa, turning slightly to face me. Oh, right. He came here to","ask me for help. I sit up, too, tucking a loose strand of hair behind my ear. Focus, Anna.","talk about something specific, but I'm not sure what it could be. His eyes seem to be searching",37,"talk about something specific, but I'm not sure what it could be. His eyes seem to be searching for the right words, and for a moment, he just stares at me, his expression unreadable. I shift uncomfortably in my seat, trying to prompt him to continue, but he remains silent. The air is thick with tension as we sit there, the only sound the soft hum of the air conditioner in the background. Finally, he takes a deep breath and begins to speak, his voice low and measured."
"“I knew what Jake ordered for lunch and what kinds of stupid movies would make him laugh, and I could predict all his pickup lines","at parties, but we didn’t ever, like, sit down and do backstory. He didn’t even mention he had a brother until he suggested I marry you.”","by heart, but I had no idea what he was thinking or feeling, and that was the most frustrating part of all. I felt like I was living with",51,"by heart, but I had no idea what he was thinking or feeling, and that was the most frustrating part of all. I felt like I was living with a stranger, someone who wore Jake's face but had a completely different mind and heart. It was like we were two people living separate lives, and I couldn't help but wonder if we would ever truly connect again. The distance between us seemed to grow wider with each passing day, and I found myself longing for the days when we were inseparable, when every thought and feeling was shared between us without hesitation. But those days seemed to be behind us now, and I was left to navigate this new, uncertain reality, trying to find my place in a relationship that was rapidly changing."
