en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"“I think I’m all set here,” he says, and lol of course he isn’t going","to kiss me. “But if I forgot anything, you can have Jake come pick it up.”","to say that, because he's still got a long way to go before he can even think",31,"to say that, because he's still got a long way to go before he can even think about being all set. He's got a lot on his plate, and he knows it. He's just trying to sound confident, to convince himself that he's got this, but deep down, he's scared. He's scared of failing, of not being able to deliver, of letting everyone down. He's trying to put on a brave face, but it's clear that he's struggling. He's got a lot of weight on his shoulders, and he's not sure if he can carry it all by himself. He's hoping that someone will come along and help him out, but until then, he's just going to have to keep on keeping on, and hope that everything works out in the end."
"Jake: younger brother to West (and only slightly less good-looking) and that type of college friend who knows everything about my life at UCLA but has never met my father, who lives only an hour away.","Jake introduced me to West; now Jake will be my sole remaining connection to West. The thought makes me a little sad, but then I remember I have the couch and T-virus zombies waiting for me inside.","He's the kind of guy who can recite entire conversations we had years ago, but has never made the effort to meet the people who raised me. I've often wondered if it's because he's intimidated by the",73,"He's the kind of guy who can recite entire conversations we had years ago, but has never made the effort to meet the people who raised me. I've often wondered if it's because he's intimidated by the idea of my family, or if he's just not that interested. Either way, it's always been a bit of a sore spot for me. Despite this, Jace has been a constant presence in my life, always ready with advice or a listening ear, even if he doesn't always understand the context. I've learned to appreciate his unique perspective, even if it's not always what I want to hear. As we sat on the couch, catching up on each other's lives, I couldn't help but feel a sense of comfort in his familiar presence. It was like no time had passed at all, and yet, everything was different."
"“You, too.” West smiles that eye-crinkling smile again, and","damn, I really wish I’d seen it more. “Bye, Anna.”","he gestures to the empty chair across from him, his",19,"he gestures to the empty chair across from him, his eyes sparkling with amusement as he waits for me to take a seat. I hesitate for a moment, unsure if I should be sitting down, but something about his demeanor puts me at ease, and I lower myself into the chair, trying to mimic his relaxed posture. As I do, he leans forward, his elbows resting on the arms of his chair, and steeples his fingers together, his eyes never leaving mine."
"I feel her attention move from the empty apartment to the side of my face, and when I smile","over at her, her blue eyes are round with worry. “Holy shit, Anna, I had no idea. Are you okay?”","she smiles back, and for a moment, the emptiness of the apartment is filled with the warmth of our",39,"she smiles back, and for a moment, the emptiness of the apartment is filled with the warmth of our shared smile. Her eyes sparkle with amusement, and I can sense her curiosity piqued, wondering what I'm thinking. I take a deep breath, and my gaze drifts back to the empty space, my mind racing with the possibilities of what could be, of what we could create together in this blank canvas of a room. The silence between us is palpable, yet comfortable, like a warm blanket on a chilly winter night. I can feel her eyes on me, studying me, trying to read my thoughts, and I wonder if she can sense the excitement building up inside me, the excitement of starting anew, of creating something beautiful together."
"“That is wonderful news, sweetheart! Oh, I’m so thrilled! Why don’t you fly down to John Wayne the night","before, stay at the house, and we’ll all take the plane over together? The flight to Singapore is a bear.”","before the party and we can all celebrate together? I'll make sure to have a room ready for you at the hotel,",39,"before the party and we can all celebrate together? I'll make sure to have a room ready for you at the hotel, and we can have a big bash to mark the occasion. I'll even invite some of the old gang from the studio to come and join in the fun. It'll be just like old times! And of course, we'll have to get John to give a big speech to toast your success. He'll be thrilled to bits to be a part of it all, I just know it. Now, let me get the phone and start making some calls to get everything arranged. This is going to be the best night ever, darling!"
"“Anna?” he says, like he’s not entirely sure, and then does a full top-to-bottom sweep of my body, which recalls the lack of pants.","When he digs his hand into his luscious head of hair, I forget to be embarrassed again, because it all comes back to me.","His eyes linger on my legs for a moment before he looks away, clearing his throat. ""I, uh, I think you might want to put",48,"His eyes linger on my legs for a moment before he looks away, clearing his throat. ""I, uh, I think you might want to put some pants on,"" he says, his voice a little rougher than usual. I feel a flush rise to my cheeks as I realize he's trying not to stare, and I'm suddenly grateful for the darkness of the room. I nod, still feeling a little dazed, and take a step back, trying to process what just happened. ""Yeah, yeah, that's a good idea,"" I stutter, trying to play it cool despite the fact that my heart is still racing. I take another step back, trying to put some distance between us, and that's when I see it: the look on his face, the one that says he's trying not to feel something he shouldn't. And in that moment, I know that everything has changed."
The expression he makes is like the meme of that one kid who smiles and then immediately bursts into tears.,West is staring at me like he’s doomed but must pretend to be happy about it. “Anna. You look… great?”,"It's as if he's trying to convey a mix of emotions, but ends up looking like a confused mess. His face",40,"It's as if he's trying to convey a mix of emotions, but ends up looking like a confused mess. His face contorts in a way that's both hilarious and pitiful at the same time, making it impossible not to laugh at the absurdity of it all."
"Stepping aside, I let him pass, and he pulls up short at what’s on the television screen. Conan is",enthusiastically fucking a witch in a cave. We both clear our throats and look up at the ceiling instead.,"standing in front of a city skyline, a confident smirk on his face as he addresses the camera. The news anchor's",38,"standing in front of a city skyline, a confident smirk on his face as he addresses the camera. The news anchor's voiceover says, ""And in a shocking turn of events, Conan O'Brien has just announced his candidacy for the upcoming mayoral election."" My friend's eyes widen in surprise, and he turns to me with a look of incredulity. ""Is this real life?"" he asks, and I can only shrug in response. We both stand there, frozen in stunned silence, as Conan's face fills the screen, his charismatic charm and infectious enthusiasm captivating the audience. The camera pans out to show the bustling city behind him, the sounds of car horns and chatter filling the air. It's clear that this is no ordinary political announcement, and I can feel the excitement building in the air. My friend and I exchange a look, and without a word, we both know that this is going to be a wild ride."
"He adjusts his posture on the sofa, turning slightly to face me. Oh, right. He came here to","ask me for help. I sit up, too, tucking a loose strand of hair behind my ear. Focus, Anna.","discuss the details of the project, and I'm supposed to be taking notes. I grab my pen and",37,"discuss the details of the project, and I'm supposed to be taking notes. I grab my pen and notebook, trying to look more alert. ""So, what's the plan?"" I ask, attempting to sound more interested than I actually am. He launches into a lengthy explanation of the marketing strategy, and I find my mind wandering as I try to keep up with his rapid-fire speech. I jot down a few key points, hoping that I'll be able to decipher my scribbles later. As he talks, I steal glances at him, trying to read his expression. Is he really as enthusiastic about this project as he seems, or is he just trying to convince me of its merits? I'm not sure, but I'm determined to find out."
"“I knew what Jake ordered for lunch and what kinds of stupid movies would make him laugh, and I could predict all his pickup lines","at parties, but we didn’t ever, like, sit down and do backstory. He didn’t even mention he had a brother until he suggested I marry you.”",and the way he'd awkwardly try to dance at parties. I knew his favorite video games and the way he'd get so into them that he'd forget to,51,"and the way he'd awkwardly try to dance at parties. I knew his favorite video games and the way he'd get so into them that he'd forget to eat or sleep. I knew the way he'd always try to make me laugh, even on my worst days, and the way he'd listen to me when I needed someone to talk to. I knew the way he'd always be there for me, no matter what. But despite all of this, I still couldn't help but feel like I didn't really know him at all. There were still so many things that I didn't know, so many things that he kept hidden behind his charming smile and his easy laugh. And I couldn't help but wonder, what else was he hiding? What else was he keeping from me?"
