en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"Yet his books continued to sell, so his business affairs continued. I went over the contract renewals, cover concepts, and the occasional movie or TV option","with him, and I dutifully read every interview proposal once he was incapable of reading them himself. He always said no, and that included Ruth Crawford’s proposal.","discussions. It was a delicate balancing act, as he was a creative genius, but not exactly business savvy. I had to navigate the fine line between allowing him the freedom",53,"discussions. It was a delicate balancing act, as he was a creative genius, but not exactly business savvy. I had to navigate the fine line between allowing him the freedom to focus on his writing, while also protecting his financial interests. Despite the challenges, it was a rewarding experience, and I was proud to have played a part in the success of his literary career. As the years went by, his popularity only grew, and I was constantly fielding calls from publishers, producers, and other industry professionals clamoring to work with him. It was a wild ride, but one that I will always treasure."
"“Give her the standard response, Mark—flattered to be asked, but no","thanks.” He hesitated, though, because this one was a little different.","time to consider it at the moment, and of course, we'll be in touch soon.",22,"time to consider it at the moment, and of course, we'll be in touch soon. Mark nodded and began to dial the number, his mind already drifting to the next task on his list. As he waited for an answer, he glanced around the office, taking in the familiar sights and sounds of the bustling workspace. The soft hum of computers, the muted chatter of coworkers, and the occasional ring of a phone all blended together to create a sense of comfort and routine. But despite the tranquility of the moment, Mark's thoughts were already racing ahead, anticipating the challenges and opportunities that the day would bring."
"“Butch and I were kids going to a one-room schoolhouse before the Second World War. We grew up in a no-stoplight dirt-road town fixing cars, patching them up, playing sports and then coaching them. As men we took part in town politics and maintained the town dump—very similar jobs, now that I think about it. We hunted, we fished, we put out grassfires in the summer and plowed the town roads in the winter. Knocked over a right smart of mailboxes doing it, too. I knew","him when no one knew his name—or mine—outside of a twenty-mile radius. I should have come to see him these last years, but I was busy with my own affairs. I thought to myself, there’s time. We always think that, I guess. Then time runs out. Butch was a fine artist, but he was also a good man. I think that’s more important. Maybe some here don’t and that’s all right, that’s all right. Thing is, I always had his back and he always had mine.”",,172,"Butch and I were kids going to a one-room schoolhouse before the Second World War. We grew up in a no-stoplight dirt-road town fixing cars, patching them up, playing sports and then coaching them. As men we took part in town politics and maintained the town dump—very similar jobs, now that I think about it. We hunted, we fished, we put out grassfires in the summer and plowed the town roads in the winter. Knocked over a right smart of mailboxes doing it, too. I knew"
“Has to be a reason?” Pop asked when I finished reading him Ms. Crawford’s letter. “Is that what she’s suggesting? I guess,she never heard about the twin brothers who won large sums of money in their respective state lotteries on the same day.”,"that she's trying to tell us something, but I'm not sure what. I mean, it sounds like she's saying that the whole thing was",44,"that she's trying to tell us something, but I'm not sure what. I mean, it sounds like she's saying that the whole thing was just a big misunderstanding, but at the same time, it sounds like she's trying to warn us about something. I don't know, maybe I'm just reading too much into it. What do you think, Pop?"
“Just that I can understand this woman’s interest in exploring the fact of you and Dave both coming from Nowheresville and blossoming,in the middle of your lives.” I raised my hands beside my head as if framing a headline. “Could it be… fate?”,"into successful individuals despite the humble beginnings. She leaned in closer, her eyes sparkling with curiosity,",44,"into successful individuals despite the humble beginnings. She leaned in closer, her eyes sparkling with curiosity, and asked, ""What was it about that small town that instilled in you both the drive to succeed?"" Her question hung in the air, awaiting a response that would unravel the mysteries of Nowheresville's unassuming yet potent influence."
"So that was what I did, although something about the way Pop looked just then stuck with me. It was the look of a man who could say quite","a lot on the subject of how he and his friend Butch had achieved fame and fortune… but who chose not to. Who chose, in fact, to keep it close.","calmly, ""I'm going to die,"" and mean it. I had never seen that look on Pop before, and I never saw it again, but I never forgot it. It was as if",59,"calmly, ""I'm going to die,"" and mean it. I had never seen that look on Pop before, and I never saw it again, but I never forgot it. It was as if he had been given a glimpse of something that was waiting for him, something that he knew he couldn't escape. I didn't know what to make of it at the time, but it stuck with me, and I couldn't shake the feeling that something was off. I tried to push it to the back of my mind, but it lingered, a nagging sense of unease that I couldn't quite explain. As the days went by, I found myself watching Pop more closely, looking for any sign of that look again, but it never came. Still, I couldn't shake the feeling that something was waiting for him, something that would change everything."
"“They used to pal around together back in grade school,” Alden told her. “Just a couple of boys who liked to fish or go hunting with their daddies. They grew up around hard work and","didn’t expect nothing different. You might talk to folks my age who’ll tellya those boys were going to amount to something, but I’m not one of em. They were ordinary fellas right up until they weren’t.”","the great outdoors. They were inseparable, always getting into some kind of mischief or another. But as they got older, they started to drift apart. Alden's dad had gotten a job at the local factory, and",71,"the great outdoors. They were inseparable, always getting into some kind of mischief or another. But as they got older, they started to drift apart. Alden's dad had gotten a job at the local factory, and he had to work long hours to provide for their family. He didn't have as much time to take Alden on those fishing trips or hunting excursions like he used to. And as for the other boy, his family had moved to the city, seeking better opportunities. They would still see each other occasionally, but it wasn't the same. They had grown apart, and their lives had taken different paths. But even with all the changes, Alden still considered him a friend, and she was glad to see him again, even if it was under difficult circumstances."
"I read a review of Pop’s first book, The Lightning Storm, and the reviewer said this: “Not much happens in the","first hundred or so pages of Mr. Carmody’s suspenseful yarn, but the reader is drawn on anyway, because there are violins.”","book, but what does happen is told in a way that makes you feel like you're right there with the characters, experiencing everything",42,"book, but what does happen is told in a way that makes you feel like you're right there with the characters, experiencing everything they're going through. The reviewer went on to say that Pop's writing style is very descriptive and immersive, and that he has a talent for creating vivid imagery with his words. I was intrigued by this review and decided to check out the book for myself. As I began reading, I could see what the reviewer meant - the story does unfold at a leisurely pace, but the way Pop describes the setting and the characters' emotions really draws you in. I found myself becoming completely absorbed in the world of the story, and I couldn't wait to find out what would happen next. I was a bit skeptical at first, but as I kept reading, I realized that the slow pace of the story was actually a strength, not a weakness. It allowed me to really get to know the characters and become invested in their lives, and it made the plot twists and turns all the more surprising and impactful. Overall, I was really impressed with The Lightning Storm, and I'm excited to see what Pop will come out with next."
"I knew a lot of this. I learned more from Ruth Crawford herself at the Korner Koffee Kup, across the street from the Gateway Motel and just about a block down from the post office. That’s where Pop got his mail,","and there was usually a pretty damn good budget of it. I always stopped at the Koffee Kup after grabbing the post. The Kup’s java is strictly okay, no more than that, but the blueberry muffins? You never had a better one.","and where I would often accompany him on his daily routine. The smell of freshly brewed coffee and the sound of lively chatter filled the air as we walked in. Ruth, with her warm smile and infectious laugh, would greet us",83,"and where I would often accompany him on his daily routine. The smell of freshly brewed coffee and the sound of lively chatter filled the air as we walked in. Ruth, with her warm smile and infectious laugh, would greet us from behind the counter. She had a way of making everyone feel like family, and Pop was no exception. As we sipped our coffee, Ruth would regale us with stories of the town's history and the latest gossip. I was fascinated by her tales of the old days, of the pioneers who settled this land and the struggles they faced. Pop would listen intently, nodding his head and making supportive noises, his eyes twinkling with amusement. Those were special moments, just the two of us, enjoying each other's company and the warm hospitality of the Korner Koffee Kup."
"It was Ruth Crawford, looking slim and trim in white slacks, a pink shell top, and a matching mask—that was the second year","of Covid. She was already sliding into the other side of the booth, which made me laugh. “You don’t give up, do you?”","of the pandemic, and her hair styled in a neat bob, who spotted me first. She was standing by the entrance of the restaurant,",46,"of the pandemic, and her hair styled in a neat bob, who spotted me first. She was standing by the entrance of the restaurant, sipping a glass of white wine, and chatting with the hostess. As soon as she saw me, she excused herself and hurried over to give me a warm hug. ""It's so great to see you!"" she exclaimed, her eyes shining with genuine delight. We hadn't seen each other in months, not since the lockdown had eased and we'd both started venturing out again. We'd kept in touch through phone calls and video chats, but it wasn't the same as being together in person. I was struck by how good she looked, how relaxed and happy. The past year had been tough on all of us, but Ruth seemed to have weathered it particularly well. As we hugged, I noticed a man standing behind her, watching us with a friendly smile. ""This is John,"" Ruth said, turning to him. ""We met through mutual friends a few months ago."" John was tall and lanky, with a rugged, outdoorsy look that suggested he spent a lot of time hiking or camping. He had a firm handshake and a warm smile, and I liked him immediately. The three of us chatted for a few minutes, catching up on each other's news, before the hostess came over to show us to our table."
"“Not bad. As you must know, since you’re staying right across the street.","The muffins are better. But still no interview. Sorry, Ms. Crawford, can’t do it.”","I do indeed,” I replied, trying to sound nonchalant despite the fact that I had been",27,"“I do indeed,” I replied, trying to sound nonchalant despite the fact that I had been dreading this conversation all day. “I must say, your garden is looking particularly lovely this time of year. The roses are blooming beautifully.” I hoped to steer the conversation towards more pleasant topics, but Mrs. Jenkins merely raised an eyebrow and continued, “I suppose you’re wondering why I asked you over.”"
"“I swear. I found out that Dave won the annual town fair pie-eating contest from 1960 to 1966, when he retired from competition. I learned that your father sat","on the ducking stool at Old Home Days until 1972. There are amusing pictures of him in one of those old-fashioned bathing suits and a derby hat… waterproof, I assume.”","the judges' table, a stern expression on his face, as if daring anyone to challenge his son's pie-eating prowess. I discovered that the whole town would gather around the",59,"at the judges' table, a stern expression on his face, as if daring anyone to challenge his son's pie-eating prowess. I discovered that the whole town would gather around the contest area, cheering and chanting Dave's name as he shoveled pie after pie into his mouth with lightning speed and accuracy. The local newspaper would feature him on the front page every year, with a photo of him holding the coveted Golden Pie trophy and a proud smile on his face. I even found an old interview where Dave claimed that his secret to winning was a special stomach exercise he developed over the years, which allowed him to expand his stomach capacity to inhuman limits. The townspeople would often talk about how Dave's pie-eating skills were a gift from God, and how he brought pride and joy to their small community. As I dug deeper, I realized that Dave's legacy extended far beyond the town fair, and that his name became synonymous with pie-eating excellence, inspiring generations of competitive eaters to come."
"“I learned that when Dave went west, he packed everything he felt he needed into the saddlebags of his Harley-Davidson motorcycle and just took off.",Your father and mother sold everything else he owned at a yard sale and sent him the money. Your dad also sold his house for him.”,"He had no particular destination in mind, just a sense of adventure and a desire to escape the monotony of his daily routine. As he",51,"He had no particular destination in mind, just a sense of adventure and a desire to escape the monotony of his daily routine. As he rode, the wind in his hair and the sun on his face, he felt a sense of freedom he had never experienced before. He met people along the way, some friendly, some not, but all with their own stories to tell. He saw sights he had only read about in books, and he began to realize just how small his own world had been. The open road stretched out before him, a path to unknown possibilities, and he felt his heart fill with excitement and anticipation. He was no longer just a man on a motorcycle, he was a traveler, an explorer, a seeker of new experiences and knowledge. And as the miles flew by, he knew that he would never be content to simply stay in one place again."
"“At a pretty nice profit,” I said. “Which was good. By then Uncle Butch","was painting full-time, and he used that money until he started selling his work.”","had already made a name for himself in the business world, and I was proud to be his",28,"had already made a name for himself in the business world, and I was proud to be his nephew. I had always looked up to him as a role model, and I was grateful for the opportunity to learn from him. As we sat in his office, sipping our coffee and discussing the details of the deal, I couldn't help but feel a sense of pride and accomplishment. We had worked hard to make this happen, and it was satisfying to see it all come together. Uncle Butch leaned back in his chair, a smile spreading across his face, and said, ""You know, kiddo, I think this is just the beginning. I've got a feeling that we're on the verge of something big here."" I nodded in agreement, my mind already racing with the possibilities. Little did I know, our conversation was about to take an unexpected turn, one that would change everything."
"I remember a call I got in the fall of 1978, the dormitory mom (there actually were such things back then) puffing up to the third floor of","Roberts Hall and telling me my mother was on the phone and sounded upset. I hurried down to Mrs. Hathaway’s little suite, afraid of what I might hear.","our dorm, looking for me with a look of great concern on her face. She told me that my mom had called, and that I needed to call her back as soon as possible.",56,"our dorm, looking for me with a look of great concern on her face. She told me that my mom had called, and that I needed to call her back as soon as possible. I remember feeling a sense of trepidation as I made my way to the payphone on the first floor, wondering what could be wrong. When I finally got through to my mom, she told me that my grandfather had passed away. I remember feeling a mix of emotions - sadness, shock, and a sense of loss. My grandfather had been a significant figure in my life, and his passing left a void that could never be filled. I spent the rest of the day in a daze, trying to come to terms with the news, and wondering what the future held without him. The days that followed were a blur of funeral arrangements, family gatherings, and trying to support my family through a difficult time. Looking back, I realize that my grandfather's passing was a turning point in my life, one that taught me the value of family, the importance of cherishing the time we have with loved ones, and the need to make the most of every moment."
“Yes. No. I don’t know. Something happened to your father while they were on,"their hunting trip in the 30-Mile Wood.” Then, as if an afterthought: “And to Butch.”","the mission, and they had to make an emergency landing. The last thing I heard was that",29,"the mission, and they had to make an emergency landing. The last thing I heard was that your father was being taken to a hospital in a nearby town. I'm so sorry, I wish I had more information to give you. I know how much your father means to you, and I can only imagine how worried you must be. I want you to know that I'm here for you, and I'll do everything I can to help you get through this difficult time. We'll get through this together, okay?"
"“Maybe they went down to the crossroads,” she said. “You know, like",Robert Johnson was supposed to have done. Made a deal with the devil.”,"the old stories say, where the devil himself is said to appear to lost",25,"the old stories say, where the devil himself is said to appear to lost travelers and offer them a deal in exchange for their souls. I've always been skeptical of such tales, but now I'm not so sure. The darkness seems to be closing in around us, and I can feel a presence lurking just out of sight. I try to shake off the feeling, telling myself it's just my imagination, but the air seems to vibrate with an otherworldly energy. Suddenly, a faint humming noise catches my attention, and I turn to see a figure emerging from the shadows. It's a woman, tall and gaunt, with eyes that seem to bore into my very soul. She's dressed in tattered black, and a crown of twisted thorns sits atop her head. I feel a chill run down my spine as she begins to speak, her voice low and husky. ""Welcome, travelers,"" she says. ""I see you're lost. I can help you find your way... for a price."""
