en_first_half,en_second_half,en_results,en_word_count,en_results_raw
"“I’m Adela,” she said. She had an eye patch and blond",hair the same color and texture as hay. “I’m the Vice Secretary.”,"hair that cascaded down her back like a golden waterfall, and a scar",23,"hair that cascaded down her back like a golden waterfall, and a scar above her left eyebrow that seemed to tell a story of its own, but her bright blue eyes sparkled with warmth as she extended a hand in greeting, her firm handshake a testament to a strength that belied her petite frame."
“The Wellness team think their adjustment will be negatively impacted if they’re,"held on the wards any longer,” said Adela, dry as a filing system.","quired to work with the new software, and they're pushing back against",25,"required to work with the new software, and they're pushing back against the implementation, citing concerns about decreased productivity and increased stress levels among their staff members."
"Graham Gore (Commander, Royal Navy; c.1809–c.1847) had been in the twenty-first century for five weeks, though, like the other expats, he’d been lucid for only a handful of those days. The extraction process had merited a fortnight of hospitalization. Two of the original seven expats had died because of it, and","only five remained. He’d been treated for pneumonia, for severe frostbite, for the early stages of scurvy, and two broken toes on which he had been blithely walking. Lacerations too, from a Taser—he’d shot at two of the team members who’d come to expatriate him, and a third was forced to fire.","another had been left with severe brain damage, a constant reminder of the risks they had taken by choosing to leave their own time behind. Graham, however, had been one of the lucky ones, and as he slowly regained his strength, he found himself struggling to adjust to the unfamiliar world around",103,"another had been left with severe brain damage, a constant reminder of the risks they had taken by choosing to leave their own time behind. Graham, however, had been one of the lucky ones, and as he slowly regained his strength, he found himself struggling to adjust to the unfamiliar world around him. The towering skyscrapers and flying machines that filled the skies were a far cry from the sailing ships and horse-drawn carriages of his own era, and he often felt like a relic from another age, a stranger in a strange land. Despite the challenges, Graham was determined to make a new life for himself in this brave new world, and he threw himself into the task of learning about the customs and technologies of the twenty-first century. But as he delved deeper into this unfamiliar world, he couldn't shake the feeling that he was being watched, that there were those who were waiting for him to slip up so they could pounce. And then, of course, there was the matter of the mysterious woman who seemed to be following him everywhere he went... "
"The house that the Ministry had provided was a late-Victorian redbrick, originally designed for local workers. Gore would have seen them built, if he’d lived into","his eighties. As it was, he was thirty-seven years old and had not experienced crinolines, A Tale of Two Cities, or the enfranchisement of the working classes.","the early twentieth century, and would have known the men who worked in the nearby factories and mills, their lives a constant struggle against the elements and",53,"the early twentieth century, and would have known the men who worked in the nearby factories and mills, their lives a constant struggle against the elements and the relentless pace of the machines. The house itself was small, with narrow windows and a slate roof, its facade a testament to the utilitarian values of the era in which it was built. Despite its modest appearance, however, the house had a certain solidity to it, a sense of permanence that was reassuring in a world that seemed increasingly ephemeral. It was a place where a family could put down roots, where children could grow and thrive, and where the rhythms of daily life could be lived out in quiet contentment. Or so it seemed, at least, to the casual observer."
“Mm. Beside your elbow is a white box with a handle. It’s a refrigerator—a,"fridge, we call it. Could you open the door and take out the milk, please?”","portable one, of course, and not very large, but it will keep things cool for",29,"portable one, of course, and not very large, but it will keep things cool for a few hours. Now, I want you to open it and look inside. You'll find a thermos of coffee, a bottle of water, and a small package of sandwiches. The sandwiches are turkey, I think, or maybe ham—I didn't make them myself, so I'm not entirely sure. Anyway, they should be edible, and the coffee is still hot, I hope. There's also a small first-aid kit, just in case, and a map of the area. I've marked our current location and the location of the nearest town, which is about five miles due east. If you need to get out of here quickly, that's the direction you should head. Now, I want you to take a deep breath, calm down, and think this through. We'll get through this, I promise."
"Gore was already fully dressed and sitting on the edge of the bath, smoking. The bottom of the bath",had a low-tide mark of cigarette ash and soap scum. Two cigarettes were crushed out in the soap dish.,"was still wet and steam rose from it, curling up towards the window, which was open a few inches at the",38,"was still wet and steam rose from it, curling up towards the window, which was open a few inches at the top. The air outside was cool and fresh, a welcome respite from the stifling heat of the summer evening. Gore's eyes were fixed on some point outside, his gaze distant and preoccupied, as if lost in thought. The smoke from his cigarette curled lazily upwards, adding to the misty atmosphere of the room. The sound of dripping water echoed through the silence, a steady beat that seemed to match the rhythm of Gore's thoughts. He was a man deep in contemplation, his mind a million miles away from the mundane concerns of the present moment."
"All this was to come. On that first morning, there was Gore chain-smoking and a bleeding water-supply line. The","toilet’s cistern lay on the floor, gleaming like a slain whale. A vile smell was seeping up from the floor.","plumber, a gruff but lovable man named Joe, was already on his way to the house, having been summoned by Gore's",39,"plumber, a gruff but lovable man named Joe, was already on his way to the house, having been summoned by Gore's frantic call the night before. As the sun rose over the small town, casting a warm glow over the sleepy streets, the sound of dripping water echoed through the empty halls of the old mansion, a constant reminder of the chaos that was to come. Meanwhile, Gore paced back and forth in the kitchen, his mind racing with thoughts of the impending renovation and the endless list of tasks that lay ahead. Little did he know, this was only the beginning of a journey that would test his patience, his wallet, and his sanity."
"Gore was an officer from the dusk of the Age of Sail, not an engineer. I’m sure he knew plenty about ship’s rigging, but he’d probably never handled an instrument more technologically complex than a sextant. Men in their right minds are","not usually overcome with a mania for pulling the plumbing apart. I suggested he might like to wash his hands at the sink downstairs, and I could, perhaps, call a plumber, and we could, potentially, take a constitutional walk on the nearby heath.","notoriously resistant to change, and the thought of embracing a newfangled contraption like the chronometer would have been anathema to him. He was a man of tradition, of tried and tested methods, and the idea of relying on a machine to navigate the",85,"notoriously resistant to change, and the thought of embracing a newfangled contraption like the chronometer would have been anathema to him. He was a man of tradition, of tried and tested methods, and the idea of relying on a machine to navigate the high seas would have been seen as a crutch, a weakness. And yet, as he stood on the quarterdeck, his eyes scanning the horizon for any sign of land, he couldn't shake the feeling that he was being left behind, that the world was moving on without him. The chronometer, with its intricate mechanisms and precise timekeeping, represented a future that Gore was not sure he was ready for. He was a relic of a bygone era, a man out of time, and the chronometer was a constant reminder of that fact."
"The more I got to know him, the more I discovered Gore was the most entirely realized person I’d ever met. In his own time, he had liked hunting, sketching, flute playing (he was very good at this), and","the company of other people. Hunting was out of the question, and socializing was limited by order of the Ministry. By the end of the first week he was visibly going bonkers with no one but me to talk to.","reading the works of Shakespeare and the poetry of Robert Burns. He had a deep love for nature and the arts, and his passions were evident in the way he spoke about them with such fervor and enthusiasm. As",79,"reading the works of Shakespeare and the poetry of Robert Burns. He had a deep love for nature and the arts, and his passions were evident in the way he spoke about them with such fervor and enthusiasm. As I delved deeper into his life, I found that Gore's interests and hobbies were not just passing fancies, but rather an integral part of who he was as a person. His love for hunting, for instance, was not just about the thrill of the chase, but also about the camaraderie and sense of community that came with it. Similarly, his talent for sketching was not just a hobby, but a way for him to express his creativity and capture the beauty of the world around him. The more I learned about Gore, the more I realized that he was a true Renaissance man, with a wide range of interests and passions that made him a unique and fascinating individual."
"Gore was internally displaced in this way. I could sometimes see him regarding the modern world as if through a telescope. He stood forever on the deck of a ship somewhere in the early 1800s. He must have done it even in his own era, coming down from the ports to note","with alarm that women were wearing their sleeves wide again, that some European country had declared war on another again, while he was months or years away at sea. He told me stories as if he were trying to catch himself in amber. Just like my mother, though I didn’t tell him that.","the peculiarities of the people and the landscape, and then returning to his ship to record his observations in a leather-bound journal. This sense of detachment, of being an outsider looking in, was a defining characteristic of Gore's, and it served him well in his work as a writer",105,"the peculiarities of the people and the landscape, and then returning to his ship to record his observations in a leather-bound journal. This sense of detachment, of being an outsider looking in, was a defining characteristic of Gore's, and it served him well in his work as a writer and a politician. He was able to observe the world around him with a clarity and objectivity that allowed him to cut through the noise and get to the heart of the matter. And yet, despite his somewhat antiquated demeanor, Gore was not averse to embracing the modern world. He was a voracious consumer of new ideas and technologies, and he saw the potential for progress and innovation that they offered. This tension between his old-fashioned sensibilities and his forward-thinking outlook made for a fascinating and sometimes contradictory personality, one that was full of surprises and unexpected insights."
